Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বিষণ্নতার ছদ্মনাম,জাওয়াদ আরাফ খান,TK. 180,TK. 158,https://rokomari.com//book/207910/bisannatar-saddhonam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d12d26347_207910.jpg,"",বিষণ্নতার ছদ্মনাম,জাওয়াদ আরাফ খান, , ,প্রহেলিকা প্রকাশন, ,"1st Published,2021", ,বাংলাদেশ,বাংলা
মুঠো মুঠো সুখ ,কলি ফাহমিদা ,TK. 200,TK. 176,https://rokomari.com//book/205320/mothu-mothu-shukh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/91a7560f5_205320.jpg,"চিরচেনা পৃথিবীটা হঠাৎ বদলে যায়
মুঠো মুঠো সুখে চারপাশ ছেয়ে যায়
হুট করেই এসে যখন কেউ বলে যায়
তোমায় আমি রেখেছি আমার ভালোবাসায়।",মুঠো মুঠো সুখ,কলি ফাহমিদা, , ,প্রহেলিকা প্রকাশন, ,"1st Published,2020",64,বাংলাদেশ,বাংলা
নকল তুমি,সায়মন চৌধুরী শাওন,TK. 150,TK. 132,https://rokomari.com//book/204324/nokol-tumi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fc30f2256_204324.jpg,"অদেখার অসুখ জানে দুই চোখে কতো শোক
দুঃখী পোস্টার বলে এইবার দ্যাখা হোক।

অন্য পুরুষ কথায় কথায় আদর কোরে ডাকে
ঠোঁটের কোণে ঠোঁট মিশিয়ে গল্প শোনাও কাকে!
মেঝের উপর শাড়ি মেলিয়ে হাটছো বারান্দায়
চেয়ে থাকো এ-পথ ও-পথ স্বামীর অপেক্ষায়! 

জানো না আমি মানুষ নই,আস্ত একটা পাগল
প্রেমবীক্ষের পাতা খেয়ে হয়ে উঠেছি ছাগল।

এ জন্মের চোখের ছোঁয়া যদি আর না পাই
পরের জন্মে তাজা কাজল করবো ছিনতাই।

শোন মেয়ে,বিছানায় ডাকবো না
পাপে তোকে মাখবো না
যা পারিস তাই দে
ভাঙা ঘরে ঠাই দে।",নকল তুমি,সায়মন চৌধুরী শাওন, , ,প্রহেলিকা প্রকাশন, ,"1st Published,2020",64,বাংলাদেশ,বাংলা
পালকি,ফাতেমা তুজ জোহরা উর্মি,TK. 200,TK. 176,https://rokomari.com//book/206212/palki,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b250eefa3_206212.jpg,"",পালকি,ফাতেমা তুজ জোহরা উর্মি, , ,প্রহেলিকা প্রকাশন, , , ,বাংলাদেশ,বাংলা
পানপাতার ঘর,মাহফুজা মনিরা,TK. 480,TK. 408,https://rokomari.com//book/201787/panpatar-ghor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bedfc2cce_201787.jpg,"",পানপাতার ঘর,মাহফুজা মনিরা, , ,প্রহেলিকা প্রকাশন, ,"1st Published,2020",150,বাংলাদেশ,বাংলা
স্পৃহা,মোহাম্মদ নজরুল ইসলাম,TK. 180,TK. 158,https://rokomari.com//book/208273/spriha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/79ab37ce2_208273.jpg,"",স্পৃহা,মোহাম্মদ নজরুল ইসলাম, , ,প্রহেলিকা প্রকাশন, ,"1st Published,2021", ,বাংলাদেশ,বাংলা
কাব্যের নিশাচর,মোঃ কামরান চৌধুরী,TK. 220,TK. 187,https://rokomari.com//book/202944/kabber-nishachor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0a5bab637_202944.jpg,"",কাব্যের নিশাচর, , ,মোঃ কামরান চৌধুরী,প্রহেলিকা প্রকাশন, ,"1st Published,2020", ,বাংলাদেশ,বাংলা
অশ্বারোহীর পুঁথি,জামিল হাদী,TK. 200,TK. 176,https://rokomari.com//book/207354/assharohir-puthi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/304238ad2_207354.jpg,"",অশ্বারোহীর পুঁথি,জামিল হাদী, , ,প্রহেলিকা প্রকাশন, ,"1st Published,2020", ,বাংলাদেশ,বাংলা
অসময়,আয়ান আহরান শ্রাবণ,TK. 300,TK. 255,https://rokomari.com//book/211077/oshomy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2819299a4_211077.jpg,"",অসময়,আয়ান আহরান শ্রাবণ, , ,প্রহেলিকা প্রকাশন, ,"1st Published,2021",111,বাংলাদেশ,বাংলা
চুমুর নূপুর,নির্মলেন্দু গুণ,TK. 200,TK. 176,https://rokomari.com//book/206210/chunur-nupur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ddbcbaca0_206210.jpg,"",চুমুর নূপুর,নির্মলেন্দু গুণ, , ,প্রহেলিকা প্রকাশন, , , ,বাংলাদেশ,বাংলা
৫৯ আওয়ার'স উইথ ডায়েরি,মোঃ তানভীর আহাম্মেদ রবিন,TK. 200,TK. 176,https://rokomari.com//book/210202/59-ours-with-diray,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c6545f3b7_210202.jpg,"",৫৯ আওয়ার'স উইথ ডায়েরি,মোঃ তানভীর আহাম্মেদ রবিন, , ,প্রহেলিকা প্রকাশন, ,"1st published,2021", ,বাংলাদেশ,বাংলা
সততার কান্না,এইচ এম আব্দুল হান্নান সিরাজী,TK. 200,"",https://rokomari.com//book/198061/shototar-kanna,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c966af75e_198061.jpg,"",সততার কান্না,এইচ এম আব্দুল হান্নান সিরাজী, , ,প্রহেলিকা প্রকাশন,9789849423729,"1st Published,2020",80,বাংলাদেশ,বাংলা
