Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
লস্ট ইসলামিক হিস্ট্রি,ফিরাস আল খতিব,TK. 260,TK. 182,https://rokomari.com//book/188371/lost-islamic-history--islamer-harano-itihas-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0491eee8e_188371.jpg,"ইসলামের ইতিহাসের সামগ্রিক ও অখণ্ড চিত্র নিয়ে অনবদ্য বই ‘লস্ট ইসলামিক হিস্ট্রি’। ফিরাস আল খতিব লিখিত আন্তর্জাতিক বেস্টসেলার এ বইটির বাংলা অনুবাদ ‘লস্ট ইসলামিক হিস্ট্রি : ইসলামের হারানো ইতিহাস’।

‘লস্ট ইসলামিক হিস্ট্রি’র ভাষা প্রাঞ্জল ও সহজবোধ্য। ইসলামের ছোঁয়ায় উদ্ভাসিত প্রায় সব জনপদের ইতিহাসের সাথে পাঠকের একটি সামগ্রিক সংযোগ ঘটিয়ে দেয়ার চেষ্টা আছে এ বইয়ে। পুরো পৃথিবীব্যাপী বিস্তৃত একটি জাতির দেড়হাজার বছরের ইতিহাস মাত্র শ’তিনেক পৃষ্ঠায় খুঁটিনাটিসহ সংকুলান অসম্ভব। এ কারণে লেখক ইতিহাসগ্রন্থের সন-তারিখভিত্তিক বয়ানের গতানুগতিক পদ্ধতি এড়িয়ে ঘটনাপ্রবাহের প্রধান স্রোতকে স্পর্শ করেছেন। 

রাসূলুল্লাহ সা.-এর জীবন, খোলাফায়ে রাশেদীনের শাসনকাল, উপমহাদেশের ইতিহাস ইত্যাদি যেসকল অধ্যায় আমাদের মোটামুটি পরিচিত, সেগুলোর ক্ষেত্রে বইটিকে কিছুটা অপূর্ণ মনে হতে পারে। কিন্তু পরবর্তী সময়ের বিবরণ এবং আফ্রিকা, আমেরিকা কিংবা দূরপ্রাচ্যের মুসলমানদের অজানা ইতিহাস পাঠকদের চমৎকৃত করবে। 

লস্ট ইসলামিক হিস্ট্রি’র আরেকটি অসাধারণ দিক হলো, ইতিহাসের ঘটনাপ্রবাহের স্পর্শকাতর ও মতবিরোধপূর্ণ বিষয়াদির বর্ণনায় ভারসাম্য। লেখক সেক্ষেত্রে প্রধান মতগুলোকে অল্পকথায় সামনে এনে একটি সমন্বিত বিশ্লেষণ দাঁড় করিয়েছেন। ইতিহাসের গৌরবোজ্জ্বল উদাহরণের পাশাপাশি তুলে এনেছেন বেদনাদায়ক উপাখ্যানও। তাই পাঠক যুগপৎ আনন্দ-বেদনায় সিক্ত হবেন। হীনমন্যতা দূরীকরণের পাশাপাশি পাবেন আত্মপর্যালোচনার সুযোগও।",লস্ট ইসলামিক হিস্ট্রি,ফিরাস আল খতিব,আলী আহমাদ মাবরুর, ,প্রচ্ছদ প্রকাশন,9789849434709,"1st Published,2019",286,বাংলাদেশ,বাংলা
সেনাপতি : খালিদ বিন ওয়ালিদ রা.   ,ড. ইয়াসির ক্বাদি ,TK. 150,TK. 113,https://rokomari.com//book/195506/senapoti---khalid-bin-waleed-r-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0b7fee3b2_195506.jpg,"ইসলামের ইতিহাসের প্রখ্যাত সেনাপতি খালিদ বিন ওয়ালিদ রা.-এর জীবন, সমরনৈপুণ্য, অনন্য সব যুদ্ধকৌশল, দুইটি বৃহৎ পরাশক্তিকে পদানত করার রোমাঞ্চকর ইতিহাস।",সেনাপতি : খালিদ বিন ওয়ালিদ রা.,ড. ইয়াসির ক্বাদি,মোহাম্মদ সাইফুল্লাহ, ,প্রচ্ছদ প্রকাশন,9789849435839,"1st Published,2020",80,বাংলাদেশ,বাংলা
ইসলামিক ম্যানারস,عبد الفتاح ابؤغدة (আব্দুল ফাত্তাহ আবু গুদ্দাহ),TK. 200,TK. 150,https://rokomari.com//book/201866/islamic-manners,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b5bbb7c01_201866.jpg,"দৈনন্দিন জীবনের রুচিবোধ, শিষ্টাচার, পরিমিতিবোধ সম্পর্কে ইসলামের অনিন্দ্য নির্দেশনা তুলে ধরা হয়েছে এ বইয়ে। বিশ্ববিখ্যাত স্কলার, সিরিয়ান আলিম মরহুম শায়খ আবদুল ফাত্তাহ আবু গুদ্দাহ রচিত সুন্দরতম বইগুলোর একটি।",ইসলামিক ম্যানারস,عبد الفتاح ابؤغدة (আব্দুল ফাত্তাহ আবু গুদ্দাহ),আলী আহমাদ মাবরুর, ,প্রচ্ছদ প্রকাশন,9789849435860,"2nd Print,2020",128,বাংলাদেশ,বাংলা
কারফিউড নাইট,বাশারাত পীর,TK. 380,TK. 285,https://rokomari.com//book/192310/curefwed-night,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/302afcb65_192310.jpg,"কাশ্মীরের নিত্য যাপিত জীবনযাতনার টিকটিক করে আবর্তিত হওয়া ঘড়ির কাঁটার শব্দকে ছুঁয়ে দেখার বই কারফিউড নাইট। রাজনীতি বা ইতিহাসের আড়ালে অব্যক্ত জীবনকে ব্যক্ত করাই এর বিষয়। ইতিহাস ও রাজনীতিকে না বলেও বলে যাওয়া হয়েছে এখানে। কাশ্মীরের হাসি-কান্না, আনন্দ-বেদনার জীবনোপাখ্যান পটে মূর্ত করে ইতিহাস-রাজনীতির বিমূর্ত ছবিটি এঁকেছেন বাশারাত পীর। কারফিউড নাইট তাই রাজনীতি বা ইতিহাসের বই না হয়ে নৈমিত্তিক জীবনের কথা বলেও রাজনীতি আর ইতিহাসের পাঠ পুরোটা। বইটি পড়তে পড়তে নিজের অজান্তেই চোখ অশ্রুসজল হবে, বুক হু হু করে ওঠবে, আবার কখনও হয়তো মৃদু হাসির রেখাও ফুটে ওঠবে ঠোঁটের কোণে...।

সাংবাদিক লেখক বাশারাত পীরের অনবদ্য সৃষ্টি কারফিউড নাইট আলোড়িত আলোচিত বিশ্বব্যাপী। কারফিউড নাইট সম্পর্কে খুশবন্ত সিংয়ের উচ্ছ্বসিত মন্তব্য, “চমৎকার লেখা, নির্মম সত্য এবং নিদারুণ মর্মস্পর্শী!”",কারফিউড নাইট,বাশারাত পীর,আনোয়ার হোসেইন মঞ্জু, ,প্রচ্ছদ প্রকাশন,9789849435778,"1st Published,2019", ,বাংলাদেশ,বাংলা
খাদিজা বিনতে খুয়াইলিদ রা. - ১,ড. ইয়াসির ক্বাদি ,TK. 150,TK. 113,https://rokomari.com//book/194945/khadija-binte-khuwaylid-r----1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5ee19046f_194945.jpg,"ড. ইয়াসির ক্বাদির বিখ্যাত লেকচার সিরিজ মাদার অব দ্য বিলিভার্স এর বাংলা অনুবাদ। বাংলায় সিরিজটির অনুবাদ নাম উম্মুল মুমিনিন সিরিজ। 

খাদিজা বিনতে খুয়াইলিদ রা. বইটি উম্মুল মুমিনিন সিরিজের ১ম বই। সিরিজটিতে বই সংখ্যা হবে ৫টি।",খাদিজা বিনতে খুয়াইলিদ রা. - ১,ড. ইয়াসির ক্বাদি, , ,প্রচ্ছদ প্রকাশন,9789849435877,"1st Published,2020",80,বাংলাদেশ,বাংলা
এইম ফর দ্য স্টারস,তারিক রমাদান,TK. 260,TK. 195,https://rokomari.com//book/195657/aim-for-the-stars,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d1ec099f9_195657.jpg,"বিশ্ববিখ্যাত স্কলার ড. তারিক রমাদান, ড. ইয়াসির ক্বাদি, ড. মুফতি ইসমাইল মেনক, নোমান আলী খানের বিখ্যাত লেকচারের অনুবাদ সংকলন এইম ফর দ্য স্টারস।",এইম ফর দ্য স্টারস,"তারিক রমাদান,নোমান আলী খান",মোহাম্মদ সাইফুল্লাহ, ,প্রচ্ছদ প্রকাশন,9789849435846,"1st Published,2020",166,বাংলাদেশ,বাংলা
আয়িশা বিনতে আবু বকর রা.-২,ড. ইয়াসির ক্বাদি ,TK. 170,TK. 128,https://rokomari.com//book/198059/ayisha-bint-abu-bakr-r--2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d09149292_198059.jpg,ড. ইয়াসির ক্বাদির বিখ্যাত লেকচার সিরিজ ‘মাদার অব দ্য বিলিভার্স’ এর বাংলা অনুবাদ। এর বাংলা অনুবাদ ‘উম্মুল মুমিনিন সিরিজ’ নামে প্রকাশিত। আয়িশা বিনতে আবু বকর রা. সিরিজের ২য় বই। এ সিরিজ মোট ৪টি বই আকারে প্রকাশিত হচ্ছে।,আয়িশা বিনতে আবু বকর রা.-২,ড. ইয়াসির ক্বাদি,আলী আহমাদ মাবরুর, ,প্রচ্ছদ প্রকাশন,9789849435884,"1st Published,2020",136,বাংলাদেশ,বাংলা
ইসলামের ব্যাপকতা,ড. ইউসুফ আল কারযাভী,TK. 190,TK. 143,https://rokomari.com//book/189693/islamer-byapokotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/23229a7fd_189693.jpg,বিখ্যাত দাঈ ও সংগঠক ইমাম হাসানুল বান্না দাওয়াতের ক্ষেত্রে দশটি মূলনীতি পেশ করতেন। সেই দশ মূলনীতিকে ব্যাখ্যা করে বিশ্ববিখ্যাত আলিম ড. ইউসুফ আল কারযাভী দশটি বই লিখেছেন। ইমাম বান্নার প্রথম মূলনীতি হলো-- ইসলাম মানবজীবনের সর্বব্যাপী ও সামগ্রিক এক জীবনব্যবস্থা। মানবজীবনের খণ্ডিত কোনো অংশ নিয়ে নয়; বরং সামগ্রিকতা নিয়েই ইসলামের কাজ। সেই মূলনীতির চমৎকার ও দালিলিক ব্যাখ্যা ‘ইসলামের ব্যাপকতা’।,ইসলামের ব্যাপকতা,ড. ইউসুফ আল কারযাভী,তারিক মাহমুদ, ,Prossod Prokashon,9789849435723,"2nd Edition,2020",135,Bangladesh,Bangla & Arabic
ফ্রম এমটিভি টু মক্কা ,ক্রিস্টিয়ানা বেকার,TK. 500,TK. 375,https://rokomari.com//book/195655/from-mtv-to-mecca,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/92c7ac547_195655.jpg,"ক্রিস্টিয়ানা বেকার ১৯৬৫ সালে জার্মানির হামবুর্গে জন্মগ্রহণ করেন। তারুণ্যের শুরুতেই এমটিভি ইউরোপের শীর্ষস্থানীয় উপস্থাপিকা হিসেবে আবির্ভূত হন তিনি। এমটিভিতে থাকাকালীন তিনি ইউরোপের এক প্রান্ত থেকে অন্য প্রান্তে ছুটে বেড়িয়েছেন। টেলিভিশন ক্যারিয়ারে দক্ষতার স্বীকৃতিস্বরূপ ক্রিস্টিয়ানা জার্মানির সবচেয়ে মর্যাদাপূর্ণ টেলিভিশন অ্যাওয়ার্ড ‘গোল্ডেন ক্যামেরা’ লাভ করেন। 
ক্যারিয়ারের মধ্যগগনে থাকাকালে ঘটনাক্রমে লন্ডনে তার পরিচয় হয় ক্রিকেট তারকা ইমরান খানের (বর্তমানে পাকিস্তানের প্রধানমন্ত্রী) সাথে। ইমরানের নেতৃত্বে পাকিস্তান ক্রিকেট টিম তখন সদ্য বিশ্বকাপ জয় (১৯৯২) করেছে। তার আমন্ত্রণে ক্রিস্টিয়ানা প্রথমবারের মতো পাকিস্তান ভ্রমণে যান। সেখানকার অনাবিল প্রকৃতি এবং ইমরান খান ও কিছু মানুষের হৃদয়গহিনে থাকা আল্লাহপ্রেম দেখে তিনি অভিভূত হন। ইমরান খানের আকর্ষণীয় ব্যক্তিত্ব ও ইসলামের কালজয়ী আদর্শ উভয়ের প্রেমে পড়ে যান তিনি। 
লন্ডনে ফেরার পর তিনি ইসলাম সম্পর্কে গভীরভাবে জানার চেষ্টা করেন। তিনি যখন ইসলামকে জানার চেষ্টা চালিয়ে যাচ্ছিলেন, তখনই হঠাৎ ইমরানের সাথে তার বিচ্ছেদ ঘটে। এ ঘটনায় ক্রিস্টিয়ানা বেশ মর্মাহত হন। কিন্তু ইমরানের সাথে বিচ্ছেদ ঘটলেও ইসলামের সাথে তার সর্ম্পক হয় আরও দৃঢ়। তিনি ইসলামকে কাছ থেকে বোঝার চেষ্টা অব্যাহত রাখেন এবং অবশেষে ইসলামের সুশীতল ছায়ায় আশ্রয় নেন।
ক্রিস্টিয়ানার ইসলাম গ্রহণের পরের জীবন কুসুমাস্তীর্ণ ছিল না। ক্যারিয়ার, বৈবাহিক ও পারিবারিক জীবন সবক্ষেত্রে একের পর এক বিপর্যয়ের সম্মুখীন হতে থাকেন। ইউরোপের কিছু মানুষের ইসলামোফোবিয়ারও শিকার হন তিনি। কিন্তু কোনো কিছুই তাকে ইসলাম থেকে বিচ্ছিন্ন করতে পারেনি। বরং ঝড় যত প্রবলভাবে তার উপর আছড়ে পড়েছে, তিনি তত প্রবলভাবে ইসলামকে আঁকড়ে ধরেছেন। ফ্রম এমটিভি টু মক্কা লেখিকার সেই ঘটনাবহুল ও সংগ্রামী জীবনের উপাখ্যান। বইটি প্রথমে প্রকাশিত হয় জার্মান ভাষায়। পরে ইংরেজি, ডাচ ও আরবি ভাষায় অনূদিত হয়ে বিপুল পাঠকনন্দিত হয়।",ফ্রম এমটিভি টু মক্কা,ক্রিস্টিয়ানা বেকার,রোকন উদ্দিন, ,প্রচ্ছদ প্রকাশন,9789849435853,"1st Published,2020",504,বাংলাদেশ,বাংলা
প্রেসিডেন্ট মুরসি: আরব বসন্ত থেকে শাহাদাত,ওয়াহিদ জামান,TK. 180,TK. 135,https://rokomari.com//book/191791/president-morsi--arab-bosonto-theke-shahadat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/09d4857fe_191791.jpg,"মুহাম্মাদ মুরসি মিশরের প্রথম নির্বাচিত প্রেসিডেন্ট। দীর্ঘ কয়েক দশক থেকে চেপে বসা স্বৈরাচার পতনের পর জনতার অবাধ রায়ে তিনি রাষ্ট্রপ্রধান হিসেবে বরিত হন। পাশাপাশি মুসলিম ব্রাদারহুড থেকে নির্বাচিত হওয়ায় সারা বিশ্বের মুক্তিকামী মুসলিমদের কাছেও তিনি প্রত্যাশার প্রতীক হয়ে ওঠেন। কিন্তু বহুমুখী আন্তর্জাতিক এবং সাবেক স্বৈরাচারের সহযোগীদের ষড়যন্ত্রে তিনি স্বল্প সময়ের মধ্যে সামরিক অভ্যুত্থানে কারান্ত্যরীণ হন। দীর্ঘ ছয় বছর কারারুদ্ধ থাকার পর ১৭ জুন ২০১৯ তারিখে আদালতে শাহাদাত বরণ করেন তিনি। 

তিনি দৃশ্যপটে ছিলেন খুবই স্বল্প সময়, কিন্তু এর মধ্যে সাক্ষী হয়েছেন অসংখ্য ঘটনাপ্রবাহের। প্রতিকূলতার মোকাবিলা করেছেন নজিরবিহীন আর পরবর্তীদের জন্য রেখে গেছেন সংগ্রাম আর দৃঢ়তার প্রেরণা। 

মুরসি এবং প্রাসঙ্গিকভাবে আরব বসন্ত নিয়ে ইতিবাচক ও সমালোচনামূলক উভয় ধরনের কিছু লেখা নিয়ে সংকলিত হয়েছে পুস্তিকাটি। বইটির পাঠ কল্পনা ও আবেগের জায়গা থেকে পাঠককে অনেকটা বাস্তবতায় নিয়ে আসবে। আবার সব বিষয়েই যে একমত হতে হবে তাও নয়।",প্রেসিডেন্ট মুরসি: আরব বসন্ত থেকে শাহাদাত, , ,ওয়াহিদ জামান,প্রচ্ছদ প্রকাশন,9789849435747,"1st Published,2019",104,বাংলাদেশ,বাংলা
