Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
লাইফ ইজ ইজি,চার্বাক সুমন,TK. 120,TK. 106,https://rokomari.com//book/193886/life-is-easy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2a5acbaaf_193886.jpg,"",লাইফ ইজ ইজি,চার্বাক সুমন, , ,প্রতিকথা,9789843474858,"1st Published,2020",64,বাংলাদেশ,বাংলা
বরযাত্রা,এ.টি.এম.  মোস্তোফা কামাল,TK. 40,TK. 36,https://rokomari.com//book/136896/borjatra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bed7cdd6eed4_136896.jpg,"",বরযাত্রা,এ.টি.এম.  মোস্তোফা কামাল, , ,প্রতিকথা,9789843421227,"1st Published,2016",16,বাংলাদেশ,বাংলা
সুখ,এ.টি.এম.  মোস্তোফা কামাল,TK. 40,TK. 36,https://rokomari.com//book/136897/shukh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9ed9e57c9df4_136897.jpg,"",সুখ,এ.টি.এম.  মোস্তোফা কামাল, , ,প্রতিকথা,9789843421210,"1st Published,2016",16,বাংলাদেশ,বাংলা
নটি বিনোদিনী,শেখ গোলাম রসুল,TK. 250,TK. 213,https://rokomari.com//book/199786/noti-binodinee,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a80696ddf_199786.jpg,"",নটি বিনোদিনী,শেখ গোলাম রসুল, , ,প্রতিকথা,9789843485687,"1st Published,2020",128,বাংলাদেশ,বাংলা
মাটির স্পর্শ,মোস্তাফিজুর রহমান-২,TK. 120,TK. 106,https://rokomari.com//book/199785/matir-sporsho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/57edc03a6_199785.jpg,"",মাটির স্পর্শ,মোস্তাফিজুর রহমান-২, , ,প্রতিকথা,9789843485670,"1st Published,2020",48,বাংলাদেশ,বাংলা
ভিন্ন দিনের জীবনায়ন,আকিম মহমদ,TK. 250,TK. 213,https://rokomari.com//book/199784/vinno-diner-jibonayon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cc1997735_199784.jpg,"",ভিন্ন দিনের জীবনায়ন,আকিম মহমদ, , ,প্রতিকথা,9789843486424,"1st Published,2020",112,বাংলাদেশ,বাংলা
কাল কাঠামোর কথা,আকিম মহমদ,TK. 500,TK. 425,https://rokomari.com//book/199783/kal-kathamor-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8d21f8c9f_199783.jpg,"",কাল কাঠামোর কথা,আকিম মহমদ, , ,প্রতিকথা,9789843455178,"1st Published,2020",142,বাংলাদেশ,বাংলা
আমাজান লিলি,নাজনীন সাথী,TK. 180,TK. 158,https://rokomari.com//book/199782/amajan-lily,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4e83986c4_199782.jpg,"",আমাজান লিলি,নাজনীন সাথী, , ,প্রতিকথা,9789843485632,"1st Published,2020",96,বাংলাদেশ,বাংলা
শেকলের নূপুর,হানিফ রাশেদীন,TK. 150,TK. 132,https://rokomari.com//book/199781/shekoler-nupur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bf007bb59_199781.jpg,"",শেকলের নূপুর,হানিফ রাশেদীন, , ,প্রতিকথা,9789843485663,"1st Published,2020",64,বাংলাদেশ,বাংলা
ধর্ম নিরপেক্ষ বসন্ত,অনার্য নাঈম,TK. 120,TK. 106,https://rokomari.com//book/193887/dhormo-niropekkho-bosonto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2d9f5acf6_193887.jpg,"",ধর্ম নিরপেক্ষ বসন্ত,অনার্য নাঈম, , ,প্রতিকথা,9789843476500,"1st Published,2020",48,বাংলাদেশ,বাংলা
বুলবুলবেদনাকাব্য,রকিবুল হাসান,TK. 150,TK. 132,https://rokomari.com//book/209099/bulbulbedona-kabya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/647d0d6c7_209099.jpg,"",বুলবুলবেদনাকাব্য,রকিবুল হাসান, , ,প্রতিকথা,9789849509677,"1st Published,2021",64,বাংলাদেশ,বাংলা
নিমগ্ন নীলিমা,ইদরিস আলী মধু,TK. 150,TK. 132,https://rokomari.com//book/209098/nimogno-nilima,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d7d4aa9d1_209098.jpg,"",নিমগ্ন নীলিমা,ইদরিস আলী মধু, , ,প্রতিকথা,9789849506676,"1st Published,2021",64,বাংলাদেশ,বাংলা
