Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আবৃত্তির শ্রেষ্ঠ কবিতা সংগ্রহ,অর্ধেন্দু চক্রবর্তী,TK. 144,"",https://rokomari.com//book/169560/abritir-shreshtho-kobita-songgroho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আবৃত্তির শ্রেষ্ঠ কবিতা সংগ্রহ,অর্ধেন্দু চক্রবর্তী, , ,প্রত্যাশা (ভারত), ,2011, ,ভারত,বাংলা
চিরকালের সেরা বিভূতিভূষণ: নির্বাচিত গল্প,কালিদাস ভদ্র,TK. 144,"",https://rokomari.com//book/169561/chirokaler-sera-bibhutibhushon-nirbacito-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চিরকালের সেরা বিভূতিভূষণ: নির্বাচিত গল্প,কালিদাস ভদ্র, , ,প্রত্যাশা (ভারত), ,2012, ,ভারত,বাংলা
প্রেমের শ্রেষ্ঠ কবিতা,কালিদাস ভদ্র,TK. 135,"",https://rokomari.com//book/169566/premer-shreshtho-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রেমের শ্রেষ্ঠ কবিতা,কালিদাস ভদ্র, , ,প্রত্যাশা (ভারত), ,2012, ,ভারত,বাংলা
নির্বাচিত প্রেমের গল্প উনিশ কুড়ি,কালিদাস ভদ্র,TK. 135,"",https://rokomari.com//book/169569/nirbacito-premer-golpo-unish-kuri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নির্বাচিত প্রেমের গল্প উনিশ কুড়ি,কালিদাস ভদ্র, , ,প্রত্যাশা (ভারত), ,2012, ,ভারত,বাংলা
নির্বাচিত প্রেমের গল্প উনিশ কুড়ি,কালিদাস ভদ্র,TK. 144,"",https://rokomari.com//book/169570/nirbacito-premer-golpo-unish-kuri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নির্বাচিত প্রেমের গল্প উনিশ কুড়ি,কালিদাস ভদ্র, , ,প্রত্যাশা (ভারত), ,2012, ,ভারত,বাংলা
চিরকালের সেরা শরৎচন্দ্র: নির্বাচিত গল্প,কালিদাস ভদ্র,TK. 144,"",https://rokomari.com//book/169571/chirokaler-sera-shorotcondro-nirbacito-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চিরকালের সেরা শরৎচন্দ্র: নির্বাচিত গল্প,কালিদাস ভদ্র, , ,প্রত্যাশা (ভারত), ,2012, ,ভারত,বাংলা
রবীন্দ্রনাথের প্রেমের কবিতা,কালিদাস ভদ্র,TK. 144,"",https://rokomari.com//book/169576/rabindranather-premer-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রনাথের প্রেমের কবিতা,কালিদাস ভদ্র, , ,প্রত্যাশা (ভারত), ,2012, ,ভারত,বাংলা
সন্দরবনের সুন্দর কথা,নেপাল চন্দ্র পাইন,TK. 252,"",https://rokomari.com//book/169578/sundarboner-sundor-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সন্দরবনের সুন্দর কথা,নেপাল চন্দ্র পাইন, , ,প্রত্যাশা (ভারত), ,2013, ,ভারত,বাংলা
ইষ্টি কুটুম্ব,নেপাল চন্দ্র পাইন,TK. 252,"",https://rokomari.com//book/169580/eshti-kutumb,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ইষ্টি কুটুম্ব,নেপাল চন্দ্র পাইন, , ,প্রত্যাশা (ভারত), ,2013, ,ভারত,বাংলা
অক্সিলিয়ারী নার্স এণ্ড মিডওয়াইফ,মৌসুমী চক্রবর্তী,TK. 252,"",https://rokomari.com//book/169582/oxiliary-nurs,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অক্সিলিয়ারী নার্স এণ্ড মিডওয়াইফ,মৌসুমী চক্রবর্তী, , ,প্রত্যাশা (ভারত), ,2014, ,ভারত,বাংলা
