Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
গবেষণা পদ্ধতি,ড. মুহাম্মদ আকরাম উজ্জামান,TK. 375,TK. 319,https://rokomari.com//book/189425/gobeshona-poddhoti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1a73dd553_189425.jpg,"",গবেষণা পদ্ধতি,ড. মুহাম্মদ আকরাম উজ্জামান, , ,প্রত্যয় পাবলিকেশন্স,9789849184294,"2nd Published,2019",478,বাংলাদেশ,বাংলা
পজিটিভ সাইকোলজি,রাহনুমা-ই-জান্নাত,TK. 300,TK. 255,https://rokomari.com//book/189416/positive-psychology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f742fa1bc_189416.jpg,"",পজিটিভ সাইকোলজি,"রাহনুমা-ই-জান্নাত,তাহনিনা মেহরীন অনিন্দিতা,মার্জিয়া আল হাকিম", , ,প্রত্যয় পাবলিকেশন্স,9789849184379,"1st Edition,2018",293,বাংলাদেশ,বাংলা
মনোবৈজ্ঞানিক অভীক্ষা পরিমাপন ও মূল্যায়ন,মোঃ মেহেদী হাসান,TK. 334,TK. 284,https://rokomari.com//book/189427/monoboigganik-ovikkha-porimapon-o-mulyayon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4645bacff_189427.jpg,"",মনোবৈজ্ঞানিক অভীক্ষা পরিমাপন ও মূল্যায়ন,"মোঃ মেহেদী হাসান,মো: তবিউর রহমান,তাপস চন্দ্র সাহা", ,"মোঃ মিজানুর রহমান,মো. মিজানুর রহমান (প্রফেসর)",প্রত্যয় পাবলিকেশন্স,9789849184249,"3rd Published,2019",416,বাংলাদেশ,বাংলা
মনোবিজ্ঞানে পরিসংখ্যান-২,মো: তবিউর রহমান,TK. 384,TK. 326,https://rokomari.com//book/189431/monobiggane-porisongkhyan-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/468e31770_189431.jpg,"",মনোবিজ্ঞানে পরিসংখ্যান-২,"মো: তবিউর রহমান,সৈয়দ আশিকুল ইসলাম", ,"মোঃ মেহেদী হাসান,মো. শাখাওয়াত হোসেন",প্রত্যয় পাবলিকেশন্স, ,"5th Edition,2019",534,বাংলাদেশ,বাংলা
সমাজবিজ্ঞান,তাহেরা আফরোজ ,TK. 350,TK. 298,https://rokomari.com//book/189420/somajbiggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a9d5de62b_189420.jpg,"",সমাজবিজ্ঞান,তাহেরা আফরোজ, , ,প্রত্যয় পাবলিকেশন্স,9789849184348,"1st Published,2018",440,বাংলাদেশ,বাংলা
ব্যক্তিত্ব মতবাদ,তানিয়া সুলতানা (বি.এসসি),TK. 275,TK. 234,https://rokomari.com//book/189422/byaktitwo-motobad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c4bb9b1e2_189422.jpg,"",ব্যক্তিত্ব মতবাদ,তানিয়া সুলতানা (বি.এসসি), , ,প্রত্যয় পাবলিকেশন্স,9789849184201,"2nd Published,2018",304,বাংলাদেশ,বাংলা
শারীরবৃত্তীয় মনোবিজ্ঞান,ড. মো. আবু তাহের,TK. 325,TK. 276,https://rokomari.com//book/189399/sharirbrittiyo-monobiggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/96edc20d7_189399.jpg,"",শারীরবৃত্তীয় মনোবিজ্ঞান,ড. মো. আবু তাহের, , ,প্রত্যয় পাবলিকেশন্স,9789849184379,"2nd Published,2019",325,বাংলাদেশ,বাংলা
বিকাশ মনোবিজ্ঞান-২,মো. আবুল বাসার তালুকদার,TK. 300,TK. 255,https://rokomari.com//book/189429/bikash-monobiggan-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3e6a431d7_189429.jpg,"",বিকাশ মনোবিজ্ঞান-২,"মো. আবুল বাসার তালুকদার,মো: তবিউর রহমান,মো. রফিকুল ইসলাম রাজু", , ,প্রত্যয় পাবলিকেশন্স,9789849184263,"2nd Published,2019",472,বাংলাদেশ,বাংলা
পরিবেশ মনোবিজ্ঞান,মো: তবিউর রহমান,TK. 318,TK. 270,https://rokomari.com//book/189401/environmental-psychology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0473422ba_189401.jpg,"",পরিবেশ মনোবিজ্ঞান,"মো: তবিউর রহমান,সৈয়দ আশিকুল ইসলাম", , ,প্রত্যয় পাবলিকেশন্স,9789849184300,"1st Edition,2018",326,বাংলাদেশ,বাংলা
চিকিৎসা মনোবিজ্ঞান,মো: তবিউর রহমান,TK. 250,TK. 213,https://rokomari.com//book/189417/chikitsa-monobiggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/95372830f_189417.jpg,"",চিকিৎসা মনোবিজ্ঞান,"মো: তবিউর রহমান,তামান্না ইসলাম,সৈয়দ আশিকুল ইসলাম", ,"মো. শাখাওয়াত হোসেন,তাহনিনা মেহরীন অনিন্দিতা",প্রত্যয় পাবলিকেশন্স,9789849184386,"1st Edition,2018",256,বাংলাদেশ,বাংলা
