Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কোলাহল থামার পরে,আফসানা বেগম,TK. 300,TK. 225,https://rokomari.com//book/195299/kolahol-thamar-pore,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/11be852f0_195299.jpg,"বাবার নিপীড়ন, নির্যাতনে অতিষ্ঠ মা ঘর থেকে পালিয়ে গেছে আরেকজনের হাত ধরে। ঘরে আসে সৎমা। সৎমায়ের ভাইয়ের যৌন নির্যাতন থেকে রেহাই পেতে ভাইসহ আশ্রয় নেয় সৎবাবার কাছে। সৎবাবার হাত থেকেও রেহাই পায়না নিরুপায় এই কিশোরী। একদিন রণচণ্ডীহয়ে ওঠে বালিকা। দা দিয়ে এলোপাতাড়ি কোপায় সৎবাবাকে। তারপর রুদ্ধশ্বাস পলায়ন। ছুটছে, ছুটছে। ছুটতে ছুটতে কত দূর যাবে সে, কোথায় নিস্তার তার? একটানে পড়ে ফেলার মতো বই।",কোলাহল থামার পরে,আফসানা বেগম, , ,প্রথমা প্রকাশন,9789849436157,"1st Published,2020",152,বাংলাদেশ,বাংলা
তাবলিগ জামাত : বাংলাদেশ ও বিশ্বপরিসরে,বুলবুল সিদ্দিকী,TK. 260,TK. 195,https://rokomari.com//book/192318/tablighi-jamaat---bangladesh-o-bishshoporishore,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/010ae0544_192318.jpg,"""তাবলিগ জামাত : বাংলাদেশ ও বিশ্বপরিসরে"" বইয়ের ফ্ল্যাপের লেখা:

তাবলিগ জামাতের উদ্ভব ভারতের দিল্লির মেওয়াত নামক একটি স্থানে। পরবর্তীকালে সেটি বিশ্বের বিভিন্ন দেশে ব্যাপকভাবে বিস্তৃত হয়। বিশেষ করে বাংলাদেশকে তাবলিগ মাজাতের একটি অন্যতম কেন্দ্র হিসেবে দেখা হয় তাদের চর্চা ও জনপ্রিয়তার কারণে। পশ্চিমা জ্ঞানজাগতিক পরিসরে কয়েক দশক ধরে তাবলিগ জামাত নিয়ে বেশ আগ্রহ পরিলক্ষিত হচ্ছে। এ বিষয়ে গবেষণালব্ধ বই নেই বললেই চলে। বুলবুল সিদ্দিকীর গবেষণাকর্ম তাবলিগ জামাত  সেই অভাব পূরণ করবে।",তাবলিগ জামাত : বাংলাদেশ ও বিশ্বপরিসরে,বুলবুল সিদ্দিকী, , ,প্রথমা প্রকাশন,9789845250627,"1st Published,2019",117,বাংলাদেশ,বাংলা
একা দোকা ,ওয়াসি আহমেদ (সিলেট),TK. 180,TK. 135,https://rokomari.com//book/156442/ek-doka,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1d1e151fd_156442.jpg,"""একা দোকা"" বইয়ের ফ্ল্যাপের লেখা:

জীবনের পালাবদলে বিচ্ছিন্নতা ও একাকিত্ব কারও কারও ক্ষেত্রে আগ্রাসী হয়ে ওঠে। নিজেকে তখন নিঃসঙ্গ, পরিত্যক্ত মনে হয়। কিন্তু নিঃসঙ্গতাও সঙ্গময় হয়ে উঠতে পারে অনিশ্চিত পরিণতির আশঙ্কা নিয়েই। এ গল্পে মীনা তার অপরিসীম নিঃসঙ্গতার মধ্যেও বুনে চলে এক সঙ্গপিয়াসী আত্মমগ্ন ভুবন। খেদ নেই, পিছুটান নেই, আশ্বাসও কি আছে? তারপরও প্রতিকূল পরিস্থিতিতে টিকে থাকার অটল আত্মবিশ্বাসই তাকে এগিয়ে নিয়ে চলে। সে জানে হোঁচট খেয়ে ব্যথা-যন্ত্রণায় কাতর হয়েও তাকে চলতে হবে। টান টান বর্ণনায় লেখক মীনাকে নিয়ে যে গল্পটি বলেছেন, তা স্বল্পপরিসর সত্ত্বেও গভীর দ্যোতনাময়।",একা দোকা,ওয়াসি আহমেদ (সিলেট), , ,প্রথমা প্রকাশন,9789849300212,"1st Published,2017",104,বাংলাদেশ,বাংলা
নকশা: ১০০ রান্না ইলিশ,প্রথমা প্রকাশন,TK. 450,TK. 383,https://rokomari.com//book/106135/naksha--100-ranna-ilish,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b783acfb1_106135.jpg,"""নকশা: ১০০ রান্না ইলিশ"" বইয়ের ফ্ল্যাপের লেখা:
ইলিশ মাছ খেতে পছন্দ করেন না এমন বাঙালি কমই আছেন। ইলিশ ভাজা, সরষে ইলিশ কিংবা পুঁইশাক দিয়ে ইলিশের মাথা—বাঙালির ঘরে ঘরে এসব রান্না হয়ে আসছে যুগ যুগ ধরেই। বাঙালির অনেক ঐতিহ্যবাহী রান্না হারিয়ে যাচ্ছে, কিন্তু ইলিশ নিয়ে নতুন নতুন রান্নার প্রতি আগ্রহ বেড়েই চলেছে । প্রথম আলোর মঙ্গলবারের ক্রোড়পত্র ‘নকশা’য় নানা সময়ে ইলিশ রান্নার নানা রকম রেসিপি ছাপা হয়েছে। জনপ্রিয় ও খ্যাতিমান রন্ধনশিল্পীরা তাতে নিয়মিত ইলিশের রেসিপি দিয়েছেন। কখনাে কখনাে রেসিপি দিয়েছেন তারকাব্যক্তিরাও। সেখান থেকে ১০০ রেসিপি নিয়ে এই বই। ইলিশের নানা রকম রান্না মজা করে খেতে হলে এ বইয়ের বিকল্প নেই।",নকশা: ১০০ রান্না ইলিশ, , ,প্রথমা প্রকাশন,প্রথমা প্রকাশন,9789849120315,"1st Published,2015",108,বাংলাদেশ,বাংলা
ভালোবাসার রূপান্তর,কাজী এনায়েত উল্লাহ,TK. 200,TK. 150,https://rokomari.com//book/196850/bhalobashar-rupantar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/37b7c0e80_196850.jpg,"উচ্চশিক্ষার জন্য প্যারিস গিয়েছিলেন রাহাত আহমেদ। সেই বয়সে ভেঙে যাওয়া প্রেম কি তিনি বুকের ভেতর পুষে রেখেছিলেন? মাকে লেখা রাহাতের প্রেমপত্রের সন্ধান পেয়েছে শাহানা। পঞ্চাশোর্ধ্ব রাহাত আহমেদ এসেছেন ঢাকায়। শাহানা তার দেখা পায়। গল্প চলে নিজস্ব গতিতে। কেননা, ভালোবাসা কোনো শর্ত মেনে চলে না।",ভালোবাসার রূপান্তর,কাজী এনায়েত উল্লাহ, , ,প্রথমা প্রকাশন,9789849436232,"1st Published,2020",86,বাংলাদেশ,বাংলা
অশ্রুভেজা চোখে  করাঘাত,গিয়োম আপোলিন,TK. 150,TK. 113,https://rokomari.com//book/63914/oshruveja-chokhe-koraghat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e90706149_63914.jpg,"আধুনিক ফরাসি কবিতার জন্য বোদলেয়ার আর র্যাঁবোর পাশাপাশি যাঁর অবদান প্রশ্নাতীত, তিনি গিয়োম আপোলিনের। তিনি কবিতা, উপন্যাস ও নাটকে নতুন পথ দেখান, ছবি আঁকা ও কবিতা রচনায় নতুন ধারার সূচনা করেন। দুই বিশ্বযুদ্ধের মধ্যবর্তী সময়ে জগৎ জুড়ে আলোড়ন সৃষ্টিকারী ফিউচারিজম, কিউবিজম, দাদাইজম ও সুররিয়ালিজমের মতো সৃজনশীলতার নতুন ধারার সব আন্দোলনের তিনি যেন পূর্বসূরি। বোহেমীয় জীবন, বলিষ্ঠ ব্যক্তিত্ব, সৈনিক হিসেবে যুদ্ধ করার অভিজ্ঞতা সবকিছুই বিংশ শতাব্দীর সূচনালগ্নে আভাঁ গার্দ আন্দোলনের এক অনুকরণীয় ব্যক্তিত্বে পরিণত করে তাঁকে। আপোলিনেরের কবিতার অনুবাদের পাশাপাশি তাঁকে নিয়ে দুই অনুবাদকের লেখা দুটি নিবন্ধ রয়েছে",অশ্রুভেজা চোখে  করাঘাত,গিয়োম আপোলিন,"হায়দার আলী খান,মনজুরুল হক (সাংবাদিক ও প্রফেসর)", ,প্রথমা প্রকাশন,9789849019213,"1st Published,2012",87,বাংলাদেশ,বাংলা
পৃথিবী অবাক তাকিয়ে রয়,প্রথমা প্রকাশন,TK. 120,TK. 90,https://rokomari.com//book/107104/prithibi-obak-takiye-ray,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eb9dcf015_107104.jpg,"সূচি*
ভূমিকা শাবাস, বাংলাদেশ*
জে এফ আর জ্যাকব: উজ্জীবিত জাতি*
রানি সোফিয়া: দারিদ্র্যের বিরুদ্ধে মহান যুদ্ধ*
উইলিয়াম এইচ গেটস সিনিয়র: বিশ্বব্যাপী সঙ্গীসাথি*
শাবানা আজমি: সাংস্কৃতিক অংশীদারি*
জয়রাম রমেশ: বাংলাদেশের আলোকচ্ছটা*
ইরিনা বোকোভা: ভাষা বাঁচলে আমরাও বাঁচি*
হারভি ল্যাডসাস ও আমীরা হক: গৌরবের অতীত, আগামীর দায়িত্ব*
সৌরভ গাঙ্গুলী: উজ্জ্বল আলোর নিচে*
রেনাটা লক-ডেসালিয়েন: ‘আমার সোনার বাংলা’*
নিল ওয়াকার:  বড় দুর্যোগ, দ্রুত মোকাবিলা*
আবান মার্কার কাবরাজি: অনন্য বনভুমি*
ফিলিপ কটলার: তারা বদলে দিতে পারে পৃথিবীকে*
ভিলেম ভ্যান শেন্ডেল: বাংলা ভাষার বিশ্বযোগ",পৃথিবী অবাক তাকিয়ে রয়,প্রথমা প্রকাশন, , ,প্রথমা প্রকাশন,9789849120346,"1st Published,2015",88,বাংলাদেশ,বাংলা
দ্য থিওরি অব এভরিথিং,স্টিফেন হকিং,TK. 320,TK. 240,https://rokomari.com//book/158428/the-theory-of-everything,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7fba019a8_158428.jpg,"‘দ্য থিওরি অব এভরিথিং (মহাবিশ্বের জন্ম এবং শেষ পরিণতি)’ বইয়ের ফ্ল্যাপের কথাঃ
মানবজাতির বুদ্ধিবৃত্তিক দুটি মহান আবিস্কার আপেক্ষিকতার সাধারণ তত্ব এবং কোয়ান্টাম মেকানিক্স। প্রথমটির কাজ মহাকর্ষ, স্থানকাল তথা মহাবিশ্বের বৃহৎ পরিসর নিয়ে। দ্বিতীয়টি কাজ করে অতিক্ষুদ্র পরমাণুর গহন রাজ্য। নিজ নিজ ক্ষেত্রে পরীক্ষা থেকে শুরু করে ব্যবহারিক দিকে দুটি তত্বেই সফল। তবে দুটি তত্ব একই সাথে সফল হতে পারে না, অন্তত তাদের বর্তমান রূপে। কিন্তু এ দটিকে একত্রিত করে একটি পূর্ণাঙ্গ তত্ব পেতে পদার্থবিদদের একাধিক চেষ্টা ব্যর্থ হয়েছে। স্ট্রিং থিওরিকে একসময় এমনই এক পূর্ণাঙ্গ তত্ব বলে ভাবা হয়েছিল। 
কিন্তু এ তত্ব থেকে পাওয়া কোনো ভবিষ্যদ্বাণী এখনো বাস্তব পরিক্ষায় প্রমান করা যায়নি। ভবিষ্যতেও সে সম্ভাবণা ক্ষীণ বলেই বিজ্ঞানীদের আশঙ্কা। তাই এখন নতুন এক তত্বের খোঁজে মাঠে নেমেছেন তারা, যা দিয়ে বিপুল পরিসরের মহাবিশ্ব ও ক্ষুদ্র পরিসরের পরমাণু রাজ্যকে একসুতোয় গাথাঁ যাবে। এ তত্বেরই পোশাকি নাম থিওরি অব এভরিথিং। কিন্তু কেমন হবে বহু প্রত্যাশিত সেই তত্ব? কী করা যাবে সেই তত্ব দিয়ে? তাতে কী এই মহাবিশ্বের সব রহস্যের জবাব পাওয়া যাবে। এ বইতে এসব প্রশ্নের উত্তর খুঁজছেন তাত্বিক পদার্থবিদ স্টিফেন হকিং। আকারে ক্ষীণ, বক্তব্যে সংক্ষিপ্ত হলেও যা গুরুত্ব ও তাৎপর্য্ বিপুল।
সূচীপত্র:*
মুখবন্ধ-ড. আরশাদ মোমেন ৯*
অনুবাদকের কথা ১১*
লেখকের ভূমিকা- স্টিফেন হকিং ১৭*
প্রথম বক্তৃতা
মহাবিশ্ব সম্পর্কে ধারণা ১৯*
দ্বিতীয় বক্তৃতা
প্রসারণশীল মহাবিশ্ব ৩২*
তৃতীয় বক্তৃতা
কৃষ্ণগহ্বর ৫০*
চতুর্থ্ বক্তৃতা
কৃষ্ণগহ্বর অত কালো নয় ৭৮*
পঞ্চম বক্তৃতা
মহাবিশ্বের জন্ম এবং শেষ পরিণতি ৯৬*
ষষ্ঠ বক্তৃতা
সময়ের দিক ১১৭*
সপ্তম বক্তৃতা
সার্বিক তত্ব ১২৭*
একজন স্টিফেন হকং ১৪২*
পরিভাষা ১৪৬

লেখকের ভূমিকা
এই ধারাবাহিক বক্তৃতাগুলোকে আমি মহাবিস্ফোরণ থেকে কৃষ্ণগহ্বর পর্যন্ত মহাবিশ্বের ইতিহাস নিয়ে আমাদের ভাবনার একটা রূপরেখা দেওয়ার চেষ্টা করব। প্রথম বক্তৃতায় মহাবিশ্ব সম্পর্কে অতীতের ধারণাগুলো সংক্ষেপে বলব। একই সঙ্গে মহাবিশ্বের বর্তমান চেহারা কিভাবে পেলাম, সেটিও থাকবে এখানে।
দ্বিতীয় বক্তৃতায় মহাকর্ষ্ সম্পর্কে নিউটন আর আইনস্টাইন তত্ব নিয়ে আলোচনা করা হয়েছে। মহাবিশ্ব স্থির হতে পারে না, মহাবিশ্বকে হয় প্রসারণশীল, নয়তো সংকোচনশীল হতে হবে-তাঁদের তত্বগুলো কীভাবে এই সিদ্ধান্তের দিকেই ইঙ্গিত করে, এখানে সেটিই দেখাব। এতে দেখা যায়, আজ থেকে ১০ থেকে ২০ বিলিয়ন বছর আগের মধ্যবর্তী কোনো একটি সময়ে এই মহাবিশ্বের ঘনত্ব অবশ্যই অসীম ছিল। একেই বলে মহাবিস্ফোরণ। সম্ভবত মহাবিশ্বের সূচনা হয়েছিল এখান থেকেই।
তৃতীয় বক্তৃতায়  আমি কৃষ্ণগহ্বর নিয়ে আলোচনা করব। বিপুল আয়তনের নক্ষত্র কিংবা বিশাল কোনো বস্তু তার নিজের মহাকর্ষীয় আকর্ষণে সংকুচিত হতে থাকলে একসময় তা কৃষ্ণগহ্বরে পরিণত হয়।
আইনস্টাইনের আপেক্ষিকতার সাধারন তত্ব অনুযায়ী, কেউ যদি কৃষ্ণগহ্বরে ঝাঁপ দেওয়ার মতো বোকামি করে, তাহলে সে চিরকালের জন্য হারিয়ে যাবে। সে আর কোনো দিন কৃষ্ণগহ্বর থেকে বেরিয়ে আসতে পারবে না। বরং সবশেষে যতটা সম্ভব এদের ইতিহাস একটা যন্ত্রণাদায়ক সিঙ্গুলারিটি বা পরম বিন্দুতে পৌছাবে। তবে সাধারণ আপেক্ষিতা হচ্ছে চিরায়ত তত্ব। তাই এই তত্ব কোয়ন্টাম বলবিদ্যার অনিশ্চতার নীতিকে গোনায় ধরে না।
কৃষ্ণগহ্বর থেকে শক্তি বেরিয়ে আসার ঘটনাকে কোয়ান্টাম বলবিদ্যা কীভাবে সমর্থ্ন করে, সেটিই চতুর্থ্ বক্তৃতায় আমি ব্যাখ্যা করব। কৃষ্ণগহ্বরকে যতটা কালো হিসাবে বর্ণনা করা হয়, তা আসলে তত কালো নয়।
পঞ্চম বক্তৃতায় মহাবিস্ফোরণ এবং মহাবিশ্বের উৎপত্তিতে কোয়ান্টাম বলবিদ্যার ধারণা ব্যবহার করব। এই তত্ব ইঙ্গিত করে যে স্থানকাল সসীম হতে পারে, তবে এর কোনো সীমানা বা কিনারা থাকবে না। এটা অনেকটা ভূপৃষ্ঠের মতো, তবে এর মাত্রা দুইয়ের চেয়ে বেশী।
পদার্থবিদ্যার সূত্রগুলো সময়-প্রতিসাম্য হওয়া সত্ত্বেও ভবিষ্যৎ থেকে অতীত অনেক আলাদা। নতুন এই সীমানা প্রস্তাব এই বিষয়টি কীভাবে ব্যাখ্যা করতে পারে, তা দেখাব ষষ্ঠ বক্তৃতায়।
সবশেষে সপ্তম বক্তৃতায় ব্যাখ্যা করব কীভাবে আমরা একটি একীভূত তত্ব খুঁজে পেতে পারি। এই তত্বটিতে কোয়ান্টাম বলবিদ্যা, মহাকর্ষ্ ও পদার্থবিদ্যার অন্যান্য মিথস্ক্রিয়া অন্তর্ভুক্ত থাকবে।যদি কখনো সেটি অর্জ্ন করা যায়, তাহলে সত্যিকার অর্থেই আমরা এই মহাবিশ্বকে এবং এতে আমাদের সঠিক অবস্থান বুঝতে পারব।

স্টিফেন হকিং",দ্য থিওরি অব এভরিথিং,স্টিফেন হকিং,আবুল বাসার (সাংবাদিক), ,প্রথমা প্রকাশন,9789849318880,"1st Published,2018",151,বাংলাদেশ,বাংলা
কাঠবিড়ালি,শাহ নূরজালাল,TK. 130,TK. 98,https://rokomari.com//book/130599/kathbiraly,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/73ca93314c74_130599.jpg,"""কাঠবিড়ালি"" বইয়ের পিছনের কভারের লেখা:

কাঠবিড়ালি। ছােট্ট একটি প্রাণী। বনে-জঙ্গলে থাকে, আমাদের কাছাকাছি গাছগাছালিতেও থাকে। অনেক সময় গাছ থেকে নেমে আমাদের খুব কাছে চলে আসে।
জেনে অবাক হবে, এ ধরনের মেরুদণ্ডী প্রাণীর উদ্ভব হয়েছিল ৫ কোটি বছর আগের কোনাে এক সময়ে। এরা দেখতে সুন্দর, এদের জীবনযাপন অজানা বৈচিত্র্যে ভরা। সেই অজানাকে জানতে সাহায্য করবে এই বই।",কাঠবিড়ালি,শাহ নূরজালাল, , ,প্রথমা প্রকাশন,9789849176473,"1st Published,2017",24,বাংলাদেশ,বাংলা
একাত্তরের চিঠি,রণাঙ্গনে মুক্তিযোদ্ধারা,TK. 320,TK. 240,https://rokomari.com//book/11825/akattorer-chithi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/643190129_11825.jpg,"“একাত্তরের চিঠি”বইটির ফ্ল্যাপের কথাঃ
এত গৌরবময়, এত বেদনাময় বছর বাঙালির জীবনে আগে কখনাে আসেনি। বছরটি ১৯৭১। এই একটি বছরের। মাধ্যমে সমগ্র বিশ্ব বাংলাদেশকে জানল, চিনল এবং বুঝতে পারল সবজ শ্যামল প্রকৃতির কাদামাটির মতাে নরম বাঙালি প্রয়ােজনে কতটা ভয়ঙ্কর হয়ে উঠতে পারে। কোনাে সন্দেহ নেই, বাঙালি বর্ষাকালে যেমন কোমল, গ্রীষ্মে তেমনই রুক্ষ ও কঠিন। কে ভাবতে পেরেছিল, ‘ভেতাে বাঙালি' নামে অভিহিত, কাপুরুষ' পরিচয়ে পরিচিত বাঙালি জাতি। পাকিস্তান নামের অবাস্তব একটি রাষ্ট্রের জন্মের ছয় মাস। 
যেতে না যেতেই আত্মপরিচয় প্রতিষ্ঠায়, মাতৃভাষার অধিকার অর্জনে সােচ্চার হয়ে উঠবে? পৃথিবীতে এমন দৃষ্টান্ত বিরল যে শুধু ভাষার জন্য সংগ্রাম করে, স্বাধীনতা অর্জনের বীজটি বপন করে, ২৩ বছর অতিক্রান্ত হতে না হতেই একটি প্রদেশ স্বাধীন সার্বভৌম রাষ্ট্র হিসেবে আত্মপ্রকাশ করল । এর জন্য সেই প্রদেশের অধিবাসীদের সশস্ত্র যুদ্ধ করতে হয়েছে যুদ্ধবিদ্যায় পারদর্শী পাকিস্তানি সেনাদের বিরুদ্ধে; এবং অবিশ্বাস্য সত্য হচ্ছে, 'ভীরু, অলস, কর্মবিমুখ, কাপুরুষ, ভেতাে, যুদ্ধবিদ্যায় অনভিজ্ঞ এই বাঙালিই মাত্র নয় মাসে স্বাধীনতা ছিনিয়ে এনেছে। স্বাধীনতার জন্য প্রাণের আবেগ। যখন দুর্দমনীয় হয়ে ওঠে, তখন পৃথিবীর যত ভয়ঙ্কর। মারণাস্ত্রই ব্যবহার করা হােক না কেন, সেই আবেগের কাছে। তা তুচ্ছ হয়ে যায় । তার প্রমাণ আমরা পেয়েছি আমেরিকাভিয়েতনামের যুদ্ধে। বিশ্ববাসী সেই প্রমাণ পুনরায় প্রত্যক্ষ। করেছে ১৯৭১ সালে, বাঙালির মুক্তিযুদ্ধে। মুক্তিযুদ্ধকালে লিখিত চিঠিগুলাে শুধু লেখক-প্রাপকের। সম্পর্কে সীমাবদ্ধ নয়; যেন রক্ত দিয়ে রচিত এই কথামালা যেমন সবার সম্পদে পরিণত হয়, তেমনি পরিগণিত হবে। ইতিহাসের এক অনন্য সম্পদরূপে",একাত্তরের চিঠি,রণাঙ্গনে মুক্তিযোদ্ধারা, , ,প্রথমা প্রকাশন,9789848765005, , ,বাংলাদেশ,বাংলা
