Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
পশ্চিমবঙ্গ সাধারণ গ্রন্থগার আইন সহায়িকা (১২টি বই একত্রে),অরুণাভ দাস,"TK. 3,168","",https://rokomari.com//book/148418/poschimbongo-sadaron-gronthagar-ain-sahayika--12ti-boi-akotre-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/de7dc24a9_148418.gif,"""পশ্চিমবঙ্গ সাধারণ গ্রন্থগার আইন সহায়িকা (১২টি বই একত্রে)"" বইয়ের ফ্ল্যাপের লেখা:
স্বাধীনােত্তর পর্বে পশ্চিমবঙ্গের সাধারণ গ্রন্থাগারগুলিকে সময়ানুযায়ী দু’টি ভাগে করা যায়। ১৯৫৫ থেকে ১৯৭৯, এবং তারপর থেকে এখন পর্যন্ত। দ্বিতীয় পর্বটি খুবই গুরত্বপর্ণ। কারণ এই সময়েই পশ্চিমবঙ্গ সাধারণ গ্রন্থাগার আইন, ১৯৭৯ বিধিবদ্ধ হয়। অর্থাৎ সাধারণ গ্রন্থাগারগুলির এবং তার পরিষেবাসমূহের গুরত্ব স্বীকৃতি পায়। তবে, দুঃখের বিষয়, এই স্বীকৃতি যতটা কাগজে কলমে, ততটা প্রয়ােগে নয়। মনে হয় দুর্বল পরিকাঠামাে ও গ্রন্থাগারের কর্মীবৃন্দ এবং বিভিন্ন স্তরের পরিচালকবৃন্দের মধ্যে সমন্বয়ের অভাব এর একটা কারণ। হতে পারে। এই সময়ের অভাব, অন্তত কিছুটা পরিমাণে দূর করার প্রচেষ্টায় এই প্রকাশনা। এই খণ্ডে এক সাথে থাকছে গ্রন্থাগার আইন এবং পরিচালন বিধি সমূহ ও এ সম্পর্কিত আদেশ। এগুলি বিজ্ঞান সম্মতভাবে বিন্যস্ত করার চেষ্টা করা হয়েছে, যাতে সমস্ত শ্রেণীর পাঠকদের উদ্দেশ্যসাধন হয়। বইটিতে সাধারণ গ্রন্থাগার সম্পকে সরকারী ধ্যান-ধারণাকে ধরে রাখা হয়েছে, যা ভবিষ্যতে গ্রন্থাগারের ইতিহাস রচনার জন্য, উপাদানের আকর হিসাবে ব্যবহৃত হতে পারবে। যাঁরা গ্রন্থাগার নিয়ে কাজ করতে চান, ভাবতে চান, এ বই তাঁদের সবসময়ের সাথী হবার যােগ্য বলে মনে করি।",পশ্চিমবঙ্গ সাধারণ গ্রন্থগার আইন সহায়িকা (১২টি বই একত্রে),অরুণাভ দাস, , ,প্রভা প্রকাশনী (ভারত), , ,2120,ভারত,বাংলা
গ্রন্থাগার বিজ্ঞানী এস. আর. রঙ্গনাথন ও সংস্কৃত সাহিত্য,শ্যামসুন্দর কুণ্ডু,TK. 900,"",https://rokomari.com//book/148401/gronthagar-biggani-s-r-rongonathon-o-sangskrito-sahityo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9944fd2f9_148401.gif,"",গ্রন্থাগার বিজ্ঞানী এস. আর. রঙ্গনাথন ও সংস্কৃত সাহিত্য,শ্যামসুন্দর কুণ্ডু, , ,প্রভা প্রকাশনী (ভারত),9788192556116,"1st Published,2012",451,ভারত,বাংলা
গ্রন্থাগার ও তথ্যবিজ্ঞানের নির্বাচিত প্রশ্নোত্তর,তপন কুমার দেব,TK. 180,"",https://rokomari.com//book/148397/gronthagar-o-tothobigganer-nirbachito-prosnotor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/90fa897f6_148397.jpg,"",গ্রন্থাগার ও তথ্যবিজ্ঞানের নির্বাচিত প্রশ্নোত্তর,তপন কুমার দেব, , ,প্রভা প্রকাশনী (ভারত), ,"1st Published,2012",120,ভারত,বাংলা
"গ্রন্থাগার ও তথ্যবিজ্ঞান পরিচিতি ১ম, ২য় ও ৩য় খন্ড একত্রে (৩টি বই)",মোঃ মিজানুর রহমান,"TK. 1,980","",https://rokomari.com//book/148392/gronthagar-o-totthobiggan-poriciti-1st--2nd-and-3rd-ekotre--3ti-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bd7d61c18_148392.jpg,"","গ্রন্থাগার ও তথ্যবিজ্ঞান পরিচিতি ১ম,২য় ও ৩য় খন্ড একত্রে (৩টি বই)",মোঃ মিজানুর রহমান, , ,প্রভা প্রকাশনী (ভারত), ,"1st Published,2012",1540,ভারত,বাংলা
তথ্য প্রযুক্তি ও গ্রন্থগার ব্যবস্থা..,সুদীপ রঞ্জন হাটুয়া,TK. 720,"",https://rokomari.com//book/148417/totho-projukti-o-gronthagar-sahayika,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fdc130f27_148417.gif,"",তথ্য প্রযুক্তি ও গ্রন্থগার ব্যবস্থা..,সুদীপ রঞ্জন হাটুয়া, , ,প্রভা প্রকাশনী (ভারত),97893836581078,"1st Published,2014",556,ভারত,বাংলা
শব্দ ভান্ডার,জ্যোৎস্না দেবনাথ,TK. 630,"",https://rokomari.com//book/148419/shobdo-bhandar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8278d8763_148419.jpg,"",শব্দ ভান্ডার,জ্যোৎস্না দেবনাথ, , ,প্রভা প্রকাশনী (ভারত),8186964916,"2nd Published,2015",416,ভারত,বাংলা
প্রশ্ন উত্তরে গ্রন্থাগার ও তথ্যবিজ্ঞান শিক্ষা,মো: মিজানুর রহমান,TK. 720,"",https://rokomari.com//book/186951/proshno-uttore-gronthogar-o-totthobiggan-shikkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f7339d4aa_186951.jpg,"""প্রশ্ন উত্তরে গ্রন্থাগার ও তথ্যবিজ্ঞান শিক্ষা"" বইয়ের ফ্ল্যাপের লেখা:
সম্পতি গ্রন্থাগর ও তথ্যবিজ্ঞান বিষয়ের ব্যাপক জোয়ার লক্ষ্য করা যাচ্ছে। বিশেষ করে পশ্চিমবঙ্গের স্কুল সার্ভিস কমিশনের নিয়ােগ বিজ্ঞপ্তি প্রকাশ হয়ার পর বিষয়টি আরও ব্যাপকতা লাভ করেছে। কিন্তু সেই হিসেবে সাক্ষাৎকার পরীক্ষা দেওয়া মত বই তেমন একটা নেই বললেই চলে। জনাব রহমান বাংলাদেশে দীর্ঘদিন ধরে লিখে আসছেন, বাংলাদেশে সাক্ষাৎকার পরীক্ষার জন্য তার রচনা রয়েছে। বিএলআইএস ও স্কুল সার্ভিস কমিশনের সাক্ষাৎকার/লিখিত পরীক্ষার আদলে একটি রচনা তৈরী করার সুপারিশ করলে ৫৭ টি পরিচ্ছেদে ৫টি অধ্যায়ে প্রায় ৫০০ পৃষ্ঠায় তিনি পুস্তকটি উপস্থাপন করেছেন। লেখক যে উদ্যেগ গ্রহণ করেছেন তা শিক্ষার্থী, চাকুরীপ্রার্থী ও পেশাজীবীদের কাছে পুস্তকটি একটি হ্যান্ডবুক হিসেবে ব্যাপক প্রভাব ফেলবে বলে আশা করা যাচ্ছে।",প্রশ্ন উত্তরে গ্রন্থাগার ও তথ্যবিজ্ঞান শিক্ষা,মো: মিজানুর রহমান, , ,প্রভা প্রকাশনী (ভারত),9843219961,"1st Publication,2010",500,ভারত,বাংলা
গ্রামীণ ঐতিহাসিকের ঝলক,প্রবাল কান্তি হাজরা,TK. 270,"",https://rokomari.com//book/148360/grameen-aoithihasiker-jholok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গ্রামীণ ঐতিহাসিকের ঝলক,প্রবাল কান্তি হাজরা, , ,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
পার্থিব আকর্ষণ,সুশীল কুমার চাকী,TK. 144,"",https://rokomari.com//book/148361/parthib-akorshon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পার্থিব আকর্ষণ,সুশীল কুমার চাকী, , ,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
বঙ্গে শারদোৎসব ও ব্যতিক্রমী দুর্গাপূজা,শিবশংকর ঘোষ,TK. 54,"",https://rokomari.com//book/148362/bonghe--sharodothsob-o-baticromi-durgapuja,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বঙ্গে শারদোৎসব ও ব্যতিক্রমী দুর্গাপূজা,শিবশংকর ঘোষ, , ,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
অনুভূতিতে শ্রীজগন্নাথ,পীতবাস রাউতরায়,TK. 180,"",https://rokomari.com//book/148363/onuvutite-sri-jagonnath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অনুভূতিতে শ্রীজগন্নাথ,পীতবাস রাউতরায়, , ,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
রাঢ়ের বৈষ্ণব তীর্থ পরিক্রমা,বঙ্কিমচন্দ্র ঘোষ,TK. 540,"",https://rokomari.com//book/148364/rarer-boishnob-tirtho-poricroma,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রাঢ়ের বৈষ্ণব তীর্থ পরিক্রমা,বঙ্কিমচন্দ্র ঘোষ, , ,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
অন্য চোখে,বৃহস্পতি মন্ডল,TK. 180,"",https://rokomari.com//book/148365/onno-chokhe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অন্য চোখে,বৃহস্পতি মন্ডল, , ,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
পশ্চিমবঙ্গ সাধারন গ্রন্থাগার সহায়িকা সরকারী আদেশাবলী,অরুণাভ দাস,TK. 144,"",https://rokomari.com//book/148366/poschimbongo-sadaron-gronthagar-sahayika-sorkari-adeshaboli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পশ্চিমবঙ্গ সাধারন গ্রন্থাগার সহায়িকা সরকারী আদেশাবলী, , ,অরুণাভ দাস,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
অন্তবিহীন পথ,শক্তিপদ রাজগুরু,TK. 360,"",https://rokomari.com//book/148367/antobihin-poth,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অন্তবিহীন পথ,শক্তিপদ রাজগুরু, , ,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
তরঙ্গের পর,হরিনারায়ণ চট্টোপাধ্যায়,TK. 180,"",https://rokomari.com//book/148368/toronger-por,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তরঙ্গের পর,হরিনারায়ণ চট্টোপাধ্যায়, , ,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
উত্তর চব্বিশ পরগনার সেকাল একাল ১ম খণ্ড,কানাই পদ রায়,TK. 360,"",https://rokomari.com//book/148369/uttor-chobbish-pargonar-sekal--1st-part-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",উত্তর চব্বিশ পরগনার সেকাল একাল ১ম খণ্ড, , ,কানাই পদ রায়,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
জলপাইগুড়ি জেলার অ থেকে চন্দ্রবিন্দু,অলোক কুমার সরকার,TK. 144,"",https://rokomari.com//book/148370/jolpaiguri-jelar-o-theke-chondrobindo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জলপাইগুড়ি জেলার অ থেকে চন্দ্রবিন্দু,অলোক কুমার সরকার, , ,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
উত্তর চব্বিশ পরগনার সেকাল একাল ৬ষ্ঠ খণ্ড,কানাই পদ রায়,TK. 540,"",https://rokomari.com//book/148371/uttor-chobbish-pargonar-sekal--6th-part-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",উত্তর চব্বিশ পরগনার সেকাল একাল ৬ষ্ঠ খণ্ড, , ,কানাই পদ রায়,প্রভা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
