Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Sherlock Holmes (5 Set Books),স্যার আর্থার কোনান ডয়েল,TK. 891,"",https://rokomari.com//book/166379/sherlock-holmes--5-set-books-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d65cc8c83_166379.jpg,"",Sherlock Holmes (5 Set Books),Sir Arthur Connan Doyle, , ,Pustak Mahal,9788122313215,"1st Edition,2012",912,India,English
Complete Skills for IELTS (With 2 CDs),কলিন এডিটরিয়াল,TK. 850,"",https://rokomari.com//book/154201/complete-skills-for-ielts--with-2-cds-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/feaeae29c_154201.jpg,"",Complete Skills for IELTS (With 2 CDs),Collins Editorial, , ,Pustak Mahal,9780007916023,"1st Edition,2012",576,USA,English
2000 English Phrases and Sentences,কর্নেল রাজেভ মঙ্গিয়া,TK. 216,"",https://rokomari.com//book/119298/2000-english-phrases-and-sentences,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f5ec1f546_119298.jpg,"",2000 English Phrases and Sentences,COLONEL RAJEEV MONGIA, , ,Pustak Mahal,9788122308594,"1st Edition,2008",126,India,English
"Truly, Madly, Deeply",ফারাজ কাজী,TK. 270,"",https://rokomari.com//book/118445/truly--madly--deeply,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ced00eaaa0a4_118445.gif,"","Truly,Madly,Deeply",Faraaz Kazi, , ,Pustak Mahal,9788122311648,"1st Edition,2010",303,India,English
World Famous CEO's and Their Business Mantras,ভাইকাস খাতরি,TK. 216,"",https://rokomari.com//book/163265/world-famous-ceo-s-and-their-business-mantras,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c155d1d67_163265.jpg,"",World Famous CEO's and Their Business Mantras,Vikas Khatri, , ,Pustak Mahal,9788122313222,"1st Edition,2012",152,India,English
Secrets of Mind Power,হ্যারি লোরায়নি,TK. 612,"",https://rokomari.com//book/161920/secrets-of-mind-power,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/24d33a276_161920.jpg,"",Secrets of Mind Power,Harry Lorayne, , ,Pustak Mahal,9788122300604,"New edition,2004",184,India,English
101 Stories Behind the Origin of Everyday Things (FAL),সীমা গুপ্তা,TK. 180,"",https://rokomari.com//book/171027/101-stories-behind-the-origin-of-everyday-things--fal-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8dc35fa84_171027.jpg,"",101 Stories Behind the Origin of Everyday Things (FAL),Seema Gupta, , ,Pustak Mahal,9788122309096,"1st Edition,2013",140,India,English
Set-Children Knowledge Bank,পুস্তক মহল,"TK. 1,404","",https://rokomari.com//book/150638/set-children-knowledge-bank,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5fcb02c5a_150638.jpg,"",Set-Children Knowledge Bank,Pustak Mahal, , ,Pustak Mahal,9788122313543,"1st Edition,2012",816,India,English
Rapidex - English to Punjabi and Hindi Dictionary with Usages ,পুস্তক মহাল এডিটোরিয়াল বোর্ড,TK. 446,"",https://rokomari.com//book/151147/rapidex---english-to-punjabi-and-hindi-dictionary-with-usages,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/00dbc5832_151147.jpg,"",Rapidex - English to Punjabi and Hindi Dictionary with Usages,Pustak Mahal Editorial Board, , ,Pustak Mahal,9788122314984,"1st Edition,2014",696,India,English
Government Officials To Master Noting and Draftin ,এম. কে. আগারওয়াল,TK. 432,"",https://rokomari.com//book/151151/government-officials-to-master-noting-and-draftin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b95125c75_151151.jpg,"",Government Officials To Master Noting and Draftin,M. K. Agarwal, , ,Pustak Mahal,9788122309843,"1st Edition,2008",206,India,English
Rapidex English Speaking Course,আর. কে. গুপ্ত,"TK. 2,893","",https://rokomari.com//book/145439/rapidex-english-speaking-course,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bb33f946d_145439.jpg,"",Rapidex English Speaking Course,R. K. Gupta, , ,Pustak Mahal,9788122300253,"Revised Edition,2002",456,India,English
