Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
স্মৃতির পাতা থেকে,দোলন কান্তি দত্ত,TK. 130,TK. 114,https://rokomari.com//book/98272/smritir-pata-theke,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150322_98272.gif,"",স্মৃতির পাতা থেকে,দোলন কান্তি দত্ত, , ,পূর্বা প্রকাশনী,9789849092766,"1st Published,2015",48,বাংলাদেশ,বাংলা
ও যেন কি বলতে চেয়ছিল,শৌর্য দীপ্ত সূর্য,TK. 120,TK. 106,https://rokomari.com//book/97605/o-jeno-ki-bolte-cheyechilo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150302_97605.gif,"",ও যেন কি বলতে চেয়ছিল,শৌর্য দীপ্ত সূর্য, , ,পূর্বা প্রকাশনী,9789849052067,"1st Published,2013",47,বাংলাদেশ,বাংলা
ছিন্নলতা,মঞ্জরুল ইসলাম,TK. 100,TK. 90,https://rokomari.com//book/97588/chinnolota,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b1a6f93d6_97588.jpg,"",ছিন্নলতা,মঞ্জরুল ইসলাম, , ,পূর্বা প্রকাশনী, ,"1st Published,2009",64,বাংলাদেশ,বাংলা
বিড়াল আর মাছ খাবে না,আরতি প্রভা বণিক,TK. 100,TK. 90,https://rokomari.com//book/96241/biral-r-mach-khabe-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c6f19f2c1_96241.jpg,"",বিড়াল আর মাছ খাবে না,আরতি প্রভা বণিক, , ,পূর্বা প্রকাশনী,9789849092803,"1st Published,2015",48,বাংলাদেশ,বাংলা
জলের ছায়া,মঞ্জুরুল ইসলাম ছোটন,TK. 150,TK. 132,https://rokomari.com//book/97607/joler-chaya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c18348aa1_97607.jpg,"",জলের ছায়া,মঞ্জুরুল ইসলাম ছোটন, , ,পূর্বা প্রকাশনী,9789843348296,"1st Published,2012",80,বাংলাদেশ,বাংলা
মৃন্ময়,মঞ্জুরুল ইসলাম ছোটন,TK. 150,TK. 132,https://rokomari.com//book/97601/mrinmoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a7217161c_97601.jpg,"",মৃন্ময়,মঞ্জুরুল ইসলাম ছোটন, , ,পূর্বা প্রকাশনী,9789849052128,"1st Published,2013",72,বাংলাদেশ,বাংলা
মহাসংগ্রাম,মোঃ নাসিম শিকদার,TK. 160,TK. 141,https://rokomari.com//book/97663/mohasangram,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b13edae6b_97663.jpg,"",মহাসংগ্রাম,মোঃ নাসিম শিকদার, , ,পূর্বা প্রকাশনী,9789849092735,"1st Published,2014",64,বাংলাদেশ,বাংলা
প্রার্থনায় হোক শুরু,পংকজ সূত্রধর,TK. 130,TK. 114,https://rokomari.com//book/97270/prarthonay-hok-shuru,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150302_97270.gif,"",প্রার্থনায় হোক শুরু,পংকজ সূত্রধর, , ,পূর্বা প্রকাশনী,9789849092872,"1st Published,2015",40,বাংলাদেশ,বাংলা
বুকের ভেতর ময়ূরের শব,বাদল আশরাফ,TK. 100,TK. 90,https://rokomari.com//book/97580/buker-vetor-moyurer-shob,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150302_97580.gif,"",বুকের ভেতর ময়ূরের শব,বাদল আশরাফ, , ,পূর্বা প্রকাশনী,9789843345196,"1st Published,2012",48,বাংলাদেশ,বাংলা
শেষ যুদ্ধের ডাক দিয়ে যাই ,এস.এম. আব্রাহাম লিংকন ,TK. 100,TK. 90,https://rokomari.com//book/12473/shesh-juddher-dak-diye-jai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/800d7ab1e_12473.jpg,"",শেষ যুদ্ধের ডাক দিয়ে যাই,এস.এম. আব্রাহাম লিংকন, , ,পূর্বা প্রকাশনী,9789843345219,"1st Published,2012",48,বাংলাদেশ,বাংলা
অনন্তের হাওয়া,অনুপম কুমার সরকার,TK. 120,TK. 106,https://rokomari.com//book/97609/anonter-haoya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150302_97609.gif,"",অনন্তের হাওয়া,অনুপম কুমার সরকার, , ,পূর্বা প্রকাশনী,9789843348319,"1st Published,2012",47,বাংলাদেশ,বাংলা
অন্ধকার পথে জল-কাদার সং,অ্যাডভোকেট জাহাঙ্গীর আলম সরকার,TK. 100,TK. 90,https://rokomari.com//book/97629/andhokar-pothe-jol-kadar-shong,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150302_97629.gif,"",অন্ধকার পথে জল-কাদার সং,অ্যাডভোকেট জাহাঙ্গীর আলম সরকার, , ,পূর্বা প্রকাশনী,9789849052036,"1st Published,2013",48,বাংলাদেশ,বাংলা
ফ্রেমহীন জানালা,এ. এস. এম. হাবিবুর রহমান,TK. 120,TK. 106,https://rokomari.com//book/97602/framehin-janala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150302_97602.gif,"",ফ্রেমহীন জানালা,এ. এস. এম. হাবিবুর রহমান, , ,পূর্বা প্রকাশনী,9789849052029,"1st Published,2013",48,বাংলাদেশ,বাংলা
প্রেমপুরাণ,কমলা কান্ত বর্মন,TK. 120,TK. 106,https://rokomari.com//book/96248/prempuran,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150221_96248.gif,"",প্রেমপুরাণ,কমলা কান্ত বর্মন, , ,পূর্বা প্রকাশনী,9789849092759,"1st Published,2014",48,বাংলাদেশ,বাংলা
রুপালী কফিন,শওকত জাহিদ,TK. 150,TK. 132,https://rokomari.com//book/180830/rupali-kofin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6d0dceb5f_180830.jpg,"""রুপালি কফিন"" বইয়ের ফ্ল্যাপ থেকে নেওয়া
যাপিত জীবনের বাস্তব সত্য পংক্তিতে উঠে আসে যখন, তখন কবিতাও জীবন্ত হয়ে ওঠে, পাঠকের সাথে ঘটে আন্তরিক সংযােগ। ‘রুপালি কফিন' গ্রন্থেও তেমনি উঠে এসেছে কবির জীবনের বাস্তব উপলব্ধির নানা ক্ষেত্র। জীবন শুধু সুখময় নয়, বরং প্রতিনিয়ত দুঃখকে সাথী করে সামনে এগুতে হয়, সেই কথাই কবি বলেছেন কবিতায় সহজ ভঙ্গিতে, কখনাে-বা প্রতীকীভাবে। কাব্যে প্রকৃতিই হয়ে উঠেছে তার প্রধান আশ্রয় । তবে অলঙ্কার ব্যবহারে কবি যতটা না সচেতন ছিলেন, তারচেয়ে বেশি সচেতন ছিলেন নিজের ভাবকে নির্মোহভাবে ফুটিয়ে তুলতে। তাই কবিতায় কবির যে অভিব্যক্তি পাঠকের কাছে তা দুর্বোধ্য মনে হয় না। আর এখানেই কবির সার্থকতা।",রুপালী কফিন,শওকত জাহিদ, , ,পূর্বা প্রকাশনী,9789849216261,"1st Published,2019",108,বাংলাদেশ,বাংলা
মাতৃভূমির জন্য পঙ্‌ক্তিমালা,জুয়েল রুহানী,TK. 130,TK. 114,https://rokomari.com//book/112020/matribhumir-jonno-pongktimala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0a87da026754_112020.gif,"",মাতৃভূমির জন্য পঙ্‌ক্তিমালা,জুয়েল রুহানী, , ,পূর্বা প্রকাশনী,9789849216049,"1st Published,2016",48,বাংলাদেশ,বাংলা
কাঠ পোকাদের দখলে নিরবতার আশ্রম,বাদল সাহা শোভন,TK. 160,TK. 141,https://rokomari.com//book/97591/kath-pokader-dokhole-nirobotar-ashrom,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150302_97591.gif,"",কাঠ পোকাদের দখলে নিরবতার আশ্রম, , ,বাদল সাহা শোভন,পূর্বা প্রকাশনী, ,"1st Published,2011",128,বাংলাদেশ,বাংলা
আঁধারে কান্না হাসে,আনিছুর রহমান,TK. 150,TK. 132,https://rokomari.com//book/96240/adhare-kanna-hase,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150221_96240.gif,"",আঁধারে কান্না হাসে,আনিছুর রহমান, , ,পূর্বা প্রকাশনী,9789849092797,"1st Published,2015",79,বাংলাদেশ,বাংলা
বৃষ্টিবিলাপ অথবা জল উৎসবের গল্প,রাজু রহমান দুলু,TK. 130,TK. 114,https://rokomari.com//book/96239/brishtibilap-athoba-jol-utsober-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150221_96239.gif,"",বৃষ্টিবিলাপ অথবা জল উৎসবের গল্প,রাজু রহমান দুলু, , ,পূর্বা প্রকাশনী,9789849092827,"1st Published,2015",48,বাংলাদেশ,বাংলা
