Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
গবেষণা সিরিজ - ১৯ : প্রচলিত হাদীস শান্ত্রে সহীহ হাদীস বলতে নির্ভূল হাদীস বুঝায় কি?,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান,TK. 50,TK. 38,https://rokomari.com//book/50426/gobesona-series--19---procelito-hadith-shasra-sohiho-hadith-bolta-nirbul-hadith-bujay-ki-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/382d5f80a244_50426.jpg,"",গবেষণা সিরিজ - ১৯ : প্রচলিত হাদীস শান্ত্রে সহীহ হাদীস বলতে নির্ভূল হাদীস বুঝায় কি?,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান, , ,কুরআন রিসার্চ ফাউণ্ডেশন, ,"3rd Edition,2016",80,বাংলাদেশ,বাংলা
গবেষণা সিরিজ - ২১ :  অন্ধ অনুসরণ সকলের জন্যে কুফরী বা শিরক নয় কি?,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান,TK. 50,TK. 38,https://rokomari.com//book/50413/gobesona-series--21---ondho-onusoron-sokoler-jonne-kupori-ba-sehrok-noy-ki-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150827_50413.gif,"",গবেষণা সিরিজ - ২১ :  অন্ধ অনুসরণ সকলের জন্যে কুফরী বা শিরক নয় কি?,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান, , ,কুরআন রিসার্চ ফাউণ্ডেশন, ,"3rd Edition,2016",70,বাংলাদেশ,বাংলা
আল-কুরআনে বহুল ব্যবহৃত ২০০ শব্দের সংক্ষিপ্ত অভিধান,কুরআন রিসার্চ ফাউণ্ডেশন,TK. 60,TK. 45,https://rokomari.com//book/193906/al-qurane-bohul-byborito-200-shobder-songkhipto-ovidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/601ea68df_193906.jpg,"",আল-কুরআনে বহুল ব্যবহৃত ২০০ শব্দের সংক্ষিপ্ত অভিধান, , ,কুরআন রিসার্চ ফাউণ্ডেশন,কুরআন রিসার্চ ফাউণ্ডেশন, ,"3rd Edition,2018",54,বাংলাদেশ,বাংলা
তাকদীর (ভাগ্য!) পূর্ব নির্ধারিত তথ্যটির প্রচলিত ও প্রকৃত ব্যাখ্যা,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান,TK. 70,TK. 49,https://rokomari.com//book/50428/takdir--vaggo---purbo-nidarito-tothotir-procelito-o-prokrito-bakkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f96ad1d2f_50428.jpg,"",তাকদীর (ভাগ্য!) পূর্ব নির্ধারিত তথ্যটির প্রচলিত ও প্রকৃত ব্যাখ্যা,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান, , ,কুরআন রিসার্চ ফাউণ্ডেশন, ,"6th Edition,2018",67,বাংলাদেশ,বাংলা
কুরআনিক আরবী গ্রামার -১ম খণ্ড,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান,TK. 380,TK. 285,https://rokomari.com//book/193909/quranik-arabi-grammar--1st-khondo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/420f8dfcc_193909.jpg,"",কুরআনিক আরবী গ্রামার -১ম খণ্ড,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান, , ,Quran Reserch Foundation, ,"1st Published,2018",216,Bangladesh,Bangla & Arabic
গবেষণা সিরিজ - ৩ : নামাজ কেন আজ ব্যর্থ হচ্ছে,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান,TK. 72,TK. 47,https://rokomari.com//book/50404/gobesona-series--3---namaj-kano-aj-bartho-hocca,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1f8ac52edd54_50404.jpg,"",গবেষণা সিরিজ - ৩ : নামাজ কেন আজ ব্যর্থ হচ্ছে,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান, , ,কুরআন রিসার্চ ফাউণ্ডেশন, ,"9th Edition,2012",78,বাংলাদেশ,বাংলা
গবেষণা সিরিজ - ২৪ : আল্লাহর ইচ্ছায় সবকিছু হয় তথ্যটির প্রচলিত ও প্রকৃত ব্যাখ্যা,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান,TK. 72,TK. 44,https://rokomari.com//book/50420/gobesona-series---24---allahr-eccay-sobkisu-hoy-tothotir-prolito-o-prokrito-bakkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150827_50420.gif,"",গবেষণা সিরিজ - ২৪ : আল্লাহর ইচ্ছায় সবকিছু হয় তথ্যটির প্রচলিত ও প্রকৃত ব্যাখ্যা,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান, , ,কুরআন রিসার্চ ফাউণ্ডেশন, ,"3rd Edition,2015",64,বাংলাদেশ,বাংলা
গবেষণা সিরিজ - ১ : মানুষ সৃষ্টির উদ্দেশ্য,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান,TK. 72,TK. 44,https://rokomari.com//book/50403/gobesona-series--1---manush-sherster-uddesho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c2e42f5c0eb4_50403.jpg,"এই বইটি আলাদা বিক্রিযোগ্য নহে, প্রফেসর ডাঃ মোঃ মতিয়ার রহমান কালেকশন টি নিতে অর্ডার করুণ : 
http://www.rokomari.com/book/67839",গবেষণা সিরিজ - ১ : মানুষ সৃষ্টির উদ্দেশ্য,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান, , ,কুরআন রিসার্চ ফাউণ্ডেশন, ,"9th Edition,2012",62,বাংলাদেশ,বাংলা
আল কুরআন যুগের জ্ঞানের আলোকে অনুবাদ (আরবি ও বাংলা),মাওলানা মুহাম্মদ মুজিবুর রহমান,TK. 595,TK. 506,https://rokomari.com//book/100601/al-quran-juger-gaaner-aloke-onubad--arabi-o-bangla-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150601_100601.gif,"",আল কুরআন যুগের জ্ঞানের আলোকে অনুবাদ (আরবি ও বাংলা), , ,"মাওলানা মুহাম্মদ মুজিবুর রহমান,মাওলানা আবদুল খালেক,অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া,ড. খ ম আব্দুর রাজ্জাক,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান,মাওলানা জিয়াউর রহমান ফারুকী রহ.,মাওলানা সরোয়ার হোসেন,অধ্যাপক মাওলানা আবদুজ জাহের মাহ্‌মুদ,প্রফেসর ড. ইঞ্জিঃ মোঃ কামরুল আহসান,এ টি এম আতাউর রহমান,ডাঃ আবদুল মোতালেব মতিন,ডাঃ মোঃ মনির হোসেন",Quran Reserch Foundation,9789843368706,"1st Published,2014",723,Bangladesh,Bangla & Arabic
গবেষণা সিরিজ - ৩০ : যে গভীর ষড়যন্ত্রের মাধ্যমে মুসলিম জাতি এবং বিশ্বমানবতার মূল জ্ঞানে ভুল ঢোকানো হয়েছে,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান,TK. 70,TK. 49,https://rokomari.com//book/50406/gobesona-series--30---ja-gover-sorojontrer-maddome-muslim-jati-abong-bissomanobotar-mul-gane-vhul-dokano-hoyace,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/88742a96da14_50406.jpg,"",গবেষণা সিরিজ - ৩০ : যে গভীর ষড়যন্ত্রের মাধ্যমে মুসলিম জাতি এবং বিশ্বমানবতার মূল জ্ঞানে ভুল ঢোকানো হয়েছে,প্রফেসর ডাঃ মোঃ মতিয়ার রহমান, , ,কুরআন রিসার্চ ফাউণ্ডেশন, ,"2nd Editon,2014",66,বাংলাদেশ,বাংলা
