Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
জাতির জনক বঙ্গবন্ধু,ওমরগণি,TK. 120,TK. 90,https://rokomari.com//book/201444/jatir-jonok-bangabandhu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5e12c9507_201444.JPG,"",জাতির জনক বঙ্গবন্ধু,ওমরগণি, , ,রাদিয়া প্রকাশন,9789849436997,"1st Published,2020", ,বাংলাদেশ,বাংলা
নাশরাহ্‌ ও চড়ুইছানা,সৈয়দা সেলিমা আক্তার,TK. 70,TK. 49,https://rokomari.com//book/206699/nashorah-o-choruichana,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2d28aa56e_206699.jpg,"",নাশরাহ্‌ ও চড়ুইছানা,সৈয়দা সেলিমা আক্তার, , ,রাদিয়া প্রকাশন,9789849437079,"1st Published,2020", ,বাংলাদেশ,বাংলা
প্রেমের ছড়া,গোফরান উদ্দীন টিটু,TK. 120,TK. 84,https://rokomari.com//book/201492/premer-chora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b92e657d1_201492.jpg,"",প্রেমের ছড়া,গোফরান উদ্দীন টিটু, , ,রাদিয়া প্রকাশন,9789843327807,"1st Published,2019", ,বাংলাদেশ,বাংলা
প্রিয়দর্শিনীর জন্য ভালোবাসা,গোফরান উদ্দীন টিটু,TK. 120,TK. 84,https://rokomari.com//book/201494/priyodarshinir-jonno-valobasa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4514d9c8f_201494.jpg,"",প্রিয়দর্শিনীর জন্য ভালোবাসা,গোফরান উদ্দীন টিটু, , ,রাদিয়া প্রকাশন,9789843327806,"1st Published,2017", ,বাংলাদেশ,বাংলা
হাবুলদার বুদ্ধি,গোফরান উদ্দীন টিটু,TK. 70,TK. 49,https://rokomari.com//book/206927/habuldar-buddhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/aae49e3c5_206927.jpg,"",হাবুলদার বুদ্ধি,গোফরান উদ্দীন টিটু, , ,রাদিয়া প্রকাশন,9789849437086,"1st Published,2020", ,বাংলাদেশ,বাংলা
কুসুমে কুসুমে চরণচিহ্ন,এলিজাবেথ আরিফা মুবাশশিরা,TK. 250,TK. 175,https://rokomari.com//book/201438/kusume-kusume-choronchinho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/41f394f21_201438.JPG,"",কুসুমে কুসুমে চরণচিহ্ন,এলিজাবেথ আরিফা মুবাশশিরা, , ,রাদিয়া প্রকাশন,9789849437000,"1st Published,2020", ,বাংলাদেশ,বাংলা
ডিজিটাল প্রেম,রঞ্জনা বড়ুয়া,TK. 150,TK. 105,https://rokomari.com//book/201439/digital-prem,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0e7c07b14_201439.JPG,"",ডিজিটাল প্রেম,রঞ্জনা বড়ুয়া, , ,রাদিয়া প্রকাশন,9789849436904,"1st Published,2020", ,বাংলাদেশ,বাংলা
মাউন্ট অফ লাইট,ডা. কায়সার ইকবাল,TK. 120,TK. 84,https://rokomari.com//book/201440/mount-of-light,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/228b938cc_201440.JPG,"",মাউন্ট অফ লাইট,ডা. কায়সার ইকবাল, , ,রাদিয়া প্রকাশন,9789849437024,"1st Published,2020", ,বাংলাদেশ,বাংলা
নজর আলীর সাতকাহন,জিনাত আজম,TK. 200,TK. 140,https://rokomari.com//book/201441/najar-alir-satkahan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7ee73a1ae_201441.JPG,"",নজর আলীর সাতকাহন,জিনাত আজম, , ,রাদিয়া প্রকাশন,9789849437017,"1st Published,2020", ,বাংলাদেশ,বাংলা
আয় রে খুকু,সৈয়দা সেলিমা আক্তার,TK. 150,TK. 105,https://rokomari.com//book/201442/ai-re-khuku,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/43102f37d_201442.JPG,"",আয় রে খুকু,সৈয়দা সেলিমা আক্তার, , ,রাদিয়া প্রকাশন,9789849436948,"1st Published,2020", ,বাংলাদেশ,বাংলা
