Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
অচেনা অন্ধকার,শেখ আবদুল হাকিম,TK. 200,TK. 176,https://rokomari.com//book/195874/ochena-ondhokar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9d6aef6c1_195874.jpg,"‘স্যার, না! স্যার, না!’ ধরা পড়ে গিয়ে দরদর করে ঘামছেন হাসান। স্যার, আমি বিশ্বাস করি, আপনার প্রতি সত্যি আমার অগাধ আস্থা...'
সরাসরি সহযােগীর চোখের দিকে তাকালেন রায়হান চৌধুরি, কিছুটা সময় নিয়ে বললেন: ‘আমি কী বলতে চাইছি সেটা কি বুঝতে পারছ তুমি?' হাসান নির্বাক। এসব মহাজাগতিক ব্যাপার নিয়ে গবেষণা করা অনেক আগেই ছেড়ে দিয়েছেন তিনি। কাউকে বলেননি...তবে তাঁর মনে হয়েছে এসব। ব্যাপার নিয়ে গবেষণা করলে ঘাড়ের ওপর তার ছােট্ট যে মাথাটা আছে যে কোনাে সময় বিগড়ে যেতে পারে সেটা।",অচেনা অন্ধকার,শেখ আবদুল হাকিম, , ,রাবেয়া বুকস্,9789848014363,"1st Published,2020",126,বাংলাদেশ,বাংলা
স্বপ্নচর,এ হুসাইন মিন্টু,TK. 150,TK. 132,https://rokomari.com//book/92873/shopnochor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/88be5815e_92873.jpg,"",স্বপ্নচর,এ হুসাইন মিন্টু, , ,রাবেয়া বুকস্,984701640050X,"1st Published,2015",128,বাংলাদেশ,বাংলা
আবৃত্তির রবীন্দ্রনাথ,ড. নীরদবরণ হাজরা,TK. 400,TK. 340,https://rokomari.com//book/196688/abrittir-rabindranath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a8f9c430d_196688.jpg,"",আবৃত্তির রবীন্দ্রনাথ,ড. নীরদবরণ হাজরা, , ,রাবেয়া বুকস্,9789848014257,"1st Published,2020",384,বাংলাদেশ,বাংলা
এই হাতে হাত রাখো,আব্দুল কাদের পলাশ,TK. 100,TK. 90,https://rokomari.com//book/197794/ei-hate-hat-rakho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8b64aca0f_197794.jpg,"",এই হাতে হাত রাখো,আব্দুল কাদের পলাশ, , ,রাবেয়া বুকস্,9789848014295,"1st Published,2020",40,বাংলাদেশ,বাংলা
মজার জিনিস বানাতে শিখি,ভবেশ রায়,TK. 150,TK. 132,https://rokomari.com//book/53742/mojar-jinis-banate-shikhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1410_53742.gif,"সূচি
* ম্যাজিক ছবি তৈরি
* আয়না তৈরি করা
* কাগজ তৈরি করা
* পাখির জন্য খাবার তৈরি
* মেয়েলি চুড়ি তৈরি করা
* বোতল বাগান তৈরি করা
* মাছ ধরার খেলা
* ছবির ফ্রেম তৈরি করা
* ফটো অ্যালবাম তৈরি
* গাড়ি তৈরি করা
* পাল তোলা নৌকো বানানো
* আউট কার্ড তৈরি করা
* বন্ধুর জন্মদিনের গিফ্ট ব্যাগ তৈরি করা
* গিফট বক্স তৈরি
* লেটার র‌্যাক বা পত্রদানি তৈরি
* ফুলদানি কার্ড তৈরি করা
* কাগজের ফুল তৈরি করা
* ফুলের টব সাজানো
* শুকনো ফুলের টব তৈরি
* চ্যাপ্টা ফুল তৈরি করা
* পেপারওেয়েট বানানো
* বিস্কুট র‌্যাক বা তাকিয়া বানানো
* ডিমদানি বানানো
* কলমদানি তৈরি করা
* প্লেট গার্ডেন তৈরি করা
* কসমেটিক বাক্স তৈরি করা
* কাপড়ের তৈরি পুতুল
* পুতুলের ঘর তৈরি করা
* ডল-পুতুলের খাট পালঙ্ক
* লাটাই পুতুল তৈরি করা
* থিয়েটার হল বানানো
* গহনার বাক্স তৈরি করা
* মাটির ব্যাংক তৈরি করা
* টেবিল ঝুড়ি তৈরি করা
* ড্রয়ার বা দেরাজ তৈরি করা
* খেলনা সাপ তৈরি করা
* অ্যাকুরিয়াম তৈরি করা
* দাবার ছক ও ঘুটে তৈরি করা
* ‘ফু’ বল খেলা
* বাক্স সাজানো",মজার জিনিস বানাতে শিখি,ভবেশ রায়, , ,রাবেয়া বুকস্,978701660001,"3rd Print,2012",128,বাংলাদেশ,বাংলা
বিশ্ব প্রামাণ্য ঐতিহ্যে বঙ্গবন্ধুর ভাষণ,শেখ হাসিনা,TK. 500,TK. 425,https://rokomari.com//book/168042/bishwo-pramanyo-oitijyo-bongobondhur-vashon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/01950b41d_168042.jpg,"",বিশ্ব প্রামাণ্য ঐতিহ্যে বঙ্গবন্ধুর ভাষণ,শেখ হাসিনা, , ,রাবেয়া বুকস্,9789848014288,"1st Published,2018",352,বাংলাদেশ,বাংলা
মু্ক্তিযুদ্ধের ১৬ জন সেক্টর কমান্ডার,সাহাদত হোসেন খান,TK. 500,TK. 425,https://rokomari.com//book/111055/muktijuddher-sholo-jon-sector-commander,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e28295cef4c4_111055.gif,"",মু্ক্তিযুদ্ধের ১৬ জন সেক্টর কমান্ডার,সাহাদত হোসেন খান, , ,রাবেয়া বুকস্,984701640078X,"2nd Edition,2017",488,বাংলাদেশ,বাংলা
একাত্তরের যুদ্ধে বঙ্গবন্ধু পাকিস্তান ভারত ও বাংলাদেশ,দেবদুলাল বন্দ্যোপাধ্যায়,TK. 250,TK. 213,https://rokomari.com//book/53773/akattorer-judho-bangbandhu-pakisthan-varot-o-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1410_53773.GIF,"সূচিপত্র
* না চাইলেও যুদ্ধ হতে পারে : পান্নালাল দাশগুপ্ত
* রাজনৈতিক সমাধান অনেকেই চান কিন্তু কীভাবে? : বরুণ সেনগুপ্ত
* দুইযুদ্ধ, এক যুদ্ধ, সীমাবদ্ধ না সার্বিকযুদ্ধ? : পান্নালাল দাশগুপ্ত
* ইয়াহিয়া আর এক ধাপ এগিয়ে যেতে পারেন : শংকর ঘোষ
* যুদ্ধ অথচ যুদ্ধ নয়, আসলে কী ঘটছে : আবদুল গাফফার চৌধুরী
* আর দেরি নয়, যা করবার এখনই স্থির করতে হবে : বরুণ সেনগুপ্ত
* পূর্বখণ্ডে পাকিস্তানের মতলব কী : বরুণ সেনগুপ্ত
* বাংলাদেশের স্বাধীনতার আগে যুদ্ধবিরতি নয় : শংকর ঘোষ
* কেন ব্যর্থ হল পাকিস্তানের অতর্কিত বিমান হানা : প্রফুল চন্দ
* মুক্তিযুদ্ধ নিছক দুর্গদখরের লড়াই নয় : আবদুল গাফফার চৌধুরী
* আমেরিকা কি রাশিয়ার হুঁশিয়ারি লংঘন করবে : রণজিৎ রায়
* কোন ভারত ঠিক এই মুহূর্তে বাংলাদেশকে স্বীকৃতি দিল? বরুণ রায়
* আদর্শ নয়, স্বার্থ বাংলাদেশ প্রশ্নে চীনের এই ভূমিকা কেন : আবদুল গাফফার চৌধুরী
* চীন ও আমেরিকার কেন এই পক্ষপাত : রণজিৎ রায়
* একটি দুর্গের পতন, ঢাকা আর কতক্ষণ : আবদুল গাফফার চৌধুরী
* মুক্ত বাংলায় এখনই অসামরিক প্রশাসন গড়ে তোলা চাই : বরুণ সেনগুপ্ত
* বাংলাদেশকে স্বীকৃতির পরে : শংকর ঘোষ
* এই যুদ্ধ শেষ যুদ্ধ : নিখিল সরকার
* ঢাকার লড়াই, অতীতের পৃষ্ঠা থেকে : আবদুল গাফফার চৌধুরী
* স্বাধীন বাংলার আবির্ভাবে এশিয়ায় শক্তিসাম্যের হেরফের : শংকর ঘোষ
* বাংলাদেশ এবং অতঃপর : নিরঞ্জন সেনগুপ্ত
* স্বচক্ষে সকালের অপেক্ষায়, ওপার বাংলায় : সুভাষ মুখোপাধ্যায়
* বাঙালী, বাঙালীত্ব-জাতি ও সংস্কৃতি : সুভাষ গঙ্গোপাধ্যায়
* “হৃদয়ের রাখীবন্ধনে ভারত বাংলাদেশ” : প্রণবেশ সেন
* আমারও মুক্তিযুদ্ধ : অন্নদাশংকর রায়
* শরিক ও সৈনিক : মনোজ বসু
* তোমারই হোক জয় : দেবদুলাল বন্দ্যোপাধ্যায়
* শুরু ও শেষ : নির্মল সেনগুপ্ত",একাত্তরের যুদ্ধে বঙ্গবন্ধু পাকিস্তান ভারত ও বাংলাদেশ,দেবদুলাল বন্দ্যোপাধ্যায়, , ,রাবেয়া বুকস্,9847016400056,"1st Published,2014",132,বাংলাদেশ,বাংলা
ছোটদের জাতির জনক ও মুক্তিযুদ্ধের গল্প,ফারুক নওয়াজ,TK. 150,TK. 132,https://rokomari.com//book/53795/chotoder-jatir-jonok-o-muktijuddher-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c10e1e036_53795.jpg,"সূচিপত্র
* অপারেশন কদমতলী : রাবেয়া খাতুন
* মুক্তিযোদ্ধা : হেলেনা খান
* রক্ত দিয়ে কেনা : আলী ইমাম
* উনিশ শো একাত্তর : ইমদাদুল হক মিলন
* টুটুল গেল যুদ্ধে : কাইজার চৌধুরী
* আলোর পানে : মকবুলা মনজুর
* পাখি আসে না : ফারুক নওয়াজ
* যুদ্ধ শেষের গল্প : হানুফা ইমদাদ
* জাতির জনক : আফরোজা পারভীন
* রাজাকার মীরজাফর : মোস্তফা হোসেইন
* অন্তু ঘরে ফেরেনি : ফজলে আহমেদ
* সেই বৃদ্ধ মানুষ : মনি হায়দার
* প্রথম অপারেশন : রউফ আরিফ
* শহীদের স্মৃতি : তামান্না ইয়াসমিন
* কালো অন্ধকার : জাকারিয়া রফিক
* ফুল মানেই পবিত্র : মোরশেদ কমল
* কাক : আশরাফুল আলম পিন্টু",ছোটদের জাতির জনক ও মুক্তিযুদ্ধের গল্প, , ,ফারুক নওয়াজ,রাবেয়া বুকস্,9847016400063,"1st Published,2016",139,বাংলাদেশ,বাংলা
মহানায়ক শেখ মুজিবুর রহমান,অমরেন্দ্রকুমার ঘোষ,TK. 250,TK. 213,https://rokomari.com//book/145348/mohanayak-sheikh-mujibur-rahman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/80cb6a94e534_145348.jpg,"",মহানায়ক শেখ মুজিবুর রহমান,অমরেন্দ্রকুমার ঘোষ, , ,রাবেয়া বুকস্,9847016400025,"1st Published,2013",207,বাংলাদেশ,বাংলা
