Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
A Color of His Own,লিও লিওননি,"TK. 1,425","",https://rokomari.com//book/161799/a-color-of-his-own,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c20b8af44_161799.jpg,"",A Color of His Own,Leo Lionni, , ,Random House Childrens Books,9780375836978,"1st edition,2006",40,India,English
Boom!,মার্ক হ্যাডন,"TK. 1,013","",https://rokomari.com//book/131767/boom-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cc09c2d67084_131767.jpg,"",Boom!,Mark Haddon, , ,Random House Childrens Books,9780385752244,"1st Edition,2011",208,India,English
The Ice Bear's Cave,মার্ক হ্যাডন,TK. 932,"",https://rokomari.com//book/131792/the-ice-bear-s-cave,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3cbf3f30cc64_131792.jpg,"",The Ice Bear's Cave,Mark Haddon, , ,Random House Childrens Books,9780006646280,"1st Edition,2014",32,India,English
Ocean Star Express,মার্ক হ্যাডন,TK. 549,"",https://rokomari.com//book/131793/ocean-star-express,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5a72ef43e514_131793.jpg,"",Ocean Star Express,Mark Haddon, , ,Random House Childrens Books,9780006646006,"1st Edition,2002",32,India,English
Magic Tree House 5: Night of the Ninjas,মেরি পোপ অসবর্ন,TK. 288,"",https://rokomari.com//book/109002/magic-tree-house-5--night-of-the-ninjas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/742f4402c2e4_109002.jpg,"",Magic Tree House 5: Night of the Ninjas,Mary Pope Osborne, , ,Random House Childrens Books,9780679863717,"1st Edition,1995",80,India,English
Magic Tree House 6: Afternoon on the Amazon,মেরি পোপ অসবর্ন,TK. 405,"",https://rokomari.com//book/109003/magic-tree-house-6--afternoon-on-the-amazon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/258c2addbc14_109003.jpg,"",Magic Tree House 6: Afternoon on the Amazon,Mary Pope Osborne, , ,Random House Childrens Books,9780679863724,"1st Edition,1995",80,India,English
Stage Fright on a Summer Night (Magic Tree House 25) ,মেরি পোপ অসবর্ন,TK. 612,"",https://rokomari.com//book/109020/stage-fright-on-a-summer-night--magic-tree-house-25-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/679660b81e44_109020.gif,"",Stage Fright on a Summer Night (Magic Tree House 25),Mary Pope Osborne, , ,Random House Childrens Books,9780375806117,"1st Edition,2002",96,India,English
Magic Tree House 27: Thanks giving on Thursday ,মেরি পোপ অসবর্ন,TK. 315,"",https://rokomari.com//book/109022/magic-tree-house-27--thanks-giving-on-thursday,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/39e280d20e94_109022.gif,"",Magic Tree House 27: Thanks giving on Thursday,Mary Pope Osborne, , ,Random House Childrens Books,9780375806155,"1st Edition,2002",96,India,English
Magic Tree House 33: Carnival at Candlelight,মেরি পোপ অসবর্ন,TK. 324,"",https://rokomari.com//book/109028/magic-tree-house-33--carnival-at-candlelight,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/64a9710652e4_109028.gif,"",Magic Tree House 33: Carnival at Candlelight,Mary Pope Osborne, , ,Random House Childrens Books,9780375830341,"Reprint Edition,2006",144,India,English
Magic Tree House 37: Dragon of the Red Dawn ,মেরি পোপ অসবর্ন,TK. 315,"",https://rokomari.com//book/109032/magic-tree-house-37--dragon-of-the-red-dawn,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a1a0a18dc7b4_109032.gif,"",Magic Tree House 37: Dragon of the Red Dawn,Mary Pope Osborne, , ,Random House Childrens Books,9780375837272,"1st Edition,2007",128,India,English
Magic Tree House 39: Dark Day in the Deep Sea ,মেরি পোপ অসবর্ন,TK. 315,"",https://rokomari.com//book/109034/magic-tree-house-39--dark-day-in-the-deep-sea,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0543ec3a0754_109034.gif,"",Magic Tree House 39: Dark Day in the Deep Sea,Mary Pope Osborne, , ,Random House Childrens Books,9780375837326,"Reprint Edition,2009",144,India,English
Magic Tree House 44: A Ghost Tale for Christmas Time ,মেরি পোপ অসবর্ন,"TK. 1,153","",https://rokomari.com//book/109039/magic-tree-house-44--a-ghost-tale-for-christmas-time,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cfc147dc36c4_109039.jpg,"",Magic Tree House 44: A Ghost Tale for Christmas Time,Mary Pope Osborne, , ,Random House Childrens Books,9780375856525,"1st Edition,2010",128,India,English
Magic Tree House 47: Abe Lincoln at Last ,মেরি পোপ অসবর্ন,"TK. 2,356","",https://rokomari.com//book/109042/magic-tree-house-47--abe-lincoln-at-last,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4e9ebafc9904_109042.jpg,"",Magic Tree House 47: Abe Lincoln at Last,Mary Pope Osborne, , ,Random House Childrens Books,9780375968259,"1st Edition,2011",128,India,English
Magic Tree House 48: A Perfect Time for Pandas ,মেরি পোপ অসবর্ন,"TK. 2,026","",https://rokomari.com//book/109043/magic-tree-house-48--a-perfect-time-for-pandas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c57287a86c24_109043.jpg,"",Magic Tree House 48: A Perfect Time for Pandas,Mary Pope Osborne, , ,Random House Childrens Books,9780375968266,"1st Edition,2012",128,India,English
Magic Tree House 49: Stallion by Starlight,মেরি পোপ অসবর্ন,"TK. 2,017","",https://rokomari.com//book/109044/magic-tree-house-49--stallion-by-starlight,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8e62f8422814_109044.jpg,"",Magic Tree House 49: Stallion by Starlight,Mary Pope Osborne, , ,Random House Childrens Books,9780307980427,"1st Edition,2013",128,India,English
Magic Tree House 51: High Time for Heroes,মেরি পোপ অসবর্ন,"TK. 2,026","",https://rokomari.com//book/109046/magic-tree-house-51--high-time-for-heroes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9d935cc27a74_109046.jpg,"",Magic Tree House 51: High Time for Heroes,Mary Pope Osborne, , ,Random House Childrens Books,9780307980502,"1st Edition,2014",128,India,English
Magic Tree House 52: Soccer on Sunday ,মেরি পোপ অসবর্ন,"TK. 1,989","",https://rokomari.com//book/109047/magic-tree-house-52--soccer-on-sunday,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8b6aa9ad9a04_109047.jpg,"",Magic Tree House 52: Soccer on Sunday,Mary Pope Osborne, , ,Random House Childrens Books,9780307980540,"1st Edition,2014",128,India,English
Magic Tree House 2: The Knight at Dawn (Full-Color Edition) ,মেরি পোপ অসবর্ন,"TK. 2,224","",https://rokomari.com//book/108997/magic-tree-house-2--the-knight-at-dawn--full-color-edition-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a01d1b507c84_108997.jpg,"",Magic Tree House 2: The Knight at Dawn (Full-Color Edition),Mary Pope Osborne, , ,Random House Childrens Books,9780449818237,"1st Edition,2013",96,India,English
"Oh, The Places You'll Go!",ডাঃ সুজ ,"TK. 1,438","",https://rokomari.com//book/151623/oh--the-places-you-ll-go-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9ea643726_151623.jpg,"","Oh,The Places You'll Go!",Dr. Seuss , , ,Random House Childrens Books,9780679805274,"1st Edition,1990",56,India,English
Wonder ,আর.জে প্যালাসিও,"TK. 1,857","",https://rokomari.com//book/151627/wonder,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1883558c2_151627.jpg,"",Wonder,R. J. Palacio, , ,Random House Childrens Books,9780375869020,"1st Edition,2012",320,India,English
Moon Over Manifest,ক্লারে ভান্ডারপুল,"TK. 1,111","",https://rokomari.com//book/153063/moon-over-manifest,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c7c3f8cd0_153063.jpg,"",Moon Over Manifest,Clare Vanderpool, , ,Random House Childrens Books,9780375858291,"Reprinted edition,2011",384,India,English
