Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"The complete Sherlock Holmes (Box Set)(Volume I,II) ",স্যার আর্থার কোনান ডয়েল,"TK. 1,170","",https://rokomari.com//book/91192/the-complete-sherlock-holmes--box-set--volume-i-ii-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5b8068818_91192.jpg,"বইটি আপনি কেন পড়বেন?দেখে নিন বিশ্বের সেরা সাইট আমাজন.কম এর কিছু তথ্য-   
রিভিউ সংখ্যা – ৩,৯০০    
এভারেজ রেটিং – ৪.৫    
সাহিত্য ক্যাটেগরির ১০৮তম বেস্টসেলার বই       
আমাজন.কম লিংক - https://goo.gl/6UzcTh  


																												Summary Of The Book

The Complete Sherlock Holmes: All 4 Novels And 56 Short Stories is ideal for Sherlock Holmes fans, and lovers of old fashioned crime and mystery novels.

The stories featured in this book display Holmes’s detective skills, his ability to solve difficult cases quickly, his knack at using logical reasoning and forensic science, and his talent at disguising himself. And not too far behind is Dr. Watson, Holmes’s ever so wise and loyal partner, who religiously pens down all their adventures.

This collection contains four novels and fifty six short stories. The titles of the four novels are A Study In Scarlet, The Hound of the Baskervilles, The Sign of The Four, and The Valley of Fear. Some of the titles of the short stories included in the book are The Adventures of Sherlock Holmes, The Return of Sherlock Holmes, The Memoirs of Sherlock Holmes, His Last Bow, and The Case-Book of Sherlock Holmes.

Many of the stories featured in The Complete Sherlock Holmes: All 4 Novels And 56 Short Stories were turned into Hollywood movies. The movie titled Sherlock Holmes, starring Robert Downey Jr. and Jude Law, was released in 2009. It was nominated for two Academy Awards. In 2011, A Game of Shadows was released featuring the same Hollywood actors.
The Complete Sherlock Holmes: All 4 Novels And 56 Short Stories was published in 1986 by Random House Publishing Group.
About Sir Arthur Conan Doyle

Sir Arthur Conan Doyle was a novelist, poet, physician, and short story writer, who was a native of Edinburgh, Scotland. He has authored numerous literary works. Some of the books written by him are The Lost World, The Poison Belt, The Parasite, and The Maracot Deep. Doyle was a prolific writer, often using elements of fantasy and science fiction in his writing.

Apart from writing, Doyle was also a trained physician and an avid football player. He was also friends with notable people such as Harry Houdini, Joseph McCabe, and Richard Milner. He was married twice, and fathered five children. Following the death of his second wife, a few family members, and his son, Doyle sank into deep depression. He later turned to spirituality in order to understand the meaning of life beyond death. He passed away in 1930 at the age of 71, after suffering a heart attack.","The complete Sherlock Holmes (Box Set)(Volume I,II)",Sir Arthur Connan Doyle, , ,Random House Publishing Group,9780553328257,"1st Edition,1986",1796,India,English
Catch - 22,জোসেফ হেলার,TK. 718,"",https://rokomari.com//book/90987/catch---22,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141031_90987.gif,"Catch-22 has become a common phrase now, and it is used to describe contradictory situations where the solution takes you back in another way to the original problem.

The phrase has its origin in this book. Set in the time of the Second World War, the story of Catch-22 is centered around characters stationed  in an island in the Mediterranean Sea. The island of Pianosa is home to the 256th squadron, which includes the central character, Captain John Yossarian.
The story is told from a third-person perspective, and so it moves from one person to the next, providing different view points according to each person’s character.

Captain Yossarian is a young man who believes very practically that his life is important and the results of a war do not matter to a man who is dead. He tries his best to keep from going on flying missions by faking illness. But his efforts are countered by Colonel Cathcart. He constantly increases the number missions an airman must fly to complete his service.

Yossarian desperately tries to avoid flying more missions because, as he puts it, when he flies to drop bombs on people, so many people he has not even met are trying to kill him.

Catch-22 is a hilariously funny satire about war, the higher command in the military and bureaucracy in general. The books title, Catch-22, is a clause in the military rules. Yossarian sees it with reference to his friend Orr. The rule is self-contradictory and leads to a circular logic that cannot provide a solution.
The rule states that if a person continues to fly on dangerous missions, he is insane and can be relieved of duty. On this premise, Orr is crazy; so he can get grounded. But, there is a catch: the rule also says that a concern for personal safety when faced with dangers that are real and immediate was a reflection of a sane mind. So, if Orr asked to be relieved, he would no longer be considered crazy, and hence will have to continue flying more missions.",Catch - 22,Joseph Heller, , ,Random House Publishing Group,9780099536017,"1st Edition,1994",570,India,English
The Brothers Karamazov,ফিওদর দস্তয়ভস্কি,TK. 718,"",https://rokomari.com//book/84655/the-brothers-karamazov,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8b2e11cc4_84655.jpg,"'The Brothers Karamazov' Summary of the book
The plot of The Brothers Karamazov revolves around the murder of Fyodor Karamazov, a grasping Russian landowner with three legitimate children—Dmitri, Ivan, and Alyosha. Each son has a dominant personality trait: Dmitri possesses broad passions, Ivan is a cool intellectual, and Alyosha has a spiritual orientation. Another member of the Karamazov household, a servant named Pavel Smerdyakov, is rumored to be Fyodor’s illegitimate son, and he emanates corrosive malevolence.

As the novel opens, Fyodor and Dmitri are in competition for the affections of a young woman named Grushenka. Although Dmitri is betrothed to Katerina Ivanovna, a proud woman of the gentry, he has fallen madly in love with Grushenka, but Grushenka keeps both Dmitri and Fyodor at a distance because she has hopes of a reunion with her first lover, a Pole who abandoned her years earlier. Discovering that Grushenka has unexpectedly left home one evening, Dmitri suspects that she has gone to Fyodor’s house. Frenzied, he snatches up a pestle and rushes off to his father’s house. Catching sight of him in an open window, Dmitri feels such revulsion that he is on the verge of striking him, but, at the last moment, he restrains himself. Running away from the house, Dmitri is seized by his father’s servant Grigory. Dmitri hits Grigory with the pestle and, believing him to be dead, leaves him behind.

Dmitri learns that Grushenka has gone to an inn in a nearby town to meet her former lover. Dmitri follows her there, planning to see her one more time before he kills himself. Once there, however, he realizes that Grushenka has become disenchanted with the Pole, and she and Dmitri declare their love for each other. Dmitri is torn between joy over his newfound love with Grushenka and grief over the thought that he has killed Grigory. The police arrive and charge Dmitri with murder, not of Grigory but of Fyodor. Grigory’s wound was not fatal, but Fyodor was found brutally murdered. Dmitri is interrogated at length and then is allowed to sleep briefly. He has a vivid dream featuring a mother with a suffering child, and he feels a deep determination to help. He awakens with a new sense of resolve. He declares that he is ready to accept... (enotes.com)",The Brothers Karamazov,Fyodor Dostoyevsky, , ,Random House Publishing Group,9780553212167,"Reissue,2003",1045,India,English
Anna Karenina ,লিও টলস্টয়,TK. 538,"",https://rokomari.com//book/118376/anna-karenina-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/19cb398a48d4_118376.gif,"",Anna Karenina ,Leo Tolstoy, , ,Random House Publishing Group,9780553213461,"1st Reissue edition,1984",1008,India,English
Where The Wild Things Are,মরিস স্যানডাক,TK. 538,"",https://rokomari.com//book/144828/where-the-wild-things-are,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8734bd2d13f4_144828.jpg,"Where the Wild Things Are is a 1963 children's picture book by American writer and illustrator Maurice Sendak, originally published by Harper and Row. The book has been adapted into other media several times, including an animated short in 1973 (with an updated version in 1988); a 1980 opera; and a live-action 2009 feature-film adaptation, directed by Spike Jonze. The book had sold over 19 million copies worldwide as of 2009, with 10 million of those being in the United States.

Sendak won the annual Caldecott Medal from the children's librarians in 1964, recognizing Wild Things as the previous year's ""most distinguished American picture book for children"". It was voted the number one picture book in a 2012 survey of School Library Journal readers, not for the first time.",Where The Wild Things Are,Maurice Sendak, , ,Random House Publishing Group,9780099408390,"1st Edition,2000",48,India,English
Forward the Foundation,আইজ্যাক আসিমভ,TK. 718,"",https://rokomari.com//book/133280/forward-the-foundation,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ac785ecf4f14_133280.jpg,"",Forward the Foundation,Isaac Asimov, , ,Random House Publishing Group,9780553565072,"1st Edition,1994", ,India,English
The Lord of The Rings (4 Books),জে. আর. আর. টোলকিন,"TK. 3,238","",https://rokomari.com//book/69525/the-lord-of-the-rings--4-books-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150807_69525.gif,"1. The Hobbit
2. The Fellowship of the Ring
3. The Two Towers
4. The Return of the King",The Lord of The Rings (4 Books),J. R. R. Tolkien, , ,Random House Publishing Group,9780345538376,"Published,2012",1728,India,English
Islam: A short History,ক্যারেন আর্মস্ট্রং,TK. 900,"",https://rokomari.com//book/174797/islam--a-short-history,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f0f8d72b7_174797.jpg,"",Islam: A short History,Karen Armstrong, , ,Random House Publishing Group,9780812966183,"Latest Edition,2015", ,India,English
Pride and Prejudice,জেন অস্টেন,TK. 346,"",https://rokomari.com//book/164650/pride-and-prejudice,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9dac867e4_164650.jpg,"'Pride and Prejudice' Summary of the book
Pride and Prejudice is set in rural England in the early 19th century, and it follows the Bennet family, which includes five very different sisters. Mrs. Bennet is anxious to see all her daughters married, especially as the modest family estate is to be inherited by William Collins when Mr. Bennet dies. At a ball, the wealthy and newly arrived Charles Bingley takes an immediate interest in the eldest Bennet daughter, the beautiful and shy Jane. The encounter between his friend Darcy and Elizabeth is less cordial. Although Austen shows them intrigued by each other, she reverses the convention of first impressions: pride of rank and fortune and prejudice against the social inferiority of Elizabeth’s family hold Darcy aloof, while Elizabeth is equally fired both by the pride of self-respect and by prejudice against Darcy’s snobbery.
The pompous Collins subsequently arrives, hoping to marry one of the Bennet sisters. Elizabeth, however, refuses his offer of marriage, and he instead becomes engaged to her friend Charlotte Lucas. During this time, Elizabeth encounters the charming George Wickham, a military officer. There is a mutual attraction between the two, and he informs her that Darcy has denied him his inheritance.
After Bingley abruptly departs for London, Elizabeth’s dislike of Darcy increases as she becomes convinced that he is discouraging Bingley’s relationship with Jane. Darcy, however, has grown increasingly fond of Elizabeth, admiring her intelligence and vitality. While visiting the now-married Charlotte, Elizabeth sees Darcy, who professes his love for her and proposes. A surprised Elizabeth refuses his offer, and, when Darcy demands an explanation, she accuses him of breaking up Jane and Bingley. Darcy subsequently writes Elizabeth a letter in which he explains that he separated the couple largely because he did not believe Jane returned Bingley’s affection. He also discloses that Wickham, after squandering his inheritance, tried to marry Darcy’s then 15-year-old sister in an attempt to gain possession of her fortune. With these revelations, Elizabeth begins to see Darcy in a new light.
Shortly thereafter the youngest Bennet sister, Lydia, elopes with Wickham. The news is met with great alarm by Elizabeth, since the scandalous affair—which is unlikely to end in marriage—could ruin the reputation of the other Bennet sisters. When she tells Darcy, he persuades Wickham to marry Lydia, offering him money. Despite Darcy’s attempt to keep his intervention a secret, Elizabeth learns of his actions. At the encouragement of Darcy, Bingley subsequently returns, and he and Jane become engaged. Finally, Darcy proposes again to Elizabeth, who this time accepts.",Pride and Prejudice,Jane Austen, , ,Random House Publishing Group,9780553213102,"1st Edition,2015", ,India,English
Foundation and Earth ,আইজ্যাক আসিমভ,TK. 718,"",https://rokomari.com//book/133276/foundation-and-earth-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f5cac484cbf4_133276.jpg,"",Foundation and Earth ,Isaac Asimov, , ,Random House Publishing Group,9780553587579,"1st Edition,2004", ,India,English
