Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"Handbook for Shoe and Leather Processing - Leathers, Tanning, Fatliquoring, Finishing, Oiling, Waterproofing, Spotting, Dyeing, Cleaning, Polishing, ... Chemicals and Dyes, Cements and Glues",অ্যানন,"TK. 5,340","",https://rokomari.com//book/144852/handbook-for-shoe-and-leather-processing---leathers--tanning--fatliquoring--finishing--oiling--waterproofing--spotting--dyeing--cleaning--polishing------chemicals-and-dyes--cements-and-glues,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/86724760c114_144852.jpg,"","Handbook for Shoe and Leather Processing - Leathers,Tanning,Fatliquoring,Finishing,Oiling,Waterproofing,Spotting,Dyeing,Cleaning,Polishing,... Chemicals and Dyes,Cements and Glues",Anon, , ,Read Books (India),9781447422020,"1st Edition,2011",404,India,English
The Industrial Revolution,অ্যানরোল্ড জোসেফ টয়নবি,"TK. 1,901","",https://rokomari.com//book/174790/the-industrial-revolution,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5cc32e230_174790.jpg,"",The Industrial Revolution,Arnold Joseph Toynbee, , ,Read Books (India),9781446521441,"1st Edition,2011",150,India,English
Finnegans Wake,জেমস্ জয়সি,"TK. 5,038","",https://rokomari.com//book/172210/finnegans-wake,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/59af08ee6_172210.jpg,"",Finnegans Wake,James Joyce, , ,Read Books (India),9781447470298,"1st Edition,2012",838,India,English
How To Build A House - An Architectural Novelette ,বায়োলেট-লী-ডাক,"TK. 5,218","",https://rokomari.com//book/172249/how-to-build-a-house---an-architectural-novelette,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/14a0a166e_172249.jpg,"",How To Build A House - An Architectural Novelette,Viollet-le-Duc, , ,Read Books (India),9781446038437,"1st Edition,2010",288,India,English
The Art Of Acting,ফ্রাঙ্ক ফেন্ডলি ম্যাকি,"TK. 4,498","",https://rokomari.com//book/173022/the-art-of-acting,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7ba3d56a0_173022.jpg,"",The Art Of Acting,Frank Findley Mackay, , ,Read Books (India),9781409783084,"1st Edition,2008",300,India,English
Ouina's Canoe And Christmas Offering - Filled With FLowers For The Darlings Of Earth,কোরা রিচমন্ড,"TK. 3,958","",https://rokomari.com//book/172739/ouina-s-canoe-and-christmas-offering---filled-with-flowers-for-the-darlings-of-earth,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/35b7bfb0f_172739.jpg,"",Ouina's Canoe And Christmas Offering - Filled With FLowers For The Darlings Of Earth,Cora Richmond, , ,Read Books (India),9781446061145,"1st Edition,20011",162,India,English
Man of Everest;: The autobiography of Tenzing,জেমস র‌্যামজে উলম্যান,"TK. 5,328","",https://rokomari.com//book/171005/man-of-everest---the-autobiography-of-tenzing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e97aac8ed_171005.jpg,"",Man of Everest;: The autobiography of Tenzing,James Ramsay Ullman, , ,Read Books (India),9781447400288,"1st Edition,2011",356,India,English
An Actor Prepares,হায়দন পেরি,"TK. 6,424","",https://rokomari.com//book/171214/an-actor-prepares,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4cbb82aa2_171214.jpg,"",An Actor Prepares,Haydn Perry, , ,Read Books (India),9781447439325,"1st Edition,2011",322,India,English
The History Of Humayun,গুল বদন বেগম,"TK. 3,591","",https://rokomari.com//book/166371/the-history-of-humayun,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a06d4ad4_166371.jpg,"",The History Of Humayun,Gul Badan Begam, , ,Read Books (India),9788171560332,"1st Edition,2011",460,India,English
"The Thugs Or Phansigars Of India - Comprising A History Of The Rise And Progress Of That Extraordinary Fraternity Of Assassins, And A Description Of ... Been Adopted By The Supreme Government Of Ind",উইলিয়াম হেনরি স্লীমান,"TK. 3,721","",https://rokomari.com//book/167514/the-thugs-or-phansigars-of-india---comprising-a-history-of-the-rise-and-progress-of-that-extraordinary-fraternity-of-assassins--and-a-description-of-----been-adopted-by-the-supreme-government-of-ind,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/774ebd73d_167514.jpg,"","The Thugs Or Phansigars Of India - Comprising A History Of The Rise And Progress Of That Extraordinary Fraternity Of Assassins,And A Description Of ... Been Adopted By The Supreme Government Of Ind",William Henry Sleemann, , ,Read Books (India),9781446052716,"1st Edition,2011",226,India,English
