Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ইউনিভার্সিটির ক্যান্টিনে,ড. মুহাম্মদ ইবনে আবদুর রহমান আরিফী,TK. 200,TK. 140,https://rokomari.com//book/182551/university-canteene--in-the-canteen-of-the-university-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c4fb1ff8d_182551.jpg,"",ইউনিভার্সিটির ক্যান্টিনে,ড. মুহাম্মদ ইবনে আবদুর রহমান আরিফী, , ,রিমঝিম প্রকাশনী, ,"1st Published,2019",110,বাংলাদেশ,বাংলা
দাইউস কখনো জান্নাতে প্রবেশ করবে না,মাসুদা সুলতানা রুমী,TK. 30,TK. 21,https://rokomari.com//book/46252/daius-kokhono-jannate-probesh-korbe-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9500ee55e_46252.jpg,"",দাইউস কখনো জান্নাতে প্রবেশ করবে না,মাসুদা সুলতানা রুমী, , ,রিমঝিম প্রকাশনী, ,"8th Published,2012",31,বাংলাদেশ,বাংলা
মৃত ব্যক্তির জন্য ইসলামী শরীয়াহ কী বলে আমরা কী করি,মুহাম্মদ আব্দুর রহমান খন্দকার,TK. 30,TK. 21,https://rokomari.com//book/46452/mrito-byaktir-jonyo-islami-shoriyah-ki-bole-amra-ki-kori,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/05d235dff_46452.jpg,"",মৃত ব্যক্তির জন্য ইসলামী শরীয়াহ কী বলে আমরা কী করি,মুহাম্মদ আব্দুর রহমান খন্দকার, , ,রিমঝিম প্রকাশনী, ,"1st Published,2012",32,বাংলাদেশ,বাংলা
মানুষ যা চায় তা কি পায়?,হুসাইন আল জাওয়াদ,TK. 40,TK. 28,https://rokomari.com//book/173275/manush-ja-chay-ta-ki-pay-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/da1ae35b1_173275.jpg,"""মানুষ যা চায় তা কি পায়?""লেখকের কিছু কথা:

আচ্ছা বলুন তাে, মানুষ যা চায় তা কি সে পায়? বলবেন: না, পায় না। মানুষের চাওয়াটা পূরণ হলে সে খুশি হয় আর চাওয়াটা না পেলে সে ধৈর্যহারা হয়ে হতাশার অনলে জ্বলতে থাকে। কেউ কেউ আল্লাহ পাককে দোষারােপ পর্যন্ত করে ফেলে। নাউযুবিল্লাহ! বস্তুত, এসবের মাধ্যমে আল্লাহ মানুষের মানসিক অবস্থা পরীক্ষা করতে চান। মহান আল্লাহ এ কথার সত্যায়নে বলেন, তিনি জীবন এবং মৃত্যু দিয়ে মানুষকে পরীক্ষা করতে চান তােমাদের মাঝে কার আমল সুন্দর। সূরা মুলক, আয়াত ২। আর চাহিদা তথা সুখ-শান্তি, চাওয়া-পাওয়া এগুলাে তাে মানুষের জীবনেরই অংশ। মানুষ যদি সত্যিই ভালাে কিছু করতে চায় তাহলে তাকে সর্বদা চেষ্টা করে যেতে হবে। লক্ষ্যে পৌছে দেয়ার দায়িত্ব স্রষ্টার। কোনাে কাজে কাক্ষিত ফলের জন্য তার কাছে সাহায্য চাইতে হবে। তিনি যদি চান আপনাকে কাঙ্ক্ষিত লক্ষ্যে পৌছে দিতে, তবেই আপনি লক্ষ্যে পৌঁছুতে পারবেন। নচেৎ নয়। বলতে পারেন তাহলে আমাদের কাজ করে লাভ কী? পাওয়ার আকাঙ্ক্ষাই লাভ। যা আপনাকে বাঁচিয়ে রাখে। আর চাকরি করেই তাে বেতনের আশা করা যায়। চাকরি না করে কি বেতন চাওয়া যায়? তাই তাে স্বপ্ন বিনির্মাণে মানুষকে সদা সক্রিয় থাকতে হবে। করতে হবে নিরলস পরিশ্রম।
মহান অস্লাহ বলেছেন,
إن الله لا يغير ما بقوم حتى يتم اما پايهة.
‘আল্লাহ কোনাে জনগােষ্ঠীর অবস্থা ততক্ষণ পর্যন্ত পরিবর্তন করেন না, যতক্ষণ পর্যন্ত তারা নিজেরা নিজেদের অবস্থা পরিবর্তন না করে। সূরা রাদ, আয়াত ১১ এই আয়াতে আরাে বলা হয়েছে। আর আল্লাহ যখন কোনাে জনগােষ্ঠীকে শাস্তি দিতে চান তখন তা কেউ ফেরাতে পারে না। তিনি ছাড়া আর কোনাে বন্ধুও নেই। অর্থাৎ আল্লাহ যা করতে চান, তা করবেনই। মানুষের কিছু করার নেই। করার থাকে না। বরং তখন বলে- আমরা ক্ষতিগ্রস্ত হয়ে গেলাম। বরং আমরা বঞ্চিত হয়ে গেলাম। সূরা ওয়াকিআ, আয়াত ৬৫-৬৭ বলতে পারেন, তাহলে আমরা কিছু করার চেষ্টা করি কেন? যা হওয়ার তাতাে হবেই। এটাই আমাদের নিয়তি। আমি বলবাে- না, আমাদের ভাগ্যলিপিতে কী আছে তা আমরা জানি না। তাই আমাদের কাজ করে যেতে হবে। সফলতা দেয়ার মালিক আল্লাহ তাআলা। এ নিয়ে বিতর্ক করার কিছু নেই। বিতর্ক শুধু বিতর্কেরই জন্ম দেয়। সমাধান দেয় না। পরন্তু এর ফলে ইমানই নষ্ট হবে।",মানুষ যা চায় তা কি পায়?,হুসাইন আল জাওয়াদ, , ,রিমঝিম প্রকাশনী, ,"1st Published,2014",48,বাংলাদেশ,বাংলা
সংসার সুখের হয় পুরুষের গুনে,মাসুদা সুলতানা রুমী,TK. 40,TK. 28,https://rokomari.com//book/46275/songsar-sukher-hoy-purusher-gune,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/da7e63aa0_46275.jpg,"",সংসার সুখের হয় পুরুষের গুনে,মাসুদা সুলতানা রুমী, , ,রিমঝিম প্রকাশনী, ,"4th Printed,2012",40,বাংলাদেশ,বাংলা
তাওবাহ কেন করব কিভাবে করব,মুহাম্মদ আব্দুর রহমান খন্দকার,TK. 30,TK. 21,https://rokomari.com//book/46448/touba-keno-korbo-kivabe-korbo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a52efaaa8_46448.jpg,"",তাওবাহ কেন করব কিভাবে করব,মুহাম্মদ আব্দুর রহমান খন্দকার, , ,রিমঝিম প্রকাশনী, ,"1st Published,2010",32,বাংলাদেশ,বাংলা
পুরুষের পর্দা ও নারীর পর্দা,মুহাম্মদ আব্দুর রহমান খন্দকার,TK. 30,TK. 21,https://rokomari.com//book/46453/purusher-porda-o-narir-porda,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8215c0e7f_46453.jpg,"",পুরুষের পর্দা ও নারীর পর্দা,মুহাম্মদ আব্দুর রহমান খন্দকার, , ,রিমঝিম প্রকাশনী, ,"1st Published,2011",32,বাংলাদেশ,বাংলা
নামাজ ত্যাগকারীর ভয়াবহ শাস্তি,আব্দুল হালিম খাঁ,TK. 30,TK. 21,https://rokomari.com//book/98104/namaj-tyagkarir-voyaboho-shasti--quran-o-hadiser-aloke-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dd3982d50_98104.jpg,"",নামাজ ত্যাগকারীর ভয়াবহ শাস্তি,আব্দুল হালিম খাঁ, , ,রিমঝিম প্রকাশনী, ,"1st Published,2014",24,বাংলাদেশ,বাংলা
কাজের মাঝে নিজকে খুঁজি,মাসুদা সুলতানা রুমী,TK. 50,TK. 35,https://rokomari.com//book/173280/kajer-maghe-nijke-khuji,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/11ea17fa7_173280.jpg,"",কাজের মাঝে নিজকে খুঁজি,মাসুদা সুলতানা রুমী, , ,রিমঝিম প্রকাশনী, ,"1st Published,2016",48,বাংলাদেশ,বাংলা
মহিমান্বিত তিনটি রাত,মাসুদা সুলতানা রুমী,TK. 30,TK. 21,https://rokomari.com//book/46295/mohimanwito-tinti-rat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/74fffb302_46295.jpg,"",মহিমান্বিত তিনটি রাত,মাসুদা সুলতানা রুমী, , ,রিমঝিম প্রকাশনী, ,"5th Published,2011",32,বাংলাদেশ,বাংলা
