Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
A Biography of Rahul Dravid: The Nice Guy Who Finished First,দেবেন্দ্র প্রাবুদেসি,TK. 531,"",https://rokomari.com//book/124691/a-biography-of-rahul-dravid--the-nice-guy-who-finished-first,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/db72e68fb_124691.jpg,"'A Biography of Rahul Dravid: The Nice Guy Who Finished First' Summary of the book
The Nice Guy Who Finished First is a remarkable story of Rahul Dravid's extraordinary cricketing career that commenced in 1996 and continues to flourish nine years later. The book highlights the physical, mental and of course, technical attributes that have elevated Rahul to legendary status. In this honest endeavour to recount the story of Rahul Dravid, the author is assisted by reminiscences from his mentors, seniors, teammates and even opponents, all of whom witnessed the making of a cricketing legend from close quarters. Then, there are the photographs, some of the best ever, which showcase, quite literally, the genius of one of India's all-time greats.
(infibeam.com)",A Biography of Rahul Dravid: The Nice Guy Who Finished First,Devendra Prabhudesai, , ,Rupa & Co,9788129116505,"7th Printed,2017",222,India,English
Kingdom of Gods and Peace Essays: 1,লিও টলস্টয়,TK. 710,"",https://rokomari.com//book/125517/kingdom-of-gods-and-peace-essays--1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/211fb4f27_125517.jpg,"""Kingdom of Gods and Peace Essays: 1"" Summary of The Book:
Tolstoy's strips off Christianity's mystical veil and showcases the religion as an understanding of life, through the teachings of Jesus. Must've baffled and angered Christian nations when released in 1894, but it's even more relevant today. The Church—whether Catholic, Protestant or Orthodox—is a horrifying concept that's provided political and social power over the masses for so many centuries and Tolstoy strips it bare and proves the ineffectiveness of the Church, their doctrines, icons, relics and objects.",Kingdom of Gods and Peace Essays: 1,Leo Tolstoy, , ,Rupa & Co,9788171675159,"5th Edition,2001",544,India,English
The Life and Times of the Nawabs of Lucknow ,রাভি ভাট,TK. 531,"",https://rokomari.com//book/125250/the-life-and-times-of-the-nawabs-of-lucknow-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/faa2cfd3d1f4_125250.jpg,"",The Life and Times of the Nawabs of Lucknow ,Ravi Bhatt, , ,Rupa & Co,9788129109897,"18th Print,2017",248,India,English
The Indian Musalmans ,ডব্লিউ. ডব্লিউ. হাণ্টার ,TK. 531,"",https://rokomari.com//book/101454/the-indian-musalmans,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150827_101454.gif,"No prophet of Muslim nationalism could have drawn attention to the economic plight of Muslims in more eloquent terms than the author has in this telling account of the Indian Muslims around third quarter of the nineteenth century. Called upon to investigate the causes of widespread disaffection among Muslims, as reflected in the continued popularity of the so-called Wahabi movement, Hunter produced this book. W.C.Smith, author of Modern Islam in India, referred to Hunter's presentation as a 'fairly full and very convincing indictment of the Government's policy'. This book will be found most useful by all those who want to truly understand the background of Partition.",The Indian Musalmans,W. W. Hunter, , ,Rupa & Co,9788171676903,Latest Edition,211,USA,English
If God Was A Banker,রাভি সুব্রামানিয়াম,TK. 531,"",https://rokomari.com//book/152122/if-god-was-a-banker,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dd136182b_152122.jpg,"",If God Was A Banker,Ravi Subramanian, , ,Rupa & Co,9788129111470,"1st Edition,2007",264,India,English
"My Country, My Life",লাল কৃষ্ণা আদভানি,TK. 891,"",https://rokomari.com//book/187204/my-country--my-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/734b664b2_187204.jpg,"","My Country,My Life",Lal Krishna Advani, , ,Rupa & Co,9788129116543,"1st Edition,2010",986,India,English
Albert einstein 2 ideas and opinions,আলবার্ট আইনস্টাইন,TK. 531,"",https://rokomari.com//book/125295/albert-einstein-2-ideas-and-opinions,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dc18387d5e74_125295.jpg,"",Albert einstein 2 ideas and opinions,Albert Einstein, , ,Rupa & Co,9780285647251,"1st Edition,1979",372,India,English
The Art of Tagore,রবীন্দ্রনাথ ঠাকুর,"TK. 1,071","",https://rokomari.com//book/125516/the-art-of-tagore,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/adeea23020a4_125516.jpg,"",The Art of Tagore,Rabindranath Tagore, , ,Rupa & Co,9788129104625,"1st Edition,2005",297,India,English
Brothers Against the Raj: A Biography of Indian Nationalists Sarat and Subhas Chandra Bose,লিওনার্ড এ গর্ডন,"TK. 1,071","",https://rokomari.com//book/193368/brothers-against-the-raj--a-biography-of-indian-nationalists-sarat-and-subhas-chandra-bose,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d6bd51308_193368.jpg,"",Brothers Against the Raj: A Biography of Indian Nationalists Sarat and Subhas Chandra Bose,Leonard a Gordon, , ,Rupa & Co,9788129136633,"1st Edition,2015",446,India,English
Wheels,আর্থার হেইলে,TK. 302,"",https://rokomari.com//book/134121/wheels,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d9df75ba52d4_134121.jpg,"",Wheels,Arthur Hailey, , ,Rupa & Co,9788129135551,"1st Edition,2014", ,India,English
