Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"High School English Grammar and Composition [Paperback] [Jul 09, 1905] N,D,V,Prasada,Rao",এন ডি ভি প্রসাদ রাও ,TK. 756,"",https://rokomari.com//book/193431/high-school-english-grammar-and-composition--paperback---jul-09--1905--n-d-v-prasada-rao,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/889247552_193431.jpg,"","High School English Grammar and Composition [Paperback] [Jul 09,1905] N,D,V,Prasada,Rao",N.D.V.Prasada Rao, , ,S Chand & Co Ltd,9789352530144,"1st Edition,1905", ,USA,English
A Textbook of Biotechnology,আর সি ডুবে,"TK. 1,058","",https://rokomari.com//book/172728/a-textbook-of-biotechnology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/95213791b_172728.jpg,"",A Textbook of Biotechnology,R C Dubey, , ,S Chand & Co Ltd,9788121926089,"Fifth Edition,2014",616,India,English
Elementary Organic Spectroscopy,ওয়াই আর শৰ্মা,TK. 898,"",https://rokomari.com//book/166522/elementary-organic-spectroscopy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/081d3668c_166522.jpg,"",Elementary Organic Spectroscopy,Y R Sharma, , ,S Chand & Co Ltd,9788121928847,"1st Edition,2010",356,India,English
Nuclear Physics,এস এন ঘোষাল,"TK. 1,125","",https://rokomari.com//book/167175/nuclear-physics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Nuclear Physics,S N Ghoshal, , ,S Chand & Co Ltd,9788121904131,"1st edition,1989",300,India,English
A Textbook of Company Law,পি. পি. এস. গোগ্না,TK. 711,"",https://rokomari.com//book/181525/a-textbook-of-company-law,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a24e57455_181525.jpg,"",A Textbook of Company Law,P. P. S. Gogna, , ,S Chand & Co Ltd,9789352531202,"11th Edition,2016",576,India,English
ISC PHYSICS FOR CLASS-12,পি. বিবেকানন্দ ,"TK. 1,420","",https://rokomari.com//book/113702/isc-physics-for-class-12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/87ed319a7_113702.jpg,"",ISC PHYSICS FOR CLASS-12,P. Vivekanandan, , ,S Chand & Co Ltd,9788121920360,2009,1552,India,English
"Advanced Engineering Mathmatics, 22th Edition",এইচ কে দাস,"TK. 1,618","",https://rokomari.com//book/194192/advanced-engineering-mathmatics--22th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cee93d1f3_194192.jpg,"","Advanced Engineering Mathmatics,22th Edition",H K Dass, , ,S Chand & Co Ltd,9789352533831,"22th Edition,2017",1409,India,English
Strength of Materials : Mechanics of Solids  ,আর এস খুরমি ,"TK. 1,071","",https://rokomari.com//book/70942/strength-of-materials---mechanics-of-solids,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150807_70942.gif,"",Strength of Materials : Mechanics of Solids,R. S. Khurmi, , ,S Chand & Co Ltd,9788121928229,"24th Edition,2006",880,India,English
Basic Electronics(Solid State) In Multi Color Edition,বি. এল. থেরাজা,TK. 990,"",https://rokomari.com//book/181523/basic-electronics-solid-state--in-multi-color-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8028231d1_181523.jpg,"",Basic Electronics(Solid State) In Multi Color Edition,B. L. Theraja, , ,S Chand & Co Ltd,9788121925556,"1st Edition,2006",736,India,English
A Handbook of Practical Auditing  ,বি অ্যান ট্যান্ডন ,TK. 810,"",https://rokomari.com//book/59514/a-handbook-of-practical-auditing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ef1dea40e_59514.jpg,"",A Handbook of Practical Auditing,B N Tandon, , ,S Chand & Co Ltd,9788121920414,"Revised Edition,2007",654,India,English
