Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
দিব্যজননী সারদা,স্বামী আত্মবোধানন্দ,TK. 270,"",https://rokomari.com//book/201678/dibyojononi-saroda,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/120406f56_201678.jpg,"",দিব্যজননী সারদা,স্বামী আত্মবোধানন্দ, , ,রূপকথা (ভারত), ,"2nd Edition,2011",223,ভারত,বাংলা
স্বাধীনতা সংগ্রামে কৃষক বিদ্রোহ,অসীম চট্টোপাধ্যায়,TK. 63,"",https://rokomari.com//book/169150/swadhinata-songrame-krishok-bidryaho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বাধীনতা সংগ্রামে কৃষক বিদ্রোহ,অসীম চট্টোপাধ্যায়, , ,রূপকথা (ভারত), ,2009, ,ভারত,বাংলা
স্বাধীনতা সংগ্রামে ভারত,অসীম চট্টোপাধ্যায়,TK. 63,"",https://rokomari.com//book/169146/swadhinata-songrame-varot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বাধীনতা সংগ্রামে ভারত,অসীম চট্টোপাধ্যায়, , ,রূপকথা (ভারত), ,2009, ,ভারত,বাংলা
স্বাধীনতা সংগ্রামে ভারত,অসীম চট্টোপাধ্যায়,TK. 108,"",https://rokomari.com//book/169156/swadhinata-songrame-varot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বাধীনতা সংগ্রামে ভারত,অসীম চট্টোপাধ্যায়, , ,রূপকথা (ভারত), ,2011, ,ভারত,বাংলা
আপন কথায়,শচীনারায়ণ চট্টোপাধ্যায়,TK. 72,"",https://rokomari.com//book/169161/apon-kotay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আপন কথায়,শচীনারায়ণ চট্টোপাধ্যায়, , ,রূপকথা (ভারত), ,2012, ,ভারত,বাংলা
শহিদ স্মৃতি: স্বাধীনতা সংগ্রামে উৎসর্গীত প্রাণ শহিদের পরিচয়মালা,পার্থপ্রতিম রায়চৌধুরি,TK. 72,"",https://rokomari.com//book/169164/shohid-smriti--swadhinata-songrame-uthsorgito-pranh-shohider-porichoymala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শহিদ স্মৃতি: স্বাধীনতা সংগ্রামে উৎসর্গীত প্রাণ শহিদের পরিচয়মালা,পার্থপ্রতিম রায়চৌধুরি, , ,রূপকথা (ভারত), ,2012, ,ভারত,বাংলা
শ্রীশ্রীরামকৃষ্ণ-লীলামৃত,বৈকুন্ঠনাথ সান্ন্যাল,TK. 360,"",https://rokomari.com//book/169166/shreeshreeramkrishna-lilamrito,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শ্রীশ্রীরামকৃষ্ণ-লীলামৃত,বৈকুন্ঠনাথ সান্ন্যাল, , ,রূপকথা (ভারত), ,2014, ,ভারত,বাংলা
রিইউনিয়ান,ফ্রেড উইলমান,TK. 90,"",https://rokomari.com//book/169170/reunian,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রিইউনিয়ান,ফ্রেড উইলমান, , ,রূপকথা (ভারত), ,2014, ,ভারত,বাংলা
বাঘ-সিংহের লড়াই,প্রভাতকুমার গোস্বামী,TK. 63,"",https://rokomari.com//book/169174/bagh-singher-lorai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাঘ-সিংহের লড়াই,প্রভাতকুমার গোস্বামী, , ,রূপকথা (ভারত), ,2014, ,ভারত,বাংলা
স্বাধীনতা সংগ্রামের কিশোর সেনানী,মণিদীপা সাহা,TK. 63,"",https://rokomari.com//book/169178/swadhinata-songramer-kishor-senani,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বাধীনতা সংগ্রামের কিশোর সেনানী,মণিদীপা সাহা, , ,রূপকথা (ভারত), ,2014, ,ভারত,বাংলা
শ্রীরামকৃষ্ণ ও তাঁর শিষ্যবৃন্দ,সিস্টার দেবমাতা,TK. 414,"",https://rokomari.com//book/169184/sreeramkrishna-o-tar-shiswabrindo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শ্রীরামকৃষ্ণ ও তাঁর শিষ্যবৃন্দ,সিস্টার দেবমাতা, , ,রূপকথা (ভারত), ,2015, ,ভারত,বাংলা
স্বাধীনতা সংগ্রামে কৃষক বিদ্রোহ,অসীম চট্টোপাধ্যায়,TK. 90,"",https://rokomari.com//book/169154/swadhinata-songrame-krishok-bidryaho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বাধীনতা সংগ্রামে কৃষক বিদ্রোহ,অসীম চট্টোপাধ্যায়, , ,রূপকথা (ভারত), ,2011, ,ভারত,বাংলা
