Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
অঙ্কের মানুষ,কমলবিকাশ বন্দ্যোপাধ্যায়,TK. 90,"",https://rokomari.com//book/168915/ongker-manush,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অঙ্কের মানুষ,কমলবিকাশ বন্দ্যোপাধ্যায়, , ,রূপালী  (ভারত), ,2011, ,ভারত,বাংলা
"চট্টগ্রাম অভ্যুত্থানে (১৯৩৬-১৯৪১) মুসলমান, বৌদ্ধ এবং সমগ্র মহিলা সমাজ",বিশ্বনাথ বন্দ্যোপাধ্যায়,TK. 270,"",https://rokomari.com//book/168920/chattagram-ovyuthane--1936-1941--musalman-boudya-ebong-somogro-mohila-somaj,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","চট্টগ্রাম অভ্যুত্থানে (১৯৩৬-১৯৪১) মুসলমান,বৌদ্ধ এবং সমগ্র মহিলা সমাজ",বিশ্বনাথ বন্দ্যোপাধ্যায়, , ,রূপালী  (ভারত), ,2011, ,ভারত,বাংলা
গল্প কিন্তু গল্প নয়,সব্যসাচী চট্টোপাধ্যায়,TK. 117,"",https://rokomari.com//book/168924/golpo-kintu-golpo-noy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গল্প কিন্তু গল্প নয়,সব্যসাচী চট্টোপাধ্যায়, , ,রূপালী  (ভারত), ,2011, ,ভারত,বাংলা
বাঁক: গল্প সংকলন,বিশ্বজিৎ বন্দোপাধ্যায়,TK. 108,"",https://rokomari.com//book/168934/bak--golpo-songkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাঁক: গল্প সংকলন,বিশ্বজিৎ বন্দোপাধ্যায়, , ,রূপালী  (ভারত), ,2012, ,ভারত,বাংলা
মিছিল,তরুণ বাউরি,TK. 144,"",https://rokomari.com//book/168938/michil,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মিছিল,তরুণ বাউরি, , ,রূপালী  (ভারত), ,2013, ,ভারত,বাংলা
ভেজালের জালে খাদ্য,জয়ন্ত দাস,TK. 90,"",https://rokomari.com//book/168942/vejaler-jale-khadya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভেজালের জালে খাদ্য,জয়ন্ত দাস, , ,রূপালী  (ভারত), ,2014, ,ভারত,বাংলা
গণিতচর্চায় গলদ,আব্দুল হালিম সেখ,TK. 126,"",https://rokomari.com//book/168945/gonitchorchay-golod,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গণিতচর্চায় গলদ,আব্দুল হালিম সেখ, , ,রূপালী  (ভারত), ,2014, ,ভারত,বাংলা
দ্বিশতবর্ষে রেভারেন্ড কৃষ্ণমোহন বন্দ্যোপাধ্যায়,গৌতম দে,TK. 315,"",https://rokomari.com//book/168947/dbishotoborsho-revarend-krishnamohon-bondhopadyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দ্বিশতবর্ষে রেভারেন্ড কৃষ্ণমোহন বন্দ্যোপাধ্যায়,গৌতম দে, , ,রূপালী  (ভারত), ,2014, ,ভারত,বাংলা
সেই আনন্দ,চন্দ্রা রায়,TK. 234,"",https://rokomari.com//book/168949/sei-anondo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সেই আনন্দ,চন্দ্রা রায়, , ,রূপালী  (ভারত), ,2014, ,ভারত,বাংলা
নদীয়া জেলার অসংগঠিত ক্ষেত্রের শিল্প ও শ্রমিকঃ,তুষার বরণ হালদার,TK. 450,"",https://rokomari.com//book/168951/nodia-jelar-osongothito-khetrer-shilpo-o-shromik,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নদীয়া জেলার অসংগঠিত ক্ষেত্রের শিল্প ও শ্রমিকঃ,তুষার বরণ হালদার, , ,রূপালী  (ভারত), ,2014, ,ভারত,বাংলা
বিশ্বায়ন ও সাম্প্রদায়িক রাজনীতি,বিপ্লব সিদ্ধান্ত,TK. 315,"",https://rokomari.com//book/168953/bishayon-o-samprodaik-rajniti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিশ্বায়ন ও সাম্প্রদায়িক রাজনীতি,বিপ্লব সিদ্ধান্ত, , ,রূপালী  (ভারত), ,2014, ,ভারত,বাংলা
