Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Properties of Matter,আর. মুরুগেশান,TK. 720,"",https://rokomari.com//book/205785/properties-of-matter,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/94500c8d6_205785.jpg,"",Properties of Matter,R. Murugeshan, , ,S. Chand Publishing,9788121906050,"Reprint,2020",220,Abroad,English
Business Law,বিবেক কুচ্ছাল,TK. 900,"",https://rokomari.com//book/207157/business-law,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ef73991ca_207157.jpg,"",Business Law,"Vivek Kuchhal,M.C. Kuchhal", , ,S. Chand Publishing,9789352714766,"1st Reprint,2019",449,India,English
Quantitative Aptitude for Competitive Examinations,আর. এস. আগারওয়াল,"TK. 1,348","",https://rokomari.com//book/188823/quantitative-aptitude-for-competitive-examinations,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/96c439d1e_188823.jpg,"",Quantitative Aptitude for Competitive Examinations,R. S. Aggarwal, , ,S. Chand Publishing,9789352534029,"Revised Edition,2017",960,India,English
Quantitative Aptitude For Competitive Examinations,আর. এস. আগারওয়াল,"TK. 1,143","",https://rokomari.com//book/151668/quantitative-aptitude-for-competitive-examinations,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/616374b93_151668.jpg,"",Quantitative Aptitude For Competitive Examinations,R. S. Aggarwal, , ,S. Chand Publishing,9788121924986,"1st Edition,2015",726,India,English
"A Textbook of Organic Chemistry, 22th Edition",অরুন ব্যাল,"TK. 1,395","",https://rokomari.com//book/124440/a-textbook-of-organic-chemistry--22th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/12dd8189a_124440.jpg,"","A Textbook of Organic Chemistry,22th Edition","Arun Bahl,B S Bahl", , ,S. Chand Publishing,9789352531967,"Edition,2015",1108,India,English
Insurance Principles And Practice ,এস বি মিসরা,TK. 898,"",https://rokomari.com//book/147348/insurance-principles-and-practice,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/05957fcc5_147348.jpg,"",Insurance Principles And Practice,"S B Mishra,M N Mishra", , ,S. Chand Publishing,9789385676079,"22th Edition,2016",1024,India,English
Select Constitution (Paperback),অনুপ চাঁদ কাপুর,"TK. 1,071","",https://rokomari.com//book/106243/select-constitution--paperback-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20151101_106243.gif,"",Select Constitution (Paperback),"Anup Chand Kapur,K. K. Misra", , ,S. Chand Publishing,9788121907132,"16th Edition,2010",1104,India,English
Advanced Practical Zoology,পি সি শ্রীবাস্তবা,TK. 538,"",https://rokomari.com//book/186814/advanced-practical-zoology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3fe0fe80b_186814.jpg,"",Advanced Practical Zoology,"P C Srivastava,P S Verma", , ,S. Chand Publishing,9788121905183,"1st Edition,2012",320,India,English
ISC Physics Book II for Class XII,পি. বিবেকানন্দ ,"TK. 1,775","",https://rokomari.com//book/154701/isc-physics-book-ii-for-class-xii,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a6304dbd0_154701.jpg,"",ISC Physics Book II for Class XII,"P. Vivekanandan,Dr. Anand V. Karthix,D.K. Banerjee", , ,S. Chand Publishing,9789352534906, , ,India,English
Electricity and Magnetism,আর. মুরুগেশান,TK. 765,"",https://rokomari.com//book/170110/electricity-and-magnetism,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c9eb29e3f_170110.jpg,"",Electricity and Magnetism,R. Murugeshan, , ,S. Chand Publishing,9789352534319,"10th Edition,2017",488,India,English
Scilab (A Free Software to Matlab),হেমা রামচন্দ্রন,TK. 450,"",https://rokomari.com//book/115860/scilab--a-free-software-to-matlab-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a47946019_115860.jpg,"",Scilab (A Free Software to Matlab),Hema Ramchandran, , ,S. Chand Publishing,9788121939706,"1st Edition,2011",212,India,English
Irrigation Engineering and Hydraulic Structures,এস কে শর্মা,"TK. 1,598","",https://rokomari.com//book/160713/irrigation-engineering-and-hydraulic-structures,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a39a87714_160713.jpg,"",Irrigation Engineering and Hydraulic Structures,S.K. Sharma, , ,S. Chand Publishing,9789352533770,"1st edition,2017",1174,India,English
A Course In Telecommunication Engineering,মাইকেল কোলাওল,TK. 180,"",https://rokomari.com//book/116804/a-course-in-telecommunication-engineering,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d84dcbd91624_116804.gif,"",A Course In Telecommunication Engineering,Michael Kolawole, , ,S. Chand Publishing,9788121932639,"1st Edition,2010",156,India,English
Advanced Economic Theory : Microeconomic Analysis ,ড. এইচ.এল. অহুজা,"TK. 1,305","",https://rokomari.com//book/137696/advanced-economic-theory---microeconomic-analysis,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5ee3d2184_137696.jpg,"",Advanced Economic Theory : Microeconomic Analysis,Dr. H.L. Ahuja, , ,S. Chand Publishing,9789352533329,২১ তম,1347,India,English
