Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
The Quran and Modern Science,ডঃ মরিচ বুকাইলি,TK. 90,"",https://rokomari.com//book/121703/the-quran-and-modern-science,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3e0ff2568_121703.jpg,"",The Quran and Modern Science,Dr. Maurice Bucaille, , ,Saheeh International,9781517617622,"1st Edition,2015",182,Saudi Arabia,English
Muhammad- The Prophet of Islam,কে এস রামকৃষ্ণা রাও,TK. 60,TK. 55,https://rokomari.com//book/121689/muhammad--the-prophet-of-islam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/890a3968e_121689.jpg,"",Muhammad- The Prophet of Islam,K.S. Ramakrishna Rao, , ,Saheeh International,9960887065, ,32,Saudi Arabia,English
Islam Today,সাইয়েদ আবুল আলা মওদূদী,TK. 81,"",https://rokomari.com//book/121682/islam-today,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4e58c87c0_121682.jpg,"",Islam Today,Saiyed Abul Ala Moududee, , ,Saheeh International, , , ,Saudi Arabia,English
What is His Name?,আহমেদ দিদাত,TK. 60,"",https://rokomari.com//book/121714/what-is-his-name-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bf575e390_121714.jpg,"",What is His Name?,Ahmed Deedat, , ,Saheeh International, , , ,Saudi Arabia,English
Is the Bible God's Word?,ডার আবুল-কাসিম,TK. 90,"",https://rokomari.com//book/121681/is-the-bible-god-s-word-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/36192386a_121681.jpg,"",Is the Bible God's Word?,Dar Abul-Qasim, , ,Saheeh International, , , ,Saudi Arabia,English
The True Religion of God ,ড.আবূ আমিনা বিলাল ফিলিপ্‌স,TK. 60,"",https://rokomari.com//book/151096/the-true-religion-of-god,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cca5401d5_151096.jpg,"",The True Religion of God,Dr. Abu Ameena Bilal Phillips, , ,Saheeh International, , , ,Saudi Arabia,English
Human development as revealed in the Holy Quran and Hadith : (the creation of man between medicine and the Quran),মুহাম্মাদ আলী আলবার,TK. 580,"",https://rokomari.com//book/150812/human-development-as-revealed-in-the-holy-quran-and-hadith----the-creation-of-man-between-medicine-and-the-quran-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3c72bb00c_150812.jpg,"",Human development as revealed in the Holy Quran and Hadith : (the creation of man between medicine and the Quran),Mohammed Ali Albar, , ,Saheeh International,9960260011 ,"5th Edition,2012",149,Saudi Arabia,English
Surah al Kahf : An Ayah by Ayah Explanation of this Important Chapter of the Qur'an,সহীহ ইন্টারন্যাশনাল,TK. 280,"",https://rokomari.com//book/150980/surah-al-kahf---an-ayah-by-ayah-explanation-of-this-important-chapter-of-the-qur-an,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c47a3f317_150980.jpg,"",Surah al Kahf : An Ayah by Ayah Explanation of this Important Chapter of the Qur'an,Saheeh International, , ,Saheeh International,9789960887449,"1st Edition,2010",105,Saudi Arabia,English
Resurrection or Resuscitation,ডার আবুল-কাসিম,TK. 30,"",https://rokomari.com//book/121692/resurrection-or-resuscitation,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/05059d4f3_121692.jpg,"",Resurrection or Resuscitation,Dar Abul-Qasim, , ,Saheeh International, , , ,Saudi Arabia,English
An Explanation of the Four Fundamentals Principles ,ইসলামিক সেন্টার,TK. 150,"",https://rokomari.com//book/150736/an-explanation-of-the-four-fundamentals-principles,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/738879000_150736.jpg,"",An Explanation of the Four Fundamentals Principles,Islamic Center, , ,Saheeh International,9789960581354,"1st Edition,2007", ,Saudi Arabia,English
