Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
অ্যা ওয়াক টু রিমেমবার,নিকোলাস স্পার্কস ,TK. 300,TK. 210,https://rokomari.com//book/115251/a-walk-to-remember,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6c89d5cc8134_115251.gif,"",অ্যা ওয়াক টু রিমেমবার,নিকোলাস স্পার্কস,রাব্বি উস সানী, ,সবুজপাতা,9789849129318,"1st Published,2016",237,বাংলাদেশ,বাংলা
বাংলাদেশ অ্যা লিগ্যাসি অব ব্লাড,অ্যান্থনী ম্যাসকারেনহাস,TK. 250,TK. 175,https://rokomari.com//book/160555/bangladesh-a-legacy-of-blood,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9508d4d7b_160555.jpg,"""বাংলাদেশ অ্যা লিগ্যাসি অব ব্লাড"" বইয়ের ফ্ল্যাপের কভারের লেখা:

১৯৭১ সালে বাংলাদেশের স্বাধীনতা যুদ্ধ। চলাকালীন সময় তিনি বাংলাদেশে সংঘটিত গণহত্যা ও অন্যান্য ঘটনা পর্যবেক্ষণপূর্বক বিশ্ববাসীর কাছে সর্বপ্রথম উন্মােচিত করেন। এ নিয়ে আন্তর্জাতিক সংবাদমাধ্যমে লিখেন যা বাংলাদেশের প্রকৃত অবস্থা সম্পর্কে বিশ্ববাসীকে সচেতন করে তুলতে সাহায্য করেছিল।",বাংলাদেশ অ্যা লিগ্যাসি অব ব্লাড,অ্যান্থনী ম্যাসকারেনহাস, , ,সবুজপাতা,9789849129493,"1st Published,2018",192,বাংলাদেশ,বাংলা
রিচ ড্যাড পুওর ড্যাড,রবার্ট টি. কিয়োসাকি,TK. 300,TK. 210,https://rokomari.com//book/171603/rich-dad-poor-dad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/50e85a245_171603.jpg,"“রিচ ড্যাড পুওর ড্যাড (ধনীরা তাদের সন্তানদের টাকা পয়সার ব্যাপারে কি শেখায়, যা গরিব ও মধ্যবিত্ত শ্রেণী শেখায় না)”  বইটির সূচিপত্রঃ
১ম অধ্যায় : ধনবান বাবা, গরিব বাবা 
২য় অধ্যায় : প্রথম শিক্ষা - ধনীরা অর্থের জন্য কাজ করে না 
৩য় অধ্যায় : দ্বিতীয় শিক্ষা - অর্থনৈতিক জ্ঞানের শিক্ষা কেন দেওয়া উচিত? 
৪র্থ অধ্যায় : তৃতীয় শিক্ষা - শুধু নিজের কাজে মনােযােগ দিন 
৫ম অধ্যায় : চতুর্থ শিক্ষা - কর এবং কর্পোরেশনের ক্ষমতা 
৬ষ্ঠ অধ্যায় : পঞ্চম শিক্ষা - ধনীরা অর্থ তৈরি করে 
৭ম অধ্যায় : ষষ্ঠ শিক্ষা - শেখার জন্য কাজ করুন, অর্থের জন্য নয়
আরম্ভ 
৮ম অধ্যায় : বাধা অতিক্রম করা 
৯ম অধ্যায় : শুরু করা 
১০ম অধ্যায় : আরও কিছু চাই কি? কিছু করণীয় 
উপসংহার : কী করে একজন শিশুর কলেজের লেখাপড়া মাত্র ৭০০০ডলারে দেওয়া যায়।",রিচ ড্যাড পুওর ড্যাড,রবার্ট টি. কিয়োসাকি,ড.জয়শ্রী বন্দ্যোপাধ্যায়, ,সবুজপাতা,9789849129547,"1st Published,2018",211,বাংলাদেশ,বাংলা
উইটনেস টু সারেন্ডার,সিদ্দিক সালিক,TK. 350,TK. 245,https://rokomari.com//book/163827/witness-to-surrender,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ffc7fb790_163827.jpg,"""উইটনেস টু সারেন্ডার"" বইয়ের পিছনের কভারের লেখা:
নিয়াজীর আত্মসমর্পণের দলিল সিদ্দিক সালিক প্রণীত উইটনেস টু সারেন্ডার গ্রন্থের বাংলা অনুবাদ। লেখক পাকিস্তান সেনাবাহিনীতে আসার আগে লাহাের বিশ্ববিদ্যালয়ের প্রভাষক ছিলেন। সাংবাদিকতার সাথেও ছিলেন কিছুকাল জড়িত। পাকিস্তান সেনাবাহিনীতে মেজর পদে উন্নীত হবার পর সাবেক পূর্ব-পাকিস্তানে তিনি বদলি হয়ে আসেন লেফটেন্যান্ট জেনারেল। সাহেবজাদা ইয়াকুব খানের জনসংযােগ অফিসার হিসেবে। পরবর্তীতে তিনি লেফটেন্যান্ট জেনারেল টিক্কা খান এবং লেফটেন্যান্ট জেনারেল এএকে নিয়াজীর জনসংযােগ। অফিসারের দায়িত্ব পালন করেন। বাংলাদেশের মুক্তিযুদ্ধের সমগ্র সময়কাল তিনি জেনারেল নিয়াজীর পাশেই ছিলে। এবং বাংলাদেশের মানুষের বিরুদ্ধে পাকসামরিক জান্তার চক্রান্ত তিনি । খুব কাছ থেকেই দেখেছেন। তারই বস্তুনিষ্ঠ বিবরণ নিয়াজীর। আত্মসমর্পণের দলিল। সিদ্দিক সালিক সাবেক পূর্ব-পাকিস্তানের ওপর পশ্চিম-পাকিস্তানের শােষণের অভিযােগের সত্যতা অকুণ্ঠচিত্তে স্বীকার করেছেন। পাশাপাশি তিনি একজন অনুগত পাকিস্তানি ছিলেন বলে বাংলাদেশের মাটিতে পাকবাহিনীর বিপর্যয়ে এতে। তার আর্তচিৎকার ধ্বনিত হয়েছে। পুস্তকটি সচেতনমনস্ক পাঠকের আগ্রহ সৃষ্টি করতে পারবে বলে আমাদের বিশ্বাস।",উইটনেস টু সারেন্ডার,সিদ্দিক সালিক,আজিজুল হক, ,সবুজপাতা,9789849129516,"1st Published,2017",238,বাংলাদেশ,বাংলা
দ্য আলকেমিস্ট,পাওলো কোয়েলহো,TK. 200,TK. 140,https://rokomari.com//book/171604/the-alchemist,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bce6a817d_171604.jpg,"""দ্য আলকেমিস্ট"" বইয়ের ভূমিকার অংশ থেকে:সান্তিয়াগাে এক সামান্য রাখাল বালক। বাস স্পেনে। সঙ্গী তার ভেড়ার পাল। ভেড়াদের মাঠে চড়ানাের মাঝেই কেটে যায় দিন। তবে স্বপ্ন নামক বস্তুটি তাকে বারবার তাড়না দিয়ে যাচ্ছে। কীসের তাড়না? তার জন্য সেই সুদূর মরুভূমিতে লুকায়িত রয়েছে গুপ্তধন। তবে সান্তিয়াগাে স্বপ্নের মত সাধারণ কিছু উড়িয়ে দেওয়ার পাত্র নয়। আসলেই কী স্বপ্ন সাধারণ কিছু? সান্তিয়াগাের কাছে স্বপ্ন সাধারণ কিছু নয়। তাই তাে সে স্বপ্নের পিছু পাড়ি দিতে চলেছে সুবিশাল মরুভূমি।
কিন্তু স্বপ্নের বাস্তবায়ন কী এতই সহজ? মােটেই না! দীর্ঘ একটা পথ পাড়ি দিতে হবে-শিখতে হবে অনেক কিছু। তারপর নানা পরীক্ষার মধ্য দিয়ে উত্তীর্ণ হলেই কেবল সম্ভব স্বপ্নের বাস্তবায়ন। সান্তিয়াগাের জন্য অপেক্ষা করছে এক দুঃসাহসিক অভিযান! সান্তিয়াগােও নিজের স্বপ্ন বাস্তবায়নে বদ্ধপরিকর। তাই সে বেরিয়ে পরেছে সেই অচেনা পথে। তার সম্বল হলাে অসীম সাহস।",দ্য আলকেমিস্ট,পাওলো কোয়েলহো,রাব্বি উস সানী, ,সবুজপাতা,9789849129530,"1st Published,2018",128,বাংলাদেশ,বাংলা
দ্য স্ট্রাগল ইজ মাই লাইফ,নেলসন ম্যান্ডেলা,TK. 500,TK. 350,https://rokomari.com//book/91829/the-stragol-is-my-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/13cfafb6d_91829.jpg,"""দ্য স্ট্রাগল ইজ মাই লাইফ"" বইয়ের সংক্ষিপ্ত কথা:
নেলসল ম্রান্ডেলা ১৯১৮ সালে জন্ম গ্রহন করেন দক্ষিণ আফ্রিকার প্রত্যান্ত অঞ্চলের এক উপজাতীয় পরিবারে। প্রত্বান্ত গ্রাম অঞ্চল থেকে কালো একজন মানুষের উত্থান, হলেন বিশ্ব নন্দিত নেতা। বলা হয় পৃথিবীর কালো মানুষের ভাগ্য বদলের কান্ডরী। নেলসল ম্যান্ডেলা একটি চিঠিতে লিখেছেন:- সংগ্রামই আমার জীবন, জীবনের শেষ দিন পর্যন্ত আমি সংগ্রাম চালিয়ে যাবো। হ্যা তিনি সংগ্রাম চালিয়ে গেছেন এবং তিনি তার লক্ষে সফল হয়েছেন। এই সফলতা পেতে তাকে কঠোর পরিশ্রমসহ কঠিন নির্যাতন সহ্য করতে হয়েছে। ছোট বেলা থেকে ম্যান্ডেলা কঠোর পরিশ্রমি ছিলেন।  তিনি আইন বিষয়ে পড়ার জন্য লক্ষ স্থীর করেন কিন্তু বাধা আসে তাই তাকে বাড়ি থেকে বের হতে হয়েছে। তিনি চলে আসেন জোহানেসবার্গে। সেখানে পরিচয় হয় ওয়াল্টার সিসুলা সঙ্গে। তিনিই ম্যান্ডেলাকে আইন বিষয়ে পড়ালেখা করার সুযোগ করে দেন। আস্তে আস্তে তিনি সংগঠন গড়ে তোলেন, বর্ণ বৈষম্য সমাজ ব্যবস্থার পরিবর্তনের লক্ষে এই সংগঠন করজ করতে থাকে। এই সংগঠনের মধ্যদিয়ে ম্যান্ডেলার মুক্তি সংগ্রামী জীবন শুরু হয়। তাকে অনেক বার কারা বরণ করতে হয়েছে। দিনে দিনে তার জনপ্রীয়োতা ছড়িয়ে পড়ে চারি দিকে। ১৯৯০ সালে দেশের সরকার ম্যান্ডেলার সাথে  বৈঠক করে এবং তাকে মুক্তি দিতে বাধ্য হয়। এবং তার বিষয় বস্তুগুলোকে আমোলে নেওয়া হয়। ম্যান্ডেলার উপরে অত্যাচারের কথা উল্যেখ করে ‘লন্ডন টােইমস’ মন্তব্য করে বলেছেন, ইতিহাসের রায় কিন্তু ভবিষতে এ কথাই বলবে যে ক্ষমতাসীন সরকার পক্ষই ছিল অপরাধী অভিযুক্তরা নয়। নেলসল ম্যান্ডেলা লিখেছেন যে কোন মুক্ত মানুষের উচ্চতম আকাঙক্ষা হলো অত্যাচারের বিনাস করা। তিনি দেশের রাষ্ট্রপতি হলেন, পেলেন পৃথিবীর সব থেকে বড় সন্মান পদক (নবেল)। তিনি ২০১৩ সালে মৃত্যুবরণ করেন।",দ্য স্ট্রাগল ইজ মাই লাইফ,নেলসন ম্যান্ডেলা,"প্রবীর রায়,নীলাঞ্জন দত্ত", ,সবুজপাতা,9789849129424,"Revised Edition,2017",400,বাংলাদেশ,বাংলা
মাই জার্নি,এ. পি. জে. আবদুল কালাম,TK. 370,TK. 259,https://rokomari.com//book/163833/my-journey--swopnoke-bastobota-prodan-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4a99ec18d_163833.jpg,"",মাই জার্নি,এ. পি. জে. আবদুল কালাম,রাব্বি উস সানী, ,সবুজপাতা,9789849129219,"3rd Print,2018",168,বাংলাদেশ,বাংলা
হাজার চুরাশির মা (জ্ঞানপীঠ পুরস্কার এ ভূষিত),মহাশ্বেতা দেবী,TK. 100,TK. 70,https://rokomari.com//book/91847/hazar-churashir-ma,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150827_91847.gif,"",হাজার চুরাশির মা (জ্ঞানপীঠ পুরস্কার এ ভূষিত),মহাশ্বেতা দেবী, , ,সবুজপাতা,9789849128830,"1st Published,2015",96,বাংলাদেশ,বাংলা
অগ্নিপক্ষ,এ. পি. জে. আবদুল কালাম,TK. 400,TK. 280,https://rokomari.com//book/163832/ognipokkho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/809791756_163832.jpg,"",অগ্নিপক্ষ,এ. পি. জে. আবদুল কালাম,রাব্বি উস সানী, ,সবুজপাতা,9789849128984,"5th Print,2016",224,বাংলাদেশ,বাংলা
মাহাথির মোহাম্মদ : অ্যা পলিটিক্যাল বায়োগ্রাফি,রাব্বি উস সানী,TK. 350,TK. 245,https://rokomari.com//book/126979/mahathir-muhammed---a-political-biography,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/acfa8f311214_126979.jpg,"",মাহাথির মোহাম্মদ : অ্যা পলিটিক্যাল বায়োগ্রাফি,"রাব্বি উস সানী,টম প্লেট",রাব্বি উস সানী, ,সবুজপাতা,9789849129370,"1st Published,2016",256,বাংলাদেশ,বাংলা
