Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Untranquil Recollections: The Years of Fulfilment,প্রফেসর রেহমান সোবহান,"TK. 2,250","",https://rokomari.com//book/108173/untranquil-recollections--the-years-of-fulfilment,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/97b91294a514_108173.gif,"",Untranquil Recollections: The Years of Fulfilment,Prof. Rehman Sobhan, , ,Sage,9789351503217,"1st Published,2015",486,India,English
Human Resource Information Systems  ,কাভানাগহ,"TK. 1,070","",https://rokomari.com//book/71298/human-resource-information-systems,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/acaeb1015_71298.jpg,"",Human Resource Information Systems,Kavanagh, , ,Sage,9788132108726,"2nd Edition,2011",648,India,English
Training and Development: Theories and Applications,ডিপাক কুমার ভট্টাচার্য,TK. 630,"",https://rokomari.com//book/163336/training-and-development--theories-and-applications,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e6d13b867_163336.jpg,"",Training and Development: Theories and Applications,Dipak Kumar Bhattacharyya, , ,Sage,9789351501404,"1st Edition,2015",348,India,English
Abnormal Psychology: Neuroscience Perspectives on Human Behavior and Experience,উইলিয়াম জে অ্যান্ড রে,TK. 990,"",https://rokomari.com//book/163341/abnormal-psychology--neuroscience-perspectives-on-human-behavior-and-experience,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b539c3ce8_163341.jpg,"",Abnormal Psychology: Neuroscience Perspectives on Human Behavior and Experience,William J and Ray, , ,Sage,9789351502920,"1st Edition,2015",680,India,English
Positive Psychology: The Scientific and Practical Explorations of Human Strengths,স্নাইডার,"TK. 1,521","",https://rokomari.com//book/163342/positive-psychology--the-scientific-and-practical-explorations-of-human-strengths,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a35e57a2f_163342.jpg,"",Positive Psychology: The Scientific and Practical Explorations of Human Strengths,Snyder, , ,Sage, 9788132107507,"2nd Edition,2011", ,India,English
Emotional Intelligence at Work: A Professional Guide,ডালিপ সিং,TK. 945,"",https://rokomari.com//book/163348/emotional-intelligence-at-work--a-professional-guide,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/abf14f3ab_163348.jpg,"",Emotional Intelligence at Work: A Professional Guide,Dalip Singh, , ,Sage,9789351501022,"4th Edition,2015",200,India,English
Human Drama Inc: Emotional Intelligence in the Workplace,নিতা মহল,TK. 675,"",https://rokomari.com//book/163356/human-drama-inc--emotional-intelligence-in-the-workplace,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8d6af91be_163356.jpg,"",Human Drama Inc: Emotional Intelligence in the Workplace,Neeta Mohla, , ,Sage,9789351502906,"1st Edition,2015",192,India,English
Psychology for India,দুর্গানন্দ সিনহা,"TK. 1,251","",https://rokomari.com//book/163365/psychology-for-india,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/223e47258_163365.jpg,"",Psychology for India,Durganand Sinha, , ,Sage,9789351503675,"1st Edition,2015",260,India,English
Death Wasnt Painful: Stories of Indian Fighter Pilots from the 1971 War,ধীরেন্দ্র সিং জাফা,"TK. 1,125","",https://rokomari.com//book/162354/death-wasnt-painful--stories-of-indian-fighter-pilots-from-the-1971-war,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f7412f075_162354.jpg,"",Death Wasnt Painful: Stories of Indian Fighter Pilots from the 1971 War,Dhirendra Singh Jafa, , ,Sage,9788132117896,"1st Edition,2014",268,India,English
"Rural Development: Principles, Policies, and Management",কাতার সিং,TK. 765,"",https://rokomari.com//book/173287/rural-development--principles--policies--and-management,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cda7f4b8d_173287.jpg,"","Rural Development: Principles,Policies,and Management","Katar Singh,Anil Shishodia", , ,Sage,9789351509981,"4th Edition,2016",358,India,English
Researching Information Systems and Computing  ,ব্রিওনি জে. ওয়েটস্‌ ,"TK. 6,465","",https://rokomari.com//book/71264/researching-information-systems-and-computing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150115_71264.gif,"",Researching Information Systems and Computing,Briony J Oates, , ,Sage,9781412902243,"1st Edition,2005",360,India,English
Creative Approaches to Problem Solving: A Framework for Innovation and Change ,স্কট জি. ইসাকসেন,"TK. 9,455","",https://rokomari.com//book/71387/creative-approaches-to-problem-solving--a-framework-for-innovation-and-change,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150526_71387.gif,"",Creative Approaches to Problem Solving: A Framework for Innovation and Change,Scott G. Isaksen, , ,Sage,9781412977739,"3rd Edition,2010",292,India,English
"Orientalism, Terrorism, Indigenism",পভন কে. মালরেড্ডি,"TK. 1,431","",https://rokomari.com//book/148911/orientalism--terrorism--indigenism,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ba83a765a_148911.jpg,"","Orientalism,Terrorism,Indigenism",Pavan K. Malreddy, , ,Sage,9789351501428,"1st Edition,2015",220,India,English
Terrorism: Patterns of Internationalization,জাইদেপ সাইকিয়া,"TK. 4,200","",https://rokomari.com//book/148912/terrorism--patterns-of-internationalization,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4a4306753_148912.jpg,"",Terrorism: Patterns of Internationalization,Jaideep Saikia, , ,Sage,9788178299518,"1st Edition,2009",316,India,English
