Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
জ্যোৎস্না কুড়াই জোনাক বনে,কাজী মোহিনী ইসলাম,TK. 70,TK. 63,https://rokomari.com//book/130834/josna-kurai-jonak-bone,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f719bf04ec14_130834.jpg,"",জ্যোৎস্না কুড়াই জোনাক বনে,কাজী মোহিনী ইসলাম, , ,সপ্তডিঙা,9789849227120,"1st Published,2016",16,বাংলাদেশ,বাংলা
আকবর দ্যা গ্রেট ,রণক ইকরাম ,TK. 80,TK. 72,https://rokomari.com//book/123582/akbar-the-great,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c290ce9b42e4_123582.jpg,"",আকবর দ্যা গ্রেট,রণক ইকরাম, , ,সপ্তডিঙা,9789849227281,"1st Published,2016",16,বাংলাদেশ,বাংলা
পাহাড়তলীর ভূত,শওকত ওসমান,TK. 80,TK. 72,https://rokomari.com//book/125760/pahar-tolir-vut,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f4a7722976f4_125760.jpg,"সুদূর হিমালয়ের একটেরে নাইনিতাল।।
ঐ জায়গার মায়া আমাকে আজ তিরিশ বছর বেঁধে রেখেছে। কেমন করে নদীর স্রোতে-ভাসা খড়কুটোর মত এইখানে পাহাড়তলীতে আটকে গেলাম, তা ভাল করে বুঝে উঠতে পারিনি।
অনেক দিন বাংলাদেশের কোন খোঁজ-খবর রাখিনি। খবরের কাগজের মরাফত যেটুকু ছাপ আসে সেইটুকু পর্যন্ত। ব্যাস? এর বেশি নয়।
বর্ষাকালের এক সকালে হঠাৎ আমার বাসায় স্কুল-জীবনের এক বন্ধু এসে হাজির। পাঁচ-সাত বছর আগে পর্যন্ত সে আমাকে চিঠি লিখত। এখন ডেপুটি ম্যাজিস্ট্রেট। তারপর আর কোন খবর রাখিনি, আজ তাকে সশরীরে দেখে আনন্দে উফুল্ল হয়ে উঠলুম।
এমন অসময়ে? চুপ কর। ছুটি কাটাতে এসেছি। আজ সাত-সাতটা বছর একটা চিঠি পর্যন্ত লিখিসনি। একটু ঘাবড়ে গেলুম। -তুই কি লিখেছিলি?
সেদিকে আমার দোষ নেই, বুঝলি। আমার চিঠির উত্তর না পেলে আমি উত্তর দেব কেন?
আমার বন্ধুর নাম মােস্তাক। অভিমান তার সত্যি সঙ্গত। আমিই তাকে চিঠির উত্তর দিইনি। -কুলীর কাছ থেকে মালপত্র বুঝে নে। রাখ বাজে কথা। সারা রাত ট্রেনে ঘুম হয়নি, কিছু খাওয়া আর ঘুমােবার ব্যবস্থা কর।
-সব ব্যবস্থা করে দিচ্ছি। | খুব খুশি হলুম অনেক বছর পরে। আজ বাংলা বলতে পেয়ে। হিন্দী আর পাহাড়ী ভাষায় জাবর কেটে, রুটি আর গােশত খেয়ে আমার বাঙালি ছাঁটকাট কিছু নেই। হঠাৎ দেখে বােঝাও মুশকিল। | বিকেলে বন্ধুকে নিয়ে শিকারে বেরুলুম। ম্যাজিস্ট্রেট মানুষ। শিকারীর সাজ-পােষাক পরা, হাতে রাইফেল। পাহাড়তলীতে আমার সুনাম যে আরাে বেড়ে যাবে তাতে সন্দেহ নেই। সবাই ভাববে আমার সাথে এমন সব লােকের আলাপ, যারা সাহেব। বন্ধুর সাথে হাঁটতে আমারও খুব ভাল লাগছিল। আজ কত বছর বাঙালি আদৃমী দেখিনি-উঃ।
সেদিন কিন্তু শিকার পাওয়া গেল না একটা ছােট হরিণ ছাড়া। পাহাড়তলী ছেড়ে বনের ভেতর বেশি দূরে যাইনি। কারণ বর্ষাকালে বড় সাপের ভয়।
প্রহর রাত্রির পর পাহাড়তীর এদিক-ওদিক ঘুরে বাড়ি ফিরলুম। আমার উঠানের সামনেই একটা চেনাবের গাছ ডালপালা ফেলে তলাটাকে ছায়াঘন করে রেখেছে।
| সেখানে দুটো চেয়ারে দুই জন মুখােমুখি হয়ে বসলুম। অনেক গল্প হলাে। বাংলাদেশের নদ-নদী, খাল-বিল। আশ্বিনের ছুটিতে পােটলাপুটলি হাতে, গায়ে-ঢােকার পথে ভিজে বাশ পাতার মর্মর আর কটু গন্ধ, মায়ের হঠাৎ হেসে ওঠা ডাক, “ক’টার ট্রেনে এলি”-সব আজ মােস্তাককে দেখে মনে পড়তে লাগল । কত দরে বাংলাদেশ!",পাহাড়তলীর ভূত,শওকত ওসমান, , ,সপ্তডিঙা,9789849227311,"1st Published,2016",16,বাংলাদেশ,বাংলা
এক যে ছিল মটরশুঁটি,আলী ইমাম,TK. 70,TK. 63,https://rokomari.com//book/117414/ek-j-chilo-motorshuti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b973e01fca94_117414.gif,"",এক যে ছিল মটরশুঁটি,আলী ইমাম, , ,সপ্তডিঙা, ,"1st Published,2016", ,বাংলাদেশ,বাংলা
এক কিশোর মুক্তিযোদ্ধার ডায়েরি,আসলাম সানী,TK. 70,TK. 49,https://rokomari.com//book/80289/ek-kishor-muktijoddar-diary,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1cf50d2c0e14_80289.gif,"",এক কিশোর মুক্তিযোদ্ধার ডায়েরি,আসলাম সানী, , ,সপ্তডিঙা, , , ,বাংলাদেশ,বাংলা
লাল্লু আর চাল্লু (শিশু-কিশোর নাটক)(অগ্রণী ব্যাংক শিশুসাহিত্য পুরস্কারপ্রাপ্ত গ্রন্থ),আমীরুল ইসলাম,TK. 120,TK. 106,https://rokomari.com//book/117086/lallu-ar-challu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/27b785d9ff94_117086.gif,"",লাল্লু আর চাল্লু (শিশু-কিশোর নাটক)(অগ্রণী ব্যাংক শিশুসাহিত্য পুরস্কারপ্রাপ্ত গ্রন্থ),আমীরুল ইসলাম, , ,সপ্তডিঙা, , , ,বাংলাদেশ,বাংলা
Change Exchange,ফরিদুর রেজা সাগর,TK. 80,TK. 72,https://rokomari.com//book/136451/change-exchange,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/aafda90e73e4_136451.jpg,"",Change Exchange,Faridur Reza Sagar,Rifat Kamal Saif, ,Saptodinga,9789849260691, , ,Bangladesh,English
যাদের জন্য পেলাম স্বাধীনতা,ইমরান পরশ,TK. 70,TK. 63,https://rokomari.com//book/117089/jader-jonno-pelam-swadinota,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d191853316f4_117089.gif,"",যাদের জন্য পেলাম স্বাধীনতা,ইমরান পরশ, , ,সপ্তডিঙা,9789849227250,"1st Published,2016",16,বাংলাদেশ,বাংলা
বাক্স ভরা মজার ছড়া,মুসতাফা আনসারী,TK. 135,TK. 119,https://rokomari.com//book/200892/box-vora-mojar-chora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3a22b2f91_200892.jpg,"",বাক্স ভরা মজার ছড়া,মুসতাফা আনসারী, , ,সপ্তডিঙা,9789849477235,"1st Published,2020", ,বাংলাদেশ,বাংলা
যাদের জন্য পেলাম বাংলা ভাষা,ইমরান পরশ,TK. 70,TK. 63,https://rokomari.com//book/121910/jader-jonno-pelam-bangla-vasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/00e93dbe0404_121910.gif,"",যাদের জন্য পেলাম বাংলা ভাষা,ইমরান পরশ, , ,সপ্তডিঙা,9789849227267,"1st Published,2016",16,বাংলাদেশ,বাংলা
