Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আমি বিদ্রোহী বলছি,তারেক হাসান,TK. 150,TK. 132,https://rokomari.com//book/154474/ami-bidrohi-bolchi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3aca90ba1_154474.jpg,"",আমি বিদ্রোহী বলছি,তারেক হাসান, , ,শব্দমালা প্রকাশন,9886359861579,"1st Published,2017",64,বাংলাদেশ,বাংলা
হলদে পাখির নীড়,আখতার উজ্জামান সুমন,TK. 200,TK. 176,https://rokomari.com//book/160447/holde-pakhir-neer,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d874b0508_160447.jpg,"""হলদে পাখির নীড়"" বইয়ের ফ্ল্যাপের কথা:
ভিন্ন ভিন্ন দৃষ্টিকোণে সুখের আধার ভিন্ন ভিন্ন। সুখ একটি আপেক্ষিক প্রসঙ্গ। তবে, চিব শান্তনাতে সুখ নির্জল। চিত্ত সান্তনার আরেক নাম সন্তুষ্টি | সন্তুষ্টির মাঝেই সুখ; এতে কোনাে আপেক্ষিকতা নেই।
নীড় সুখ-ফসলের জমিন। হলদে পাখির নীড় সােনালী ফসলে সমাকীর্ণ। এখানে নেই কোনাে আপেক্ষিকতা, আছে শুধু অবিমিশ্র সুখ।",হলদে পাখির নীড়,আখতার উজ্জামান সুমন, , ,শব্দমালা প্রকাশন,9886359861546,"1st Published,2018",62,বাংলাদেশ,বাংলা
শূন্য থেকে শুরু,নিরব আহম্মেদ,TK. 200,TK. 176,https://rokomari.com//book/154480/sunyo-theke-shuru,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/826ef6111_154480.jpg,"",শূন্য থেকে শুরু, , ,"নিরব আহম্মেদ,নূরে আলম মামুন",শব্দমালা প্রকাশন,9886359861548,"1st Published,2017",128,বাংলাদেশ,বাংলা
তোমারে খুঁজিয়া ফিরি,এস মঞ্জুরা বেগম,TK. 100,TK. 90,https://rokomari.com//book/154481/tomare-khujia-firi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e741eadd7_154481.jpg,"",তোমারে খুঁজিয়া ফিরি,এস মঞ্জুরা বেগম, , ,শব্দমালা প্রকাশন,9886359861548,"1st Published,2017",40,বাংলাদেশ,বাংলা
পঞ্চশর,বিমল বিশ্বাস,TK. 180,TK. 158,https://rokomari.com//book/160449/ponchosor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0d6f3b647_160449.jpg,"",পঞ্চশর, , ,"বিমল বিশ্বাস,বিশ্বজিৎ মালাকার",শব্দমালা প্রকাশন,9886359861531,"1st Published,2018",96,বাংলাদেশ,বাংলা
নিরুদ্ধ সময়,কিরণ আহমেদ  ,TK. 100,TK. 90,https://rokomari.com//book/162640/niroddho-somoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/662c988d0_162640.jpg,"",নিরুদ্ধ সময়,কিরণ আহমেদ, , ,শব্দমালা প্রকাশন,9886359862773,"1st Published,2018",64,বাংলাদেশ,বাংলা
ধ্রুবতারা,সালমা বিনতে শামছ,TK. 200,TK. 176,https://rokomari.com//book/161561/drubotara,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/66cb3dbb1_161561.jpg,"",ধ্রুবতারা,সালমা বিনতে শামছ, , ,শব্দমালা প্রকাশন,9886359861541,"1st Published,2018",48,বাংলাদেশ,বাংলা
কবিতার স্রোতধারা,মাহমুদুল এইচ লেলিন,TK. 220,TK. 187,https://rokomari.com//book/161562/kobitar-srotodhara,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/34c5c2dd8_161562.jpg,"",কবিতার স্রোতধারা, , ,মাহমুদুল এইচ লেলিন,শব্দমালা প্রকাশন,9886359861521,"1st Published,2018",144,বাংলাদেশ,বাংলা
মোহাব্বতের ফুল,জাহিদ হোসেন,TK. 200,TK. 176,https://rokomari.com//book/161564/mohobboter-ful,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4f15107ae_161564.jpg,"",মোহাব্বতের ফুল,জাহিদ হোসেন, , ,শব্দমালা প্রকাশন,9886359861582,"1st Published,2018",80,বাংলাদেশ,বাংলা
অনুভবে তুমি,হাজেরা বেগম পপি,TK. 150,TK. 132,https://rokomari.com//book/161565/onuvobe-tumi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d007dcf6d_161565.jpg,"",অনুভবে তুমি,হাজেরা বেগম পপি, , ,শব্দমালা প্রকাশন,9886359861546,"1st Published,2018",48,বাংলাদেশ,বাংলা
আয়নার তাজমহল ,গাজী রুহুল আমিন,TK. 150,TK. 132,https://rokomari.com//book/160446/aynar-tajmahol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3ed3b4746_160446.jpg,"",আয়নার তাজমহল,গাজী রুহুল আমিন, , ,শব্দমালা প্রকাশন,9886359861585,"1st Published,2018",64,বাংলাদেশ,বাংলা
কাব্যরাণীর কাব্যিক রাজা,শাহনাজ প্রধান,TK. 200,TK. 176,https://rokomari.com//book/160451/kabbo-ranir-kabbik-raja,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/93480c64b_160451.jpg,"",কাব্যরাণীর কাব্যিক রাজা,শাহনাজ প্রধান, , ,শব্দমালা প্রকাশন,9886359861559,"1st Published,2018",80,বাংলাদেশ,বাংলা
রূপান্বিত বাংলা,শিমুল হোসেন,TK. 150,TK. 132,https://rokomari.com//book/160452/rupannito-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/91ef96f5d_160452.jpg,"",রূপান্বিত বাংলা,শিমুল হোসেন, , ,শব্দমালা প্রকাশন,9886359861581,"1st Published,2018",64,বাংলাদেশ,বাংলা
আয়নাল হক উপাখ্যান,মো. রেজাউল করিম ,TK. 100,TK. 90,https://rokomari.com//book/160479/aynal-haquer-upakhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0167eb552_160479.jpg,"",আয়নাল হক উপাখ্যান,মো. রেজাউল করিম, , ,শব্দমালা প্রকাশন,9886359861589,"1st Published,2018",112,বাংলাদেশ,বাংলা
পদ্মাপাড়ের জলতরঙ্গ,শামীমা সুলতানা,TK. 150,TK. 132,https://rokomari.com//book/160480/padmaparar-jhaltaranga,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fa3c63710_160480.jpg,"",পদ্মাপাড়ের জলতরঙ্গ,শামীমা সুলতানা, , ,শব্দমালা প্রকাশন,9886359861585,"1st Published,2018",80,বাংলাদেশ,বাংলা
পড়ন্ত বেলায় চিকচিক রৌদ্র,মো: বাসিরুল ইসলাম লাবলু,TK. 150,TK. 132,https://rokomari.com//book/160482/poronto-bikele-cikcik-rod,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bdb2961aa_160482.jpg,"",পড়ন্ত বেলায় চিকচিক রৌদ্র,মো: বাসিরুল ইসলাম লাবলু, , ,শব্দমালা প্রকাশন,9886359861549,"1st Published,2018",46,বাংলাদেশ,বাংলা
শতাব্দীর পিছুটান,অনির্বাণ চক্রবর্তী,TK. 150,TK. 132,https://rokomari.com//book/160483/sotabdir-puchotan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e5c4c66d4_160483.jpg,"",শতাব্দীর পিছুটান,অনির্বাণ চক্রবর্তী, , ,শব্দমালা প্রকাশন,9886359861589,"1st Published,2018",64,বাংলাদেশ,বাংলা
ভাবনার প্রকাশ,এম এ রব্বানী,TK. 300,TK. 255,https://rokomari.com//book/160485/vabnar-prokash,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6b3898f19_160485.jpg,"",ভাবনার প্রকাশ,এম এ রব্বানী, , ,শব্দমালা প্রকাশন,9886359861547,"1st Published,2018",112,বাংলাদেশ,বাংলা
আঠারো মাসে বছর,জাকির মাসুম,TK. 200,TK. 176,https://rokomari.com//book/160486/atharo-mase-bochor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/39ed296a5_160486.jpg,"",আঠারো মাসে বছর,জাকির মাসুম, , ,শব্দমালা প্রকাশন,9886359861581,"1st Published,2018",128,বাংলাদেশ,বাংলা
