Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
শেষের কবিতা,রবীন্দ্রনাথ ঠাকুর,TK. 200,TK. 176,https://rokomari.com//book/206718/shesher-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/46752c981_206718.jpg,"‘‘শেষের কবিতা""বইটির ভূমিকা:



‘শেষের কবিতা লেখা হয়েছে ১৯২৮ সালে। ১৯২৯ সালে তা গ্রন্থাকারে প্রকাশিত হয়। রবীন্দ্রনাথের বয়স তখন ৬৭ বছর। বইটি প্রকাশের পরে খুব জনপ্রিয় হয়। বিশেষ করে সেইসব তরুণ লেখকদের কাছে যারা রবীন্দ্রনাথের লেখার নানান সমালােচনা করতেন।
‘শেষের কবিতা' পটভূমিকাহীন উপন্যাস। এই উপন্যাসে নায়ক-নায়িকা প্রধান নয়, বক্তব্য প্রধান। রােমান্স প্রেমের মুক্তির দিক। বিবাহ প্রেমের বন্ধন। রােমান্সে কল্পনার আকাশ অসীম ও অনন্ত হয়। বিবাহে কল্পনার পক্ষচ্ছেদ হয়। কেননা তখন মনের দাবিটা নয়, মানিয়ে নেওয়াটাই বড় কথা হয়। পুরুষের গােপন রহস্য, সে রােমান্স ও বিবাহ দুটিকেই পেতে চায়। নারীকে সে একান্তই নিজের করে নিতে চায়। এটা পুরুষের মনের গােপন রহস্য হলেও এত বড় দুর্জয় দাবি করার সাহস সকল পুরুষের থাকে না। অমিত রায় সে দলেরই একজন। অমিতের স্বপ্ন যত সুন্দর ও সত্য হােক না কেন, ধূলি মাটির সংসারে সেই স্বপ্ন রূপ গ্রহণ করতে পারে না, সেটা বােঝা লাবণ্যের মতাে বুদ্ধিমতী মেয়ের মােটেই অসম্ভব নয়। তাই অমিতের প্রতি শ্রদ্ধা ও ভালােবাসা যতই হােক না কেন, বিবাহের প্রয়ােজনে ব্যারিস্টার অমিতকে নয়, সাংসারিক পুরুষ শােভনলালকেই বরণ করে নিয়েছে সে। যার কথা অমিতকে বলেছে ‘শেষের কবিতায়: ০
যে আমারে দেখিবারে পায় অসীম ক্ষমায়। ভালােমন্দ মিলায়ে সকলি,
এবার পূজায় তারি আপনারে দিতে চাই বলি। পুরুষের কামনা ও বাসনা একটি নারীকে কেন্দ্র করে পরিতৃপ্ত লাভ করতে পারে কিনা, না এর জন্য দুটি পৃথক নারীর প্রয়ােজন, এই সমস্যা সামাজিক কারণেই লেখকের পক্ষে আর আলােচনা করা সম্ভব হয়নি। ঔপন্যাসিক চরম মুহূর্তে কাব্যের দুর্গে আশ্রয় গ্রহণ করে আত্মরক্ষা করেন। কাব্যের সৌন্দর্যে সমস্যার নগ্নমূর্তে চাপা পড়েছে। সাহিত্যে আমরা সমস্যার সমাধান চাই না, চাই সমস্যার সজীব সুন্দর রূপায়ন। শেষের কবিতা' উপন্যাসের এটি ত্রুটি নয়, অলঙ্করণ।
অমিত রায় একজন ব্যারিস্টার। তার পিতাও ছিলেন ব্যারিস্টার। পিতা অত্যন্ত ধনী ছিলেন। তিনি যে পরিমাণ সম্পদ রেখে গেছেন তা পরবর্তী প্রজন্মের জন্য যথেষ্ট ছিল। অমিত কলকাতা বিশ্ববিদ্যালয়ে বি. এ পাশ করার পূর্বেই অক্সফোর্ডে ভর্তি হয়েছিল। অমিত বলে, ফ্যাশনটা হলাে মুখােশ, স্টাইলটা হলাে মুখশ্রী। যারা

সাহিত্যের ওমরাও দলের, যারা নিজের মন রেখে চলে, স্টাইল তাদেরই; আর যারা আমলা দলের, দশের মন রাখা যাদে ব্যবসা, ফ্যাশন তাদেরই। অমিতের নেশাই হলাে স্টাইলে। কেবল সাহিত্যবিচারে নয়, বেশভূষায় এবং আচার-আচরেন। ওর চেহারাতেই একটা বিশেষ ঘঁদ আছে। সে দেশি কাপড় প্রায়ই পড়ে- ধুতি, পাঞ্জাবি, চাদর- কেননা ওর সমাজের লােক সেসব পড়ে না। মেয়েদের প্রতি অমিতের যেমন ঔদাসিন্য নেই, তেমনি বিশেষ কারও প্রতি আসক্তিও দেখকা যায়
। কিন্তু মেয়েরা বুঝে নিয়েছে অমিত সােনার রঙের দিগন্ত রেখা-ধারা দিয়েই আছে তবুও কিছুতেই ধরা দেবে না। মেয়েদের সম্বন্ধে ওর মন তর্কই করে, মীমাংসায় আসে না। অমিতের দুই বােন, একজনের নাম সিসি এবং দ্বিতীয় জনের নাম লিসি; তারা দুজনেই ফ্যাশনের খুব ভক্ত। দেখে মনে হয় আপাদমস্তক যত্নে মােড়ক করা এক নম্বরের প্যাকেট-বিশেষ। তারা দ্রুত বেগে হাঁটে, উঁচুস্বরে কথা বলে, মাঝে মাঝে মুখে ফোটায় ক্ষুদ্র হাসি।।
লাবণ্যের পিতা অবনীশ দত্ত পশ্চিমের এক কলেজের অধ্যাপক। ছােটবেলায় লাবণ্যের মা মারা যায়। মাতৃহীন মেয়েকে খুব যত্ন করে মানুষ করেছেন অবনীশ দত্ত। তার সখ ছিল বিদ্যাচর্চা, যা তার ময়ের মধ্যে পূর্ণমাত্রায় সঞ্চালন করেছিলেন। পিতা অবনীশ দত্তা এতদূর পর্যন্ত ভেবে রেখেছিলেন, লাবন্য বিয়ে না করে পাণ্ডিত্যের সঙ্গে চিরদিন গাঁট বাঁধা হয়ে থাকলেও তার কোনাে আপত্তি থাকবে
। তার একটি স্নেহের পাত্র ছিল, নাম শােভনলাল। শােভনলালেরও ছিল পড়ার প্রতি ভীষণ আগ্রহ। শােভনলাল গরিবের ছেলে, বৃত্তির টাকা দিয়ে পড়াশুনা করেছে।
পাঠকের কাছে কোনাে বার্তা পৌঁছানাে ছাড়াই উপন্যাসের সমাপ্তি। সত্য, প্রেম, যুক্তি, মৌলিক বিশ্বাস ইত্যাদি অসীম চেতনাগুলােকে ভােগ বিলাসের কাছে যুক্তি দিয়ে লেখক পরাজিত করেছেন। অমিত প্রতিজ্ঞা করে, সে কখনও কেতকীকে ঠকাবে না। কিন্তু এমন সম্পর্ক তাে ফাঁকিতেই দাঁড়িয়ে থাকে। সত্যকে ধামাচাপা দেবার কোনাে জায়গা নেই। প্রেমেও তাই, সত্যিকারভাবে প্রেম জাগলে কোনােমনেই তাকে থামানাে যায় না। শেষের কবিতা' ঠিক কী ধরনের উপন্যাস; এর লক্ষ্য, উদ্দেশ্য এসব প্রশ্নের উত্তর নেই বললেই চলে। রবীন্দ্রনাথ প্রতিটা ছােটগল্পের মধ্য দিয়ে একেকটা আদর্শ তুলে ধরেছেন, কিন্তু এই উপন্যাসে বলা। যায় তা হয়নি। কবিতা দিয়েই কাহিনী শেষ বলেই হয়তাে এর নাম ‘শেষের কবিতা।",শেষের কবিতা,রবীন্দ্রনাথ ঠাকুর, , ,শাহবাজপুর প্রকাশনী,5855225346,"1st Published,2019",96,বাংলাদেশ,বাংলা
কবি,তারাশঙ্কর বন্দ্যোপাধ্যায়,TK. 250,TK. 213,https://rokomari.com//book/209644/kobi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0d139ce57_209644.jpg,"",কবি,তারাশঙ্কর বন্দ্যোপাধ্যায়, , ,শাহবাজপুর প্রকাশনী,5855315548,"1st Published,2018",160,বাংলাদেশ,বাংলা
আদর্শ হিন্দু হোটেল,বিভূতিভূষণ বন্দ্যোপাধ্যায়,TK. 235,TK. 200,https://rokomari.com//book/209839/adarso-hindu-hotel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1d1288cc6_209839.jpg,"",আদর্শ হিন্দু হোটেল,বিভূতিভূষণ বন্দ্যোপাধ্যায়, , ,শাহবাজপুর প্রকাশনী,5855215645,"1st Published,2021", ,বাংলাদেশ,বাংলা
দ্য আর্ট অব ওয়ার,সান জু,TK. 150,TK. 132,https://rokomari.com//book/207775/the-art-of-war,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b1c78eb4a_207775.jpg,"",দ্য আর্ট অব ওয়ার,সান জু,শেহজাদ আমান, ,শাহবাজপুর প্রকাশনী,5855425235,"1st Published,2020",80,বাংলাদেশ,বাংলা
আরণ্যক,বিভূতিভূষণ বন্দ্যোপাধ্যায়,TK. 250,TK. 213,https://rokomari.com//book/209645/aronnok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c8440ef87_209645.jpg,"",আরণ্যক,বিভূতিভূষণ বন্দ্যোপাধ্যায়, , ,শাহবাজপুর প্রকাশনী,5855115545,"1st Published,2018",192,বাংলাদেশ,বাংলা
পথের পাঁচালী,বিভূতিভূষণ বন্দ্যোপাধ্যায়,TK. 300,TK. 255,https://rokomari.com//book/207131/pother-pachali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7e546dadc_207131.jpg,"",পথের পাঁচালী,বিভূতিভূষণ বন্দ্যোপাধ্যায়, , ,শাহবাজপুর প্রকাশনী,5855205345,"1st Published,2018",240,বাংলাদেশ,বাংলা
দ্য আলকেমিস্ট,পাওলো কোয়েলহো,TK. 220,TK. 187,https://rokomari.com//book/206724/the-alchemist,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/110151b99_206724.jpg,"""দ্য অ্যালকেমিস্ট"" বইয়ের ফ্ল্যাপে লিখা
যাদুর একটি বই যা স্বপ্নে দেখায় এবং যে গুপ্তধনের খোজে আমরা সর্বত্র খুঁজে ফিরেছি সেই গুপ্তধন পেলাম আমাদের ধারপ্রান্তে। ভাগ্য ফেরাতে হলে তােমাকে লক্ষণ দেখার জন্য সজাগ থাকতে হবে। ঈশ্বর প্রত্যেকের জন্য ভিন্ন ভিন্ন পথ নির্দিষ্ট করে রেখেছেন এবং সেই পথের লক্ষণ দেখিয়ে চলেছেন। “চোখ খােলা রাখলেই ঠিক পথ খুঁজে পাবে।” কিশাের কোনাে কিছু বলার আগেই বৃদ্ধ ভদ্রলােক ও সে যেখানে বসেছিল সেখানে কোথা থেকে যেন একটা প্রজাপতি এসে উড়তে লাগল। দৃশ্যটা দেখে পিতামহের বলা কথাগুলাে মনে পড়ে গেল কিশােরের। তিনি বলতেন, “প্রজাপতি মানে শুভ লক্ষণ। ঝি ঝি পােকা, টিকটিকি, চার-পাতা বিশিষ্ট গাছের ডাল এরা সকলেই শুভ ঘটনার পূর্ববার্তা বহন করে আনে।” এই কিশাের স্পেন দেশের বাসিন্দা। সান্টিয়াগাে তার নাম। সারা পৃথিবীটাকে ঘুরে দেখার স্বপ্ন দেখে সে। যখনই কোনাে ভবিষ্যৎদ্রষ্টা তাকে বলেছে যে পিড়ামিডের কাছে গুপ্তধন তার জন্য অপেক্ষা করছে তখনই সে সাপের খােলস ছাড়ার মতাে বর্তমান জীবন পরিত্যাগ করে ঝুঁকিপূর্ণ জীবনে প্রবেশ করবে বলে মনস্থির করেছে। কিশােরের এই দুঃসাহসিক অভিযান ও তার সর্বাত্মক রূপান্তর এই উপন্যাসের বিষয়বস্তু । উপন্যাসের চরিত্রগুলাে হল কয়েকজন বয়স্ক ব্যক্তি, রাজ্য, সৈনিক, মরুবাসী এবং একজন আলকেমিষ্ট কিশােরকে স্বপ্নের খোজে এগিয়ে যাবার প্রেরণা দেন এবং খোজ থেকে বিরত থাকলে যে হতাশা পরবর্তীকালে আসে তা বুঝিয়ে বলেন। কিশােরের জীবনে ভাগ্য ও উচ্ছাশা মিলে মিশে একাকার হয়ে যায় এবং সে তার সামর্থ্যকে বাস্তবে রূপ দিতে চায়।",দ্য আলকেমিস্ট,পাওলো কোয়েলহো,মিজানুর রহমান, ,শাহবাজপুর প্রকাশনী,5855105245,"2nd published,2019",112,বাংলাদেশ,বাংলা
পুতুল নাচের ইতিকথা,মানিক বন্দ্যোপাধ্যায়,TK. 250,TK. 213,https://rokomari.com//book/207130/putul-nacher-itikotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a97b1cb1_207130.jpg,"",পুতুল নাচের ইতিকথা,মানিক বন্দ্যোপাধ্যায়, , ,শাহবাজপুর প্রকাশনী,5855445325,"1st Published,2020",208,বাংলাদেশ,বাংলা
পালামৌ,সঞ্জীব চট্টোপাধ্যায়,TK. 120,TK. 106,https://rokomari.com//book/206953/palamou,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3aa03fa45_206953.jpg,"",পালামৌ,সঞ্জীব চট্টোপাধ্যায়, , ,শাহবাজপুর প্রকাশনী,5855225445,"1st Published,2020",40,বাংলাদেশ,বাংলা
বনলতা সেন,জীবনানন্দ দাশ,TK. 100,TK. 90,https://rokomari.com//book/206952/bonolota-sen,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9b06f7bf0_206952.jpg,"",বনলতা সেন,জীবনানন্দ দাশ, , ,শাহবাজপুর প্রকাশনী,5855305335,"1st Published,2018",46,বাংলাদেশ,বাংলা
