Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ফিরিবার পথ নাহি,প্রভাত সরকার,TK. 250,TK. 213,https://rokomari.com//book/153984/firibar-poth-nahi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a82535eb4_153984.jpg,"",ফিরিবার পথ নাহি,প্রভাত সরকার, , ,সাহিত্য প্রকাশনী,9789849157458,"1st Published,2017",159,বাংলাদেশ,বাংলা
শেষ রাতের ট্রেন,মঞ্জুরুল হক তারা ,TK. 150,TK. 132,https://rokomari.com//book/153005/shesh-rater-train,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bed97516e_153005.jpg,"",শেষ রাতের ট্রেন,মঞ্জুরুল হক তারা, , ,সাহিত্য প্রকাশনী,9789849157489,"1st Published,2017",96,বাংলাদেশ,বাংলা
অন্ধকারে আলোর মশাল,সোলায়মান শিপন,TK. 150,TK. 132,https://rokomari.com//book/137662/ondhokare-alor-moshal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f0c4a9939f94_137662.jpg,"",অন্ধকারে আলোর মশাল,সোলায়মান শিপন, , ,সাহিত্য প্রকাশনী,9789849242390,"1st Published,2017",80,বাংলাদেশ,বাংলা
পাপচিহৃ,এস এম জসিম ভূঁইয়া,TK. 150,TK. 132,https://rokomari.com//book/153982/papchinho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/08f483b13_153982.jpg,"",পাপচিহৃ,এস এম জসিম ভূঁইয়া, , ,সাহিত্য প্রকাশনী,9789849212929,"1st Published,2016",80,বাংলাদেশ,বাংলা
সবুজের বুকে লাল,পলক রায়,TK. 220,TK. 187,https://rokomari.com//book/153981/shobujer-buke-lal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/415a02798_153981.jpg,"",সবুজের বুকে লাল, , ,পলক রায়,সাহিত্য প্রকাশনী,9789849157441,"1st Published,2017",160,বাংলাদেশ,বাংলা
দুই কূল,নূরুল আলম লাভলূ,TK. 250,TK. 213,https://rokomari.com//book/126480/dui-kul,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1a1f65bb50a4_126480.jpg,"",দুই কূল,নূরুল আলম লাভলূ, , ,সাহিত্য প্রকাশনী,9789849212928,"1st Published,2017",128,বাংলাদেশ,বাংলা
আবির্ভাব,এরশাদ আহমেদ,TK. 150,TK. 132,https://rokomari.com//book/126479/abirvab,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6dbd86134c44_126479.jpg,"",আবির্ভাব,এরশাদ আহমেদ, , ,সাহিত্য প্রকাশনী,9789849189091,"1st Published,2017",72,বাংলাদেশ,বাংলা
মোড়,নূরুল আলম লাভলূ,TK. 240,TK. 204,https://rokomari.com//book/126478/moor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9b341c645d74_126478.jpg,"",মোড়,নূরুল আলম লাভলূ, , ,সাহিত্য প্রকাশনী,9789849212935,"1st Published,2017",112,বাংলাদেশ,বাংলা
আহত রক্তজবা (২য় খণ্ড),ফজলুর রহমান বকুল,TK. 300,TK. 255,https://rokomari.com//book/126476/ahato-raktojaba--2nd-khondo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/84ed6caab964_126476.jpg,"",আহত রক্তজবা (২য় খণ্ড), , ,ফজলুর রহমান বকুল,সাহিত্য প্রকাশনী,9789849189022,"1st Published,2017",191,বাংলাদেশ,বাংলা
পলাশি থেকে ঢাকা,রাইহান নাসরিন,TK. 300,TK. 255,https://rokomari.com//book/206787/polashi-theke-dhaka,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/da3fd8d07_206787.jpg,"",পলাশি থেকে ঢাকা,রাইহান নাসরিন, , ,সাহিত্য প্রকাশনী,978984944706,"1st Published,2020",192,বাংলাদেশ,বাংলা
