Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
নৈঃশব্দের গহীনে,অন্তরা খান,TK. 150,TK. 132,https://rokomari.com//book/211687/noishobder-gohine,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1cb2476c1_211687.jpg,"ভূমিকা
আটপৌরে জীবনের হাসি-কান্না, সুখ-দুঃখ, আনন্দ-বেদনা আমার লেখার অনুঘটক।
চারপাশে ঘটে যাওয়া খুব সাধারন ঘটনাগুলি যখন মনের গভীরে দাগ কাটে তখনই আমি মনে মনে কবিতার ছন্দ বুনি।  প্রিয় মানুষ, প্রিয় মুখ, প্রিয় সময় মনে করে এই লেখাগুলি বিভিন্ন সময়ে লিখেছি। দেশ থেকে সহ¯্র মাইল দূরে বসে, ফেলে আসা জীবন, পরিবার-পরিজন, হারানো মানুষকে অনুভব করি প্রতি মুহূর্তে। তারই প্রতিফলন আমার এই ‘নৈঃশব্দ্যের গহীনে’।
- অন্তরা খান",নৈঃশব্দের গহীনে,অন্তরা খান, , ,সাহিত্যকাল,978949004720,"1st Published,2021", ,বাংলাদেশ,বাংলা
সবুজ পাতা আঁকাতে জানি,মনসুর আজিজ,TK. 150,TK. 132,https://rokomari.com//book/77789/sobujpata-akate-jani,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77789.GIF,"",সবুজ পাতা আঁকাতে জানি,মনসুর আজিজ, , ,সাহিত্যকাল, , , ,বাংলাদেশ,বাংলা
বারবার শতবার প্রেম প্রয়োজন,জুলফিকার শাহাদাৎ,TK. 80,TK. 72,https://rokomari.com//book/79828/bar-bar-shotobar-prem-proyojon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বারবার শতবার প্রেম প্রয়োজন,জুলফিকার শাহাদাৎ, , ,সাহিত্যকাল, , , ,বাংলাদেশ,বাংলা
তেল মারো,লুৎফুর রহমান,TK. 80,TK. 72,https://rokomari.com//book/79829/tel-maro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150221_79829.gif,"",তেল মারো,লুৎফুর রহমান, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৮৮২২৬, , ,বাংলাদেশ,বাংলা
ভাটি গাঁয়ের ছেলে,নূর মোহাম্মদ,TK. 80,TK. 72,https://rokomari.com//book/79830/vati-gayer-chhele,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভাটি গাঁয়ের ছেলে,নূর মোহাম্মদ, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৮৮২৩৩, , ,বাংলাদেশ,বাংলা
ভালোবাসি বলেই,সাইফুল ইসলাম জুয়েল,TK. 130,TK. 114,https://rokomari.com//book/79831/valobasi-bolei,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6e48f2c6cc14_79831.jpg,"",ভালোবাসি বলেই,সাইফুল ইসলাম জুয়েল, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৮৮২৬৪, , ,বাংলাদেশ,বাংলা
তুমি আমার প্রথম কবিতা,মোজাম্মেল প্রধান,TK. 330,TK. 281,https://rokomari.com//book/79832/tumi-amar-prothom-kabita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তুমি আমার প্রথম কবিতা,মোজাম্মেল প্রধান, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৮৮২৯৫, , ,বাংলাদেশ,বাংলা
ছোট আপুর বিয়ে,সুমাইয়া বরকতউল্লাহ্‌ ,TK. 120,TK. 106,https://rokomari.com//book/79833/choto-apur-biye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছোট আপুর বিয়ে,সুমাইয়া বরকতউল্লাহ্‌, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৪৬৪৬, , ,বাংলাদেশ,বাংলা
একটুকরো মেঘ ও দু:খী গাছ,বিএম বরকতউল্লাহ,TK. 80,TK. 72,https://rokomari.com//book/79834/ak-tukro-mekh---dhkhi-gach,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",একটুকরো মেঘ ও দু:খী গাছ,বিএম বরকতউল্লাহ, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৪৬২২, , ,বাংলাদেশ,বাংলা
ওলট পালট,ওবায়দুল সমীর,TK. 80,TK. 72,https://rokomari.com//book/79835/olot-palot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ওলট পালট,ওবায়দুল সমীর, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০০৪৬০৮, , ,বাংলাদেশ,বাংলা
চোর কাঁটার কাব্য,আজিম পারভেজ,TK. 130,TK. 114,https://rokomari.com//book/79836/chor-katar-kabbo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চোর কাঁটার কাব্য,আজিম পারভেজ, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৮৮২০২, , ,বাংলাদেশ,বাংলা
প্রকৃতি ফুল ফল ও সম্ভাবনার বাংলাদেশ,শরীফুন নাহার,TK. 300,TK. 255,https://rokomari.com//book/79837/prokriti-full-fol-osomvabonar-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রকৃতি ফুল ফল ও সম্ভাবনার বাংলাদেশ,শরীফুন নাহার, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৬৩৬৪, , ,বাংলাদেশ,বাংলা
একটু অশ্রু নেবো,মাহমুদা আজরা পুতুল,TK. 80,TK. 72,https://rokomari.com//book/79838/aktu-ashro-nebo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",একটু অশ্রু নেবো,মাহমুদা আজরা পুতুল, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৬৩৭১, , ,বাংলাদেশ,বাংলা
কয়েকটি ডানাকাটা প্রজাপতির উড়ে যাওয়ার স্বপ্ন,সাইফুল্লাহ সাইফ,TK. 130,TK. 114,https://rokomari.com//book/79839/koyekti-danakata-projapotir-ure-jaowar-shopno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কয়েকটি ডানাকাটা প্রজাপতির উড়ে যাওয়ার স্বপ্ন,সাইফুল্লাহ সাইফ, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৪৬৯১, , ,বাংলাদেশ,বাংলা
হাওরবাসীর জীবন সংগ্রাম,রুহুল আমিন মাহমুদ,TK. 200,TK. 176,https://rokomari.com//book/79840/haworbasir-jibon-songram,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হাওরবাসীর জীবন সংগ্রাম,রুহুল আমিন মাহমুদ, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৮৮২৪০, , ,বাংলাদেশ,বাংলা
"অধরা, আড়ালে কেন তবে",রাসেল সোহাগ,TK. 105,TK. 92,https://rokomari.com//book/79841/adhora--arale-kono-tobe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","অধরা,আড়ালে কেন তবে",রাসেল সোহাগ, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৮৮২৫৭, , ,বাংলাদেশ,বাংলা
কোট পকেটে মৎস্য চাষ,শামীম আহমদ চৌধুরী,TK. 80,TK. 72,https://rokomari.com//book/79842/coat-pockete-motsho-chhash,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কোট পকেটে মৎস্য চাষ,শামীম আহমদ চৌধুরী, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৮৮২৭১, , ,বাংলাদেশ,বাংলা
গাল ফুলিয়ে কাঁদছে খুকি,মাহবুব লাভলু-১,TK. 80,TK. 72,https://rokomari.com//book/79843/gal-fuliye-kadshe-khuki,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গাল ফুলিয়ে কাঁদছে খুকি,মাহবুব লাভলু-১, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৬২১০, , ,বাংলাদেশ,বাংলা
কিশোর ও মেঘবালিকা,ইসমাইল জসীম,TK. 80,TK. 72,https://rokomari.com//book/79844/kishor-o-meghbalika,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কিশোর ও মেঘবালিকা,ইসমাইল জসীম, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৬২২৭, , ,বাংলাদেশ,বাংলা
বাচ্চা ভ’ত কাচ্চা ভ’ত,মুহাম্মদ আল মমিন,TK. 120,TK. 106,https://rokomari.com//book/79845/baccha-vot-kaccha-voto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাচ্চা ভ’ত কাচ্চা ভ’ত,মুহাম্মদ আল মমিন, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৬৩২৬, , ,বাংলাদেশ,বাংলা
কালপারাবার,রাহাদ কবির,TK. 120,TK. 106,https://rokomari.com//book/79846/kalparabar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কালপারাবার,রাহাদ কবির, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৪৬৬০, , ,বাংলাদেশ,বাংলা
স্বপ্নে বিভোর,অন্তরা খান,TK. 120,TK. 106,https://rokomari.com//book/79847/shopno-bivor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বপ্নে বিভোর,অন্তরা খান, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৪৬৮৪, , ,বাংলাদেশ,বাংলা
তোমাকে অন্য নামে ডাকি,জান্নাতুল ফেরদৌসি নীলু,TK. 60,TK. 54,https://rokomari.com//book/79848/tomake-anno-name-daki,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তোমাকে অন্য নামে ডাকি,জান্নাতুল ফেরদৌসি নীলু, , ,সাহিত্যকাল,৯৭৮৯৮৪৯০৩৪৬১৫, , ,বাংলাদেশ,বাংলা
জ্যোৎস্না রাত ও স্বপ্ন	 ,জান্নাতুল ফেরদৌসি নীলু,TK. 100,TK. 90,https://rokomari.com//book/79849/josusna-rat-o-shopno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জ্যোৎস্না রাত ও স্বপ্ন,জান্নাতুল ফেরদৌসি নীলু, , ,সাহিত্যকাল,9789849034653, , ,বাংলাদেশ,বাংলা
ভয়াল সেই গল্পগুলি ,নাফে মোহাম্মদ এনাম,TK. 130,TK. 114,https://rokomari.com//book/61472/voyal-sei-golpoguli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok2_61472.gif,"বইটিতে মোট আটটি কিশোর রহস্যগল্প স্থান পেয়েছে। সবগুলো গল্পই 'কিশোর তারকালোকে' প্রকাশিত। গল্পগুলি লেখক লিখেছিলেন বয়স যখন তার ঊনিশ-কুড়ি। এই বইটির সবচে' মজার ব্যাপার হচ্ছে বইটি লেখক লিখেছেন তারই সকল পত্রবন্ধুদের নিয়ে! অর্থাৎ, গল্পের সবগুলো চরিত্রই বাস্তব! বইটি শিশু-কিশোর উপযোগী।",ভয়াল সেই গল্পগুলি,নাফে মোহাম্মদ এনাম, , ,সাহিত্যকাল, , , ,বাংলাদেশ,বাংলা
শিশুতোষ ছড়া-কবিতার নানা প্রসঙ্গ ,জুলফিকার শাহাদাৎ,TK. 140,TK. 123,https://rokomari.com//book/10448/sisutos-chara-kabitar-nana-prosango,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শিশুতোষ ছড়া-কবিতার নানা প্রসঙ্গ,জুলফিকার শাহাদাৎ, , ,সাহিত্যকাল, , , ,বাংলাদেশ,বাংলা
