Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আপনি কিভাবে ভাল ছাত্র হবেন,মাওলানা নোমান আহমদ রহ.,TK. 30,TK. 20,https://rokomari.com//book/207107/apni-kivabe-valo-chatro-hoben,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1bf89e940_207107.jpg,"",আপনি কিভাবে ভাল ছাত্র হবেন,মাওলানা নোমান আহমদ রহ., , ,শিবলী প্রকাশনী, ,"3rd Published,2016",64,বাংলাদেশ,বাংলা
বদর প্রান্তর,মাওলানা সাদেক হুসাইন,TK. 500,TK. 350,https://rokomari.com//book/207028/bodor-prantor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/355219fe0_207028.jpg,"",বদর প্রান্তর,মাওলানা সাদেক হুসাইন,ইবনে নূর, ,শিবলী প্রকাশনী, ,"5th Published,2021",353,বাংলাদেশ,বাংলা
প্রিয় নবীজির স. প্রিয় উপদেশ,মাওলানা আশেক এলাহী বুলন্দশহরী রহ.,TK. 160,TK. 104,https://rokomari.com//book/207109/priyo-nabijir--sm---priyo-upodesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1dfe06aae_207109.jpg,"",প্রিয় নবীজির স. প্রিয় উপদেশ,"মাওলানা আশেক এলাহী বুলন্দশহরী রহ.,আল্লামা ইমাম নববী রহ.",মুফতি জাহিদ হাসান, ,শিবলী প্রকাশনী, ,"1st Published,2018",144,বাংলাদেশ,বাংলা
সহজ জরুরী দু‘আ,মাওলানা নোমান আহমদ রহ.,TK. 40,TK. 36,https://rokomari.com//book/207106/shahaj-joruri-dua,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b3aa78b1b_207106.jpg,"",সহজ জরুরী দু‘আ,মাওলানা নোমান আহমদ রহ., , ,শিবলী প্রকাশনী, ,"3rd Published,2020",96,বাংলাদেশ,বাংলা
ফযীলতের রাতসমূহ,মাওলানা নোমান আহমদ রহ.,TK. 200,TK. 130,https://rokomari.com//book/207102/fojilater-ratshmuha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c2de4232d_207102.jpg,"",ফযীলতের রাতসমূহ,মাওলানা নোমান আহমদ রহ., , ,Shiboli Prokashoni, ,"2nd Published,2020",136,Bangladesh,Bangla & Arabic
বৃটিশ প্রাচ্যবিদদের সীরাতচর্চা,ড. আমাল উবাইদ ছুবাইতি,TK. 450,TK. 338,https://rokomari.com//book/207938/british-prachchobidder-siratchorcha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/38fda63b3_207938.jpg,"একবিংশ শতাব্দিতে এসে পশ্চিমা বিশ্বে ইসলামোফোবিয়া কমেনি, ক্রমশ বেড়েই চলেছে।
কয়েক শতাব্দি ধরে এক্ষেত্রে অন্যতম নিয়ামক ভূমিকা পালন করেছে প্রাচ্যবিদ্যা। রচনা—গবেষণার নাম করে ইসলাম ও নবীজীকে নিয়ে মিথ্যাচার, বিকৃতি ও ঘৃণার সয়লাব ঘটিয়ে দিয়েছে প্রাচ্যবিদরা। 
বিস্ময়কর হলেও সত্যÑ ইসলাম সম্পর্কে অমুসলিম প্রাচ্যবিদদের রচনার সংখ্যা লাখেরও কাছাকাছি। কুরআন—হাদীস—সীরাত—ফিকহসহ ইসলামী প্রতিটি শাস্ত্রে রয়েছে তাদের বিপুল রচনাকর্ম। 
প্রাচ্যবিদ্যার প্রভাব শুধু পশ্চিমা বিশ্বেই সীমাবদ্ধ নয়, এতে প্রবলভাবে আক্রান্ত হয়েছে মুসলিম বিশ্বও। মুসলিম পরিবারে জন্ম নেয়া বহু সন্তান ইসলাম সম্পর্কে জ্ঞানলাভ করেছে প্রাচ্যবিদদের মিথ্যাচারী আয়নায়। 
ইসলাম সম্পর্কে বিকৃতি ও ঘৃণার চাষাবাদে প্রধানত তৎপর ছিল বৃটিশ প্রাচ্যবিদরা। পাঠকের হাতে থাকা গ্রন্থটি মূলত মাস্টার্সের একটি সন্দর্ভপত্র। প্রাচ্যবিদ্যার জন্ম, বৃটেনে প্রাচ্যবিদ্যার বিকাশ, লক্ষ্য—উদ্দেশ্য এবং কর্মপন্থা নিয়ে বিশদ আলোচনা এসেছে এখানে। 
বিশেষভাবে তিন বৃটিশ প্রাচ্যবিদ- টমাস কার্লাইল, টমাস আর্নল্ড এবং আলফ্রেড গিয়োম সীরাতশাস্ত্রে যে মিথ্যাচারগুলো করে গেছেন, সেসবের প্রামাণ্য উত্তর দেয়া হয়েছে গ্রন্থটিতে।",বৃটিশ প্রাচ্যবিদদের সীরাতচর্চা,ড. আমাল উবাইদ ছুবাইতি, , ,শিবলী প্রকাশনী, ,"1st Published,2021",272,বাংলাদেশ,বাংলা
কুরআন বিষয়ক ছড়া সিরিজ-২ : আল কুরআনের ছড়াগুচ্ছ,মূসা বিন আব্দির রহমান,TK. 100,TK. 60,https://rokomari.com//book/211517/quran-bishoyok-chora-sirij-2---al-quraner-choraguccho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/28af7ef33_211517.jpg,"",কুরআন বিষয়ক ছড়া সিরিজ-২ : আল কুরআনের ছড়াগুচ্ছ,মূসা বিন আব্দির রহমান, , ,শিবলী প্রকাশনী, , , ,বাংলাদেশ,বাংলা
কুরআন বিষয়ক ছড়া সিরিজ-১ : আল কুরআনের ছড়াগুচ্ছ,মূসা বিন আব্দির রহমান,TK. 100,TK. 60,https://rokomari.com//book/211516/quran-bishoyok-chora-sirij-1---al-quraner-choraguccho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d74f94828_211516.jpg,"",কুরআন বিষয়ক ছড়া সিরিজ-১ : আল কুরআনের ছড়াগুচ্ছ,মূসা বিন আব্দির রহমান, , ,শিবলী প্রকাশনী, , , ,বাংলাদেশ,বাংলা
জাফরুল আমানী ফী নজরিত তাহাভী,মাওলানা নোমান আহমদ রহ.,TK. 400,TK. 240,https://rokomari.com//book/204134/jafrul-amani-fi-nojrit-tahavi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2ec15b275_204134.jpg,"",জাফরুল আমানী ফী নজরিত তাহাভী,মাওলানা নোমান আহমদ রহ., , ,শিবলী প্রকাশনী, ,"1st Published,2006",350,বাংলাদেশ,বাংলা
শিশুর সওগাত,মাওলানা নোমান আহমদ রহ.,TK. 150,TK. 132,https://rokomari.com//book/208314/shishur-shawgat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4fc1ccd0e_208314.jpg,"",শিশুর সওগাত,মাওলানা নোমান আহমদ রহ., , ,Shiboli Prokashoni, ,"6th Edition,2020",80,Bangladesh,"Bangla,English,Arabic"
