Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
তিন শতকের আলোকে বাংলা,কল্যান কুমার সরকার,TK. 144,"",https://rokomari.com//book/168356/tin-shotoker-aloke-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তিন শতকের আলোকে বাংলা,কল্যান কুমার সরকার, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
জল বনাম পানি,আবুল হাসনাত ,TK. 144,"",https://rokomari.com//book/168357/jol-bonam-pani,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জল বনাম পানি,আবুল হাসনাত, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
ফিরে দেখা নদিয়া,এম.এস.তাজিরুল ইসলাম,TK. 180,"",https://rokomari.com//book/168358/fire-dekha-nodia,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ফিরে দেখা নদিয়া,এম.এস.তাজিরুল ইসলাম, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
জীবন নদী,হাফিজুল ইসলাম ,TK. 180,"",https://rokomari.com//book/168360/jibon-nodhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জীবন নদী,হাফিজুল ইসলাম, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2010, ,ভারত,বাংলা
বাংলা সাহিত্য ও সংস্কৃতিতে চৈতন্যদেবের প্রভাব,জলধর কুমার দাস,TK. 360,"",https://rokomari.com//book/168361/bangla-sahityo-o-songskritite-choitonnodeber-provab,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাংলা সাহিত্য ও সংস্কৃতিতে চৈতন্যদেবের প্রভাব,জলধর কুমার দাস, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
পূণ্য ভূমির অন্বেষণে,সন্তোষ কুমার বিষ্ণু,TK. 144,"",https://rokomari.com//book/168362/punya-vhumir-onbeshonhe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পূণ্য ভূমির অন্বেষণে,সন্তোষ কুমার বিষ্ণু, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
সময়ের ভিন্ন স্বর,জীবনকুমার সরকার,TK. 180,"",https://rokomari.com//book/168363/somoyer-vinno-swor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সময়ের ভিন্ন স্বর,জীবনকুমার সরকার, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
সময়ের ভিন্ন স্বর,জীবনকুমার সরকার,TK. 180,"",https://rokomari.com//book/168364/somoyer-vinno-swor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সময়ের ভিন্ন স্বর,জীবনকুমার সরকার, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
সময়ের ভিন্ন স্বর,জীবনকুমার সরকার,TK. 180,"",https://rokomari.com//book/168365/somoyer-vinno-swor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সময়ের ভিন্ন স্বর,জীবনকুমার সরকার, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
কবিয়াল গুমানি,কল্যাণ কুমার ঘোষ,TK. 180,"",https://rokomari.com//book/168366/kobial-gumani,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কবিয়াল গুমানি,কল্যাণ কুমার ঘোষ, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
মুর্শিদাবাদ জেলার খ্রীষ্টান মিশনারীদের কার্যকলাপ ও অবদান,আশীষ কুমার মণ্ডল,TK. 180,"",https://rokomari.com//book/168368/murshidabad-jelar-krhistan-mishonarhider-karjokolap-o-obodan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মুর্শিদাবাদ জেলার খ্রীষ্টান মিশনারীদের কার্যকলাপ ও অবদান,আশীষ কুমার মণ্ডল, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
আলকাপ সম্রাট ঝাঁকসু,তুলসীচরণ মণ্ডল,TK. 180,"",https://rokomari.com//book/168369/alkap-somratt-jhanksu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আলকাপ সম্রাট ঝাঁকসু,তুলসীচরণ মণ্ডল, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
হিমাচল প্রদেশ সমাজ-নিসর্গ,কাজী আমিনুল ইসলাম,TK. 180,"",https://rokomari.com//book/168370/himachal-prodesh-somaj-nishorgo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হিমাচল প্রদেশ সমাজ-নিসর্গ,কাজী আমিনুল ইসলাম, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2015, ,ভারত,বাংলা
সাহিত্য ও বিজ্ঞানে রামেন্দ্রসুন্দর,কল্যাণ কুমার দাস,TK. 180,"",https://rokomari.com//book/168372/sahitya-o-biggane-ramendrosundor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সাহিত্য ও বিজ্ঞানে রামেন্দ্রসুন্দর, , ,কল্যাণ কুমার দাস,শিল্পনগরী প্রকাশনী (ভারত), ,2015, ,ভারত,বাংলা
ফুলের সৌরভ প্রেমের পরশ,খোন্দকার আব্দুল মোগ্‌নী,TK. 513,"",https://rokomari.com//book/168379/fhuler-sourov-premer-porosh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ফুলের সৌরভ প্রেমের পরশ,খোন্দকার আব্দুল মোগ্‌নী, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2015, ,ভারত,বাংলা
মুর্শিদাবাদের বৈচিত্র্যময় লোকসংস্কৃতি ও লোকভাষা,গদাধর দে,TK. 360,"",https://rokomari.com//book/168382/murshidabader-baichitromoy-loksongskriti-o-lokvasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মুর্শিদাবাদের বৈচিত্র্যময় লোকসংস্কৃতি ও লোকভাষা,গদাধর দে, , ,শিল্পনগরী প্রকাশনী (ভারত), ,2015, ,ভারত,বাংলা
