Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
শব্দঘর - অক্টোবর ‘ ১৪,শব্দঘর,TK. 50,"",https://rokomari.com//book/91111/shobdoghor---octorber---14,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141105_91111.gif,"",শব্দঘর - অক্টোবর ‘ ১৪,শব্দঘর, , ,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর -নভেম্বর ‘১৪,শব্দঘর,TK. 50,"",https://rokomari.com//book/91454/shobdoghor---november-14,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141121_91454.gif,"",শব্দঘর -নভেম্বর ‘১৪,শব্দঘর, , ,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর - আগস্ট '১৪,শব্দঘর,TK. 50,"",https://rokomari.com//book/87653/shobdoghor--august--14,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140825_87653.gif,"",শব্দঘর - আগস্ট '১৪,শব্দঘর, , ,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর -সেপ্টেম্বর ‘১৪,শব্দঘর,TK. 50,"",https://rokomari.com//book/90172/shobdoghor--september--14,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20140922_90172.gif,"",শব্দঘর -সেপ্টেম্বর ‘১৪,শব্দঘর, , ,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর - মার্চ ‘ ১৪,মোহিত কামাল,TK. 50,"",https://rokomari.com//book/80708/shobdoghor-march-14,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img140329_80708.GIF,"",শব্দঘর - মার্চ ‘ ১৪, , ,মোহিত কামাল,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর - ফেব্রুয়ারি ’ ১৪,শব্দঘর,TK. 50,"",https://rokomari.com//book/79338/shobdoghor---february---14,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgu_79338.GIF,"",শব্দঘর - ফেব্রুয়ারি ’ ১৪,শব্দঘর, , ,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর - জানুয়ারী ‘ ১৪,শব্দঘর,TK. 40,"",https://rokomari.com//book/76328/shobdoghor---january---14,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_76328.GIF,"",শব্দঘর - জানুয়ারী ‘ ১৪,শব্দঘর, , ,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর - জুন‘ ১৪,শব্দঘর,TK. 50,"",https://rokomari.com//book/85557/shobdoghor---june--14,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140707_85557.GIF,"",শব্দঘর - জুন‘ ১৪, , ,শব্দঘর,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর -মে '১৪,শব্দঘর,TK. 50,"",https://rokomari.com//book/84195/shobdoghor--may--14,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শব্দঘর -মে '১৪,শব্দঘর, , ,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর (উৎসব সংখ্যা),মোহিত কামাল,TK. 100,"",https://rokomari.com//book/82420/shobdoghor--utsob-songkha-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_82420.GIF,"",শব্দঘর (উৎসব সংখ্যা), , ,মোহিত কামাল,শব্দঘর, , , ,বাংলাদেশ,বাংলা
শব্দঘর -মার্চ ‘১৬,মোহিত কামাল,TK. 50,"",https://rokomari.com//book/114298/shobdhoghor--march--16,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/81ae03fb66b4_114298.gif,"",শব্দঘর -মার্চ ‘১৬, , ,মোহিত কামাল,শব্দঘর, ,"1st Published,2016", ,বাংলাদেশ,বাংলা
শব্দঘর  -এপ্রিল ‘১৬,মোহিত কামাল,TK. 50,"",https://rokomari.com//book/115351/shobdhoghor--april--16,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3a149e4bdf94_115351.gif,"",শব্দঘর  -এপ্রিল ‘১৬, , ,মোহিত কামাল,শব্দঘর, , , ,বাংলাদেশ,বাংলা
"শব্দঘর - জানুয়ারি, ২০১৭ (৪র্থ বর্ষশুরু সংখ্যা)",শব্দঘর,TK. 50,"",https://rokomari.com//book/127266/shobdoghor---january--2017,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e9804b4a4_127266.jpg,"","শব্দঘর - জানুয়ারি,২০১৭ (৪র্থ বর্ষশুরু সংখ্যা)", , ,শব্দঘর,শব্দঘর, ,"1st Published,2017",167,বাংলাদেশ,বাংলা
শব্দঘর - মার্চ ২০১৭ (স্বাধীনতা দিবস সংখ্যা ২০১৭),শব্দঘর,TK. 50,"",https://rokomari.com//book/134731/shobdoghor---march-2017,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f0a10440e9d4_134731.jpg,"",শব্দঘর - মার্চ ২০১৭ (স্বাধীনতা দিবস সংখ্যা ২০১৭), , ,শব্দঘর,শব্দঘর, ,"1st Published,2017",160,বাংলাদেশ,বাংলা
শব্দঘর - ডিসেম্বর ’১৫,শব্দঘর,TK. 50,"",https://rokomari.com//book/109859/shobdoghor---december-15,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cdb0bb290d04_109859.gif,"",শব্দঘর - ডিসেম্বর ’১৫,শব্দঘর, , ,শব্দঘর, ,"1st Edition,2015", ,বাংলাদেশ,বাংলা
শব্দঘর - নভেম্বর ২০১৭,শব্দঘর,TK. 50,"",https://rokomari.com//book/154609/shobdoghor---november-2017,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শব্দঘর - নভেম্বর ২০১৭, , ,শব্দঘর,শব্দঘর, ,"1st Published,2017", ,বাংলাদেশ,বাংলা
শব্দঘর - ফেব্রুয়ারী ২০১৭,শব্দঘর,TK. 50,"",https://rokomari.com//book/151640/shobdoghor---february-2017,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bcbbc2950_151640.jpg,"",শব্দঘর - ফেব্রুয়ারী ২০১৭, , ,শব্দঘর,শব্দঘর, ,"1st Published,2017",159,বাংলাদেশ,বাংলা
শব্দঘর - এপ্রিল ২০১৭,শব্দঘর,TK. 50,"",https://rokomari.com//book/151641/shobdoghor---april-2017,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c94ff7c3f_151641.jpg,"",শব্দঘর - এপ্রিল ২০১৭, , ,শব্দঘর,শব্দঘর, ,"1st Published,2017",160,বাংলাদেশ,বাংলা
শব্দঘর - মে ২০১৭,শব্দঘর,TK. 50,"",https://rokomari.com//book/151642/shobdoghor---may-2017,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fac80e347_151642.jpg,"",শব্দঘর - মে ২০১৭, , ,শব্দঘর,শব্দঘর, ,"1st Published,2017",160,বাংলাদেশ,বাংলা
