Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বীরভূম দর্পবণ,বিজয় কুমার দাস,TK. 180,"",https://rokomari.com//book/135265/birvum-dorpobon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বীরভূম দর্পবণ,বিজয় কুমার দাস, , ,সঞ্জীব প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
চন্দ্রবিন্দু,প্রকাশ মন্ডল,TK. 90,"",https://rokomari.com//book/135536/chondrobindhu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চন্দ্রবিন্দু,প্রকাশ মন্ডল, , ,সঞ্জীব প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
তবু দ্বিধা হয়,শুভ্রজ্যোতি,TK. 180,"",https://rokomari.com//book/135537/tobu-dwidha-hoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তবু দ্বিধা হয়,শুভ্রজ্যোতি, , ,সঞ্জীব প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
আধুনিক বাংলা কাব্যে মৃত্যুচেতনা,শীতল চৌধুরী,TK. 180,"",https://rokomari.com//book/135539/adhunik-bangla-kabbe-mrityuchetona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আধুনিক বাংলা কাব্যে মৃত্যুচেতনা,শীতল চৌধুরী, , ,সঞ্জীব প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
আলোচনার নিরিখে পথের দাবী,শরৎচন্দ্র চট্টোপাধ্যায়,TK. 126,"",https://rokomari.com//book/135540/alochonar-nirikhe-pother-dabi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আলোচনার নিরিখে পথের দাবী,শরৎচন্দ্র চট্টোপাধ্যায়, , ,সঞ্জীব প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
দেশ বিদেশের রূপকথা ও লোককথা: শিশু ও কিশোরদের জন্য,রতনচন্দ্র দাস,TK. 108,"",https://rokomari.com//book/135541/desh-bidesher-rupkotha-o-lokokotha-shishu-o-kishorder-jonno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দেশ বিদেশের রূপকথা ও লোককথা: শিশু ও কিশোরদের জন্য,রতনচন্দ্র দাস, , ,সঞ্জীব প্রকাশন (ভারত), ,2011, ,ভারত,বাংলা
দিন বদলের কথামালা,বিজয় কুমার দাস,TK. 72,"",https://rokomari.com//book/135542/din-bodoler-kothamala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দিন বদলের কথামালা,বিজয় কুমার দাস, , ,সঞ্জীব প্রকাশন (ভারত), ,2012, ,ভারত,বাংলা
নরেন্দ্রনাথ থেকে বিবেকানন্দ,বিজয় কুমার দাস,TK. 72,"",https://rokomari.com//book/135543/norendronath-theke-bibekanondo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নরেন্দ্রনাথ থেকে বিবেকানন্দ,বিজয় কুমার দাস, , ,সঞ্জীব প্রকাশন (ভারত), ,2012, ,ভারত,বাংলা
বৈচিত্রের উৎপাদন কলকাতা বেতার,রতনচন্দ্র দাস,TK. 72,"",https://rokomari.com//book/135544/boichitrer-utpadon-kolkata-betar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বৈচিত্রের উৎপাদন কলকাতা বেতার,রতনচন্দ্র দাস, , ,সঞ্জীব প্রকাশন (ভারত), ,2012, ,ভারত,বাংলা
মধুময়,স্বপন পাল,TK. 180,"",https://rokomari.com//book/135545/modhumoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মধুময়,স্বপন পাল, , ,সঞ্জীব প্রকাশন (ভারত), ,2012, ,ভারত,বাংলা
