Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ধূসর পাণ্ডুলিপি,জীবনানন্দ দাশ,TK. 180,"",https://rokomari.com//book/175425/dusor-pandulipi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6642eeb28_175425.jpg,"",ধূসর পাণ্ডুলিপি,জীবনানন্দ দাশ, , ,সিগনেট,9789350400425,"2nd Printed,2018",116,ভারত,বাংলা
The Unlikely Spy,ডেনিয়েল সিলভা,"TK. 1,258","",https://rokomari.com//book/126053/the-unlikely-spy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/44d6196531e4_126053.jpg,"""The Unlikely Spy” Back Cover of The Book:

HANDPICKED BY CHURCHILL HIMSELF, HISTORY PROFESSOR ALFRED VICARY IS THE LEAST LIKELY AGENT IN ENGLAND'S ARSENAL. AND THAT MAKES HIM THE PERFECT MAN TO STOP AN UNKNOWN SPY FROM UNCOVERING THE ALLIED BATTLE PLANS FOR D-DAY. BUT THE NAZIS HAVE ALSO CHOSEN THEIR OPERATIVE CAREFULLY. AND SHE HAS DIRECT ORDERS FROM HITLER TO ENSURE GERMAN VICTORY—NO MATTER WHAT.
“BRISKLY SUSPENSEFUL."" -- THE NEW YORK TIMES",The Unlikely Spy,Daniel Silva, , ,Signet,9780451209306,"Edition,2018",736,India,English
রূপসী বাংলা,জীবনানন্দ দাশ,TK. 180,"",https://rokomari.com//book/175419/ruposi-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/615e0e6f9_175419.jpg,"",রূপসী বাংলা,জীবনানন্দ দাশ, , ,সিগনেট,9789350400418,"2nd Printed,2016",74,ভারত,বাংলা
A Midsummer Night's Dream,উইলিয়াম শেক্সপীয়ার,TK. 515,"",https://rokomari.com//book/119303/a-midsummer-night-s-dream,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/926d9b1d5fe4_119303.gif,"",A Midsummer Night's Dream,William Shakespeare, , ,Signet,9780451526960,"1st Edition,1998",165,India,English
The Time Machine,এইচ. জি. ওয়েলস,TK. 538,"",https://rokomari.com//book/155657/the-time-machine,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/464764560_155657.jpg,"",The Time Machine,H. G. Wells, , ,Signet,9780451470706,"1st Edition,2014",135,India,English
The Marching Season,ডেনিয়েল সিলভা,"TK. 1,218","",https://rokomari.com//book/126058/the-marching-season,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4f797fa36af4_126058.jpg,"",The Marching Season,Daniel Silva, , ,Signet,9780451209320,"1st Edition,2004",512,India,English
The Defector (Gabriel Allon),ডেনিয়েল সিলভা,"TK. 1,222","",https://rokomari.com//book/126052/the-defector--gabriel-allon-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/61cde72ea0d4_126052.jpg,"",The Defector (Gabriel Allon),Daniel Silva, , ,Signet,9780451230669,"Reprint Edition,2010",528,India,English
The Rembrandt Affair (Gabriel Allon),ডেনিয়েল সিলভা,"TK. 1,222","",https://rokomari.com//book/126054/the-rembrandt-affair--gabriel-allon-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b88209df2894_126054.jpg,"",The Rembrandt Affair (Gabriel Allon),Daniel Silva, , ,Signet,9780451233998,"Reprint Edition,2011",544,India,English
The Mark of the Assassin,ডেনিয়েল সিলভা,"TK. 1,204","",https://rokomari.com//book/126057/the-mark-of-the-assassin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/530fd6619f34_126057.jpg,"",The Mark of the Assassin,Daniel Silva, , ,Signet,9780451209313,"1st Edition,2003",436,India,English
The Woods,হারলান কোবেন,"TK. 1,204","",https://rokomari.com//book/127378/the-woods,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/936fa22f2064_127378.jpg,"",The Woods,Harlan coben, , ,Signet,9780451221957,"1st Edition,2008", ,India,English
A Perfect Day,রিচার্ড পল ইভান্স,"TK. 2,970","",https://rokomari.com//book/126034/a-perfect-day,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/89910df5c6f4_126034.jpg,"",A Perfect Day,Richard Paul Evans, , ,Signet,9780451213266,"Reprint Edition,2004",352,India,English
Far From True (Promise Falls Trilogy),লিনউড বারক্লে,"TK. 1,040","",https://rokomari.com//book/125512/far-from-true--promise-falls-trilogy-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b1eb763f7f24_125512.jpg,"",Far From True (Promise Falls Trilogy),Linwood Barclay , , ,Signet,9780451472717,"Reissue edition,2016",544,USA,English
Broken Promise (Promise Falls Trilogy),লিনউড বারক্লে,"TK. 1,600","",https://rokomari.com//book/125513/broken-promise--promise-falls-trilogy-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4e859a16a734_125513.jpg,"",Broken Promise (Promise Falls Trilogy),Linwood Barclay , , ,Signet,9780451472687,"1st Edition,2016",528,USA,English
Trust Your Eyes,লিনউড বারক্লে,TK. 880,"",https://rokomari.com//book/125530/trust-your-eyes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b57e703dce24_125530.jpg,"",Trust Your Eyes,Linwood Barclay , , ,Signet,9780451414175,"Reprint edition,2013",592,USA,English
No Safe House,লিনউড বারক্লে,"TK. 1,280","",https://rokomari.com//book/125533/no-safe-house,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/219ffad0fc54_125533.jpg,"",No Safe House,Linwood Barclay , , ,Signet,9780451414212,"Reprint edition,2015",512,USA,English
A Tap on the Window,লিনউড বারক্লে,"TK. 1,360","",https://rokomari.com//book/125665/a-tap-on-the-window,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f5d19c8b5104_125665.jpg,"",A Tap on the Window,Linwood Barclay , , ,Signet,9780451414199,"Reprint edition,2014",512,USA,English
