Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
গণতন্ত্র ও উন্নয়নে জননেত্রী শেখ হাসিনা,জয়ন্ত আচার্য,TK. 600,TK. 510,https://rokomari.com//book/100049/gonotontro-o-unnonoyone-jononetri-shekh-hasina,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150530_100049.gif,"আওয়ামী লীগ সভানেত্রী জননেত্রী প্রধানমন্ত্রী শেখ হাসিনা। বাংলাদেশের মহান স্থপতি, সর্বকালের সর্বশ্রেষ্ঠ বাঙালি জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের যোগ্য উত্তরাধিকারী। জাতির জনকের স্বপ্ন ও আদর্শ বাস্তবায়ন করতে নিরলসভাবে তিনি কাজ করে চলেছেন। বঙ্গবন্ধুর স্বপ্নের সোনার বাংলা গড়তে তিনি ঘোষণা করেছেন রূপকল্প ২০২১। অত্যন্ত সফলতার সঙ্গে তিনি এ পথ ধরে এগিয়ে চলছেন।
’৭৫-এর ১৫ আগস্ট বঙ্গবন্ধুকে হত্যার পর ষড়যন্ত্র শুরু হয় মুক্তিযুদ্ধের নেতৃত্বদানকারী দল বাংলাদেশ আওয়ামী লীগ ও মুক্তিযুদ্ধের চেতনাকে এদেশের রাজনীতি থেকে নিশ্চিহ্ন করার। সামরিক শাসনের জাঁতাকলে যখন বাংলার আপামর জনসাধারণ দিগভ্রান্ত, তখন আওয়ামী লীগ ও মুক্তিযুদ্ধের চেতনার পক্ষের জনগণের কাণ্ডারি হয়ে ১৯৮১ সালের ১৭ মে বঙ্গবন্ধুকন্যা শেখ হাসিনা দেশে প্রত্যাবর্তন করেন। বিমানবন্দরে লাখো জনতার উপস্থিতিতে আবেগময় কণ্ঠে তিনি বলেন, “আমি আপনাদের মাঝে ফিরে এসেছি আপনাদের অধিকার আদায়ের সংগ্রামে অংশ নেওয়ার জন্য। জীবনের শেষ দিন পর্যন্ত আমি আপনাদের পাশে থাকতে চাই।” বঙ্গবন্ধু কন্যা শেখ হাসিনা প্রতিমুহূর্তে চেষ্টা করছেন জাতির উদ্দেশে দেওয়া তাঁর এ বক্তব্য পালন করতে। তাঁর নেতৃত্বে আজ বিশ্বের বুকে ক্রমেই মাথা উচু করে দাঁড়াচ্ছে বাংলাদেশ। চারদিকে ছড়িয়ে পড়ছে শেখ হাসিনার সাফল্যগাথাঁ। তাই তাকে নিয়ে জানার আগ্রহ সৃষ্টি হচ্ছে সারাবিশ্বে।
কার্যত বাংলার অসহায়, নিপীড়িত, নিষ্পেষিত, গরিব-দুঃখি মানুষের আশা-আকাক্সক্ষার সর্বশেষ আশ্রয়স্থল, বিশ্বশান্তির অগ্রদূত, সমৃদ্ধ বাংলাদেশের রূপকার প্রধানমন্ত্রী শেখ হাসিনার জীবন ও রাজনৈতিক দর্শন নিয়ে তার সুহৃদদের অসংখ্য লেখার মধ্য থেকে নির্বাচিত লেখা নিয়ে সাজানো হয়েছে এই বইটি।বইটিতে জননেত্রী শেখ হাসিনার প্রায় অর্ধশতাধিক সাদাকালো ও রঙিন ছবি থাকবে।
আশা করি বইটি জননেত্রী শেখ হাসিনা সম্পর্কে জানতে আগ্রহী ব্যক্তি এবং গবেষকদের বিশেষ উপকারে আসবে। বইটি নিঃসন্দেহে সযত্নে সংগ্রহে রাখার মতো।

মাননীয় প্রধানমন্ত্রী শেখ হাসিনার ওপর বরেণ্য লেখকদের প্রায় অর্ধশতাধিক লেখা নিয়ে শ্রাবণ প্রকাশনী থেকে প্রকাশিত হয়েছে সাংবাদিক জয়ন্ত আচার্য সম্পাদিত বই গণতন্ত্র ও উন্নয়নে জননেত্রী শেখ হাসিনা।",গণতন্ত্র ও উন্নয়নে জননেত্রী শেখ হাসিনা, , ,জয়ন্ত আচার্য,শ্রাবণ প্রকাশনী,9789849141396,"1st,2015",267,বাংলাদেশ,বাংলা
"Islamist Radicalization Actors, Drivers And Approaches",মোঃ মোস্তাফিজুর রহমান,TK. 500,TK. 425,https://rokomari.com//book/129825/islamist-radicalization-actors--drivers-and-approaches,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ce3ea3a41ba4_129825.jpg,"""Islamist Radicalization Actors, Drivers And Approaches""
This book is an attempt to discuss about Islamist radicalization and relevant components across the world and Bangladesh as well. The book has presented the synthesis of Islamist radicalization to violent extremism. It includes different theories and models of radicalization and focus on the findings of recent empirical research. It narrates about the doctrine and the pillars of Islam including its sayings about terrorism. It intensively described the factors and drivers that have influences people to violent extremism. 
This book has a dedicated chapter for Bangladesh that describes the scenario of Islamist violence at the recent period relating with history of such incidences. In the Bangladesh chapter it focused on the different ingredients of radicalizations that have influences people to act violent extremism. It also identified the possible threats that could invite new recruits and provide potential space to radicalization and extremism. 
This book would provide readers some insights to think further about 'not to confuse extremists with Muslims' which would help Bangladesh get rid of the serious threat of extremists to the political stability, security and development.","Islamist Radicalization Actors,Drivers And Approaches",Md. Mostafizur Rahman, , ,Shrabon Prokashani,9789849251682,"1st Published,2017",248,Bangladesh,English
বিস্ময়বোধক কোলবালিশ,আনোয়ার সাদী,TK. 150,TK. 143,https://rokomari.com//book/67746/bismoybodhok-kolbalish,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/932881940_67746.jpg,"প্রেমের বসত দাম্পত্যে, ভালোবাসার চাষ সংসারে।দাম্পত্যের নানা সমীকরণে অনুভূতির বিচিত্র প্রকাশ।তারপরও দাম্পত্যে একজন অন্যের আশ্রয়।দাম্পত্যের কাহিনি বিস্ময়বোধক কোলবালিশ। সে এক মনলোভা জগৎ।",বিস্ময়বোধক কোলবালিশ,আনোয়ার সাদী, , ,শ্রাবণ প্রকাশনী,9789849045250,"1st Published,2013",80,বাংলাদেশ,বাংলা
বঙ্গবন্ধুর অসমাপ্ত দ্বিতীয় বিপ্লব,জয়দুল হোসেন,TK. 200,TK. 176,https://rokomari.com//book/206554/bangobandhur-osamapto-ditiyo-biplob,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8bc631385_206554.jpg,"",বঙ্গবন্ধুর অসমাপ্ত দ্বিতীয় বিপ্লব,জয়দুল হোসেন, , ,শ্রাবণ প্রকাশনী,9789849251422,"1st Published,2020",80,বাংলাদেশ,বাংলা
 আমার ছড়ায় বঙ্গবন্ধু,আনজীর লিটন,TK. 35,TK. 32,https://rokomari.com//book/206650/amar-choray-bongobondhu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2afc9f209_206650.jpg,"",আমার ছড়ায় বঙ্গবন্ধু,আনজীর লিটন, , ,শ্রাবণ প্রকাশনী, ,"1st Published,2020", ,বাংলাদেশ,বাংলা
নাগরিক পেন্ডুলাম,অলভী সরকার,TK. 125,TK. 119,https://rokomari.com//book/94589/nagorik-pendulam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4c208350f_94589.jpg,"",নাগরিক পেন্ডুলাম,অলভী সরকার, , ,শ্রাবণ প্রকাশনী,9789849114529,"1st Published,2015",64,বাংলাদেশ,বাংলা
মহাসড়কের গান,অলভী সরকার,TK. 150,TK. 132,https://rokomari.com//book/129469/mahasaroker-gaan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/02e8bc5a8404_129469.jpg,"",মহাসড়কের গান,অলভী সরকার, , ,শ্রাবণ প্রকাশনী,9789849275619,"1st Published,2017",55,বাংলাদেশ,বাংলা
বঙ্গবন্ধু হত্যাকাণ্ড,জাহিদ নেওয়াজ খান,TK. 150,TK. 132,https://rokomari.com//book/110789/bangabandhu-hottyakando,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1441457efce4_110789.gif,"""বঙ্গবন্ধু হত্যাকাণ্ড"" বইয়ের ফ্ল্যাপের কথাঃ
কবর খুঁড়ে রাখলেও পাকিস্তানীরা বঙ্গবন্ধু শেখ মুজিবুর রহমানকে হত্যার দুঃসাহস দেখায়নি। জাতির জনক শেখ মুজিব নিহত হয়েছেন তিনি যে দেশের স্বাধীনতা এনে দিয়েছেন সেই দেশের কিছু সেনা কর্মকর্তার হাতে। বঙ্গবন্ধু তাঁর প্রিয় দেশের মানুষকে বিশ্বাস করেছিলেন বলে খুনিরা খুব সহজেই তাদের মিশনে সফল হয়েছে। কিন্তু, তাঁর নিরাপত্তা যাদের নিশ্চিত করার কথা ছিল তারা ব্যর্থ হয়েছে পুরােপুরি। একদিকে যেমন খুব বেশি গােয়েন্দা তথ্য ছিল না তেমনি খুনিরা আগের দিন বিকেল থেকে প্রকাশ্যেই সব প্রস্তুতি নিলেও সেটা ব্যর্থ করে দিতে সেনাবাহিনী বা অন্য কেউ সক্রিয় ছিল না। বঙ্গবন্ধু হত্যা মামলায় সাক্ষীদের সাক্ষ্যে শব্দে শব্দে ফুটে উঠেছে সেই ব্যর্থতার কথা। গােয়েন্দা ও সামরিক ওই ব্যর্থতা নিয়েই নতুন প্রজন্মের কাছে ইতিহাস তুলে ধরার দায় থেকে এ বই।",বঙ্গবন্ধু হত্যাকাণ্ড,জাহিদ নেওয়াজ খান, , ,শ্রাবণ প্রকাশনী,9789849201564,"1st Published,2016",78,বাংলাদেশ,বাংলা
মাল্টি কালার কষ্ট,ইব্রাহীম খলিল,TK. 150,TK. 132,https://rokomari.com//book/160074/multi-color-kosto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/000d4a046_160074.jpg,"""মাল্টি কালার কষ্ট"" বইয়ের ফ্ল্যাপের লেখা কথা:
কবিতা কখন যে, লবনের স্বাধ ও বিস্ময়ের শূণ্যতায় খােদাই হয়ে বেড়িয়ে আসে, সেই সময়কে ধরতেই কবির আন্তরে রচিত হয় বহু কোজাগরি চাঁদ। তবুও কবির, শরীর পিরামিড করে স্পেস খুলে থাকে দীর্ঘ অপেক্ষার নীরবতা। কবিতা তখন অন্ধকার ভেদ করে ইব্রাহীম খলিলের মুগ্ধতা দেখে। যেনাে সবকিছু কালার হয়ে ওঠে তার আত্মার আড়াল ছুঁয়ে। পাঠকের স্মৃতির পাহাড় বেয়ে জিরাফের মুখ তুলতে থাকে, অপর চূড়ার আকাঙ্খায়। এভাবেই আমরা তার কবিতায় আস্থার প্রতিধ্বনি টের পাই...।",মাল্টি কালার কষ্ট,ইব্রাহীম খলিল, , ,শ্রাবণ প্রকাশনী,9789849304333,"1st Published,2018",64,বাংলাদেশ,বাংলা
ছোটদের বঙ্গবন্ধুর ছড়া,লুৎফর রহমান রিটন  ,TK. 35,TK. 32,https://rokomari.com//book/197316/chotoder-bongobondhur-chora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3b0949368_197316.jpg,"",ছোটদের বঙ্গবন্ধুর ছড়া,লুৎফর রহমান রিটন, , ,শ্রাবণ প্রকাশনী, ,"1st Published,2020",32,বাংলাদেশ,বাংলা
