Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Analysis of Balance Sheet,এন. এস. ট্যুর,TK. 445,"",https://rokomari.com//book/173012/analysis-of-balance-sheet,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c9d31eb7a_173012.jpg,"",Analysis of Balance Sheet,N.S. Toor, , ,Skylark,9788186141533,"10th Edition,2016", ,India,English
Danger at Anchor Mine (Choose Your Own Adventure -49),লুইস মুনরো ফলি,"TK. 9,318","",https://rokomari.com//book/115343/danger-at-anchor-mine--choose-your-own-adventure--49-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6b473e29f_115343.jpg,"",Danger at Anchor Mine (Choose Your Own Adventure -49),Louise Munro Foley, , ,Skylark,9780553254969,"1st  Edition,1985",128,India,English
Stock Car Champion (Choose Your Own Adventures- 96),আর. এ. মন্টোগোমারি,"TK. 9,309","",https://rokomari.com//book/115367/stock-car-champion--choose-your-own-adventures--96-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c53e2fd6e_115367.jpg,"",Stock Car Champion (Choose Your Own Adventures- 96),R. A. Montgomery, , ,Skylark, 9780553282948,"1st  Edition,1989",128,India,English
Possessed! (Choose Your Own Adventure -161),আর. এ. মন্টোগোমারি,"TK. 4,880","",https://rokomari.com//book/115369/possessed---choose-your-own-adventure--161-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a28dfcf904d4_115369.gif,"",Possessed! (Choose Your Own Adventure -161),R. A. Montgomery, , ,Skylark, 9780553567236,"1st  Edition,1995",10,USA,English
Grave Robbers (Choose Your Own Adventure- 103),রামসি মন্টোগোমারি,"TK. 9,280","",https://rokomari.com//book/115407/grave-robbers--choose-your-own-adventure--103-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2c22f2ec3864_115407.gif,"",Grave Robbers (Choose Your Own Adventure- 103),Ramsey Montgomery, , ,Skylark,9780553285543,"1st  Edition,1990",10,USA,English
Outlaw Gulch (Choose Your Own Adventure- 125),রামসি মন্টোগোমারি,"TK. 12,640","",https://rokomari.com//book/115408/outlaw-gulch--choose-your-own-adventure--125-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c5f353558004_115408.gif,"",Outlaw Gulch (Choose Your Own Adventure- 125),Ramsey Montgomery, , ,Skylark, 9780553292954,"1st  Edition,1992",128,USA,English
Master of Tae Kwon Do (Choose Your Adventure- 102),রামসি মন্টোগোমারি,"TK. 28,760","",https://rokomari.com//book/115414/master-of-tae-kwon-do--choose-your-adventure--102-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eaceda8814e4_115414.gif,"",Master of Tae Kwon Do (Choose Your Adventure- 102),Ramsey Montgomery, , ,Skylark,9780553285161,"1st  Edition,1990",125,India,English
The Terrorist Trap (Choose Your Own Adventure),শ্যানন গিলিগান,"TK. 7,239","",https://rokomari.com//book/115424/the-terrorist-trap--choose-your-own-adventure-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f3f37658cd84_115424.gif,"",The Terrorist Trap (Choose Your Own Adventure),Shannon Gilligan, , ,Skylark,9780553292893,"1st  Edition,1991",129,India,English
Terror Island (Choose Your Own Adventure- 59),টনি কটজ,"TK. 8,692","",https://rokomari.com//book/115436/terror-island--choose-your-own-adventure--59-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fda8310b5_115436.jpg,"",Terror Island (Choose Your Own Adventure- 59),Tony Koltz, , ,Skylark, 9780553258851,"1st  Edition,1986",128,India,English
Secret of the Sun God (Choose Your Own Adventure- 68)  ,আন্ড্রে প্যাকার্ড,"TK. 5,637","",https://rokomari.com//book/115193/secret-of-the-sun-god--choose-your-own-adventure--68-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9bdb46ba3ee4_115193.gif,"",Secret of the Sun God (Choose Your Own Adventure- 68),Andrea Packard, , ,Skylark, 9780553265293,"1st  Edition,1987",129,India,English
Scene of the Crime (Choose Your Own Adventure -137),ডগ উইলহেম,"TK. 9,145","",https://rokomari.com//book/115211/scene-of-the-crime--choose-your-own-adventure--137-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/94fa12a1ab14_115211.gif,"",Scene of the Crime (Choose Your Own Adventure -137),Doug Wilhelm, , ,Skylark,9780553560046,"1st  Edition,1993",128,India,English
