Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ব্রাক্ষী থেকে বাংলা,জয়ন্ত চক্রবর্তী,TK. 135,"",https://rokomari.com//book/135558/brammi-theke-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ব্রাক্ষী থেকে বাংলা,জয়ন্ত চক্রবর্তী, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
মহাকাশ পরিক্রমা,জয়ন্ত চক্রবর্তী,TK. 117,"",https://rokomari.com//book/135559/mohakash-porikroma,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহাকাশ পরিক্রমা,জয়ন্ত চক্রবর্তী, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
ক্যুইজ ব্যাঙ্ক,জয়ন্ত চক্রবর্তী,TK. 126,"",https://rokomari.com//book/135560/quiz-bank,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ক্যুইজ ব্যাঙ্ক,জয়ন্ত চক্রবর্তী, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
পুরুলিয়ার ডাইনি বিরোধী আন্দোলন,লক্ষ্মীন্দ্রকুমার সরকার,TK. 360,"",https://rokomari.com//book/135561/puruliyar-dayni-birodhi-andholon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পুরুলিয়ার ডাইনি বিরোধী আন্দোলন,লক্ষ্মীন্দ্রকুমার সরকার, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
শেষের নাটিকা গুচ্ছন,নিমাই চাঁদ বন্দ্যোপাধ্যায়,TK. 108,"",https://rokomari.com//book/135562/shesher-natika-gucchon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শেষের নাটিকা গুচ্ছন,নিমাই চাঁদ বন্দ্যোপাধ্যায়, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
মানিকলাল সিংহঃজীবন ও সাধনা,ড. সুশান্ত কবিরাজ,TK. 270,"",https://rokomari.com//book/135563/maniklal-singhojibon-o-sadhona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মানিকলাল সিংহঃজীবন ও সাধনা,ড. সুশান্ত কবিরাজ, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
দেহি পদপল্লব,রমাপ্রসাদ চক্রবর্তী,TK. 270,"",https://rokomari.com//book/135564/dehi-podopollob,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দেহি পদপল্লব,রমাপ্রসাদ চক্রবর্তী, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2010, ,ভারত,বাংলা
গ্রীস দেশের ইতিহাস,জয়ন্ত চক্রবর্তী,TK. 180,"",https://rokomari.com//book/135565/greece-desher-itihash,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গ্রীস দেশের ইতিহাস,জয়ন্ত চক্রবর্তী, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2011, ,ভারত,বাংলা
মধুপুরের ডাকবাংলো: সম্পূর্ণ সামাজিক উপন্যাস,সনৎ ভট্টাচার্য,TK. 180,"",https://rokomari.com//book/135566/modhupurer-dakbanglo-sompurno-samajik-uponnash,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মধুপুরের ডাকবাংলো: সম্পূর্ণ সামাজিক উপন্যাস,সনৎ ভট্টাচার্য, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2011, ,ভারত,বাংলা
চার পুণ্য ধাম,জয়ন্ত চক্রবর্তী,TK. 540,"",https://rokomari.com//book/135567/char-punno-dham,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চার পুণ্য ধাম,জয়ন্ত চক্রবর্তী, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
দ্বারকানাথ বিদ্যাভূষন রচনা সম্ভার ২,দ্বারকানাথ বিদ্যাভূষন,TK. 720,"",https://rokomari.com//book/135568/dwarkanath-biddyavushon-rochona-somvar-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দ্বারকানাথ বিদ্যাভূষন রচনা সম্ভার ২,দ্বারকানাথ বিদ্যাভূষন, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
তুমি কার ছেলে,সনৎ ভট্টাচার্য,TK. 180,"",https://rokomari.com//book/135569/tumi-kar-chele,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তুমি কার ছেলে,সনৎ ভট্টাচার্য, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
স্বল্প দৈর্ঘ্য নাট্য সংকলন,ইন্দ্রজিৎ পাল,TK. 225,"",https://rokomari.com//book/135570/swolpo-doirgho-natto-songkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বল্প দৈর্ঘ্য নাট্য সংকলন,ইন্দ্রজিৎ পাল, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
নিরূপ মিত্র-র নাট্যসংকলন,ইন্দ্রজিৎ পাল,TK. 225,"",https://rokomari.com//book/135571/nirup-mitrar-nattosongkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নিরূপ মিত্র-র নাট্যসংকলন,ইন্দ্রজিৎ পাল, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
স্বাধীনতা আন্দোলনে বাঙালি,দেবপ্রসাদ সরকার,TK. 144,"",https://rokomari.com//book/135572/swadhinota-andolon-bangali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বাধীনতা আন্দোলনে বাঙালি,দেবপ্রসাদ সরকার, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
স্বামী বিবেকানন্দের পরিব্রাজন কথা সমগ্র,জয়ন্ত চক্রবর্তী,TK. 162,"",https://rokomari.com//book/135573/swami-bibekanonder-poribrajon-kotha-somogro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বামী বিবেকানন্দের পরিব্রাজন কথা সমগ্র,জয়ন্ত চক্রবর্তী, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
ভোরের কুয়াশা,সনৎ ভট্টাচার্য,TK. 90,"",https://rokomari.com//book/135574/vorer-kuyasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভোরের কুয়াশা,সনৎ ভট্টাচার্য, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
সোনার দূর্গ,সনৎ ভট্টাচার্য,TK. 90,"",https://rokomari.com//book/135575/sonar-durgo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সোনার দূর্গ,সনৎ ভট্টাচার্য, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
সন্তানকে মনের মতো গড়তে হলে,সুস্মিতা ভৌমিক,TK. 99,"",https://rokomari.com//book/135577/sontanke-moner-moto-gorte-hole,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সন্তানকে মনের মতো গড়তে হলে,সুস্মিতা ভৌমিক, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
ভাঙ্গাগড়া,ব্যোমকেশ সিংহ,TK. 180,"",https://rokomari.com//book/135578/vangagora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভাঙ্গাগড়া,ব্যোমকেশ সিংহ, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
পাষাণী পিসী,গঙ্গাধর দে,TK. 216,"",https://rokomari.com//book/135579/pashani-pishi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পাষাণী পিসী,গঙ্গাধর দে, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
পুরুষ শাসিত সমাজে নারী মুক্তি,শ্রীখগেন্দ্রনাথ ভৌমিক ,TK. 180,"",https://rokomari.com//book/135580/purush-shashito-somaje-nari-mukti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পুরুষ শাসিত সমাজে নারী মুক্তি,শ্রীখগেন্দ্রনাথ ভৌমিক, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
হেয়ার স্টাইল ,সুস্মিতা ভৌমিক,TK. 126,"",https://rokomari.com//book/135581/hair-style,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হেয়ার স্টাইল, , ,সুস্মিতা ভৌমিক,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
বাঁকুড়া-পুরুলিয়া-পশ্চিম মেদিনীপুরের আঞ্চলিক ভাষার কবিতা ,চন্ডীচরন দাস,TK. 180,"",https://rokomari.com//book/135582/bakura-puruliya-poshchim-medinipur-ancholik-vashar-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাঁকুড়া-পুরুলিয়া-পশ্চিম মেদিনীপুরের আঞ্চলিক ভাষার কবিতা, , ,চন্ডীচরন দাস,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
মহাজনী খাতা ,সনৎ ভট্টাচার্য,TK. 180,"",https://rokomari.com//book/135583/mohajoni-khata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহাজনী খাতা,সনৎ ভট্টাচার্য, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
রাঙাদাদুর গুপ্তধন,সুস্মিতা ভট্টাচার্য,TK. 108,"",https://rokomari.com//book/135584/rangadadur-guptodhon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রাঙাদাদুর গুপ্তধন,সুস্মিতা ভট্টাচার্য, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
বিষাক্ত মাকড়সা ,সনৎ ভট্টাচার্য,TK. 270,"",https://rokomari.com//book/135585/bishakto-makorsha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিষাক্ত মাকড়সা,সনৎ ভট্টাচার্য, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
চতুর্দ্দশপদী কবিতাবলী,সনৎ ভট্টাচার্য,TK. 180,"",https://rokomari.com//book/135586/choturdodoshpodi-kobitaboli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চতুর্দ্দশপদী কবিতাবলী,সনৎ ভট্টাচার্য, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
বিপ্লবের আগুন ,সনৎ ভট্টাচার্য,TK. 270,"",https://rokomari.com//book/135587/biplober-agun,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিপ্লবের আগুন,সনৎ ভট্টাচার্য, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
রবীন্দসঙ্গীত সূচী-তথ্য ও অন্যান্য,জয়ন্ত চক্রবর্তী,TK. 360,"",https://rokomari.com//book/135588/rabindrosongit-suchitotho-o-onnanno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দসঙ্গীত সূচী-তথ্য ও অন্যান্য,জয়ন্ত চক্রবর্তী, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
সংরক্ষণ ও জাতপাত,খগেন্দ্রনাথ ভৌমিক,TK. 180,"",https://rokomari.com//book/135589/songrokhon-o-jatpat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সংরক্ষণ ও জাতপাত,খগেন্দ্রনাথ ভৌমিক, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
পদবীর উৎপত্তি ও ক্রম্বিকাশের ইতিহাস,খগেন্দ্রনাথ ভৌমিক,TK. 270,"",https://rokomari.com//book/135557/podobir-utpotti-o-kromobikasher-itihash,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পদবীর উৎপত্তি ও ক্রম্বিকাশের ইতিহাস,খগেন্দ্রনাথ ভৌমিক, , ,সঞ্চয়ন প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
