Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বিষয়: গ্রীক নাটক,নিশীথ রায়চৌধুরী,TK. 360,"",https://rokomari.com//book/135499/bishoy--greek-natok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিষয়: গ্রীক নাটক,নিশীথ রায়চৌধুরী, , ,সদানন্দ প্রকাশনী (ভারত), ,2011, ,ভারত,বাংলা
হাসির কান্না,দীপক সরকার,TK. 180,"",https://rokomari.com//book/135447/hashir-kanna,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হাসির কান্না,দীপক সরকার, , ,সদানন্দ প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
ষাটং ঊর্ধে বনং ব্রজেৎ,নিশীথ রায়চৌধুরী,TK. 180,"",https://rokomari.com//book/135448/shatong-urdhe-bonong-brojet,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ষাটং ঊর্ধে বনং ব্রজেৎ,নিশীথ রায়চৌধুরী, , ,সদানন্দ প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
চলমান সমাজ,দেবীপ্রসাদ,TK. 180,"",https://rokomari.com//book/135449/choloman-somaj,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চলমান সমাজ,দেবীপ্রসাদ, , ,সদানন্দ প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
হিমাচলের পথে,অমর শঙ্কর ভট্টাচার্য,TK. 180,"",https://rokomari.com//book/135450/himacholer-pothe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হিমাচলের পথে,অমর শঙ্কর ভট্টাচার্য, , ,সদানন্দ প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
গোমুখের লালবাবা,নারায়ণ গঙ্গোপাধ্যায়,TK. 144,"",https://rokomari.com//book/135454/gomukher-lalbaba,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গোমুখের লালবাবা,নারায়ণ গঙ্গোপাধ্যায়, , ,সদানন্দ প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
গল্পে কাহিনীতে ধর্মশিক্ষা,ক্ষিতিশ চন্দ্র সাহা,TK. 270,"",https://rokomari.com//book/135456/golpe-kahinite-dhormoshikha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গল্পে কাহিনীতে ধর্মশিক্ষা,ক্ষিতিশ চন্দ্র সাহা, , ,সদানন্দ প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
হাস্য-ব্যঙ্গ গীতি,ক্ষিতিশ চন্দ্র সাহা,TK. 144,"",https://rokomari.com//book/135458/hasho-bengo-giti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হাস্য-ব্যঙ্গ গীতি,ক্ষিতিশ চন্দ্র সাহা, , ,সদানন্দ প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
দিনের ইতিবৃত্ত,আবদুল করিম,TK. 720,"",https://rokomari.com//book/135460/diner-itibrrittio,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দিনের ইতিবৃত্ত, , ,আবদুল করিম,সদানন্দ প্রকাশনী (ভারত), ,2015, ,ভারত,বাংলা
বিশ্ব হাতের মুঠোয়,কাজী আবদুল করিম,TK. 360,"",https://rokomari.com//book/135463/bishwo-hater-muthoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিশ্ব হাতের মুঠোয়,কাজী আবদুল করিম, , ,সদানন্দ প্রকাশনী (ভারত), ,2015, ,ভারত,বাংলা
