Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
যে গল্পে জীবন বদলে যায়,আবু সালমান,TK. 120,TK. 106,https://rokomari.com//book/66367/je-golpe-jibon-bodle-jay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_66367.GIF,"",যে গল্পে জীবন বদলে যায়,আবু সালমান, , ,সমাচার,9847018200845,"1st Published,2012",95,বাংলাদেশ,বাংলা
পরম্পরা তত্ত্ব ভেদ-প্রথম খণ্ড,বলন কাঁইজি,TK. 350,TK. 298,https://rokomari.com//book/13089/porompora-totto-ved-prothom-khondo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_13089.gif,"",পরম্পরা তত্ত্ব ভেদ-প্রথম খণ্ড,বলন কাঁইজি, , ,সমাচার, , , ,বাংলাদেশ,বাংলা
মহাকাশ গবেষণা,শামসুজ্জামান খান,TK. 100,TK. 90,https://rokomari.com//book/13731/mohakash-gobvesona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3f0e40f79_13731.jpg,"",মহাকাশ গবেষণা,শামসুজ্জামান খান, , ,সমাচার,9847018200029,"1st Published,2011",72,বাংলাদেশ,বাংলা
সুফি সদর উদ্দিন আহ্‌মদ চিশতী রচনাসমগ্র-২,আবদেল মাননান,TK. 650,TK. 553,https://rokomari.com//book/99561/sufi-sadar-uddin-ahamod-chisti-rochonasamagro-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_99561.gif,"",সুফি সদর উদ্দিন আহ্‌মদ চিশতী রচনাসমগ্র-২, ,আবদেল মাননান, ,সমাচার,9847018202399,"1st Published,2015",783,বাংলাদেশ,বাংলা
শ্রেষ্ঠ উপন্যাস,বাণী বসু,TK. 900,TK. 765,https://rokomari.com//book/183605/shreshtho-uponyas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/418143b34_183605.jpg,"",শ্রেষ্ঠ উপন্যাস,বাণী বসু, , ,সমাচার,9847018203099,"1st Published,2019",990,বাংলাদেশ,বাংলা
পরিবেশ বিদূষণ,অপরেশ বন্দ্যোপাধ্যায়,TK. 600,TK. 510,https://rokomari.com//book/13735/poribesh-bidushon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/27c371b4c_13735.jpg,"""পরিবেশ বিদূষণ"" ফ্ল্যাপে লেখা কথা:
পরিবেশ বিদূষণ বর্তমান বিশ্বের একটি বিশেষ গুরুত্বপূর্ণ বিষয়। সাধারণ মানুষ থেকে শুরু করেবিশ্বের নেতৃস্থানীয় ব্যক্তিবর্গ এই বিষয়টি নিয়ে বিশেষভাবে চিন্তিত। পৃথিবীতে মানুষ সৃষ্টির পর থেকেই মানুষের নানাবিধ অনিয়ন্ত্রিত কার্যকলাপের মাধ্যমে এই পৃথিবীকে ক্রমশই বাসযােগ্য থেকে বাসযােগ্যহীন করে তুলেছে। পৃথিবী ক্রমেই হয়ে উঠছে বিষাক্ত এবং প্রাণধারণের অনুপযােগী। এই গ্রন্থে পরিবেশের বিভিন্ন ধরনের বিদূষণ সম্পর্কে বিশদভাবে আলােচনা করা হয়েছে। মানুষের মনে সচেতনতা সৃষ্টির লক্ষ্যে গ্রন্থটি বিশেষ ভূমিকা রাখবে বলে আশা করা যায়।",পরিবেশ বিদূষণ,অপরেশ বন্দ্যোপাধ্যায়, , ,সমাচার,9847018200777,"1st Published,2012",556,বাংলাদেশ,বাংলা
সাহিত্য সৌরভে শাহজাদপুর,ড. মুহম্মদ আবদুল জলিল,TK. 100,TK. 90,https://rokomari.com//book/66349/sahitto-sourove-shahjadpur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141121_66349.gif,"",সাহিত্য সৌরভে শাহজাদপুর,ড. মুহম্মদ আবদুল জলিল, , ,সমাচার,9847018201019,"1st Published,2013",62,বাংলাদেশ,বাংলা
ভূতের ইন্সুরেন্স,এনায়েত রসুল,TK. 160,TK. 141,https://rokomari.com//book/66398/vuter-insurance,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141121_66398.gif,"",ভূতের ইন্সুরেন্স,এনায়েত রসুল, , ,সমাচার,9847018201378,"1st Published,2012",124,বাংলাদেশ,বাংলা
বল্টু ইজ গুড বয়,ফারুক নওয়াজ,TK. 120,TK. 106,https://rokomari.com//book/13734/boltu-is-good-boy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141121_13734.gif,"",বল্টু ইজ গুড বয়,ফারুক নওয়াজ, , ,সমাচার, , , ,বাংলাদেশ,বাংলা
শ্রেষ্ঠ কিশোর উপন্যাস,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 675,TK. 574,https://rokomari.com//book/177463/shreshtho-kishor-uponyas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e2e42ad9d_177463.jpg,"",শ্রেষ্ঠ কিশোর উপন্যাস,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,সমাচার,9847018203044,"1st Published,2019",621,বাংলাদেশ,বাংলা
আল-কুর‘আন ও সহীহ হাদীসের আলোকে পাঞ্জেগানা অজিফা ও দু‘আর ভাণ্ডার (বালা উচ্চারণ ও অর্থসহ),মুহাম্মদ শাহিদুল ইসলাম,TK. 350,TK. 263,https://rokomari.com//book/156389/alquran-o-sohih-hadiser-aloke-panjjegana-ojifa-o-duar-vandar---bangla-uccharon-o-orthosoho-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0a932e9e0_156389.jpg,"",আল-কুর‘আন ও সহীহ হাদীসের আলোকে পাঞ্জেগানা অজিফা ও দু‘আর ভাণ্ডার (বালা উচ্চারণ ও অর্থসহ),মুহাম্মদ শাহিদুল ইসলাম, , ,সমাচার,9847018202702,"1st Published,2018",359,বাংলাদেশ,বাংলা
আত্মার সৃষ্টিরহস্য ও আত্মমুক্তির পথ,বলন কাঁইজি,TK. 350,TK. 263,https://rokomari.com//book/62144/attar-sristirohosyo-o-attomuktir-poth,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a0fd3ec4_62144.jpg,"ফ্ল্যাপে লিখা কথা
বিশিষ্ট লেখক ও গবেষক বলন কাঁইজি একদিকে একজন আত্নতাত্ত্বিক দার্শনিক ও অপরদিকে আধ্যাত্নিক বিজ্ঞানী। তিনি বিশ্বের সর্বশ্রেষ্ঠ আত্নতাত্ত্বিক গবেষকগনের মধ্যে অন্যতম। বলন কাঁইজি এযাবৎ প্রায় অর্ধশত আত্নতাত্ত্বিক ও আধ্যাত্নিক গ্রন্থ-গ্রন্থিকা প্রণয়ন করেছেন। উক্ত গ্রন্থ-গ্রন্থিকাদির মধ্যে তাঁর বিশিষ্ট জ্ঞানশিষ্যেদের উদ্যোগে - ‘আত্নার সৃষ্টিরহস্য ও আত্নমুক্তির পথ’ ,‘আধ্যাত্নিকবিদ্যার পরিচিতি’ , ‘ চার ত্বরিকার বিধিবিধান’ ত্বরিক্বত দর্শন,‘পবিত্র লালন’, ‘পরম্পরাত্ত্ব ভেদ’(১ম ও ২য় খন্ড) , ‘বলন তত্ত্ববলী, ‘(১ম ও ২য় খন্ড), ‘বাঙালী মহামানব লালন সাঁইজি( লালন জীবনী), ‘মু’জিযার ইতিবৃত্ত’ (অলৌকিক বা চমৎকারের রহস্য), ‘রূপক পরিভাষায়র আধ্যাত্নিক অভিধান’ (১ম ও ২য় খণ্ড), ‘লালন ভাবার্থে আধ্যাত্নিক অভিধান, ‘লালন পরম্পরা’ (পরম্পরাতত্ত্ব ভেদ ২য় খন্ড) ও ‘হাজার লালন ইত্যাদি প্রকাশিত হয়েছে। গবেষণার পাশাপাশি বাংলাভাষায় রূপক সাহিত্যের ভিত্তি(বেজমেন্ট ওফ স্পিরিচুয়েলিজম, basement of Spiritualism)নির্মাণের লক্ষে আধ্যাত্নিক সূত্রাবলী, আধ্যাত্নিক টীকাসমগ্র, আধ্যাত্নিক বিজ্ঞান ও প্রয়োজনীয় আধ্যাত্নিক অভিধানাদি প্রণয়নের জন্য তিনি আপ্রাণ প্রচেষ্টা করে যাচ্ছেন।


সূচিপত্র* 
প্রথম অধ্যায় : স্থায়ী ও অস্থায়ী জগৎ* 
দ্বিতীয় অধ্যায় : আত্নার অস্তিত্ব* 
তৃতীয় অধ্যায় : পুনরুত্থান* 
চতুর্থ অধ্যায় : আত্নমুক্তি",আত্মার সৃষ্টিরহস্য ও আত্মমুক্তির পথ,বলন কাঁইজি, , ,সমাচার,9847018202276,"2nd Edition,2016",286,বাংলাদেশ,বাংলা
নূরে মোহাম্মদীই আল্লাহর গুপ্ত রহস্য,মোস্তাক আহ্‌মাদ ,TK. 450,TK. 338,https://rokomari.com//book/11104/nure-mohammadie-allahor-gupto-rohosho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141121_11104.gif,"",নূরে মোহাম্মদীই আল্লাহর গুপ্ত রহস্য,মোস্তাক আহ্‌মাদ, , ,সমাচার,9847018200623,"1st Published,2012",479,বাংলাদেশ,বাংলা
