Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
নারীর কলমে নারীর কন্ঠ : আইন এবং সমাজ বিধান (১৯১৪ -১৯৪৫),অরুন্ধতী রায়,TK. 450,"",https://rokomari.com//book/132955/narir-kolme-narir-kontho-ayain-ebong-somaj-bidhan--1914-1945-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নারীর কলমে নারীর কন্ঠ : আইন এবং সমাজ বিধান (১৯১৪ -১৯৪৫),অরুন্ধতী রায়, , ,সহযাত্রী (কলকাতা), ,2011, ,ভারত,বাংলা
আবৃত্তি সকলের জন্য,পূজন ঘোষ,TK. 180,"",https://rokomari.com//book/133007/abriti-sokoler-jonno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আবৃত্তি সকলের জন্য,পূজন ঘোষ, , ,সহযাত্রী (কলকাতা), ,2009, ,ভারত,বাংলা
হরে কর কম ছড়া রম তন,প্রেমাঙ্কুর সান্যাল,TK. 72,"",https://rokomari.com//book/133008/hore-kor-kom-chora-rom-ton,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হরে কর কম ছড়া রম তন,প্রেমাঙ্কুর সান্যাল, , ,সহযাত্রী (কলকাতা), ,2009, ,ভারত,বাংলা
এক গোছা রজনীগন্ধা,প্রশান্ত মানিক,TK. 360,"",https://rokomari.com//book/133009/ek-gocha-rojonigondha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এক গোছা রজনীগন্ধা,প্রশান্ত মানিক, , ,সহযাত্রী (কলকাতা), ,2011, ,ভারত,বাংলা
কবিতার পান্ডুলিপি,প্রশান্ত মানিক,TK. 360,"",https://rokomari.com//book/133010/kobitar-pandulipi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কবিতার পান্ডুলিপি,প্রশান্ত মানিক, , ,সহযাত্রী (কলকাতা), ,2011, ,ভারত,বাংলা
"বাঁকুড়ার কবিদের কবিতা,1ম খ.",বিশ্বজিৎ সাঁতরা ,TK. 270,"",https://rokomari.com//book/133012/bakurar-kobider-kobita-1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","বাঁকুড়ার কবিদের কবিতা,1ম খ.", , ,বিশ্বজিৎ সাঁতরা,সহযাত্রী (কলকাতা), ,2009, ,ভারত,বাংলা
অন্য দেখা,মাধবচন্দ্র পাল,TK. 72,"",https://rokomari.com//book/133024/onno-dekha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অন্য দেখা,মাধবচন্দ্র পাল, , ,সহযাত্রী (কলকাতা), ,2009, ,ভারত,বাংলা
সাতটি বুড়ো,রঘুপতি বসু,TK. 54,"",https://rokomari.com//book/133030/sati-burow,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সাতটি বুড়ো,রঘুপতি বসু, , ,সহযাত্রী (কলকাতা), ,2009, ,ভারত,বাংলা
কুমায়ুন দর্শন,রাখালচন্দ্র দাস,TK. 126,"",https://rokomari.com//book/133032/kumayun-dorshon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কুমায়ুন দর্শন,রাখালচন্দ্র দাস, , ,সহযাত্রী (কলকাতা), ,2010, ,ভারত,বাংলা
প্রসঙ্গ মহাজীবন,রামচন্দ্র ধাড়া,TK. 108,"",https://rokomari.com//book/133036/prosongo-mohajibon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রসঙ্গ মহাজীবন,রামচন্দ্র ধাড়া, , ,সহযাত্রী (কলকাতা), ,2009, ,ভারত,বাংলা
