Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ছোটদের বঙ্গবন্ধু ও বাংলাদেশ,আব্দুছ ছামাদ,TK. 150,TK. 105,https://rokomari.com//book/214355/chotoder-bangabandu-o-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/68529c085_214355.jpg,"",ছোটদের বঙ্গবন্ধু ও বাংলাদেশ,আব্দুছ ছামাদ, , ,সোনামণি প্রকাশনী,9879843475411,"1st Published,2020",88,বাংলাদেশ,বাংলা
সোনামণিদের মহানায়ক বঙ্গবন্ধু শেখ মুজিবুর রহমান,রফিকুল ইসলাম বুলবুল,TK. 215,TK. 151,https://rokomari.com//book/214356/sonamonider-mohanayok-bangabandhu-sheikh-mujibur-rahman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1d552e94d_214356.jpg,"",সোনামণিদের মহানায়ক বঙ্গবন্ধু শেখ মুজিবুর রহমান,রফিকুল ইসলাম বুলবুল, , ,সোনামণি প্রকাশনী,9789843476715,"1st Published,2020",128,বাংলাদেশ,বাংলা
ছোট্ট বন্ধুদের বঙ্গবন্ধু,মীর লিয়াকত আলী,TK. 150,TK. 105,https://rokomari.com//book/214357/chotto-bandhuder-bangabandhu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/547acc9f6_214357.jpg,"",ছোট্ট বন্ধুদের বঙ্গবন্ধু,মীর লিয়াকত আলী, , ,সোনামণি প্রকাশনী,9789843476708,"1st Published,2020",40,বাংলাদেশ,বাংলা
বোকা হাতি ও চালাক শিয়াল,দিব্যেন্দু মন্ডল দ্বীপ,TK. 135,TK. 95,https://rokomari.com//book/214367/boka-hati-o-chalak-shial,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2c3341f10_214367.jpg,"",বোকা হাতি ও চালাক শিয়াল,দিব্যেন্দু মন্ডল দ্বীপ, , ,সোনামণি প্রকাশনী,9789849082351,"1st Published,2020",40,বাংলাদেশ,বাংলা
একটি নীল শিয়ালের গল্প,মুহাম্মদ মহিদুর রহমান,TK. 135,TK. 95,https://rokomari.com//book/214368/ekti-neel-shialer-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/56d746382_214368.jpg,"",একটি নীল শিয়ালের গল্প,মুহাম্মদ মহিদুর রহমান, , ,সোনামণি প্রকাশনী,9789849082351,"1st Published,2020",40,বাংলাদেশ,বাংলা
কাঠবিড়ালী,লাভলী ইসলাম  ,TK. 75,TK. 53,https://rokomari.com//book/214369/kathbirali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/920c71f57_214369.jpg,"",কাঠবিড়ালী,লাভলী ইসলাম, , ,সোনামণি প্রকাশনী,9789843486110,"1st Published,2020",16,বাংলাদেশ,বাংলা
খোকা খুকির মিষ্টি ছড়া,কাজী আনারকলি,TK. 75,TK. 53,https://rokomari.com//book/214370/khoka-khukir-mishti-chora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6fbf8cb0d_214370.jpg,"",খোকা খুকির মিষ্টি ছড়া,কাজী আনারকলি, , ,সোনামণি প্রকাশনী,9789843476722,"1st Published,2020",11,বাংলাদেশ,বাংলা
মিষ্টি ছড়ার বৃষ্টি,আঞ্জুমান আরা,TK. 80,TK. 56,https://rokomari.com//book/214371/mishti-chorar-brishti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c1c2689ed_214371.jpg,"",মিষ্টি ছড়ার বৃষ্টি,আঞ্জুমান আরা, , ,সোনামণি প্রকাশনী,9789843476722,"1st Published,2021",11,বাংলাদেশ,বাংলা
মিষ্টি ছড়া শিশু ফুল প্রজাপতি,নূর কিবরিয়া পলাশ,TK. 80,TK. 56,https://rokomari.com//book/214372/mishti-chora-shishu-ful-projapoti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bd448a42d_214372.jpg,"",মিষ্টি ছড়া শিশু ফুল প্রজাপতি,নূর কিবরিয়া পলাশ, , ,সোনামণি প্রকাশনী,9789843486158,"1st Published,2021",11,বাংলাদেশ,বাংলা
সোনামণিদের মিষ্টি ছড়া হৃদয়ে বঙ্গবন্ধু,সাহানুকা হাসান শিখা,TK. 80,TK. 56,https://rokomari.com//book/214373/sonamonider-mishti-chora-hridoye-bangabandhu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ec611f1bc_214373.jpg,"",সোনামণিদের মিষ্টি ছড়া হৃদয়ে বঙ্গবন্ধু,সাহানুকা হাসান শিখা, , ,সোনামণি প্রকাশনী,9789843476739,"1st Published,2021",11,বাংলাদেশ,বাংলা
ছোটদের বঙ্গবন্ধু ও মুক্তিযুদ্ধ,সাহানুকা হাসান শিখা,TK. 200,TK. 140,https://rokomari.com//book/214358/chotoder-bangabandu-o-muktijuddho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4e455d820_214358.jpg,"",ছোটদের বঙ্গবন্ধু ও মুক্তিযুদ্ধ,সাহানুকা হাসান শিখা, , ,সোনামণি প্রকাশনী,9879843475418,"1st Published,2020",72,বাংলাদেশ,বাংলা
পরীর রাজ্যে আমি,টি এম মনোয়ার হোসেন,TK. 160,TK. 112,https://rokomari.com//book/214359/porir-rajye-aami,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/de1ff4de8_214359.jpg,"",পরীর রাজ্যে আমি,টি এম মনোয়ার হোসেন, , ,সোনামণি প্রকাশনী,9789848690823,"3rd Edition,2021",47,বাংলাদেশ,বাংলা
ঠাকুরমার ঝুলি,দক্ষিণারঞ্জন মিত্র মজুমদার,TK. 160,TK. 112,https://rokomari.com//book/214361/thakurmar-jhuli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e312c3f63_214361.jpg,"",ঠাকুরমার ঝুলি,দক্ষিণারঞ্জন মিত্র মজুমদার, ,শেখ আব্দুর রশিদ,সোনামণি প্রকাশনী,9789849408819,"1st Published,2020",72,বাংলাদেশ,বাংলা
সাত সমুদ্র তের নদী,টি এম মনোয়ার হোসেন,TK. 180,TK. 126,https://rokomari.com//book/214362/saat-somudro-tero-nodi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e2f001dd8_214362.jpg,"",সাত সমুদ্র তের নদী,টি এম মনোয়ার হোসেন, , ,সোনামণি প্রকাশনী,9789848688464,"2nd Edition,2020",48,বাংলাদেশ,বাংলা
রাতের বেলা ভূতের খেলা,জলি আশরাফি,TK. 160,TK. 112,https://rokomari.com//book/214364/rater-bela-vuter-khela,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c916b2323_214364.jpg,"",রাতের বেলা ভূতের খেলা, , ,জলি আশরাফি,সোনামণি প্রকাশনী,9879843486078,"1st Published,2020",64,বাংলাদেশ,বাংলা
উপকারী বন্ধু,তাসলিমা খায়রুন,TK. 135,TK. 95,https://rokomari.com//book/214365/upokari-bandhu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1774146e6_214365.jpg,"",উপকারী বন্ধু,তাসলিমা খায়রুন, , ,সোনামণি প্রকাশনী,9789843476705,"1st Published,2020",40,বাংলাদেশ,বাংলা
চিলড্রেন নলেজ ব্যাংক,তাসলিমা খায়রুন,TK. 160,TK. 112,https://rokomari.com//book/214366/children-knowledge-bank,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d9194bf1f_214366.jpg,"",চিলড্রেন নলেজ ব্যাংক, , ,তাসলিমা খায়রুন,সোনামণি প্রকাশনী,9789849408816,"1st Published,2020",64,বাংলাদেশ,বাংলা
হাসির রাজা গোপাল ভাঁড়,সাহানুকা হাসান শিখা,TK. 160,TK. 112,https://rokomari.com//book/214363/hashir-raja-gopal-vanr,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/10e24f1a3_214363.jpg,"",হাসির রাজা গোপাল ভাঁড়, , ,সাহানুকা হাসান শিখা,সোনামণি প্রকাশনী,9789849408814,"1st Published,2020",64,বাংলাদেশ,বাংলা
