Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
হোয়াইটহোল,আশরাফ পিন্টু,TK. 250,TK. 213,https://rokomari.com//book/191424/whitehole,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/10fe17158_191424.jpg,"বিজ্ঞান মতে, মহাবিশ্বে “ব্লাকহােল আছে কিন্তু “হােয়াইটহােল” নেই। তবে কল্প-বিজ্ঞান মতে, শুধু “হােয়াইটহােল” কেন “ব্লাক অ্যান্ড হােয়াইটহােলও থাকতে পারে। “ব্লাকহােল’-এর ভিতর কি আছে বিজ্ঞানীরা এখনাে তা জানতে পারেন নি। শুধু এটুকুই জানা যায়, ওর খপ্পরে পড়লে গহীন অন্ধকারে তলিয়ে যায় সবকিছু, এমন বি আলােক রশ্মিগুলােও শুষে নেয় “ব্লাকহােল”। কিন্তু কল্প-বিজ্ঞান অনুসন্ধান করেছে ওর ভিতরে কি আছে, ওখানে। যদি একবার কেউ যেতে পারে তবে সেখানে কী দেখবে সে? সে জগতটা কেমন হবে, পৃথিবীর মতােই না অন্যরকম? নিশ্চয়ই পৃথিবীর মতাে আশা করা যায় না। অবশ্যই কোনাে অভিনব পরিবেশ হবে সেখানে। আর তার রহস্য উঘাটন। হবে “জার্নি টু ব্লাকহােল” গল্পটি পড়লে।
“ব্লাক অ্যান্ড হােয়াইটহােল” গল্পে রয়েছে অনেক নতুনত্ব আবিষ্কার। আমরা জানি, মানুষের কথাগুলাে ইথারে ভেসে বেড়ায়। এ গ্রহের বিজ্ঞানীরা এমন একটি যন্ত্র আবিষ্কার করেছে, যার মাধ্যমে অতীতের বিখ্যাত মনীষীদের কথা শােনা যায়। “হােয়াইটহােল গল্পটিও ভিন্ন মেজাজের। এখানে সময় স্থির, কারাে বয়স বাড়ে না; মৃত্যুও নেই, অনন্তজীবন এখানকার বাসিন্দাদের। এমনি সব ভিন্নধর্মী কাহিনী নিয়ে সায়েন্সফিকশনের এ গ্রন্থটি সাজানাে হয়েছে। এ গ্রন্থের প্রতিটি গল্পই আলাদা আলাদা, আবার সবগুলাে একসূত্রে গ্রোথিত হয়ে একটা পূর্ণাঙ্গ কল্প-উপন্যাস (সায়েন্সফিকশন)। হুমায়ুন আহমেদের কথায়-‘আমরা। একই সঙ্গে একা এবং একই সঙ্গে অনেকে। এ গ্রন্থের গল্পগুলাে পাঠককে অজানা-অচেনা এক ভিন্নতর জগতে নিয়ে যাবে। যেখান থেকে বেরিয়ে আসতে কিছুতেই মন চাইবে না। স্বননের মতােই ‘হােয়াইটহােল’-এর মধ্যে আটকা পড়ে যাবে পাঠকবৃন্দ। গ্রন্থটি কিশােরদের জন্য লিখিত হলেও ছােট-বড়াে সব পাঠকই পড়ে মজা পাবেন-আশা করি।",হোয়াইটহোল,আশরাফ পিন্টু, , ,শ্রীহট্ট প্রকাশ,9789849302841,"1st Published,2019",112,বাংলাদেশ,বাংলা
মানব বনসাই,জসীম আল ফাহিম,TK. 170,TK. 150,https://rokomari.com//book/191420/manob-bonosai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f13a6d0b5_191420.jpg,"",মানব বনসাই,জসীম আল ফাহিম, , ,শ্রীহট্ট প্রকাশ,9789849302841,"1st Published,2019",64,বাংলাদেশ,বাংলা
লোক সংস্কৃতি লোক সাধক,সুমনকুমার দাশ,TK. 650,TK. 553,https://rokomari.com//book/188082/lok-songskriti-lok-sadhok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6cca8ec1e_188082.jpg,"""লোক সংস্কৃতি লোক সাধক"" ফ্ল্যাপে লেখা কথা:
ঐতিহ্যবাহী বাংলাগানের নিবিষ্ট অনুসন্ধায়ক, গবেষক ও প্রাবন্ধিক সুমনকুমার দাশের লােকসংস্কৃতি লােক গ্রন্থটি বাংলার নানা ধারা-উপধারার লােকগান ও লােকনাট্যের সমৃদ্ধ অধ্যায়ের যেন এক অপূর্ব ইতিহাস। বাউল, ফকির, সহজিয়া ও দেহসাধকদের তত্ত্ব ও দর্শন উপস্থাপনের পাশাপাশি লেখক এ গ্রন্থে উন্মােচিত করেছেন বাংলার লােক-ঐতিহ্যের বিচিত্র ভুবনের অন্দর-বাহির আর অনালােচিত বিষয়াদি। এ ছাড়াও গ্রন্থটিতে লেখক গ্রামীণ গীতিকার আর লােকসাধকদের সৃষ্টি ও জীবনদর্শন নিয়ে বিস্তৃত পরিসরে আলােচনা করেছেন। লােকসংস্কৃতি লােকসাধক এমনই এক প্রবন্ধের অনবদ্য সংগ্রহ।",লোক সংস্কৃতি লোক সাধক,সুমনকুমার দাশ, , ,শ্রীহট্ট প্রকাশ,9789849264132,"1st Published,2018",384,বাংলাদেশ,বাংলা
দ্য লাইফ এন্ড বিজনেস লেসন অব বিল গেটস,জর্জ ইলিয়ান,TK. 150,TK. 132,https://rokomari.com//book/188183/the-life-and-business-lessons-of-bill-gates,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/59d227a61_188183.jpg,"দ্য লাইফ এন্ড বিজনেস লেসন অব বিল গেটস
গেটসের জীবন প্রভাববিস্তারকারী বিষয়ে ওপরের বিশ্লেষণ থেকে কোনগুলাে অধিক গুরুত্বপূর্ণ বলে মনে হয়? 
প্রথমে দেখা যায়, একটি সলিড পারিবারিক জীবন তার মধ্যে চমৎকার ভিত্তি গড়ে দিয়েছে যার ভিত্তিতে তিনি অ্যাডাল্ট হিসেবে সফল হয়ে ওঠেছেন। গেটস তার মায়ের সাথে খুবই ঘনিষ্ঠ ছিলেন। যিনি তার কোর ভ্যালু এবং বিশ্বাস গেটসের মধ্যে ঢুকিয়ে দিয়েছেন। এর মধ্যে ছিল ফিলানথ্রোপির কাজে নিজেকে উৎসর্গিত করা এবং শিক্ষার প্রতি শ্রদ্ধাবােধ। তার জীবনে তার পিতারও দর্শনীয় প্রভাব ছিল। যদিও তিনি ক্যারিয়ার হিসেবে আইনজীবী হওয়াটা বেছে নেননি, তার প্রি-লাে পাথ বেছে নেওয়ার সিদ্ধান্ত। প্রমাণ করে বাবা তার জীবনে এক রােল মডেল ছিলেন। উইলিয়াম এইচ গেটস সিনিয়র’র কাজ ছিল উইলিয়াম এইচ গেটস ফাউণ্ডেশন পরিচালনা করা যা বিল অ্যান্ড মেলিন্ডা ফাইন্ডেশনের পূর্বসূরি।",দ্য লাইফ এন্ড বিজনেস লেসন অব বিল গেটস,জর্জ ইলিয়ান,মোহাম্মদ আবদুল লতিফ, ,শ্রীহট্ট প্রকাশ,9789849302803,"1st Published,2019",48,বাংলাদেশ,বাংলা
দ্য স্টোরি অব গুগল,সারা গিলবার্ট,TK. 150,TK. 132,https://rokomari.com//book/188968/the-story-of-google,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/43e4b9565_188968.jpg,"আগষ্ট ১৯, ২০০৪, সকাল ৯-৩০ লেরি পেইজ নাসডাক স্টক মার্কেট নিউইয়র্কের কাজ শুরুর ঘণ্টা বাজালেন। এর ঘণ্টাখানেক পরেই একত্রিশ বছর বয়সী পেইজ এবং তার ত্রিশ বছর বয়সী পার্টনার সার্জে ব্রিন মাল্টিমিলিয়নার হয়ে গেলেন। লেনদেন শেষের ঘণ্টা বাজার সাথে সাথে ইন্টারনেট সার্চ ইঞ্জিন গুগল- এর ১.৬৭ বিলিয়ন শেয়ার বিক্রি হয়ে গেলো। তরুন এন্টিপ্রিয়নাররা উত্তেজনায় চিৎকার দিয়ে উঠলেন। পেইজ ও ব্রিন এটি শুরু করেছিলেন ছয় বছর আগে। তাদের সার্চ ইঞ্জিনে হাজার হাজার লোক তথ্যের জন্য ওয়াল্ড ওয়াইড ওয়েবে সার্চ করে যাচ্ছিলেন এবং এরিমধ্যে বিশ্বজূড়ে সার্চ টেকনোলজিতে লিডার হিসেবে রেপুটেশন অর্জন করে ফেলেছিলেন। কিন্তু এখন গুগল বিনিয়োগকারীদের ডলারে ভেসে যাওয়া একটি পাবলিক কোম্পানী-পেইজ ও ব্রিনের  আরো বেশি বেশী উদ্ভাবনের জন্য আরো বেশি অর্থ।",দ্য স্টোরি অব গুগল,সারা গিলবার্ট,মোহাম্মদ আবদুল লতিফ, ,শ্রীহট্ট প্রকাশ,9789849302810,"1st Published,2019",48,বাংলাদেশ,বাংলা
দ্য স্টোরি অব অ্যাপল,সারা গিলবার্ট,TK. 150,TK. 132,https://rokomari.com//book/188378/the-story-of-apple,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2206993ca_188378.jpg,"",দ্য স্টোরি অব অ্যাপল,সারা গিলবার্ট,মোহাম্মদ আবদুল লতিফ, ,শ্রীহট্ট প্রকাশ,9789849302827,"1st Published,2019",46,বাংলাদেশ,বাংলা
পার্বত্য চট্টগ্রাম সমস্যা ও সমাধান [১৯৭২-১৯৯৮],জিবলু রহমান,TK. 450,TK. 383,https://rokomari.com//book/188100/parbotyo-chottogram-somosya-o-somadhan--1972-1998-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/04662766e_188100.jpg,"",পার্বত্য চট্টগ্রাম সমস্যা ও সমাধান [১৯৭২-১৯৯৮],জিবলু রহমান, , ,শ্রীহট্ট প্রকাশ,9789849264019,"1st Published,2018",192,বাংলাদেশ,বাংলা
ভাসানী মুজিব জিয়া (১৯৭২-১৯৮১),জিবলু রহমান,TK. 750,TK. 638,https://rokomari.com//book/185669/vasani-mujib-zia--1972-1981-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f822d6d8a_185669.jpg,"",ভাসানী মুজিব জিয়া (১৯৭২-১৯৮১),জিবলু রহমান, , ,শ্রীহট্ট প্রকাশ,9789849302728,"2nd Edition,2018",463,বাংলাদেশ,বাংলা
ওগলুলু,ডা. আবদুল হাই মিনার,TK. 190,TK. 167,https://rokomari.com//book/188085/oglulu--kuti-kobirajer-bichithro-kando-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a71bac2fc_188085.jpg,"",ওগলুলু,ডা. আবদুল হাই মিনার, , ,শ্রীহট্ট প্রকাশ,9789849264156,"1st Published,2018",80,বাংলাদেশ,বাংলা
দ্য আর্ট অব ড্রেস মেকিং,রাজীব চাকমা,TK. 220,TK. 187,https://rokomari.com//book/188430/the-art-of-dress-making,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dca63102f_188430.jpg,"",দ্য আর্ট অব ড্রেস মেকিং,রাজীব চাকমা, , ,শ্রীহট্ট প্রকাশ,9789849302889,"1st Published,2019",95,বাংলাদেশ,বাংলা
