Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
5 Steps To Detect and Manage A Heart Attack   (Have You Been Taking Care Of Your Heart?),ড. অঞ্জলী অরোরা ,TK. 180,"",https://rokomari.com//book/52161/5-steps-to-detect-and-manage-a-heart-attack----have-you-been-taking-care-of-your-heart--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2bb251f47_52161.jpg,"'5 Steps To Detect and Manage A Heart Attack' Book Contents:
1. Your Heart: How Much Do You Know about It?
2. Your Heart and Its Arteries (Coronaries)
3. Hardening Of the Arteries (Atherosclerosis)
4. Angina and a Heart Attack
5. Cardiac Rehabilitation and Your Future*
Myths and Fact File",5 Steps To Detect and Manage A Heart Attack   (Have You Been Taking Care Of Your Heart?),Dr. Anjali Arora, , ,Sterling Publishers (India),9788120732476,"Reprinted,2015",64,Abroad,English
সিনোনিমস এ্যান্ড এন্টোনয়িমস,এম এম মহিউদ্দীন,TK. 200,TK. 140,https://rokomari.com//book/175015/synonyms-and-antonyms,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d231a529f_175015.jpg,"",সিনোনিমস এ্যান্ড এন্টোনয়িমস,"এম এম মহিউদ্দীন,এম এম মুজাহিদ উদ্দীন", , ,Sterling Publishers (India),9789843378507,"3rd Edition,2018",352,Bangladesh,Bangla & English
Classic Starts :The Adventures of Tom Sawyer ,মার্ক টোয়েন,TK. 535,"",https://rokomari.com//book/85803/classic-starts--the-adventures-of-tom-sawyer,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9de9378dc_85803.jpg,An abridged version of the adventures of Tom and his friends growing up in a small Missouri town on the banks of the Mississippi River in the nineteenth century.,Classic Starts :The Adventures of Tom Sawyer,Mark Twain, , ,Sterling Publishers (India),9781402712166, ,152,Abroad,English
5 Steps to Control High Blood Pressure,ড. অঞ্জলী অরোরা ,TK. 180,"",https://rokomari.com//book/108467/5-steps-to-control-high-blood-pressure,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a604a7103_108467.jpg,"",5 Steps to Control High Blood Pressure,Dr. Anjali Arora, , ,Sterling Publishers (India),9788120732421,"Reprinted,2015",64,India,English
5 Steps to Understand Cholesterol ,ড. অঞ্জলী অরোরা ,TK. 180,"",https://rokomari.com//book/108468/5-steps-to-understand-cholesterol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/62072c4c0ac4_108468.gif,"",5 Steps to Understand Cholesterol,Dr. Anjali Arora, , ,Sterling Publishers (India),9788120732445,"1st Edition,2007", ,India,English
Pinocchio :Classic Starts (Retold From The Carlo Collodi Original),কার্লো কলোদি,TK. 630,"",https://rokomari.com//book/85831/pinocchio--classic-starts--retold-from-the-carlo-collodi-original-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6e22ab066_85831.jpg,"""Pinocchio :Classic Starts"" Short summary of the book:
Mischievous, lazy, and full of tricks, the puppet Pinocchio causes trouble for his creator, Geppetto, almost as soon as he comes to life. Yet, more than anything, this naughty and playful creature wants to become a real boy. To make his dreams come true, he must prove himself worthy. Come along on Pinocchio's amazing journey as he learns--the hard way--what it means to be honest, kind, and, above all, human.",Pinocchio :Classic Starts (Retold From The Carlo Collodi Original),Carlo Collodi, , ,Sterling Publishers (India),9781402745812, ,154,Abroad,English
Secret Tips to Ultimate Beauty ,বিজয়া কুমার ,TK. 135,"",https://rokomari.com//book/108464/secret-tips-to-ultimate-beauty,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ed804a1b68f4_108464.gif,"",Secret Tips to Ultimate Beauty,Vijaya Kumar, , ,Sterling Publishers (India),9788120770393,"1st Edition,2011", ,India,English
Classic Starts:The Wind in the Willows ,কেনেথ গ্রাহামে,TK. 535,"",https://rokomari.com//book/85829/classic-starts-the-wind-in-the-willows,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/240236131_85829.jpg,"""Classic Starts:The Wind in the Willows"" Short Summary of The Book:
Since 1903, the escapades of Mole, his friend Water Rat, shy Badger, and Toad of Toad Hall have delighted children, and adults, too. Follow the winning foursome through the seasons as they sail the river, get lost in the Wild Wood, take off on a merry adventure in Toad?s colorful carriage, and rescue Toad Hall from a band of nasty marauding weasels. 
Meet Toad, Mole, Rat, and Badger, four great pals who live in the country. Whether they’re rowing lazily on the river, defending Toad Hall from the wicked creatures of the Wild Wood, or getting a member of their group out of trouble—again!—they share rousing adventures and an enduring friendship that rises above species and lasts a lifetime.
With Classic Starts, young readers can experience the wonder of timeless stories from an early age. Abridged for easier reading and carefully rewritten, each classic novel is filled with all the magic and excitement that made the original story a beloved favorite.",Classic Starts:The Wind in the Willows,Kenneth Grahame, , ,Sterling Publishers (India),9781402736964,"1st Published,2007",152,Abroad,English
Classic Starts:The Call of the Wild ,জ্যাক লন্ডন,TK. 538,"",https://rokomari.com//book/85807/classic-starts-the-call-of-the-wild,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140810_85807.gif,"ollowing Sterling's spectacularly successful launch of its children's classic novels (240,000 books in print to date), comes a dazzling new series: "" Classic Starts."" The stories are abridged; the quality is complete. ""Classic Starts"" treats the world's beloved tales (and children) with the respect they deserve--all at an incomparable price.
Here is the ultimate dog story, one filled with emotion, adventure, and excitement.
During the Gold Rush, Buck is snatched away from his peaceful home and brought to the harsh and bitter Yukon to become a sled dog. Will he adapt, and learn to trust men? Or will his newly awakened primitive instincts lead him to search for the freedom he has never known?",Classic Starts:The Call of the Wild,Jack London, , ,Sterling Publishers (India),9781402712746, ,153,Abroad,English
Classic Starts : White Fang ,জ্যাক লন্ডন,TK. 630,"",https://rokomari.com//book/85832/classic-starts---white-fang,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b71e227a8_85832.jpg,"Half wolf, half dog, White Fang fully understands the cruelty of both nature and humans. After nearly starving to death during the frigid Arctic winter, he's taken in first by a man who trains him through constant whippings, and then by another who forces him to participate in vicious dogfights. Follow White Fang as he overcomes these obstacles and finally meets someone who offers him kindness and love.

Part wolf and part dog, orphaned White Fang relies on his instincts as well as his inborn strength and courage to survive in the Yukon wilderness despite both animal and human predators but eventually comes to make his peace with man.",Classic Starts : White Fang,Jack London, , ,Sterling Publishers (India),9781402725005, ,153,Abroad,English
