Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আর্থিক সেবার হিসাবরক্ষণ পদ্ধতি (ব্যাংকিং ডিপ্লোমা গাইড),মুজিবুর রহমান হাওলাদার,TK. 480,TK. 336,https://rokomari.com//book/116187/accounting-for-financial-services--banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/148404e5bc64_116187.gif,"",আর্থিক সেবার হিসাবরক্ষণ পদ্ধতি (ব্যাংকিং ডিপ্লোমা গাইড),মুজিবুর রহমান হাওলাদার, , ,স্টার পাবলিকেশন, ,"New Edition,2017",560,বাংলাদেশ,বাংলা
আর্থিক সেবা বাজারজাতকরণ (ব্যাংকিং ডিপ্লোমা গাইড),মোঃ আসাদুজ্জামান,TK. 490,TK. 343,https://rokomari.com//book/116182/marketing-of-financial-services--banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fa18521c4924_116182.gif,"",আর্থিক সেবা বাজারজাতকরণ (ব্যাংকিং ডিপ্লোমা গাইড),"মোঃ আসাদুজ্জামান,আব্দুর রহমান মজুমদার", , ,স্টার পাবলিকেশন, ,"New Edition,2017",600,বাংলাদেশ,বাংলা
Business Communication (Banking Diploma Guide),প্রফেসর নারায়ণ চন্দ্র বসাক,TK. 350,TK. 245,https://rokomari.com//book/116180/business-communication--banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/245d8fe2e6c4_116180.gif,"",Business Communication (Banking Diploma Guide),Professor Narayon Chandra Bosak, , ,Star Publication, ,"New Edition,2017",340,Bangladesh,English
ব্যবস্থাপনা হিসাববিজ্ঞান (ব্যাংকিং ডিপ্লোমা গাইড),মুজিবুর রহমান হাওলাদার,TK. 480,TK. 336,https://rokomari.com//book/116188/management-accunting--banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/35f09cd232c4_116188.gif,"",ব্যবস্থাপনা হিসাববিজ্ঞান (ব্যাংকিং ডিপ্লোমা গাইড),"মুজিবুর রহমান হাওলাদার,আব্দুর রহমান মজুমদার", , ,স্টার পাবলিকেশন, ,"1st Edition,2016",636,বাংলাদেশ,বাংলা
অর্থশাস্ত্রের রীতিনীতি ও বাংলাদেশের অর্থনীতি (ব্যাংকিং ডিপ্লোমা গাইড),মোঃ মিজানুর রহমান,TK. 480,TK. 336,https://rokomari.com//book/116181/principles-of-economics-and-bangladesh-economy--banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/228aabcf7224_116181.gif,"",অর্থশাস্ত্রের রীতিনীতি ও বাংলাদেশের অর্থনীতি (ব্যাংকিং ডিপ্লোমা গাইড),"মোঃ মিজানুর রহমান,নাজমা বেগম", , ,স্টার পাবলিকেশন, ,"New Edition,2017",598,বাংলাদেশ,বাংলা
আর্থিক প্রতিষ্ঠানের ব্যবস্থাপনা (ব্যাংকিং ডিপ্লোমা গাইড),মোঃ রবিউল ইসলাম ,TK. 450,TK. 315,https://rokomari.com//book/116184/management-of-financial-institutions--banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/abf2ee0e77a4_116184.gif,"",আর্থিক প্রতিষ্ঠানের ব্যবস্থাপনা (ব্যাংকিং ডিপ্লোমা গাইড),মোঃ রবিউল ইসলাম, , ,স্টার পাবলিকেশন, ,"1st Edition,2016",462,বাংলাদেশ,বাংলা
সংগঠন ও ব্যবস্থাপনা (ব্যাংকিং ডিপ্লোমা গাইড),প্রফেসর নারায়ণ চন্দ্র বসাক,TK. 450,TK. 383,https://rokomari.com//book/116185/organization-and-management--banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e19778774c94_116185.gif,"",সংগঠন ও ব্যবস্থাপনা (ব্যাংকিং ডিপ্লোমা গাইড), ,প্রফেসর নারায়ণ চন্দ্র বসাক, ,স্টার পাবলিকেশন, ,"New Edition,2017",504,বাংলাদেশ,বাংলা
ব্যাংকিং আইন ও কার্যক্রম (ব্যাংকিং ডিপ্লোমা গাইড),মুজিবুর রহমান হাওলাদার,TK. 480,TK. 336,https://rokomari.com//book/116183/laws-and-practice-of-banking--banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dfd6e8db5e24_116183.gif,"",ব্যাংকিং আইন ও কার্যক্রম (ব্যাংকিং ডিপ্লোমা গাইড),"মুজিবুর রহমান হাওলাদার,আব্দুর রহমান মজুমদার", , ,স্টার পাবলিকেশন, ,"New Edition,2017",572,বাংলাদেশ,বাংলা
ঋণ কার্যক্রম ও ঝুঁকি ব্যবস্থাপনা (ব্যাংকিং ডিপ্লোমা গাইড),এ. কে. এম. মাহবুবুর রহমান,TK. 420,TK. 294,https://rokomari.com//book/116190/lending-operations-and-risk-management---banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a6e4f855724_116190.gif,"",ঋণ কার্যক্রম ও ঝুঁকি ব্যবস্থাপনা (ব্যাংকিং ডিপ্লোমা গাইড),"এ. কে. এম. মাহবুবুর রহমান,মোঃ রবিউল ইসলাম", , ,স্টার পাবলিকেশন, ,"1st Edition,2016",456,বাংলাদেশ,বাংলা
আর্থিক সেবায় তথ্য প্রযুক্তিজ্ঞান (ব্যাংকিং ডিপ্লোমা গাইড),আলহাজ্ব আজহারুল ইসলাম,TK. 450,TK. 315,https://rokomari.com//book/116189/information-technology-in-financial-services--banking-diploma-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6170db092fd4_116189.gif,"",আর্থিক সেবায় তথ্য প্রযুক্তিজ্ঞান (ব্যাংকিং ডিপ্লোমা গাইড),আলহাজ্ব আজহারুল ইসলাম, , ,স্টার পাবলিকেশন, ,"1st Edition,2016",440,বাংলাদেশ,বাংলা
