Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ঠগীকাহিনী,ফিলিপ মেডোস টেলর,TK. 630,"",https://rokomari.com//book/135112/thogeekahinee,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4bed9f073_135112.jpg,"""ঠগীকাহিনী"" বইয়ের পিছনের কভারের লেখা:

সাহেব এই আমার জীবনের আখ্যায়িকা। ক্ষুদ্র ক্ষুদ্র একই প্রকারের ঘটনা শুনিতে শুনিতে হয়ত তুমি অনেক সময় ক্লান্ত হইয়া পড়িয়াছ। আমি সমস্ত কথাই বলিয়াছি, আমার মনের কথা পর্য্যন্ত গোপন করি নাই। তুমি আমার কথা সমস্তই লিখিয়া লইয়াছ, ইহার একটি কথাও মিথ্যা নহে। স্মরণ না হওয়ার জন্য ও অনাবশ্যক বোধে অনেক স্থলে অনেক কথা বাদ গিয়াছে সত্য; তবে যাহা বলিয়াছি তাহা হইতে তুমি একজন ঠগী দস্যুর জীবনের সমগ্র চিত্র প্রাপ্ত হইয়াছ। তোমাকে সমস্ত কথা বলিয়া বড়ই আত্মপ্রসাদ জন্মিতেছে। এই সমস্ত বীরত্বকাহিনীর উপর আমার নাম লিখিত থাকিবে, সুদুর ভবিষ্যতে মানবমণ্ডলী বিস্ময় চকিতনেত্রে পাঠ করিবে, “ঠগীবীর আমির আলি।”",ঠগীকাহিনী,ফিলিপ মেডোস টেলর, , ,সুবর্ণরেখা (ভারত), ,"2nd Printed,2014",472,ভারত,বাংলা
জীবন পিয়াসা,নির্মলচন্দ্র গঙ্গোপাধ্যায়,TK. 720,"",https://rokomari.com//book/114765/jeeban-piyasa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/19bf78a5b6a4_114765.gif,"",জীবন পিয়াসা, ,নির্মলচন্দ্র গঙ্গোপাধ্যায়, ,সুবর্ণরেখা (ভারত), ,"1st Edition,2010",422,ভারত,বাংলা
নাহয় নিষুপ্তি,দেবাশিস্ গঙ্গোপাধ্যায়,TK. 54,"",https://rokomari.com//book/135101/nahoy-nishupti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নাহয় নিষুপ্তি,দেবাশিস্ গঙ্গোপাধ্যায়, , ,সুবর্ণরেখা (ভারত), ,2010, ,ভারত,বাংলা
ফিরে দেখা-2,অরিন্দম দাশগুপ্ত,TK. 360,"",https://rokomari.com//book/135103/fire-dekha-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ফিরে দেখা-2,অরিন্দম দাশগুপ্ত, , ,সুবর্ণরেখা (ভারত), ,2011, ,ভারত,বাংলা
ফিরে দেখা-1,অরিন্দম দাশগুপ্ত,TK. 324,"",https://rokomari.com//book/135104/fire-dekha-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ফিরে দেখা-1,অরিন্দম দাশগুপ্ত, , ,সুবর্ণরেখা (ভারত), ,2011, ,ভারত,বাংলা
পুলিস ও লোকরক্ষা,রামাক্ষয় চট্টোপাধ্যায়,TK. 360,"",https://rokomari.com//book/135107/police-o-lokroksha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পুলিস ও লোকরক্ষা,রামাক্ষয় চট্টোপাধ্যায়, , ,সুবর্ণরেখা (ভারত), ,2013, ,ভারত,বাংলা
পৌরানিক উপাখ্যান,যোগেশচন্দ্র রায় বিদ্যানিধি,TK. 216,"",https://rokomari.com//book/135109/pouranik-upakkhyan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পৌরানিক উপাখ্যান,যোগেশচন্দ্র রায় বিদ্যানিধি, , ,সুবর্ণরেখা (ভারত), ,2013, ,ভারত,বাংলা
ভারতীয় মহাবিদ্রোহ,প্রমোদ সেনগুপ্ত,TK. 990,"",https://rokomari.com//book/135111/bharotiyo-mahabidroho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভারতীয় মহাবিদ্রোহ,প্রমোদ সেনগুপ্ত, , ,সুবর্ণরেখা (ভারত), ,2014, ,ভারত,বাংলা
অশ্রুত কন্ঠস্বর,সুমন্ত বন্দ্যোপাধ্যায়,TK. 270,"",https://rokomari.com//book/135113/ashruto-konthoswar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অশ্রুত কন্ঠস্বর,সুমন্ত বন্দ্যোপাধ্যায়, , ,সুবর্ণরেখা (ভারত), ,2014, ,ভারত,বাংলা
বাঙালীর রাষ্ট্রচিন্তা,সৌরেন্দ্রমোহন গঙ্গোপাধ্যায়,TK. 720,"",https://rokomari.com//book/135110/bangalir-rashtrochinta,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাঙালীর রাষ্ট্রচিন্তা,সৌরেন্দ্রমোহন গঙ্গোপাধ্যায়, , ,সুবর্ণরেখা (ভারত), ,2014, ,ভারত,বাংলা
জলসাঘর,তারাশঙ্কর বন্দ্যোপাধ্যায়,TK. 216,"",https://rokomari.com//book/135106/jolshaghor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জলসাঘর,তারাশঙ্কর বন্দ্যোপাধ্যায়, , ,সুবর্ণরেখা (ভারত), ,2012, ,ভারত,বাংলা
