Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বঙ্গবন্ধু জাতি রাষ্ট্রের জনক,প্রত্যয় জসীম,TK. 150,TK. 132,https://rokomari.com//book/183833/bongobondhu-jati-rashtrer-jonok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a7f3ff75e_183833.jpg,"",বঙ্গবন্ধু জাতি রাষ্ট্রের জনক,প্রত্যয় জসীম, , ,সুলতানা পাবলিকেশন্স,9789848614914,"1st Published,2011",111,বাংলাদেশ,বাংলা
জীবনব্যাধি রোগ ডায়াবেটিস,সি. মা. রহমান,TK. 120,TK. 106,https://rokomari.com//book/183851/jibonbyadhi-rog-diabetes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/719e85345_183851.jpg,"",জীবনব্যাধি রোগ ডায়াবেটিস,"সি. মা. রহমান,ডাঃ তানিয়া সুলতানা লাভলী", , ,সুলতানা পাবলিকেশন্স,978984861394,"7th Published,2019",70,বাংলাদেশ,বাংলা
হাওয়ার কানে মেঘের দুল,রফিক উল ইসলাম,TK. 80,TK. 72,https://rokomari.com//book/183905/haowar-kane-megher-dul,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3984c4466_183905.jpg,"",হাওয়ার কানে মেঘের দুল,রফিক উল ইসলাম, , ,সুলতানা পাবলিকেশন্স,984870096x,"1st Published,2008",32,বাংলাদেশ,বাংলা
আলো আঁধারে,আহসান আমির,TK. 170,TK. 150,https://rokomari.com//book/183820/alo-adhare,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9d9438e9c_183820.jpg,"",আলো আঁধারে,আহসান আমির, , ,সুলতানা পাবলিকেশন্স,9848700935,"1st Published,2009",143,বাংলাদেশ,বাংলা
বিজ্ঞান কল্পকাহিনি: পাল তুলে দাও,আলী ইমাম,TK. 100,TK. 90,https://rokomari.com//book/184009/biggan-kolpokahini--pal-tule-dao,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8613d6b07_184009.jpg,"",বিজ্ঞান কল্পকাহিনি: পাল তুলে দাও,আলী ইমাম, , ,সুলতানা পাবলিকেশন্স,9848701044,"1st Published,2009",40,বাংলাদেশ,বাংলা
বিজ্ঞান কল্পকাহিনি: মহাশূন্যযান শান্তা মারিয়া,আলী ইমাম,TK. 100,TK. 90,https://rokomari.com//book/184015/biggan-kolpokahini--mohashunyojhan-shanta-mariya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f9315f9f4_184015.jpg,"",বিজ্ঞান কল্পকাহিনি: মহাশূন্যযান শান্তা মারিয়া,আলী ইমাম, , ,সুলতানা পাবলিকেশন্স,9848701079,"1st Published,2009",40,বাংলাদেশ,বাংলা
অজানা বনের রহস্য,মুহাম্মদ হারুন অর রশীদ নেকী,TK. 160,TK. 141,https://rokomari.com//book/184014/ojana-boner-rohosyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/083e6de58_184014.jpg,"""অজানা বনের রহস্য"" বইয়ের পেছসের লেখা:বনের অজানা রহস্য মানুষকে বিচলিত করে তুলে। গভীর আতংকে শিহরিত হয় শরীর। প্রতি পদে লুকিয়ে থাকে বিপদ থেকে মহাবিপদ। বেঁচে থাকার জন্য বন্য জীবজন্তুর সাথেও প্রানপণ লড়াই করতে হয়। প্রকৃতিও হয়ে উঠে মাঝে মধ্য প্রতিকূল। সেই প্রতিকূলতার মাঝেই গভীর রহস্য উন্মােচন করে জীবন নিয়ে ফিরে এসােছিল কিছু মানুষ। তাদের কাহিনী নিয়েই এ অজানা রহস্য বইটি। বইটি পড়ে কোমলমতি শিশুরা যেমন আনন্দ পাবে ঠিক তেমনি নানা প্রয়ােজনে কিছু বাস্তব কৌশল শিখতে পারবে।",অজানা বনের রহস্য,মুহাম্মদ হারুন অর রশীদ নেকী, , ,সুলতানা পাবলিকেশন্স,978984865129,"1st Published,2012",56,বাংলাদেশ,বাংলা
হরেক রকম পদ্য,নূরুল কাদির,TK. 60,TK. 54,https://rokomari.com//book/184013/horek-rokom-podyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7d5b28cb0_184013.jpg,"",হরেক রকম পদ্য,নূরুল কাদির, , ,সুলতানা পাবলিকেশন্স,9848700870,"1st Published,2008",18,বাংলাদেশ,বাংলা
ছোটদের প্রিয়: পাপাই,আ. ন. ম. আশফিকুর রহমান পাটওয়ারী,TK. 150,TK. 132,https://rokomari.com//book/184012/chotoder-priyo--papai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8cba94cac_184012.jpg,"",ছোটদের প্রিয়: পাপাই, , ,আ. ন. ম. আশফিকুর রহমান পাটওয়ারী,সুলতানা পাবলিকেশন্স,9848700927,"1st Published,2008",64,বাংলাদেশ,বাংলা
মজার মানুষ মিঃ বিন,ডাঃ তানিয়া সুলতানা লাভলী,TK. 150,TK. 132,https://rokomari.com//book/184011/mojar-manush-m--bin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3671f09ce_184011.jpg,"",মজার মানুষ মিঃ বিন, , ,ডাঃ তানিয়া সুলতানা লাভলী,সুলতানা পাবলিকেশন্স,9848700919,"1st Published,2008",55,বাংলাদেশ,বাংলা
