Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
হারাই হারাই ভয়ে গো তাই...,রঞ্জন হালদার,TK. 200,TK. 176,https://rokomari.com//book/195130/harai-harai-bhaye-gho-tai--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c89ea6525_195130.jpg,"",হারাই হারাই ভয়ে গো তাই...,রঞ্জন হালদার, , ,স্বদেশ শৈলী,9789849472117,"1st published,2020",96,বাংলাদেশ,বাংলা
বঙ্গবন্ধুর শিক্ষাভাবনা ও অন্যান্য প্রসঙ্গ,কাজী শাহজাহান,TK. 200,TK. 176,https://rokomari.com//book/199140/bongobondhur-shikkhavabona-o-annanno-prosongo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b91fc8395_199140.jpg,"",বঙ্গবন্ধুর শিক্ষাভাবনা ও অন্যান্য প্রসঙ্গ,কাজী শাহজাহান, , ,স্বদেশ শৈলী,9789849472292,"1st Published,2020", ,বাংলাদেশ,বাংলা
চাঁদের আলোয় যাযাবর গান,হাদা সেন্দো,TK. 200,TK. 176,https://rokomari.com//book/199133/chader-aloy-jajabor-gan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b05fbbae0_199133.jpg,"",চাঁদের আলোয় যাযাবর গান,হাদা সেন্দো,অনন্ত উজ্জ্বল, ,স্বদেশ শৈলী,978984343490728,"1st Published,2020", ,বাংলাদেশ,বাংলা
মা মাটি ও মানুষ,মিজানুর রহমান ভূঁইয়া,TK. 200,TK. 130,https://rokomari.com//book/197372/ma-mati-o-manush,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8587110b5_197372.jpg,"",মা মাটি ও মানুষ,মিজানুর রহমান ভূঁইয়া, , ,স্বদেশ শৈলী,9789849472247,"1st Published,2020", ,বাংলাদেশ,বাংলা
এপসাইলন আতংক,মোস্তফা তানিম ,TK. 200,TK. 176,https://rokomari.com//book/196261/apsailon-atonko,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/862a0f557_196261.jpg,"প্রবাসী বিজ্ঞানী ড. জাফর ইমতিয়াজ তাঁর বন্ধুর পুরান  ঢাকার বাসায় কমলার জুস্ খেতে গিয়ে ভয়ংকর এক বিষয় উদ্ঘাটন করে ফেললেন! সেই বিষয়টি শুধু তার বন্ধু ইদ্রিস আলীকে নয়, সমস্ত দুনিয়াকে চমকে দিল। কি অদ্ভুত একটি যন্ত্র!

এই অবিশ্বাস্য যন্ত্রটি সমস্ত পৃথিবী ধ্বংস করে দিতে পারে। সময় নেই। পাহাড় সমান গুরুদায়িত্ব ড. ইতিয়াজের ঘাড়ে। এই মহা বিপদের মধ্যে কিছু বিদেশী বিজ্ঞানী বেঁকে বসল; তাঁর বিরুদ্ধে চলে গেল। কিভাবে সবাইকে বোঝাবেন ড. ইমতিয়াজ? তিনি  বাংলাদেশী বলেই তারা অবিশ্বাস করছে! পৃথিবীর এত বড় হুমকিকে গুরুত্ব দিচ্ছে না! এর মধ্যে সেই ভয়ংকর যন্ত্রটি কড়া পাহারার ভিতর থেকে রহস্যজনক ভাবে চুরি হয়ে গেল। ড. জাফর ইমতিয়াজ কী তাঁর  প্রখর ধী শক্তি দিয়ে পারবেন শেষ রক্ষা  করতে?

প্রথম পাতা থেকেই বইটিতে উত্তেজনা। শুরু করলে শেষ পর্যন্ত না পড়ে রাখা মুশকিল হবে।",এপসাইলন আতংক,মোস্তফা তানিম, , ,স্বদেশ শৈলী,9789849472223,"1st Published,2020", ,বাংলাদেশ,বাংলা
পেপার পতিতা,আবুল বাসার রিপন,TK. 500,TK. 425,https://rokomari.com//book/207790/paper-potita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7f1e1426f_207790.jpg,"",পেপার পতিতা,আবুল বাসার রিপন, , ,স্বদেশ শৈলী,9789849506836,"1st Published,2021", ,বাংলাদেশ,বাংলা
হৃদয়ের চিলেকোঠায়,সিদ্ধান্ত খুকু,TK. 200,TK. 176,https://rokomari.com//book/208543/hridoyer-chilekothay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/552750b6b_208543.jpg,"",হৃদয়ের চিলেকোঠায়,সিদ্ধান্ত খুকু, , ,স্বদেশ শৈলী,9789849506898,"1st Published,2021", ,বাংলাদেশ,বাংলা
লিপির খোঁজে,আলী ইমাম,TK. 350,TK. 298,https://rokomari.com//book/197369/liper-khoje,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fc54aa5a5_197369.jpg,"",লিপির খোঁজে,আলী ইমাম, , ,স্বদেশ শৈলী,9789849472162,"1st Published,2020", ,বাংলাদেশ,বাংলা
বিবর্তনবাদী জ্ঞানতত্ত্ব ,কার্ল পপার,TK. 300,TK. 255,https://rokomari.com//book/195127/bibortonbadi-gantotto--evolutionary-epistemology-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bbe56c68e_195127.jpg,"",বিবর্তনবাদী জ্ঞানতত্ত্ব,কার্ল পপার,আমিনুল ইসলাম ভুঁইয়া,আমিনুল ইসলাম ভুঁইয়া,স্বদেশ শৈলী,9789849354697,"1st Published,2020",132,বাংলাদেশ,বাংলা
ষোলো ডানার পাখি,ফেসবুক সাহিত্যপাতা,TK. 250,TK. 213,https://rokomari.com//book/208541/sholo-danar-pakhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/703d5f647_208541.jpg,"",ষোলো ডানার পাখি,ফেসবুক সাহিত্যপাতা, , ,স্বদেশ শৈলী,9789849527800,"1st Published,2021", ,বাংলাদেশ,বাংলা
পোস্টার বটবৃক্ষ ও একজন জোহরা,খালেক মল্লিক,TK. 280,TK. 238,https://rokomari.com//book/197373/poster-botobrikho-o-ekjon-johora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e266a7681_197373.jpg,"",পোস্টার বটবৃক্ষ ও একজন জোহরা,খালেক মল্লিক, , ,স্বদেশ শৈলী,9789849472216,"1st Published,2020", ,বাংলাদেশ,বাংলা
আরশিকথা,রুমানা রেজা,TK. 200,TK. 176,https://rokomari.com//book/208363/aroshikotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4835f3c13_208363.jpg,"",আরশিকথা,রুমানা রেজা, , ,স্বদেশ শৈলী,9789849506850,"1st Published,2021", ,বাংলাদেশ,বাংলা
নজরুলের ভক্তিমূলক গানে ঈশ্বরপ্রেমের স্বরুপসন্ধান,নিশাত সারমিন জেসমিন,TK. 200,TK. 176,https://rokomari.com//book/208313/nazruler-voktimulok-gane-isworpremer-sworupsondhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6e465720f_208313.jpg,"",নজরুলের ভক্তিমূলক গানে ঈশ্বরপ্রেমের স্বরুপসন্ধান,নিশাত সারমিন জেসমিন, , ,স্বদেশ শৈলী,9789849506867,"1st Published,2021", ,বাংলাদেশ,বাংলা
পার্ল হারবার থেকে মানালি,কৃষ্ণ কান্ত বিশ্বাস,TK. 350,TK. 298,https://rokomari.com//book/208918/pearl-harbor-theke-manali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/207858267_208918.jpg,"",পার্ল হারবার থেকে মানালি,কৃষ্ণ কান্ত বিশ্বাস, , ,স্বদেশ শৈলী,9789849527817,"1st Published,2021", ,বাংলাদেশ,বাংলা
গল্পের কোয়েলহো,জাভেদ ইকবাল,TK. 200,TK. 176,https://rokomari.com//book/199137/golper-coelho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b076c0e9a_199137.jpg,"""গল্পের কোয়েলহো"" বইয়ের অনুবাদকের কথা অংশ থেকে নেওয়া হয়েছে স্বনামধন্য লেখক পাওলাে কোয়েলহাে’র ব্লগ থেকে তার অসাধারণ সৃষ্টিকর্মগুলাে পড়তে গিয়ে মনে হলাে, কিছু গল্প ও গল্পাংশ বৃহত্তর পাঠকসমাজের জন্য অনুবাদ করাই যায়। সেই চিন্তা থেকে লেখকের অসংখ্য লেখা থেকে বেছে নিয়ে মােট ৫২টি ছােটগল্প ও রচনা অনুবাদ করলাম। কোয়েলহাে একজন সর্বভুক পাঠক। তাঁর পঠিত বিশ্বের অসংখ্য কবি, লেখক, সাহিত্যিকের রচনা বা রচনাংশ তিনি লেখকদের নামসহ তার নিজস্ব ব্লগে উপস্থাপন করেন (এই তালিকায় কবিগুরু রবীন্দ্রনাথও রয়েছেন)। সেইসাথে তার নিজের নতুন, পুরােনাে, প্রকাশিত, অপ্রকাশিত অসংখ্য লেখা সেখানে রয়েছে। এই সংকলনে অনূদিত কোয়েলহাে’র ৫২টি রচনার মধ্যে দুটি লেখা তার নিজের নয়। এর একটি হলাে “ঈশ্বর মায়েদের সৃষ্টি করছিলেন। কোয়েলহাে’র ব্লগ অনুযায়ী, অনন্যসাধারণ এই লেখাটি প্রয়াত মার্কিন লেখিকা এরমা লুইজি বমবেক (১৯২৭-১৯৯৬)-এর। কোয়েলহাে (সম্ভবত) এই লেখাটির শেষ লাইনটাতে একটা নিজস্বতা দিয়েছেন। আর অপর লেখাটি হলাে “পরী’র নাম,” যেটির লেখকের নাম জানা না যাওয়ায় রচনাকারীর নাম ‘অজ্ঞাত লেখা হয়েছে। তবে লেখাদুটি আমাকে মুগ্ধ করায় আমি এদেরকে সংকলনে স্থান দিয়েছি। পাঠকদের জন্য কোয়েলহাে’র ব্লগের ঠিকানা দেওয়া হলাে: paulocoelhoblog.com। আমি মােটামুটি নিশ্চিত, লেখক আপনাদের মুগ্ধ করে চলবেন।",গল্পের কোয়েলহো,জাভেদ ইকবাল, , ,স্বদেশ শৈলী,9789849472292,"1st Published,2020", ,বাংলাদেশ,বাংলা
বিশ্বসেরা রূপকথা,খায়রুল আলম সবুজ,TK. 200,TK. 176,https://rokomari.com//book/195122/bishowshera-rupkotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6c1664881_195122.jpg,"",বিশ্বসেরা রূপকথা, ,খায়রুল আলম সবুজ, ,স্বদেশ শৈলী,9789849472148,"1st Published,2020",56,বাংলাদেশ,বাংলা
