Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Numerical Methods  ,ই. বালাগুরুস্বামি,"TK. 1,098","",https://rokomari.com//book/105175/numerical-methods,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20151105_105175.gif,"",Numerical Methods,E. Balaguruswamy, , ,Tata McGraw-Hill,9780074633113,"46th Edition,2018",608,India,English
Plumbing: Design and Practice ,এস. জি. ডিওলালোকার,"TK. 3,958","",https://rokomari.com//book/72187/plumbing--design-and-practice,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e2934e517_72187.jpg,"",Plumbing: Design and Practice,S. G. Deolalokar, , ,Tata McGraw-Hill,9780074620694,"22th Printed,2014",276,India,English
Corrosion Engineering ,মার্স জি. ফোনটনা,"TK. 1,638","",https://rokomari.com//book/105297/corrosion-engineering,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f72aa20bf_105297.jpg,"",Corrosion Engineering,Mars G. Fontana, , ,Tata McGraw-Hill,9780070607446,"22th Reprint,2018",556,India,English
Basic and Clinical Pharmacology (Indian Edition),বারট্রাম জি ক্যাটজাং,"TK. 2,118","",https://rokomari.com//book/54901/basic-and-clinical-pharmacology--indian-edition-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/aa60031f2_54901.jpg,"""This is the most widely used textbook for teaching pharmacology to health professionals. This 11th edition is far superior to any previous editions....The authors' goals are to provide a complete, authoritative, current, and readable textbook of pharmacology for students in health sciences. Testimony to their success is the widespread use of this work as required textbook for pharmacology courses around the world. This book is used extensively by thousands of medical, pharmacy, podiatry, nursing, and other health professions students to study pharmacology. Likewise, it remains a valuable resource for residents and practicing physicians....I continue to use this book as a required resource for all courses that I teach to medical, nursing, and allied health students. It is authoritative, readable, and supported by numerous learning tools.""--Doody's Review Service

Organized to reflect the syllabi in Pharmacology courses, Basic",Basic and Clinical Pharmacology (Indian Edition), Bertram G. Katzung, , ,Tata McGraw-Hill,9789353160692,"14th Edition,2018",1250,India,English
"Projects, 7th Edition",প্রসন্য চন্দ্র,"TK. 1,170","",https://rokomari.com//book/105275/projects--7th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4db453b65_105275.jpg,"","Projects,7th Edition",Prasanna Chandra, , ,Tata McGraw-Hill,9780070077935,"7th Edition,2011",744,India,English
Harpers Illustrated Biochemistry ,ভিক্টর ডব্লিউ. রডওয়েল,"TK. 2,367","",https://rokomari.com//book/109399/harpers-illustrated-biochemistry,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7c9f21bf0_109399.jpg,"",Harpers Illustrated Biochemistry,"Victor W. Rodwell,David A. Bender,Kathleen M. Botham,Peter J Kennelly,P. Anthony Weil", , ,Tata McGraw-Hill,9781260288421,"31th Edition,2018",789,India,English
Shreve'S Chemical Process Industries  ,জর্জ টি. অস্টিন,"TK. 2,074","",https://rokomari.com//book/105160/shreve-s-chemical-process-industries,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3c1f8dd40_105160.jpg,"",Shreve'S Chemical Process Industries,George T. Austin, , ,Tata McGraw-Hill,9781259029455,"5th Edition,2018",859,India,English
The complete Reference C     ,হার্বার্ট স্কেল্ট্‌ ,"TK. 1,701","",https://rokomari.com//book/69587/the-complete-reference-c,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/81c941fd5_69587.jpg,"",The complete Reference C,Herbert Schildt, , ,Tata McGraw-Hill,9780070411838,"4th Edition,2000",832,India,English
Oracle Database 11g: The Complete Reference  ,কেভিন লুনেয় ,"TK. 1,377","",https://rokomari.com//book/71201/oracle-database-11g--the-complete-reference,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c52e2cc5b_71201.jpg,"",Oracle Database 11g: The Complete Reference,Kevin Loney, , ,Tata McGraw-Hill,9780070140790,"7st Edition,2019",1336,India,English
Mechanics of Materials ,ফারডিনান্ড পি. বিয়ার  ,"TK. 1,350","",https://rokomari.com//book/69738/mechanics-of-materials,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b71458203_69738.jpg,"The fifth edition of Beer, Johnston, DeWolf, and Mazurek's  Mechanics of Materials  maintains the spirit of its successful previous editions that have made this book standard in solid mechanics for over two decades. It provides a precise presentation of subject illustrated with numerous Engineering examples that help the students easily understand and related to theory and applications.

Salient Features*

    Exhaustive exposure to the analysis of the stresses and corresponding deformations in various structural members.*
    Liberal use of free-body diagrams to determine external and internal forces.*
    Unique style of presentation portrays a rare combination of scientific language, appropriate mathematical descriptions with logical flow of topics.*
    Computer problems at the end of each chapter.*
    Rich pool of Pedagogy includes:*
    176 solved problems*
    1498 exercise problems*
    72 computer problems*
    1686 figures


Table of Contents*
Chapter 1. Introduction- Concept of Stress*
Chapter 2. Stress and Strain-Axial Loading*
Chapter 3. Torsion*
Chapter 4. Pure Bending*
Chapter 5. Analysis and Design of Beams for Bending*
Chapter 6. Shearing Stresses in Beams and Thin-Walled Members*
Chapter 7. Transformers of Stress and Strain*
Chapter 8. Principal Stresses under Given Loading Conditions*
Chapter 9. Deflection of Beams*
Chapter 10. Columns*
Chapter 11. Energy Methods",Mechanics of Materials,"Ferdinand P. Beer,E. Russell Johnston jr,David F. Mazurek", , ,Tata McGraw-Hill,978-1259097171,"6th Edition,2013",891,India,English
3000 Solved Problems in Chemistry (SIE)(SOS) ,ডেভিড ই. গোল্ডবার্গ,"TK. 1,575","",https://rokomari.com//book/72134/3000-solved-problems-in-chemistry--sie--sos-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7d7a4e352_72134.jpg,"",3000 Solved Problems in Chemistry (SIE)(SOS),David E. Goldberg, , ,Tata McGraw-Hill,9780070085268,"1st Edition,2009",738,India,English
Elements Of Discrete Mathematics (Sie) By Liu-English-Tata Mcgraw Hill Education Private Limited,সি এল লিউ,TK. 603,"",https://rokomari.com//book/105489/elements-of-discrete-mathematics--sie--by-liu-english-tata-mcgraw-hill-education-private-limited,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20151114_105489.gif,"",Elements Of Discrete Mathematics (Sie) By Liu-English-Tata Mcgraw Hill Education Private Limited,C. L. Liu, , ,Tata McGraw-Hill,9780070669130,"3rd Edition,2008",584,India,English
Reinforced Concrete Design,এস. এন. সিনহা ,"TK. 1,440","",https://rokomari.com//book/72191/reinforced-concrete-design,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_72191.GIF,"",Reinforced Concrete Design,S. N. Sinha, , ,Tata McGraw-Hill,9780070473324,"2nd Edition,2002",708,India,English
Human Development  ,ডেনি ই. পাপালিয়া,"TK. 1,791","",https://rokomari.com//book/59627/human-development,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_59627.gif,"",Human Development,Diane E. Papalia, , ,Tata McGraw-Hill,9780070586918,"9th Edition,2004",842,India,English
Junqueiras Basic Histology: Text and Atlas (International Edition),অ্যান্থনি এল. মিসছার ,"TK. 1,830","",https://rokomari.com//book/180492/junqueiras-basic-histology--text-and-atlas--international-edition-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/301f7aa11_180492.jpg,"",Junqueiras Basic Histology: Text and Atlas (International Edition),Anthony L. Mescher, , ,Tata McGraw-Hill,9781260288414,"15th edition,2018",562,India,English
Elements Of Discrete Mathematics ,সি এল লিউ,"TK. 1,224","",https://rokomari.com//book/105487/elements-of-discrete-mathematics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20151114_105487.gif,"",Elements Of Discrete Mathematics,C. L. Liu, , ,Tata McGraw-Hill,9781259006395,"4th Edition,2012",648,India,English
C Plus Plus: The Complete Reference ,হার্বার্ট স্কেল্ট্‌ ,"TK. 1,310","",https://rokomari.com//book/54739/c-plus-plus--the-complete-reference,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_54739.GIF,"Turbo C/C  : The Complete Reference>
This desktop encyclopedia covers every Turbo C, Turbo C   command, function, and programming technique. This is the only book to explicitly cover Turbo C, Turbo C  , and Borland C   version 2.0. This edition contains a part detailing the basics of programming for Windows (using Borland C   version 2.0).",C Plus Plus: The Complete Reference,Herbert Schildt, , ,Tata McGraw-Hill,9780070532465,"4th Edition,2003",1068,India,English
Fundamentals of Computers  ,ই. বালাগুরুসামী,TK. 900,"",https://rokomari.com//book/60339/fundamentals-of-computers,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150110_60339.gif,"",Fundamentals of Computers,E Balagurusamy, , ,Tata McGraw-Hill,9780070141605,"1st Edition,2009", ,India,English
Data Structures ,সেমুর লিপশুজ,TK. 990,"",https://rokomari.com//book/70968/data-structures,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150114_70968.gif,"",Data Structures,Seymour Lipschutz, , ,Tata McGraw-Hill,9781259029967,"1st Edition,2014",488,India,English
Millman's Electronic Devices and Circuits ,ডেভিড এ. বেল,"TK. 1,438","",https://rokomari.com//book/54681/millman-s-electronic-devices-and-circuits,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20151018_54681.gif,"Electronic Devices and Circuits
The revised edition of this classical book continues its tradition as a text providing comprehensive coverage of the solid state drives",Millman's Electronic Devices and Circuits,David A. Bell, , ,Tata McGraw-Hill,9780195693409,"5th Edition,2008",944,India,English
Java: The Complete Reference  ,হার্বার্ট স্কেল্ট্‌ ,"TK. 1,555","",https://rokomari.com//book/68964/java--the-complete-reference,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150110_68964.gif,"",Java: The Complete Reference,Herbert Schildt, , ,Tata McGraw-Hill,9781259002465,"8th Edition,2011",1152,India,English
Economics ,পাউল এ. স্যামুয়েলসন,"TK. 1,618","",https://rokomari.com//book/72478/economics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_72478.GIF,"",Economics,Paul A. Samuelson, , ,Tata McGraw-Hill,9780070700710,"19th Edition,2010",921,India,English
