Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Deep Learning (Adaptive Computation and Machine Learning series),ইয়ান গুডফেলো,"TK. 10,498","",https://rokomari.com//book/198672/deep-learning--adaptive-computation-and-machine-learning-series-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ba7808534_198672.jpg,"",Deep Learning (Adaptive Computation and Machine Learning series),"Ian Goodfellow,Yoshua Bengio", , ,The MIT Press,9780262035613,"Edition,2017",800,India,English
Introduction to Algorithms ,থমাস এইচ কোরমেন  ,"TK. 8,640","",https://rokomari.com//book/92983/introduction-to-algorithms-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150126_92983.gif,"Some books on algorithms are rigorous but incomplete; others cover masses of material but lack rigor. Introduction to Algorithms  uniquely combines rigor and comprehensiveness. The book covers a broad range of algorithms in depth, yet makes their design and analysis accessible to all levels of readers. Each chapter is relatively self-contained and can be used as a unit of study. The algorithms are described in English and in a pseudocode designed to be readable by anyone who has done a little programming. The explanations have been kept elementary without sacrificing depth of coverage or mathematical rigor.

The first edition became a widely used text in universities worldwide as well as the standard reference for professionals. The second edition featured new chapters on the role of algorithms, probabilistic analysis and randomized algorithms, and linear programming. The third edition has been revised and updated throughout. It includes two completely new chapters, on van Emde Boas trees and multithreaded algorithms, and substantial additions to the chapter on recurrences (now called ""Divide-and-Conquer""). It features improved treatment of dynamic programming and greedy algorithms and a new notion of edge-based flow in the material on flow networks. Many new exercises and problems have been added for this edition.

As of the third edition, this textbook is published exclusively by the MIT Press.


Table of Contents

I Foundations
Introduction
1 The Role of Algorithms in Computing
2 Getting Started
3 Growth of Functions
4 Divide-and-Conquer
5 Probabilistic Analysis and Randomized Algorithms
II Sorting and Order Statistics
Introduction
6 Heapsort
7 Quicksort
8 Sorting in Linear Time
9 Medians and Order Statistics
III Data Structures
Introduction
10 Elementary Data Structures
11 Hash Tables
12 Binary Search Trees
13 Red-Black Trees
14 Augmenting Data Structures
IV Advanced Design and Analysis Techniques
Introduction
15 Dynamic Programming
16 Greedy Algorithms
17 Amortized Analysis
V Advanced Data Structures
Introduction
18 B-Trees
19 Fibonacci Heaps
20 Van Emde Boas Trees
21 Data Structures for Disjoint Sets
VI Graph Algorithms
Introduction
22 Elementary Graph Algorithms
23 Minimum Spanning Trees
24 Single-Source Shortest Paths
25 All-Pairs Shortest Paths
26 Maximum Flow
VII Selected Topics
Introduction
27 Multithreaded Algorithms
28 Matrix Operations
29 Linear Programming
30 Polynomials and the FFT
31 Number-Theoretic Algorithms
32 String Matching
33 Computational Geometry
34 NP-Completeness
35 Approximation Algorithms
VIII Appendix: Mathematical Background
Introduction
A Summations
B Sets, Etc.
C Counting and Probability
D Matrices
Bibliography
Index",Introduction to Algorithms ,Thomas H. Cormen, , ,The MIT Press,9780262033848,"3rd Edition,2009",1292,India,English
Machine Learning – A Probabilistic Perspective (Adaptive Computation and Machine Learning series),কেভিন পি মারফি,"TK. 11,675","",https://rokomari.com//book/153286/machine-learning---a-probabilistic-perspective--adaptive-computation-and-machine-learning-series-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Machine Learning – A Probabilistic Perspective (Adaptive Computation and Machine Learning series),Kevin P. Murphy, , ,The MIT Press,9780262018029,"1st Edition,2012",1096,India,English
Machine Translation,থিয়েরি পবেয়াউ,"TK. 2,261","",https://rokomari.com//book/203216/machine-translation,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0cb393fef_203216.jpg,"",Machine Translation,Thierry Poibeau, , ,The MIT Press,9780262534215,"1st Published,2017",296,India,English
Marine Hydrodynamics (The MIT Press),জন এন. নিউম্যান,"TK. 15,298","",https://rokomari.com//book/186549/marine-hydrodynamics--the-mit-press-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b13963dd1_186549.jpg,"",Marine Hydrodynamics (The MIT Press),"John N. Newman,John Grue", , ,The MIT Press,9780262534826,"40th Anniversary,2018",448,India,English
Information and Society,মাইকেল বাকল্যান্ড,"TK. 1,868","",https://rokomari.com//book/187185/information-and-society,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fcabb506a_187185.jpg,"",Information and Society,Michael Buckland, , ,The MIT Press,9780262533386,"1st Edition,2017",232,India,English
Energy and Civilization – A History,ভাকলাভ স্মিল,"TK. 4,318","",https://rokomari.com//book/155642/energy-and-civilization---a-history,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0c70a18b7_155642.jpg,"",Energy and Civilization – A History,Vaclav Smil, , ,The MIT Press,9780262035774,"1st Edition,2017",568,India,English
101 Things I Learned in Architecture School,ম্যাথিউ ফ্রেডরিক,"TK. 2,482","",https://rokomari.com//book/175211/101-things-i-learned-in-architecture-school,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ccc1bab97_175211.jpg,"",101 Things I Learned in Architecture School,Matthew Frederick, , ,The MIT Press,9780262062664,"3rd Edition,2007",212,India,English
The Internet of Things,স্যামুয়েল গ্রীনগার্ড,"TK. 1,510","",https://rokomari.com//book/116789/the-internet-of-things,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d77239d4a684_116789.gif,"",The Internet of Things,Samuel Greengard, , ,The MIT Press,9780262527736,"1st Edition,2015",184,India,English
Architecting the Future Enterprise,ডেবোরাহ জে. নাইটেঙ্গল,"TK. 4,384","",https://rokomari.com//book/116790/architecting-the-future-enterprise,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/41ed9d6bf064_116790.gif,"",Architecting the Future Enterprise,"Deborah J. Nightingale,Donna H. Rhodes", , ,The MIT Press,9780262028820,"1st Edition,2015",200,India,English
