Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Atlas Of Anatomy ,গীলরায়,"TK. 2,080","",https://rokomari.com//book/55530/atlas-of-anatomy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/06ff3bc76_55530.jpg,"Atlas of Anatomy
Atlas of Anatomy, Second Edition, is the essential resource for anyone studying gross anatomy. Packed with over 2,400 full-color illustrations, this atlas guides you step-by-step through each region of the body, helping you master the details of anatomy.
Key Features
•	Exquisite full-color illustrations with clear, thorough labeling and descriptive captions
•	Even more clinical correlations help students make the connection between anatomy and medicine
•	Coverage of each region intuitively arranged to simplify learning: beginning with the skeletal framework, then adding muscles, organs, vasculature, and nerves, and concluding with topographic illustrations that put it all together
•	Over 170 tables summarize key anatomic information for ease of study and review
•	Innovative, user-friendly format in which each two-page spread is a self-contained guide to a topic
•	Surface anatomy spreads now include regions and reference lines or planes in addition to landmarks and palpable structures to develop physical exam skills
•	Muscle Fact spreads ideal for memorization, reference, and review organize the essentials about muscles, including origin, insertion, innervation, and action
•	New sectional anatomy spreads at the end of units build familiarity with 2D views of anatomic regions
•	Access to WinkingSkull.com PLUS, with over 500 images from the book for labels-on and labels-off review and timed self-tests for exam preparation
Atlas of Anatomy is the student's choice
Thieme is the best anatomy atlas by far, hands down. Clearer pictures, more pictures, more realistic pictures, structures broken up in ways that make sense and shown from every angle...includes clinical correlations and summary charts of innervations and actions. That's about all there is to it. Just buy it. Thank you Thieme!!! Ok, now back to studying...
In my opinion this book surpasses them all. It's the artwork. The artist has found the perfect balance of detail and clarity. Some of these illustrations have to be seen to be believed.... The pearls of clinical information are very good and these add significance to the information and make it easier to remember. Easier to remember is key.
Contributers
Anne M Gilroy University of Massachusetts (Author), Brian R MacPherson, PhD University of Kentucky (Author), Lawrence M Ross, MD, PhD University of Texas Medical School at Houston (Author), Michael Schuenke, MD, PhD University of Kiel, Germany (Author), Erik Schulte, MD University of Mainz, Germany (Author),Udo Schumacher, MD,University of Hamburg, Hamburg, Germany (Author),Voll/Wesker Illustrators (Illustrator)",Atlas Of Anatomy, , ,"GILROY,Lawrence M. Ross,Brian R. Macpherson",Thieme,9789382076599, ,694,India,English
Head And Neck Anatomy For Dental Medicine (Paperback),বাকের,"TK. 3,060","",https://rokomari.com//book/55550/head-and-neck-anatomy-for-dental-medicine--paperback-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140717_55550.gif,"Head and Neck Anatomy for Dental Medicine [With Access Code]
Head and Neck Anatomy for Dental Medicine combines concise but thorough explanatory text with stunning full-color illustrations to guide the reader through every structure of the head and neck. Its exquisite artwork and detailed coverage make this atlas an essential learning tool and reference for every student and practitioner of dental medicine. It will also be useful for otolaryngologists, speech pathologists, or anyone who deals primarily with the head and neck. 
Featuring expanded material derived from the bestselling THIEME Atlas of Anatomy series, this one-volume atlas is intuitively arranged to simplify the learning process. Coverage of each region begins with the skeletal framework and then adds the muscles, the vasculature, the nerves, and then finally presents the topographic anatomy for a comprehensive overview. 
Key features of this atlas: 
- A specific focus on head and neck anatomy aimed directly at students of dental medicine and anyone who must have an understanding of this complex anatomic area
- More than 800 large, full-color, highly detailed illustrations with clear and thorough labeling and descriptive captions plus schematics to elucidate concepts
- Over 90 tables summarize key information for review and reference
- A full chapter devoted to sectional anatomy, including radiographic images to demonstrate anatomy as seen in the clinical setting
- An innovative, user-friendly format in which each two-page spread presents a self-contained guide to a specific topic
Head and Neck Anatomy for Dental Medicine includes access to WinkingSkull.com PLUS, the interactive online study aid, with more than 600 full-color illustrations and radiographs from this and Thieme's bestselling anatomy and radiology publications. Review or test your anatomy knowledge with timed self-tests with instant results using the labels on-and-off function on the illustrations. 
Teaching anatomy? We have the educational e-product you need. 
Instructors can use the Thieme Teaching Assistant: Anatomy to download and easily import 2,000+ full-color illustrations to enhance presentations, course materials, and handouts.",Head And Neck Anatomy For Dental Medicine (Paperback),Baker, , ,Thieme,9789380378350,2010, ,India,English
Atlas of Anatomy ,মাইকেল স্কুয়েঙ্ক,"TK. 2,018","",https://rokomari.com//book/88167/atlas-of-anatomy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/33b934876_88167.jpg,"Atlas of Anatomy 2nd Edition is a useful book for students studying gross anatomy. The book contains over 2400 full-colour illustrations, and guides the reader through the various regions of the body. This way, it helps the reader master the details of anatomy. The book also contains more than 170 tables that summarize anatomic information to make it easier to review and study.

About Thieme


Thieme Medical Publishers is a German publisher of medical and science books. They publish professional journals, textbook, atlases, monographs and reference books in German and English. The publishing house covers a variety of medical specialties which include: neurosurgery, orthopaedics, endocrinology, radiology, anatomy, chemistry, otolaryngology, ophthalmology, audiology and speech language pathology, and complementary and alternative medicine. With over 100 employees, Thieme has offices in a total of seven cities across the world, including: New York, Beijing, Delhi, Stuttgart, and three cities in Germany.",Atlas of Anatomy,"Michael Schuenke,Erik Schulte,Udo Schumacher", , ,Thieme,9789380378992,"2nd Edition,2012", ,India,English
Color Atlas Of Pharmacology,হেইনজ লালম্যান,"TK. 4,496","",https://rokomari.com//book/89736/color-atlas-of-pharmacology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150105_89736.gif,"",Color Atlas Of Pharmacology,Heinz Lullmann, , ,Thieme,9783137817031,"3rd Edition,2005", ,India,English
"Rheumatoid Arthritis: Current Trends In Diagnostic, Conservative Treatment, And Surgical Reconstruction ",এইচ. বাউমগার্টনার,"TK. 15,370","",https://rokomari.com//book/89852/rheumatoid-arthritis--current-trends-in-diagnostic--conservative-treatment--and-surgical-reconstruction,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141015_89852.gif,"Schulthess Klinik, Zurich, Switzerland. Overview of current medical and surgical arthritis treatments for the upper and lower extremities, and the spine, especially as performed at the Schulthess Clinic. 36 contributors, 9 U.S. Illustrated.","Rheumatoid Arthritis: Current Trends In Diagnostic,Conservative Treatment,And Surgical Reconstruction",H. Baumgartner, , ,Thieme,9780865776029,"1st Edition,1995",284,India,English
Diagnosis of Genitourinary Disease ,মার্টিন আই. রেন্সিক,"TK. 26,520","",https://rokomari.com//book/87117/diagnosis-of-genitourinary-disease,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140910_87117.gif,"Offering the unique benefit of a combined urologic and radiologic approach, this book defines the appropriate clinical investigation to be carried out in evaluating a wide range of urologic disorders.

From demonstrations of ultrasound, CT scanning, magnetic resonance imaging, color flow Doppler, position emission tomography, and radioimmunodetection, to the dramatic implications of new laboratory technology such as prostrate-specific antigen and evolving molecular techniques, to the replacement of older, invasive techniques with more accurate and less invasive ones, the book provides a wealth of clinical diagnostic guidelines.",Diagnosis of Genitourinary Disease,Martin I. Resnick, , ,Thieme,9780865775732,"2nd Edition,1997",688,India,English
Multimodality Therapy for Head and Neck Cancer (Hardcover),গর্ডন ব্রায়ান স্নো,"TK. 16,065","",https://rokomari.com//book/87730/multimodality-therapy-for-head-and-neck-cancer--hardcover-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140910_87730.gif,"This book assists oncologists towards a better understanding of the management of patients with advanced head and neck cancer and provides a stimulus and guide for the essential interdisciplinary approach required of all surgical and non-surgical specialists involved in oncology. The first part of the book is an overview of squamous cell carcinoma of the head and neck (SCCHN). The natural history, prognostic factors, evaluation and staging are reviewed. The principles of single-modality treatment, surgery and radiotherapy are discussed, emphasizing their limitations and indicating areas in which advances of each of these modalities might be expected. Much attention is given to the biostatistical issues in the design and interpretation of clinical trials of SCCHN. In the second part of this book the principles and applications of the various multi-modality treatments for patients with SCCHN are reviewed. The rationale and treatment strategies of combined surgery and radiotherapy are considered and controversial areas are identified. Multi-modality therapy with chemotherapy in its various settings - neo-adjuvant, adjuvant or synchronous radiotherapy - is critically assessed and strategies including chemotherapy which are most likely to benefit patients are indicated. Finally therapies, which are in development, such as immunobiological therapy and differentiation therapy, are reviewed.",Multimodality Therapy for Head and Neck Cancer (Hardcover),Gordon Brian Snow, , ,Thieme,9783137788010,"1st Edition,1992",200,India,English
Thieme Dissector Full Set (3 Volumes),ভিশরাম সিং,"TK. 2,700","",https://rokomari.com//book/126529/thieme-dissector-full-set--3-volumes-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a539c87d53d4_126529.jpg,"",Thieme Dissector Full Set (3 Volumes),Vishram Singh, , ,Thieme,"9789382076797,9789382076803,9789382076827", , ,India,English
"The Craniovertebral Junction: Diagnosis, Pathology, Surgical Techniques",অতুল গোয়েল,"TK. 36,920","",https://rokomari.com//book/55535/the-craniovertebral-junction--diagnosis--pathology--surgical-techniques,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150103_55535.gif,"","The Craniovertebral Junction: Diagnosis,Pathology,Surgical Techniques",Atul Goel, , ,Thieme,9783131455819,2010,574,India,English
Neurotrauma and Critical Care of the Brain (Hardcover),জ্যাক জ্যালো,"TK. 18,840","",https://rokomari.com//book/55537/neurotrauma-and-critical-care-of-the-brain--hardcover-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150103_55537.gif,"",Neurotrauma and Critical Care of the Brain (Hardcover),Jack Jallo, , ,Thieme,9781604060324,"1st Edition,2009", ,India,English
