Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
The Psychology of Selling: Increase Your Sales Faster and Easier Than You Ever Thought Possible,ব্রায়ান ট্রেসি,TK. 718,"",https://rokomari.com//book/135317/the-psychology-of-selling--increase-your-sales-faster-and-easier-than-you-ever-thought-possible,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0d5db8947514_135317.jpg,"",The Psychology of Selling: Increase Your Sales Faster and Easier Than You Ever Thought Possible,Brian Tracy, , ,Thomas Nelson Publishers,9780785288060,"1st Edition,2006",240,India,English
The 17 Indisputable Laws of Teamwork: Embrace Them and Empower Your Team,জন সি. ম্যাক্সওয়েল,"TK. 2,644","",https://rokomari.com//book/152343/the-17-indisputable-laws-of-teamwork--embrace-them-and-empower-your-team,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0e69253f8_152343.jpg,"",The 17 Indisputable Laws of Teamwork: Embrace Them and Empower Your Team,John C. Maxwell, , ,Thomas Nelson Publishers,9781400204731,"Reprint Edition,2013",288,India,English
Leadership 101: What Every Leader Needs to Know,জন সি. ম্যাক্সওয়েল,TK. 956,"",https://rokomari.com//book/151921/leadership-101--what-every-leader-needs-to-know,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c81ca20d4_151921.jpg,"",Leadership 101: What Every Leader Needs to Know,John C. Maxwell, , ,Thomas Nelson Publishers,9780785264194,"1st Edition,2002",128,India,English
Unglued: Making Wise Choices in the Midst of Raw Emotions,লিসা টারকেরস্ট,"TK. 2,023","",https://rokomari.com//book/168118/unglued--making-wise-choices-in-the-midst-of-raw-emotions,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3669ceb80_168118.jpg,"",Unglued: Making Wise Choices in the Midst of Raw Emotions,Lysa TerKeurst, , ,Thomas Nelson Publishers,9780718093044,"1st Edition,2012",208,India,English
A Rainbow of Friends,পি কে হাল্লিনান,TK. 558,"",https://rokomari.com//book/161796/a-rainbow-of-friends,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a325d6f51_161796.jpg,"",A Rainbow of Friends,P. K. Hallinan, , ,Thomas Nelson Publishers,9780824955199,"1st edition,2016",32,India,English
Unlocking the Secrets of Your Childhood Memories Workbook ,র‍্যান্ডি কার্লসন,"TK. 15,008","",https://rokomari.com//book/161960/unlocking-the-secrets-of-your-childhood-memories-workbook-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/923f8c3e8_161960.jpg,"",Unlocking the Secrets of Your Childhood Memories Workbook ,"Randy Carlson,Kevin Leman ", , ,Thomas Nelson Publishers,9780840734464,"1st Edition,1994",247,India,English
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be",রাচেল হোল্লিস,"TK. 2,032","",https://rokomari.com//book/165224/girl--wash-your-face--stop-believing-the-lies-about-who-you-are-so-you-can-become-who-you-were-meant-to-be,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/631914a80_165224.jpg,"","Girl,Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be",Rachel Hollis, , ,Thomas Nelson Publishers,9781400201655,"1st Edition,2018",240,India,English
Unlocking the Secrets of Your Childhood Memories,র‍্যান্ডি কার্লসন,"TK. 2,155","",https://rokomari.com//book/162665/unlocking-the-secrets-of-your-childhood-memories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d1a193c75_162665.jpg,"",Unlocking the Secrets of Your Childhood Memories,"Randy Carlson,Kevin Leman ", , ,Thomas Nelson Publishers,9780840776310,"1st Edition,1989", ,India,English
Call To Action,জেফ্রি এসিনবার্গ ,"TK. 1,999","",https://rokomari.com//book/160379/call-to-action,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0e84d98fd_160379.jpg,"",Call To Action,"Jeffrey Eisenberg,Bryan Eisenberg", , ,Thomas Nelson Publishers,9780785219651,"1st Edition,2010",288,USA,English
Waiting for Your Cat to Bark?: Persuading Customers When They Ignore Marketing,জেফ্রি এসিনবার্গ ,"TK. 1,599","",https://rokomari.com//book/160385/waiting-for-your-cat-to-bark---persuading-customers-when-they-ignore-marketing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/812e91113_160385.jpg,"",Waiting for Your Cat to Bark?: Persuading Customers When They Ignore Marketing,"Jeffrey Eisenberg,Bryan Eisenberg", , ,Thomas Nelson Publishers,9780785218975,"1st Edition,2006",240,USA,English
A Memory a Day for Moms,থমাস নেলসন,"TK. 2,493","",https://rokomari.com//book/166759/a-memory-a-day-for-moms,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/070e6c9ff_166759.jpg,"",A Memory a Day for Moms,Thomas Nelson, , ,Thomas Nelson Publishers,9781400313266,"1st Edition,2018",384,India,English
Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,এমারসন এগারিচস,"TK. 2,225","",https://rokomari.com//book/166822/love-and-respect--the-love-she-most-desires--the-respect-he-desperately-needs,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bb0742f2f_166822.jpg,"",Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,Emerson Eggerichs, , ,Thomas Nelson Publishers,9781591451877,"1st Edition,2004",336,India,English
The Difference Maker: Making Your Attitude Your Greatest Asset,জন সি. ম্যাক্সওয়েল,"TK. 1,790","",https://rokomari.com//book/158243/the-difference-maker--making-your-attitude-your-greatest-asset,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/28643cf6c_158243.jpg,"",The Difference Maker: Making Your Attitude Your Greatest Asset,John C. Maxwell, , ,Thomas Nelson Publishers,9780785260981,"1st Edition,2006",184,USA,English
3 Things Successful People Do: The Road Map That Will Change Your Life,জন সি. ম্যাক্সওয়েল,"TK. 1,656","",https://rokomari.com//book/167720/3-things-successful-people-do--the-road-map-that-will-change-your-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/885d949ec_167720.jpg,"",3 Things Successful People Do: The Road Map That Will Change Your Life,John C. Maxwell, , ,Thomas Nelson Publishers,9780718016968,"1st Edition,2016",224,India,English
Leadership Promises for Every Day: A Daily Devotional,জন সি. ম্যাক্সওয়েল,"TK. 2,237","",https://rokomari.com//book/167723/leadership-promises-for-every-day--a-daily-devotional,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a6bb3ab52_167723.jpg,"",Leadership Promises for Every Day: A Daily Devotional,John C. Maxwell, , ,Thomas Nelson Publishers,9781404113244,"1st Edition,2007",400,India,English
Capital Gaines: Smart Things I Learned Doing Stupid Stuff,চিপ গেইনস,"TK. 2,302","",https://rokomari.com//book/167784/capital-gaines--smart-things-i-learned-doing-stupid-stuff,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6048fb97a_167784.jpg,"",Capital Gaines: Smart Things I Learned Doing Stupid Stuff,Chip Gaines, , ,Thomas Nelson Publishers,9780785216308,"1st Edition,2017",208,India,English
The Accidental Bride (A Big Sky Romance) ,ডেনিসে হান্টার,"TK. 1,152","",https://rokomari.com//book/170198/the-accidental-bride--a-big-sky-romance--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ea4464c94_170198.jpg,"",The Accidental Bride (A Big Sky Romance) ,Denise Hunter, , ,Thomas Nelson Publishers, 9780718097714,"1st Edition,2017",304,India,English
The Traveler's Summit: The Remarkable Sequel to The Traveler's Gift,অ্যান্ডি অ্যান্ড্রিউস,"TK. 1,595","",https://rokomari.com//book/169967/the-traveler-s-summit--the-remarkable-sequel-to-the-traveler-s-gift,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/49097fb9a_169967.jpg,"",The Traveler's Summit: The Remarkable Sequel to The Traveler's Gift,Andy Andrews, , ,Thomas Nelson Publishers,9780785220039,"Gld Edition,2018",272,India,English
The Traveler's Gift: Seven Decisions that Determine Personal Success ,অ্যান্ডি অ্যান্ড্রিউস,"TK. 1,904","",https://rokomari.com//book/169968/the-traveler-s-gift--seven-decisions-that-determine-personal-success,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ef281988f_169968.jpg,"",The Traveler's Gift: Seven Decisions that Determine Personal Success,Andy Andrews, , ,Thomas Nelson Publishers,9780785273226,"1st Edition,2000",240,India,English
The Total Money Makeover: A Proven Plan for Financial Fitness,ডেভ রামসে,"TK. 3,600","",https://rokomari.com//book/141838/the-total-money-makeover--a-proven-plan-for-financial-fitness,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/00dc45c7a_141838.jpg,"",The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey, , ,Thomas Nelson Publishers,9781595555274,"1st Edition,2013",257,India,English
Children of Promise (The Days of Laura Ingalls Wilder 2),থমাস এল. টেডরো,"TK. 3,351","",https://rokomari.com//book/115429/children-of-promise--the-days-of-laura-ingalls-wilder-2-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b9e1b9d67d64_115429.gif,"",Children of Promise (The Days of Laura Ingalls Wilder 2),Thomas L. Tedrow, , ,Thomas Nelson Publishers, 9780840733986,"1st  Edition,1992",209,India,English
"Good Neighbors (The Days of Laura Ingalls Wilder, Book 3)",থমাস এল. টেডরো,"TK. 2,860","",https://rokomari.com//book/115430/good-neighbors--the-days-of-laura-ingalls-wilder--book-3-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bdc7f0255504_115430.gif,"","Good Neighbors (The Days of Laura Ingalls Wilder,Book 3)",Thomas L. Tedrow, , ,Thomas Nelson Publishers, 9780840733993,"1st  Edition,1992",219,India,English
"Home to the Prairie (The Days of Laura Ingalls Wilder, Book 4)",থমাস এল. টেডরো,"TK. 2,201","",https://rokomari.com//book/115431/home-to-the-prairie--the-days-of-laura-ingalls-wilder--book-4-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c40fab7db114_115431.gif,"","Home to the Prairie (The Days of Laura Ingalls Wilder,Book 4)",Thomas L. Tedrow, , ,Thomas Nelson Publishers, 9780840734013,"4th Edition,1992",222,India,English
The World's Fair (Days of Laura Ingalls Wilder),থমাস এল. টেডরো,"TK. 2,908","",https://rokomari.com//book/115432/the-world-s-fair--days-of-laura-ingalls-wilder-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6cf6f5432de4_115432.gif,"",The World's Fair (Days of Laura Ingalls Wilder),Thomas L. Tedrow, , ,Thomas Nelson Publishers,9780840777324,"1st  Edition,1992",223,India,English
"Mountain Miracle (The Days of Laura Ingalls Wilder, Book 6)",থমাস এল. টেডরো,"TK. 2,887","",https://rokomari.com//book/115433/mountain-miracle--the-days-of-laura-ingalls-wilder--book-6-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/63902236ff44_115433.gif,"","Mountain Miracle (The Days of Laura Ingalls Wilder,Book 6)",Thomas L. Tedrow, , ,Thomas Nelson Publishers,9780840777331,"1st  Edition,1992",231,India,English
Land of Promise (Days of Laura Ingalls Wilder),থমাস এল. টেডরো,"TK. 1,995","",https://rokomari.com//book/115434/land-of-promise--days-of-laura-ingalls-wilder-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d7709b41e074_115434.gif,"",Land of Promise (Days of Laura Ingalls Wilder),Thomas L. Tedrow, , ,Thomas Nelson Publishers,9780840777355,"1st  Edition,1992",228,India,English
"Grace: More Than We Deserve, Greater Than We Imagine",মাক্স লুকাডো,"TK. 1,780","",https://rokomari.com//book/131960/grace--more-than-we-deserve--greater-than-we-imagine,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/644b4b77db74_131960.jpg,"","Grace: More Than We Deserve,Greater Than We Imagine",Max Lucado, , ,Thomas Nelson Publishers,9780529117694,"1st Edition,2014",240,India,English
The Procrastinators Handbook,রিতা এমেট,"TK. 1,643","",https://rokomari.com//book/133340/the-procrastinators-handbook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6bbf2504c204_133340.jpg,"",The Procrastinators Handbook,Rita Emmett, , ,Thomas Nelson Publishers,9780802775986,"1st Editon,2004",1776,India,English
