Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ইসরাইল-ফিলিস্তিনের ভালোবাসা ও স্বাধীনতা,আলী আনছার (আরমান),TK. 150,TK. 105,https://rokomari.com//book/182515/esrail-philishtiner-valobasha-o-swadhinota,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/be4c6852b_182515.jpg,"",ইসরাইল-ফিলিস্তিনের ভালোবাসা ও স্বাধীনতা,আলী আনছার (আরমান), , ,ত্রয়ী প্রকাশন,9789849185512,"1st Published,2019",64,বাংলাদেশ,বাংলা
বর্তমান ছাত্র যুব সমাজের মূল সমস্যা ও সমাধানের পথ,মোঃ শওকত আকবর,TK. 250,TK. 175,https://rokomari.com//book/182514/bortoman-chatro-jubo-somajer-mul-somossa-o-somadhaner-poth,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7ffe22d5d_182514.jpg,"",বর্তমান ছাত্র যুব সমাজের মূল সমস্যা ও সমাধানের পথ,মোঃ শওকত আকবর, , ,ত্রয়ী প্রকাশন,9789849185590,"1st Published,2019",120,বাংলাদেশ,বাংলা
ভবিষ্যতের বাংলাদেশ,আলী আনছার (আরমান),TK. 150,TK. 105,https://rokomari.com//book/182512/vobishyoter-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5429f152d_182512.jpg,"",ভবিষ্যতের বাংলাদেশ,আলী আনছার (আরমান), , ,ত্রয়ী প্রকাশন,9789849185595,"1st Published,2019",80,বাংলাদেশ,বাংলা
ত্রিবেণীসংগমে,মেজর পরিতোষ রায় (অবঃ),TK. 300,TK. 210,https://rokomari.com//book/182511/tribenisonggome,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d6faa8a4d_182511.jpg,"",ত্রিবেণীসংগমে,মেজর পরিতোষ রায় (অবঃ), , ,ত্রয়ী প্রকাশন,9789843497566,"1st Published,2018",80,বাংলাদেশ,বাংলা
ভালোবাসা তুমি,ইঞ্জিঃ মোঃ শফিকুল ইসলাম,TK. 125,TK. 88,https://rokomari.com//book/182516/valobasa-tumi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d6e9d60c8_182516.jpg,"",ভালোবাসা তুমি,ইঞ্জিঃ মোঃ শফিকুল ইসলাম, , ,ত্রয়ী প্রকাশন,9789984978918,"1st Published,2017",64,বাংলাদেশ,বাংলা
থিংক অ্যান্ড গ্রো রিচ,নেপোলিয়ন হিল,TK. 200,TK. 140,https://rokomari.com//book/199289/think-and-grow-rich,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e4439c7fd_199289.jpg,"",থিংক অ্যান্ড গ্রো রিচ,নেপোলিয়ন হিল,ইসলামুল হাফিজ নির্জন, ,ত্রয়ী প্রকাশন,9789849481751,"1st Published,2020",110,বাংলাদেশ,বাংলা
গালিভার ট্রাভেলস,জোনাথন সুইফট,TK. 250,TK. 175,https://rokomari.com//book/68803/galiver-travels,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/569ff90fa_68803.jpg,"ফ্ল্যাপে লেখা কিছু কথাসংবিৎ সক্রিয় ও সুপ্রকাশ। বৈচিত্রের প্রাচুর্যে	এবং মননের পরিবাহিতা শক্তিতে প্রত্যয়ী লেখকের মধ্যে অন্যতম। তাঁর গল্প-উপন্যাস যেমন প্রতিপদ, অনুবাদ সাহিত্য ও শিল্প কর্মের জন্য আন্দমেলা, রুপসী-বাংলা স্বর্ণপদক, বিদ্যাসাগর পুরুস্কার, গান্ধী গবেষণা পুরুস্কার, বঙ্গবন্ধু একাডেমী এবং কবীর চৌধুরী সাহিত্য পুরুস্কার, বঙ্গবন্ধু একাডেমী এবং কবীর চৌধুরী সাহিত্য পুরুস্কার অর্জন করেছেন। বর্তমানে তিনি একটি গবেষণা পত্রিকার সম্পাদক এবং গবেষণা ও অনুবাদ চর্চায় নিয়োজিত।",গালিভার ট্রাভেলস,জোনাথন সুইফট,জুলফিকার নিউটন, ,ত্রয়ী প্রকাশন,9789848857458,"1st Published,2013",256,বাংলাদেশ,বাংলা
স্বপ্ন,সিগমুন্ড ফ্রয়েড,TK. 300,TK. 210,https://rokomari.com//book/159724/dream--swapno-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/722010c6b_159724.jpg,"",স্বপ্ন,সিগমুন্ড ফ্রয়েড,ডা. শাফিনা শারমিন, ,ত্রয়ী প্রকাশন,9789849185277,"1st Published,2018",160,বাংলাদেশ,বাংলা
ওল্ডম্যান অ্যান্ড দি সী,জুলফিকার নিউটন,TK. 150,TK. 105,https://rokomari.com//book/159723/oldman-and-the-see,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0216b53dc_159723.jpg,"",ওল্ডম্যান অ্যান্ড দি সী,"জুলফিকার নিউটন,আর্নেস্ট হেমিংওয়ে",জুলফিকার নিউটন, ,ত্রয়ী প্রকাশন,9789849185178,"1st Published,2018",79,বাংলাদেশ,বাংলা
হোয়াট ইজ আর্ট,জুলফিকার নিউটন,TK. 250,TK. 175,https://rokomari.com//book/24439/what-is-art,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ae8479a14_24439.jpg,"",হোয়াট ইজ আর্ট,"জুলফিকার নিউটন,লিও টলস্টয়",জুলফিকার নিউটন, ,ত্রয়ী প্রকাশন,97808448510301,"1st Published,2018",224,বাংলাদেশ,বাংলা
গল্প শোনো স্বপ্ন বোনো,ইকবাল কবীর মোহন,TK. 150,TK. 105,https://rokomari.com//book/161857/golpo-sono-swapno-bono,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a66f27c0_161857.jpg,"",গল্প শোনো স্বপ্ন বোনো,ইকবাল কবীর মোহন, , ,ত্রয়ী প্রকাশন,9789849185592,"1st Published,2018",59,বাংলাদেশ,বাংলা
ভারতবর্ষের স্বাধীনতা ঘটনাবহুল ইতিহাস,শেখ ফজলুল করিম সেলিম,"TK. 1,000",TK. 850,https://rokomari.com//book/180813/varotborsher-swadinota-ghotonabohul-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8fa696eb8_180813.jpg,"",ভারতবর্ষের স্বাধীনতা ঘটনাবহুল ইতিহাস,শেখ ফজলুল করিম সেলিম, , ,ত্রয়ী প্রকাশন,9789849185291,"1st Published,2019",500,বাংলাদেশ,বাংলা
মুজিব দ্য গ্রেট,রেজা ঘটক ,TK. 175,TK. 123,https://rokomari.com//book/96505/mujib-the-great--bangabandhur-songkhifto-jiboni-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150224_96505.gif,"",মুজিব দ্য গ্রেট,রেজা ঘটক, , ,ত্রয়ী প্রকাশন,9789848919889,"1st,2015",112,বাংলাদেশ,বাংলা
ছোটদের সহজ আবৃত্তির কবিতা,মীর লিয়াকত আলী,TK. 150,TK. 105,https://rokomari.com//book/195793/chotoder-sohoj-abrittir-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/010c94368_195793.jpg,"",ছোটদের সহজ আবৃত্তির কবিতা, , ,মীর লিয়াকত আলী,ত্রয়ী প্রকাশন,9789849481720,"1st Published,2020",80,বাংলাদেশ,বাংলা
