Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
এক সহস্র এক আরব্য রজনী,চঞ্চল কুমার ঘোষ,TK. 720,"",https://rokomari.com//book/145656/ak-sahasra-ak-arabya-rajani,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/74a4d8394_145656.jpg,"""এক সহস্র এক আরব্য রজনী"" বইটির ভূমিকা
* বিশ্ব সাহিত্যের কালজয়ী দশখানি শ্রেষ্ঠ সৃষ্টির যদি নাম করতে হয় তবে তার মধ্যে অন্যতম আরব দুনিয়ার অমর গল্পকাহিনী আরব্য রজনী।
অসংখ্য বিচিত্র কাহিনীর মালা গেঁথে রচিত হয়েছে এই গ্রন্থ। আরবী ভাষায় এর নাম, “আলফ লায়লা ওয়া লায়লা”।
এই কাহিনী কোন একজন মানুষের সৃষ্টি নয়। হিজরী তৃতীয় শতাব্দী থেকে দশম শতাব্দী পর্যন্ত এই কাহিনীর সৃষ্টিকাল। বিভিন্ন কবিও কাহিনীকারদের রচনায় সমৃদ্ধ হয়েছে এই কাহিনী।
আরব দেশ এই কাহিনীর মূল পটভূমি হলেও আরব্য রজনীর কাহিনীর ব্যাপ্তি ঘটেছে ভারতবর্ষ, ইরান, মিশর, তুর্কী, গ্রীস, এমন কি সুদূর চিন দেশ পর্যন্ত। এই সমস্ত দেশের অসংখ্য কাহিনীর প্রত্যক্ষ বা পরোক্ষ প্রভাব পড়েছে আরব্য রজনীর নানান কাহিনীতে।
আরব্য রজনীর এক-একটি কাহিনী যেন শিল্পীর তুলিতে আঁকা এক-একটি ছবি ব্যাপ্তিতে, রচনার বৈচিত্র্যে কল্পনার অবাধ বিচরণে সৃষ্টি হয়েছে এক আশ্চর্য জগৎ; এ জগতে সম্ভব আর অসম্ভবের অবাধ গতি। এখানে একদিকে রয়েছে প্রেম, ভালবাসা, ত্যাগ, তিতিক্ষা, সাহস, বীরত্ব, ধৈৰ্য্য, মহত্ত, উদারতা, তীক্ষ বুদ্ধি, চতুরতা, আধ্যাত্মিকতা। তারই পাশে রয়েছে জীবনের আরেক দিক। সেখানে মূর্ত হয়ে উঠেছে ব্যভিচার, ভোগ বিলাস, কামনা বাসনা, ঘৃণ্য ষড়যন্ত্র, কুটিলতা, প্রতারণা, নীচতা, মূর্খতা। মানবজীবনের এমন কোন দিক নেই যা এখানে উদ্ভাসিত হয়ে ওঠে নি, এখানেই আরব্য রজনীর শ্রেষ্ঠত্ব।
আরব্য রজনীর এই কাহিনী দীর্ঘকাল মধ্য এশিয়ার মানুষের মধ্যেই সীমাবদ্ধ ছিল। ইউরোপের মানুষের সাথে প্রথম তার পরিচয় ঘটান এক ইংরেজ, নাম এন্টনি গল। তিনি মূল আরবী ভাষা থেকে চারখন্ডে আরব্য রজনীর ইংরেজি অনুবাদ করেন। এই অনুবাদ প্রকাশিত হয় ১৭০৪ থেকে ১৭১২ সালের মধ্যে। দীর্ঘকাল তার অনুবাদই প্রামাণ্য বলে বিবেচিত হয়েছিল। পরবর্তীকালে যারা অনুবাদ করেন তাঁদের মধ্যে উল্লেখযোগ্য হলেন ই, উরু, লেন।
আরব্য রজনীর অনুপম সৌন্দর্যকে বিশ্বজনের সামনে যিনি প্রথম তুলে ধরলেন তার নাম রিচার্ড এফ, বার্টন। দীর্ঘকাল তিনি আরব দুনিয়ার নানান প্রান্তে ঘুরে ঘুরে সংগ্রহ করেছিলেন এই কাহিনী, এ ছাড়া ফরাসী ভাষায় লেখা মাসের অনুবাদও আপন সৌন্দর্যে উজ্জ্বল। বাংলায় “এক সহস্র এক আরব্য রজনীর অনুবাদ করতে গিয়ে শুধু যে। রিচার্ড বাটন বা মাসের সাহায্য নিয়েছি তাই নয়, আমার পূর্বসূরীদের অনুবাদ থেকেও নানাভাবে উপকৃত হয়েছি। প্রয়ােজনে মূল কাহিনীর সামান্য ভাষাগত পরিবর্তন করতে হয়েছে সে শুধু কাহিনীর স্বাভাবিক গতির জন্য, অন্য কোন উদ্দেশ্যে নয়। এছাড়া আরব্য রজনীর মূল পরিবেশ অক্ষুন্ন রাখার জন্য কিছু আরবী শব্দ ব্যবহার করা হয়েছে, আশা করা যায় পাঠকদের পক্ষে তা সুখপাঠ্য।
খুব অল্প সময়ের মধ্যে এই বিশাল অনুবাদের কাজ সম্পন্ন করতে হয়েছে, কিছু ভুল ত্রুটি রয়ে যেতে পারে। সে দায় সম্পূর্ণ ভাবেই অনুবাদকের।
চঞ্চল কুমার ঘোষ",এক সহস্র এক আরব্য রজনী, ,চঞ্চল কুমার ঘোষ,তীর্থপতি দত্ত,তুলি ও কলম (ভারত), ,"5th Printed,2018",704,ভারত,বাংলা
শার্লক হোমস অমনিবাস,স্যার আর্থার কোনান ডয়েল,TK. 540,"",https://rokomari.com//book/145648/sherlock-holmes-omnibus,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/16930f862_145648.jpg,"",শার্লক হোমস অমনিবাস,স্যার আর্থার কোনান ডয়েল,মণীন্দ্র দত্ত, ,তুলি ও কলম (ভারত),8187917024,"6th Edition,2015",940,ভারত,বাংলা
আগাথা ক্রিস্টি ৫০,আগাথা ক্রিস্টি,TK. 720,"",https://rokomari.com//book/145655/agatha-christie-50,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/985194a88_145655.jpg,"",আগাথা ক্রিস্টি ৫০,আগাথা ক্রিস্টি, ,তুলি ও কলম,তুলি ও কলম (ভারত),9788192231235,"5th Prined,2018",1160,ভারত,বাংলা
পোয়ারোর সেরা তিন,আগাথা ক্রিস্টি,TK. 360,"",https://rokomari.com//book/145646/poyarer-sera-tin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e4929ed96_145646.jpg,"",পোয়ারোর সেরা তিন,আগাথা ক্রিস্টি,রাজ ঘোষ, ,তুলি ও কলম (ভারত), ,"1st Edition,2014",736,ভারত,বাংলা
মহাভারত (ভলি: সেট অব ২),কালীপ্রসন্ন সিংহ,"TK. 3,420","",https://rokomari.com//book/194123/mahabharata--vol--set-of-2-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4b59aace7_194123.jpg,"",মহাভারত (ভলি: সেট অব ২), ,কালীপ্রসন্ন সিংহ, ,তুলি ও কলম (ভারত), , , ,ভারত,বাংলা
ভারতের সাধক ও সাধিকা ,সুধাংশুরঞ্জন ঘোষ,TK. 540,"",https://rokomari.com//book/122273/varoter-sadhok-o-sadhika,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/09c60a6df_122273.jpg,"",ভারতের সাধক ও সাধিকা,সুধাংশুরঞ্জন ঘোষ, , ,তুলি ও কলম (ভারত),8187917202,6th Edition,624,ভারত,বাংলা
বাংলার সেরা ভুতের গল্প,উজ্জ্বলকুমার দাস,TK. 216,"",https://rokomari.com//book/171329/banglar-sera-vuter-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6cc5c2d00_171329.PNG,"",বাংলার সেরা ভুতের গল্প, , ,উজ্জ্বলকুমার দাস,তুলি ও কলম (ভারত),9788192231280,"1st Edition,2015",272,ভারত,বাংলা
শার্লক হোমস অমনিবাস (১-৪ খন্ড),স্যার আর্থার কোনান ডয়েল,TK. 684,"",https://rokomari.com//book/209955/sherlock-holmes-omnibus--1-4-part-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/326febc07_209955.jpg,"",শার্লক হোমস অমনিবাস (১-৪ খন্ড),স্যার আর্থার কোনান ডয়েল,মণীন্দ্র দত্ত, ,তুলি ও কলম (ভারত), ,"8th Edition,2017",1626,ভারত,বাংলা
মপাসাঁ রচনাবলী -২ সেটস,তুলি ও কলম ,TK. 432,"",https://rokomari.com//book/145662/moupasa-rachanabali--2-sets-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f69d29d83aa4_145662.jpg,"",মপাসাঁ রচনাবলী -২ সেটস, , ,তুলি ও কলম,তুলি ও কলম (ভারত), , , ,ভারত,বাংলা
গ্রীক নাটক সংকলন,সুধাংশুরঞ্জন ঘোষ,TK. 270,"",https://rokomari.com//book/171327/greek-natok-songkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গ্রীক নাটক সংকলন, ,সুধাংশুরঞ্জন ঘোষ, ,তুলি ও কলম (ভারত), ,2014, ,ভারত,বাংলা
