Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মিথ্যার আবরণে দিল্লী আগ্রা ফতেপুর সিক্রি,রাধেশ্যাম ব্রক্ষ্মচারী,TK. 126,"",https://rokomari.com//book/146476/mithyar-aborone-dilli-agra-photepur-sikri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8f7e59236_146476.jpg,"",মিথ্যার আবরণে দিল্লী আগ্রা ফতেপুর সিক্রি,রাধেশ্যাম ব্রক্ষ্মচারী, , ,তুহিনা প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
কাশ্মীর মঞ্চে শ্যামাপ্রসাদ,রুদ্র প্রতাপ চট্টোপাধ্যায়,TK. 60,"",https://rokomari.com//book/146484/kashmir-monche-shyamaprasad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1387ded68_146484.jpg,"",কাশ্মীর মঞ্চে শ্যামাপ্রসাদ,রুদ্র প্রতাপ চট্টোপাধ্যায়, , ,তুহিনা প্রকাশনী (ভারত), ,"2nd Edition,2014",112,ভারত,বাংলা
আর্য দিগন্তে সিন্ধু সভ্যতা,রজত পাল,TK. 540,"",https://rokomari.com//book/146504/arzoha-digonte-sindhu-sabbhata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আর্য দিগন্তে সিন্ধু সভ্যতা,রজত পাল, , ,তুহিনা প্রকাশনী (ভারত), ,2015, ,ভারত,বাংলা
সাহিত্যের ইতিহাসে কোচ-রাজদরবার,রণজিৎ দেব,TK. 540,"",https://rokomari.com//book/146482/sahityor-itihashe-coch-rajprosad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সাহিত্যের ইতিহাসে কোচ-রাজদরবার,রণজিৎ দেব, , ,তুহিনা প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
বাংলা প্রবন্ধের দিগবলয়,তরুণ মুখোপাধ্যায়,TK. 540,"",https://rokomari.com//book/146489/bangla-probondher-digboloy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/116d71314_146489.jpg,"",বাংলা প্রবন্ধের দিগবলয়, , ,তরুণ মুখোপাধ্যায়,তুহিনা প্রকাশনী (ভারত),97881923635,"1st Published,2015",464,ভারত,বাংলা
ইসলামী ধর্মতত্ত্ব,রাধেশ্যাম ব্রক্ষ্মচারী,TK. 270,"",https://rokomari.com//book/146496/islami-dhormotottho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ইসলামী ধর্মতত্ত্ব,রাধেশ্যাম ব্রক্ষ্মচারী, , ,তুহিনা প্রকাশনী (ভারত), ,"5th printed,2014",320,ভারত,বাংলা
মুসলিম শাসন ও ভারতবর্ষ (৭১২খ্রী:-১৯৪৭খ্রী:) ,নিত্যরঞ্জন দাস,TK. 720,"",https://rokomari.com//book/146453/muslim-sason-o-varotborso--712ad-194ad-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মুসলিম শাসন ও ভারতবর্ষ (৭১২খ্রী:-১৯৪৭খ্রী:),নিত্যরঞ্জন দাস, , ,তুহিনা প্রকাশনী (ভারত), ,2010, ,ভারত,বাংলা
শ্যামাপ্রসাদ বঙ্গবিভাগ ও পশ্চিম্বঙ্গ,দীনেশচন্দ্র সিংহ,TK. 630,"",https://rokomari.com//book/146462/shyamaprosad-bangobebag-o-poshchimbongyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শ্যামাপ্রসাদ বঙ্গবিভাগ ও পশ্চিম্বঙ্গ,দীনেশচন্দ্র সিংহ, , ,তুহিনা প্রকাশনী (ভারত),9788192246451,"Reprinted,2018",384,ভারত,বাংলা
শ্যামাপ্রসাদ,দীনেশচন্দ্র সিংহ,TK. 540,"",https://rokomari.com//book/146464/shyamaprosad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শ্যামাপ্রসাদ,দীনেশচন্দ্র সিংহ, , ,তুহিনা প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
ভারতের ঋষি,বিজয় আঢ্য,TK. 270,"",https://rokomari.com//book/146465/varoter-rrishi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভারতের ঋষি,বিজয় আঢ্য, , ,তুহিনা প্রকাশনী (ভারত), ,2014, ,ভারত,বাংলা
