Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Textbook on Muslim Law,রাকেশ কুমার সিং,TK. 945,"",https://rokomari.com//book/173042/textbook-on-muslim-law,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b43f105ca_173042.jpg,"",Textbook on Muslim Law,Rakesh Kumar Singh, , ,Universal Law Publishing Co. Ltd,9788131253755,"3rd Edition,2017",448,India,English
Textbook on Indian Penal Code ,কে ডি গৌর,"TK. 1,350","",https://rokomari.com//book/143156/textbook-on-indian-penal-code,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9c984ef70_143156.jpg,"",Textbook on Indian Penal Code,K D Gaur, , ,Universal Law Publishing Co. Ltd,9789350358382,"Reprint,2018",1215,India,English
Glanville Williams: Learning the Law ,গ্যালানভিলে উইলিয়ামস্‌ ,TK. 495,"",https://rokomari.com//book/101474/glanville-williams--learning-the-law,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150705_101474.gif,"Glanville Williams: Learning the Law 14th Edition is a comprehensive book for law students or anyone who wants a career in law. The book gives students a basic understanding of the law and explains the statutes and look-up points in law. 

About Sweet",Glanville Williams: Learning the Law,Glanville Williams, , ,Universal Law Publishing Co. Ltd,9789381082539,"Fourteenth Edition,2013",288,India,English
Constitutions of the World (Set of 2 Volumes),ম ভি প্যালি,"TK. 5,391","",https://rokomari.com//book/187560/constitutions-of-the-world--set-of-2-volumes-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5b83d0e72_187560.jpg,"",Constitutions of the World (Set of 2 Volumes),M V Pylee, , ,Universal Law Publishing Co. Ltd,9788131252376,"5th Edition,2017",2456,India,English
Constitution of India,পি এম বাকশি,TK. 718,"",https://rokomari.com//book/187561/constitution-of-india,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3ad591b96_187561.jpg,"",Constitution of India,P M Bakshi, , ,Universal Law Publishing Co. Ltd,978-9386515100,"15th Edition,2018",750,India,English
Constitutional law of India  (In 3 Volumes) ,এইচ. এম. সের্ভাই,"TK. 5,580","",https://rokomari.com//book/99406/constitutional-law-of-india---in-3-volumes-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150427_99406.gif,"",Constitutional law of India  (In 3 Volumes),H.M. Seervai, , ,Universal Law Publishing Co. Ltd,9788175344068,"4th Edition,2013", ,India,English
Legal Theory ,ডব্লিউ. ফ্রেইডম্যান ,TK. 855,"",https://rokomari.com//book/101489/legal-theory,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150705_101489.gif,"",Legal Theory,W. Friedmann, , ,Universal Law Publishing Co. Ltd,9788175341449,Latest, ,USA,English
The Art of a Lawyer,বি. মালিক,"TK. 2,331","",https://rokomari.com//book/193524/the-art-of-a-lawyer,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f75330063_193524.jpg,"",The Art of a Lawyer,B. Malik, , ,Universal Law Publishing Co. Ltd,9789351439424,"12th Edition,2016",1152,India,English
Outlines of Indian Legal and Constitutional History: Including Elements of Indian Legal System,এম পি সিংহ,TK. 450,"",https://rokomari.com//book/160171/outlines-of-indian-legal-and-constitutional-history--including-elements-of-indian-legal-system,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1a53f5e89_160171.jpg,"",Outlines of Indian Legal and Constitutional History: Including Elements of Indian Legal System,M P Singh, , ,Universal Law Publishing Co. Ltd,9788175345584,"8th Edition,2007",220,India,English
Issues and Challenges of Public International Law,বি. পি সিং সেহগাল,"TK. 1,430","",https://rokomari.com//book/158714/issues-and-challenges-of-public-international-law,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/aa8a7ea62_158714.jpg,"",Issues and Challenges of Public International Law,B. P. Singh Sehgal, , ,Universal Law Publishing Co. Ltd,9789351438113,"1st Edition,2016",510,India,English
Laws and the Doctors,আব্দুল মজিদ সিরাজ,TK. 990,"",https://rokomari.com//book/166294/laws-and-the-doctors,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2bfdacde8_166294.jpg,"",Laws and the Doctors,Abdul Majid Siraj, , ,Universal Law Publishing Co. Ltd,9789351438144,"1st Edition,2016",407,India,English
 Errorless Physics - Vol. 2,ইউনিভার্সাল বুক ডেপ্ট,"TK. 1,215","",https://rokomari.com//book/153661/errorless-physics---vol--2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d70c8b598_153661.jpg,"",Errorless Physics - Vol. 2,Universal Book Depot, , ,Universal Law Publishing Co. Ltd,9788193000205,"1st Edition,2015",1738,India,English
Errorless Physics - Vol 1,ইউনিভার্সাল বুক ডেপ্ট,"TK. 1,215","",https://rokomari.com//book/153662/errorless-physics---vol-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9cbed2519_153662.jpg,"",Errorless Physics - Vol 1,Universal Book Depot, , ,Universal Law Publishing Co. Ltd,9788193000205,"1st Edition,2014",870,India,English
