Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
The Venture of Islam V-3,মার্শাল জি এস হডসন,"TK. 5,400","",https://rokomari.com//book/163614/the-venture-of-islam-v-3,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b46db1e98_163614.jpg,"",The Venture of Islam V-3,Marshall G. S. Hodgson, , ,University of Chicago Press,9780226346854,"New edition,1977",476,India,English
"A Manual for Writers of Research Papers, Theses, and Dissertations",কেট টুরাবিয়ান,"TK. 2,338","",https://rokomari.com//book/172903/a-manual-for-writers-of-research-papers--theses--and-dissertations,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f0bbc5ba1_172903.jpg,"","A Manual for Writers of Research Papers,Theses,and Dissertations",Kate Turabian, , ,University of Chicago Press,9780226430577,"9th Edition,2018",464,India,English
The Venture of Islam V-1,মার্শাল জি এস হডসন,"TK. 4,545","",https://rokomari.com//book/163612/the-venture-of-islam-v-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5783e76c3_163612.jpg,"",The Venture of Islam V-1,Marshall G. S. Hodgson, , ,University of Chicago Press,9780226346830,"New edition,1977",544,India,English
The Venture of Islam V-2,মার্শাল জি এস হডসন,"TK. 5,400","",https://rokomari.com//book/163613/the-venture-of-islam-v-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bb90f9906_163613.jpg,"",The Venture of Islam V-2,Marshall G. S. Hodgson, , ,University of Chicago Press,9780226346847,"New edition,1977",618,India,English
"On Writing, Editing and Publishing ",জাঁ জ্যাক রুশো,"TK. 7,293","",https://rokomari.com//book/165205/on-writing--editing-and-publishing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/167a5a278_165205.jpg,"","On Writing,Editing and Publishing",Jean-Jacques Rousseau, , ,University of Chicago Press,9780226038582,2nd,148,Abroad,English
The Structure of Scientific Revolutions - 50th Anninversary Edition,থমাস এস কুন,"TK. 1,704","",https://rokomari.com//book/124009/the-structure-of-scientific-revolutions---50th-anninversary-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/680447d48cf4_124009.jpg,"",The Structure of Scientific Revolutions - 50th Anninversary Edition,Thomas S. Kuhn, , ,University of Chicago Press,9780226458120,"50th Edition,2012",288,India,English
"The Venture of Islam, Volume 2",হডসন ,"TK. 5,131","",https://rokomari.com//book/117110/the-venture-of-islam--volume-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/831ff2458e34_117110.gif,"","The Venture of Islam,Volume 2",Hodgson, , ,University of Chicago Press,9780226346847,"1st Edition,1977",618,India,English
"The Venture of Islam, Volume 1",হডসন ,"TK. 4,465","",https://rokomari.com//book/117111/the-venture-of-islam--volume-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1403b5a33d14_117111.gif,"","The Venture of Islam,Volume 1",Hodgson, , ,University of Chicago Press,9780226346830,"1st Edition,1977",539,India,English
"Building the South Side - Urban Space and Civic Culture in Chicago, 1890-1919 (Historical Studies of Urban America)",রবিন এফ বাচিন,"TK. 5,800","",https://rokomari.com//book/127692/building-the-south-side---urban-space-and-civic-culture-in-chicago--1890-1919--historical-studies-of-urban-america-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/527cda462_127692.jpg,"","Building the South Side - Urban Space and Civic Culture in Chicago,1890-1919 (Historical Studies of Urban America)",Robin F Bachin, , ,University of Chicago Press,9780226033945,"1st Edition,2004",368,India,English
The Recovery of Unconscious Memories – Hypermnesia and Reminiscence,ম্যাথু হাগ এরডেলিই,"TK. 7,040","",https://rokomari.com//book/163197/the-recovery-of-unconscious-memories---hypermnesia-and-reminiscence,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dfe23c373_163197.jpg,"",The Recovery of Unconscious Memories – Hypermnesia and Reminiscence,Matthew Hugh Erdelyi, , ,University of Chicago Press,9780226216607,"1st Edition,1996",264,India,English
The Chicago Manual of Style,ইউনিভার্সিটি অফ শিকাগো প্রেস,"TK. 8,606","",https://rokomari.com//book/163914/the-chicago-manual-of-style,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c92ddf5b2_163914.jpg,"",The Chicago Manual of Style,University of Chicago Press, , ,University of Chicago Press,9780226287058,"17th Revised edition,2017",1184,India,English
History of Religious Ideas V 1: 001,মিরশা এলিয়াডে,"TK. 3,301","",https://rokomari.com//book/193666/history-of-religious-ideas-v-1--001,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/419c6c45c_193666.jpg,"",History of Religious Ideas V 1: 001,Mircea Eliade, , ,University of Chicago Press,9780226204017,"Edition,1981",512,India,English
History of Religious Ideas V 3,মিরশা এলিয়াডে,"TK. 3,508","",https://rokomari.com//book/193668/history-of-religious-ideas-v-3,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a2e8a54b1_193668.jpg,"",History of Religious Ideas V 3,Mircea Eliade, , ,University of Chicago Press,9780226204055,"New Edition,1981",372,India,English
"A History of Religious Ideas, Vol. 2",মিরশা এলিয়াডে,"TK. 5,535","",https://rokomari.com//book/193669/a-history-of-religious-ideas--vol--2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3c7e081c6_193669.jpg,"","A History of Religious Ideas,Vol. 2",Mircea Eliade,Willard R. Trask, ,University of Chicago Press,9780226204031,"Edition,1985",579,USA,English
Craft of Research,উইলিয়াম ফিটজিরাল্ড,"TK. 2,095","",https://rokomari.com//book/182826/craft-of-research,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c33e28971_182826.jpg,"",Craft of Research,"William Fitzgerald,Wayne C. Booth,Gregory Colomb,Joseph M. Williams", , ,University of Chicago Press,9780226239736,"4th Edition,2016",336,India,English
The Great Derangement: Climate Change and the Unthinkable,অমিতাভ ঘোষ ,"TK. 2,977","",https://rokomari.com//book/165389/the-great-derangement--climate-change-and-the-unthinkable,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/53548dfe4_165389.jpg,"",The Great Derangement: Climate Change and the Unthinkable,Amitav Ghosh, , ,University of Chicago Press,9780226323039,"1st Edition,2016",176,India,English
"The Beginning of Western Science – The European Scientific Tradition in Philosophical, Religious and Institutional Context Prehistory to AD 1450",ডেভিড সি লিন্ডবার্গ,"TK. 6,955","",https://rokomari.com//book/165418/the-beginning-of-western-science---the-european-scientific-tradition-in-philosophical--religious-and-institutional-context-prehistory-to-ad-1450,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a7d28537e_165418.jpg,"","The Beginning of Western Science – The European Scientific Tradition in Philosophical,Religious and Institutional Context Prehistory to AD 1450",David C Lindberg, , ,University of Chicago Press,9780226482057,"2nd Revised edition,2008",480,India,English
Economics for Humans,জুলি এ নেলসন,"TK. 5,607","",https://rokomari.com//book/189566/economics-for-humans,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ffe501abe_189566.jpg,"",Economics for Humans,Julie A Nelson, , ,University of Chicago Press,9780226463803,"2nd Edition,2019",224,India,English
Academically Adrift – Limited Learning on College Campuses,জোশীপা রোকসা,"TK. 3,755","",https://rokomari.com//book/162230/academically-adrift---limited-learning-on-college-campuses,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ed9acf85d_162230.jpg,"",Academically Adrift – Limited Learning on College Campuses,"Joshipa Roksa,Richard Arum", , ,University of Chicago Press,9780226028569,"1st Edition,2011",256,India,English
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",ফ্রেডরিখ এ হায়েক,"TK. 1,631","",https://rokomari.com//book/156184/the-road-to-serfdom--text-and-documents--the-definitive-edition--the-collected-works-of-f--a--hayek--volume-2-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/60c888685_156184.jpg,"","The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek,Volume 2)",Friedrich A Hayek, , ,University of Chicago Press,9780226320557,"1st Edition,2007",283,India,English
The Constitution of Liberty: The Definitive Edition (The Collected Works of F. A. Hayek),ফ্রেডরিখ এ হায়েক,"TK. 2,371","",https://rokomari.com//book/156185/the-constitution-of-liberty--the-definitive-edition--the-collected-works-of-f--a--hayek-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dfe33dc75_156185.jpg,"",The Constitution of Liberty: The Definitive Edition (The Collected Works of F. A. Hayek),Friedrich A Hayek, , ,University of Chicago Press,9780226315393,"1st Edition,2011",688,India,English
The Fatal Conceit: The Errors of Socialism (The Collected Works of F. A. Hayek),ফ্রেডরিখ এ হায়েক,"TK. 1,634","",https://rokomari.com//book/156186/the-fatal-conceit--the-errors-of-socialism--the-collected-works-of-f--a--hayek-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/484795d3b_156186.jpg,"",The Fatal Conceit: The Errors of Socialism (The Collected Works of F. A. Hayek),Friedrich A Hayek, , ,University of Chicago Press,9780226320663,"1st Edition,1991",194,India,English
Individualism and Economic Order,ফ্রেডরিখ এ হায়েক,"TK. 3,323","",https://rokomari.com//book/156187/individualism-and-economic-order,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9b410c848_156187.jpg,"",Individualism and Economic Order,Friedrich A Hayek, , ,University of Chicago Press,9780226320939,"Reissue edition,1996",280,India,English
"Law, Legislation and Liberty : Rules and Order, Volume 1",ফ্রেডরিখ এ হায়েক,"TK. 4,606","",https://rokomari.com//book/156188/law--legislation-and-liberty---rules-and-order--volume-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fb937c647_156188.jpg,"","Law,Legislation and Liberty : Rules and Order,Volume 1",Friedrich A Hayek, , ,University of Chicago Press,9780226320861,"1st Edition,1978",191,India,English
The Market and Other Orders (The Collected Works of F. A. Hayek),ফ্রেডরিখ এ হায়েক,"TK. 10,661","",https://rokomari.com//book/156189/the-market-and-other-orders--the-collected-works-of-f--a--hayek-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ff42d7ca0_156189.jpg,"",The Market and Other Orders (The Collected Works of F. A. Hayek),Friedrich A Hayek, , ,University of Chicago Press,9780226089553,"1st Edition,2014",472,India,English
