Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ঈশ্বরী,আহমেদ ফারুক মীর,TK. 200,TK. 176,https://rokomari.com//book/211165/isswori,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3b965a38f_211165.jpg,"",ঈশ্বরী,আহমেদ ফারুক মীর, , ,উৎসব প্রকাশন,9788949501800,"1st Published,2021", ,বাংলাদেশ,বাংলা
অপূর্ণতা,নিহার সুলতানা,TK. 300,TK. 255,https://rokomari.com//book/213479/opurnota,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4cbab3fba_213479.jpg,"",অপূর্ণতা,নিহার সুলতানা, , ,উৎসব প্রকাশন,9789849508856,"1st Published,2021", ,বাংলাদেশ,বাংলা
এটাকে প্রাক্তন বলে না,আশিক ইসলাম,TK. 200,TK. 150,https://rokomari.com//book/208604/atake-prakton-bole-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d04fea259_208604.jpg,"",এটাকে প্রাক্তন বলে না,আশিক ইসলাম, , ,উৎসব প্রকাশন,9789848990216,"1st Published,2021", ,বাংলাদেশ,বাংলা
কিংবদন্তি শায়েখ আল্লামা আহমদ শফী,মাহমুদ তাশফীন,TK. 120,TK. 90,https://rokomari.com//book/209248/kingbodonti-shaykh-allama-ahmad-shafi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e02e5dd06_209248.jpg,"ইতিহাসের মহানায়ক তিনি। ছিলেন সময়ের কিংবদন্তি। আঁধারে আলোকবর্তিকা হয়ে আজীবন বিলিয়েছেন আধ্যাত্মিকতার শিক্ষা। আমৃত্যু হাদিসের দরস দিয়ে গেছেন শতোর্ধ এ আলেম৷ বাংলাদেশের সর্বোচ্চ ধর্মীয়নেতা প্রয়াত আল্লামা আহমদ শফী রহ. এর কর্মময় জীবন, আন্দোলন সংগ্রামের ইতিবৃত্ত, দেশ ও জাতির কল্যাণে তাঁর অবদান নিয়ে লেখা হয়েছে বইটি। 

বইটি সম্পর্কে উক্ত প্রকাশনীর কর্ণধার জনাব সাঈদ আহমদ বলেন, আমি আগাগোড়া বইটি পড়েছি৷ বইটিতে আল্লামা আহমদ শফী রহ. এর শৈশব, কৈশোর, শিক্ষাজীবন, কর্মজীবন, আন্দোলন-সংগ্রামে অদম্য ভূমিকা নিয়ে আলোকপাত করা হয়েছে। তরুণ এ লেখক হজরতকে নিয়ে বেশ কিছু সমালোচনা, বিতর্ক ও প্রোপাগাণ্ডারও জবাব দিয়েছেন পাকা হাতে।  

বইটি সম্পর্কে লেখক মাহমুদ তাশফীন বলেন, 'আল্লামা আহমদ শফী রহ. ছিলেন ঐক্যের প্রতীক। তাঁর ডাকে দল মত নির্বিশেষে দুই দুই বার সারাদেশের ধর্মপ্রাণ মুসলমান ঐক্যবদ্ধ হয়েছিল। তিনি ছিলেন প্রিয় উস্তাদ, প্রিয় শায়েখ ও প্রিয় রাহবর। তাঁর জীবনী সংরক্ষণ সময়ের অন্যতম দাবি ছিল। সে দাবি পূরণে সংক্ষিপ্ত পরিসরে হলেও এ জীবনীটি লিখেছি। আশা করি, বইটি পাঠকপ্রিয়তা পাবে।",কিংবদন্তি শায়েখ আল্লামা আহমদ শফী,মাহমুদ তাশফীন, , ,উৎসব প্রকাশন,9789849501800,"1st Published,2020", ,বাংলাদেশ,বাংলা
আমি এক ব্যর্থ চ্যাপলিন,সোয়েব মাহমুদ,TK. 200,TK. 176,https://rokomari.com//book/212864/ami-ek-byertho-cheplin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bad95da1b_212864.jpg,"",আমি এক ব্যর্থ চ্যাপলিন,সোয়েব মাহমুদ, , ,উৎসব প্রকাশন,978984899121,"1st Published,2021", ,বাংলাদেশ,বাংলা
Reflections and Soliloquies,সাজেদা হারুন,TK. 300,TK. 225,https://rokomari.com//book/208588/reflections-and-soliloquies,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6b815424c_208588.jpg,"",Reflections and Soliloquies,Sajeda Haroon, , ,Utshab Prokasan,9788949501800,"1st Published,2021", ,Bangladesh,English
কাব্যশ্রী,মাকসুদ খান সোহান,TK. 180,TK. 158,https://rokomari.com//book/211162/kabboshri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/38585cbb6_211162.jpg,"",কাব্যশ্রী,মাকসুদ খান সোহান, , ,উৎসব প্রকাশন,9789849535928,"1st Published,2021", ,বাংলাদেশ,বাংলা
রিসকা,কৌশিক মজুমদার শুভ,TK. 220,TK. 187,https://rokomari.com//book/212872/riska,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b1b31f65f_212872.jpg,"",রিসকা,কৌশিক মজুমদার শুভ, , ,উৎসব প্রকাশন,9789849508878,"1st Published,2021", ,বাংলাদেশ,বাংলা
এবং অনু,সায়মা খোন্দকার,TK. 200,TK. 150,https://rokomari.com//book/208601/abong-onu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a23727bfc_208601.jpg,"",এবং অনু,সায়মা খোন্দকার, , ,উৎসব প্রকাশন,9789849209945,"1st Published,2021", ,বাংলাদেশ,বাংলা
ভগবানের অংশ,শরীফ শামিল,TK. 200,TK. 176,https://rokomari.com//book/211769/vogobaner-angsho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/42a19fbae_211769.jpg,"",ভগবানের অংশ,শরীফ শামিল, , ,উৎসব প্রকাশন,9789849508856,"1st Published,2021", ,বাংলাদেশ,বাংলা
