Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ফাইনাল শর্ট সাজেশন্স (বহু নির্বাচনি জেএসসি-২০১৯),ভিক্টোরী পাবলিকেশন্স,TK. 170,TK. 119,https://rokomari.com//book/185868/final-short-suggestion--bohu-nirbachoni-jsc-2019-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/125f615fa_185868.jpg,"‘ফাইনাল শর্ট সাজেশন্স’জাতীয় শিক্ষাক্রম ও পাঠ্যপুস্তক বোর্ড প্রণিত সর্বশেষ প্রশ্নকাঠামো ও নম্বর বিভাজনের আলোকে রচিত।
সাজেশন্সটির অনন্য বৈশিষ্ট্যঃ*
সময় বন্টন নীতি সংযোজীত*
সর্বাধিক কমনের নিশ্চয়তা*
শিক্ষার্থীদের পছন্দের শীর্ষে*
মডেল টেষ্ট সংবলিত*
সংক্ষিপ্ত অথচ সর্বাধিক কমন",ফাইনাল শর্ট সাজেশন্স (বহু নির্বাচনি জেএসসি-২০১৯), , ,ভিক্টোরী পাবলিকেশন্স,ভিক্টোরী পাবলিকেশন্স,9789849225768,"1st Published,2018",88,বাংলাদেশ,বাংলা
"ভিক্টোরী ফাইনাল শর্ট সাজেশন্স (এইচএসসি, ব্যবসায় শিক্ষা শাখা-২০১৯) সৃজনশীল",ভিক্টোরী পাবলিকেশন্স,TK. 170,TK. 119,https://rokomari.com//book/185885/victory-final-short-suggestion--hsc--business-studies-section-2019--srijonshil,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/68501e13a_185885.jpg,"‘ভিক্টোরী ফাইনাল শর্ট সাজেশন্স’ সৃজনশীল' বইটির বৈশিষ্টঃ  সাজেশন্সটি জাতীয় শিক্ষাক্রম ও পাঠ্যপুস্তক বোর্ড কর্তৃক পরিবর্তিত মানবন্টন ও নম্বর বিভাজনের আলোকে রচিত। সাজেশন্সটির অনন্য বৈশিষ্ট্যঃ*
সময় বন্টন নীতি সংযোজীত*
সর্বাধিক কমনের নিশ্চয়তা*
শিক্ষার্থীদের পছন্দের শীর্ষে*
মডেল টেষ্ট সংবলিত*
সংক্ষিপ্ত অথচ সর্বাধিক কমন","ভিক্টোরী ফাইনাল শর্ট সাজেশন্স (এইচএসসি,ব্যবসায় শিক্ষা শাখা-২০১৯) সৃজনশীল", , ,ভিক্টোরী পাবলিকেশন্স,ভিক্টোরী পাবলিকেশন্স,9789849225744,"1st Published,2019",72,বাংলাদেশ,বাংলা
"ভিক্টোরী ফাইনাল শর্ট সাজেশন্স (এইচএসসি, ব্যবসায় শিক্ষা শাখা-২০১৯) বহু নির্বাচনি",ভিক্টোরী পাবলিকেশন্স,TK. 170,TK. 119,https://rokomari.com//book/185865/victory-final-short-suggestion--hsc--business-studies-section-2019--bohu-nirbachoni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2557fd3a1_185865.jpg,"‘ফাইনাল শর্ট সাজেশন্স’ বহু নির্বাচনি' বইটির বৈশিষ্টঃ  সাজেশন্সটি জাতীয় শিক্ষাক্রম ও পাঠ্যপুস্তক বোর্ড কর্তৃক পরিবর্তিত মানবন্টন ও নম্বর বিভাজনের আলোকে রচিত। সাজেশন্সটির অনন্য বৈশিষ্ট্যঃ*
সময় বন্টন নীতি সংযোজীত*
সর্বাধিক কমনের নিশ্চয়তা*
শিক্ষার্থীদের পছন্দের শীর্ষে*
মডেল টেষ্ট সংবলিত*
সংক্ষিপ্ত অথচ সর্বাধিক কমন","ভিক্টোরী ফাইনাল শর্ট সাজেশন্স (এইচএসসি,ব্যবসায় শিক্ষা শাখা-২০১৯) বহু নির্বাচনি", , ,ভিক্টোরী পাবলিকেশন্স,ভিক্টোরী পাবলিকেশন্স,9789849225744,"1st Published,2019",68,বাংলাদেশ,বাংলা
"ফাইনাল বুলেটেন সাজেশন্স (ইকরা জেডিসি-২০১৮) (সৃজনশীল, বহুনির্বাচনি)",ভিক্টোরী পাবলিকেশন্স,TK. 140,TK. 98,https://rokomari.com//book/185870/final-bulleten-suggestion--ikra-jdc-2018---srijonshil--bohunirbachoni-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/860d8b2c7_185870.jpg,"‘ফাইনাল বুলেটেন সাজেশন্স’ বাংলাদেশ মাদরাসা শিক্ষা বোর্ড প্রণিত সর্বশেষ মানবন্টন ও প্রশ্নের ধারা অনুযায়ী এবং তামিরুল মিল্লাত ও ঢাকা আলিয়ার একঝাঁক মেধাবি কলম সৈনিকের সম্পাদনায় রচিত।
সাজেশন্সটির অনন্য বৈশিষ্ট্যঃ*
সময় বন্টন নীতি সংযোজীত*
সর্বাধিক কমনের নিশ্চয়তা*
শিক্ষার্থীদের পছন্দের শীর্ষে*
মডেল টেষ্ট সংবলিত*
সংক্ষিপ্ত অথচ সর্বাধিক কমন","ফাইনাল বুলেটেন সাজেশন্স (ইকরা জেডিসি-২০১৮) (সৃজনশীল,বহুনির্বাচনি)", , ,ভিক্টোরী পাবলিকেশন্স,ভিক্টোরী পাবলিকেশন্স,9789849225799,"1st Published,2018",72,বাংলাদেশ,বাংলা
ফাইনাল বুলেটেন সাজেশন্স (ইকরা ইবতেদায়ী সমাপনী-২০১৮),ভিক্টোরী পাবলিকেশন্স,TK. 110,TK. 97,https://rokomari.com//book/185871/final-bulleten-suggestion--ikra-ibatedayi-somaponi-2018-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b714a40c5_185871.jpg,"‘ফাইনাল বুলেটেন সাজেশন্স’ বাংলাদেশ মাদরাসা শিক্ষা বোর্ড প্রণিত সর্বশেষ মানবন্টন ও প্রশ্নের ধারা অনুযায়ী এবং তামিরুল মিল্লাত ও ঢাকা আলিয়ার একঝাঁক মেধাবি কলম সৈনিকের সম্পাদনায় রচিত।
সাজেশন্সটির অনন্য বৈশিষ্ট্যঃ*
সময় বন্টন নীতি সংযোজীত*
সর্বাধিক কমনের নিশ্চয়তা*
শিক্ষার্থীদের পছন্দের শীর্ষে*
মডেল টেষ্ট সংবলিত*
সংক্ষিপ্ত অথচ সর্বাধিক কমন",ফাইনাল বুলেটেন সাজেশন্স (ইকরা ইবতেদায়ী সমাপনী-২০১৮), , ,ভিক্টোরী পাবলিকেশন্স,ভিক্টোরী পাবলিকেশন্স,9789849225775,"1st Published,2018",40,বাংলাদেশ,বাংলা
"ভিক্টোরী ফাইনাল শর্ট সাজেশন্স (এসএসসি, বিজ্ঞান শাখা-২০১৯) -বহু নির্বাচনি",ভিক্টোরী পাবলিকেশন্স,TK. 165,TK. 116,https://rokomari.com//book/185886/victory-final-short-suggestion--ssc--science-2019--bohu-nirbachoni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/511fbffa7_185886.jpg,"‘ভিক্টোরী ফাইনাল শর্ট সাজেশন্স’ বহু নির্বাচনি’ বইটির বৈশিষ্টঃ সাজেশন্সটি জাতীয় শিক্ষাক্রম ও পাঠ্যপুস্তক বোর্ড কর্তৃক পরিবর্তিত মানবন্টন ও নম্বর বিভাজনের আলোকে রচিত। সাজেশন্সটির অনন্য বৈশিষ্ট্যঃ*
সময় বন্টন নীতি সংযোজীত*
সর্বাধিক কমনের নিশ্চয়তা*
শিক্ষার্থীদের পছন্দের শীর্ষে*
মডেল টেষ্ট সংবলিত*
সংক্ষিপ্ত অথচ সর্বাধিক কমন","ভিক্টোরী ফাইনাল শর্ট সাজেশন্স (এসএসসি,বিজ্ঞান শাখা-২০১৯) -বহু নির্বাচনি", , ,ভিক্টোরী পাবলিকেশন্স,ভিক্টোরী পাবলিকেশন্স,9789849225768,"1st Published,2019",108,বাংলাদেশ,বাংলা
বাংলা সাহিত্য ম্যাজিক - ম্যাজিক সিরিজ-২ (সহজেই বাংলা সাহিত্য আয়ত্তের শর্ট টেকনিক),মীর নাঈম,TK. 115,TK. 105,https://rokomari.com//book/185857/bangla-sahitto-magic---magic-series-2--sohojei-bangla-sahitto-ayotter-short-technique-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7bc4bf4fc_185857.jpg,"বাংলা সাহিত্য ম্যাজিক - ম্যাজিক সিরিজ-২ (সহজেই বাংলা সাহিত্য আয়ত্তের শর্ট টেকনিক) বইটি বিসিএস, পিএসসি নন-ক্যাডার, বিশ্ববিদ্যালয় ভর্তি পরীক্ষা, প্রাথমিক শিক্ষক, শিক্ষক-প্রভাষক নিবন্ধন, সরকারি-বেসরকারি চাকুরী ও অন্যান্য প্রতিযোগিতামূলক পরীক্ষায় সহায়ক প্রস্তুতির জন্য রচিত।",বাংলা সাহিত্য ম্যাজিক - ম্যাজিক সিরিজ-২ (সহজেই বাংলা সাহিত্য আয়ত্তের শর্ট টেকনিক),মীর নাঈম, , ,ভিক্টোরী পাবলিকেশন্স,9789849225775,"1st Published,2019",184,বাংলাদেশ,বাংলা
সংখ্যা ম্যাজিক - ম্যাজিক সিরিজ-১ (সাধারণ জ্ঞানের সংখ্যা সংশ্লিষ্ট তথ্য সমাহার),মীর নাঈম,TK. 105,TK. 92,https://rokomari.com//book/185858/songkya-magic---magic-series-1--sadharon-ganer-singshlishto-totyo-somahar-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/baf29e044_185858.jpg,"সংখ্যা ম্যাজিক - ম্যাজিক সিরিজ-১ (সাধারণ জ্ঞানের সংখ্যা সংশ্লিষ্ট তথ্য সমাহার) বইটি বিসিএস, পিএসসি নন-ক্যাডার, বিশ্ববিদ্যালয় ভর্তি পরীক্ষা, প্রাথমিক শিক্ষক, শিক্ষক-প্রভাষক নিবন্ধন, সরকারি-বেসরকারি চাকুরী ও অন্যান্য প্রতিযোগিতামূলক পরীক্ষায় সহায়ক প্রস্তুতির জন্য রচিত।",সংখ্যা ম্যাজিক - ম্যাজিক সিরিজ-১ (সাধারণ জ্ঞানের সংখ্যা সংশ্লিষ্ট তথ্য সমাহার), , ,মীর নাঈম,ভিক্টোরী পাবলিকেশন্স,9789849225775,"1st Published,2019",152,বাংলাদেশ,বাংলা
নিউরন ম্যাটস-আইএইচটি ভর্তি গাইড,ভিক্টোরী পাবলিকেশন্স,TK. 340,TK. 272,https://rokomari.com//book/185859/neuron-matte-iht-vorti-guide,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c74abc810_185859.jpg,"'নিউরন ম্যাটস-আইএইচটি ভর্তি গাইড' বইটি যে সকল ভর্তি পরীক্ষায় কার্যকরী*
ডিপ্লোমা ইন নার্সিং*
সায়েন্স এন্ড মিডওয়াইফারি*
মেরিন ইনস্টিটিউট*
টেক্সটাইল ইনস্টিটিউট*
কৃষি ইনস্টিটিউট",নিউরন ম্যাটস-আইএইচটি ভর্তি গাইড, , ,ভিক্টোরী পাবলিকেশন্স,ভিক্টোরী পাবলিকেশন্স, ,"New Edition,2018-2019",336,বাংলাদেশ,বাংলা
৩য় শ্রেণির ভর্তি গাইড (এনসিটিবি কর্তৃক প্রণিত নতুন পাঠ্যবই ও এনপিই ফরম্যাট অনুযায়ী দেশসেরা স্কুল সমূহে ৩য় শ্রেণিতে ভর্তিচ্ছুদের জন্য),এম. এ. নাঈম,TK. 299,TK. 239,https://rokomari.com//book/185860/3rd-shrenir-vorti-guide--nctb-kortrik-pronito-notun-patthoboi-o-nape-format-anujayi-deshsera-school-somuhe-3rd-shrenite-vorticchuder-jonno-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/88fc69296_185860.jpg,"‘৩য় শ্রেণির ভর্তি গাইড’ বইটি অনন্য বৈশিষ্ট্য*
পাঠ্যবই এর সুক্ষ বিশ্লেষণ*
সর্বাধিক কমনের নিশ্চয়তা*
বিগত সালের প্রশ্নব্যাংক*
মডেল টেস্ট সংবলিত*
শর্ট টেকনিক সুপার টিপস",৩য় শ্রেণির ভর্তি গাইড (এনসিটিবি কর্তৃক প্রণিত নতুন পাঠ্যবই ও এনপিই ফরম্যাট অনুযায়ী দেশসেরা স্কুল সমূহে ৩য় শ্রেণিতে ভর্তিচ্ছুদের জন্য), , ,এম. এ. নাঈম,ভিক্টোরী পাবলিকেশন্স,9789849225768,"1st Published,2018",192,বাংলাদেশ,বাংলা
