Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ভারত-ইতিহাসে বর্ণপ্রথা,অজিত কুমার দাশগুপ্ত,TK. 180,"",https://rokomari.com//book/169015/varot-itihase-bornoprotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভারত-ইতিহাসে বর্ণপ্রথা,অজিত কুমার দাশগুপ্ত, , ,ভারতী বুকস্ (ভারত), ,2012, ,ভারত,বাংলা
বিশ্বসেরা বিজ্ঞানীরা,সুনীল বন্দোপাধ্যায়,TK. 450,"",https://rokomari.com//book/169014/bishyosera-bigganira,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিশ্বসেরা বিজ্ঞানীরা,সুনীল বন্দোপাধ্যায়, , ,ভারতী বুকস্ (ভারত), ,2012, ,ভারত,বাংলা
ইতিহাসের আর্য্য সমস্যা ও ভারতবর্ষ,মুক্তি মিত্র,TK. 180,"",https://rokomari.com//book/169017/itihsaer-arjya-somosya-o-varotbarsho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ইতিহাসের আর্য্য সমস্যা ও ভারতবর্ষ,মুক্তি মিত্র, , ,ভারতী বুকস্ (ভারত), ,2012, ,ভারত,বাংলা
গ্রীসরোমের উপকথা,তুষার ঘোষ,TK. 360,"",https://rokomari.com//book/169018/greeceromer-upokotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গ্রীসরোমের উপকথা,তুষার ঘোষ, , ,ভারতী বুকস্ (ভারত), ,2012, ,ভারত,বাংলা
"উত্তরসুরী দার্শনিক,শিক্ষক ডঃসর্বপল্লী রাধাকৃষ্ণণ",বরুণ সমাদ্দার,TK. 180,"",https://rokomari.com//book/169019/uttorsuri-darshonik-shikkok-dr--sarbopalli-radhakrishnan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","উত্তরসুরী দার্শনিক,শিক্ষক ডঃসর্বপল্লী রাধাকৃষ্ণণ",বরুণ সমাদ্দার, , ,ভারতী বুকস্ (ভারত), ,2014, ,ভারত,বাংলা
নির্বাচিত ছোটোগল্প সংকলন,চন্দন চক্রবর্তী,TK. 450,"",https://rokomari.com//book/169126/nirbachito-chotogolpo-songkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নির্বাচিত ছোটোগল্প সংকলন,চন্দন চক্রবর্তী, , ,ভারতী বুকস্ (ভারত), ,2015, ,ভারত,বাংলা
একটু ছোঁয়া লাগে,মণিজিঞ্জির সান্যাল,TK. 180,"",https://rokomari.com//book/169128/ektu-chunya-lage,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",একটু ছোঁয়া লাগে,মণিজিঞ্জির সান্যাল, , ,ভারতী বুকস্ (ভারত), ,2009, ,ভারত,বাংলা
কিংবদন্তীর মাঠ ও অন্যান্য গল্প,দুলাল কর,TK. 108,"",https://rokomari.com//book/169131/kingbodontir-math-o-onyanya-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কিংবদন্তীর মাঠ ও অন্যান্য গল্প,দুলাল কর, , ,ভারতী বুকস্ (ভারত), ,2009, ,ভারত,বাংলা
দুই বাংলার ভয়ঙ্কর ভুতের গল্প,অসীমানন্দ মহারাজ,TK. 270,"",https://rokomari.com//book/169132/dui-banglar-voyangkor-vuter-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দুই বাংলার ভয়ঙ্কর ভুতের গল্প, , ,অসীমানন্দ মহারাজ,ভারতী বুকস্ (ভারত), ,2009, ,ভারত,বাংলা
স্মৃতিসুধা,পুলক বন্দ্যোপাধ্যায়,TK. 180,"",https://rokomari.com//book/169129/smritisudha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্মৃতিসুধা,পুলক বন্দ্যোপাধ্যায়, , ,ভারতী বুকস্ (ভারত), ,2009, ,ভারত,বাংলা
বিশ্ব ইতিহাসের সেরা রাজনীতিক,সুবিমল সরকার,TK. 540,"",https://rokomari.com//book/169016/bishyo-itihaser-sera-rajnhitik,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিশ্ব ইতিহাসের সেরা রাজনীতিক,সুবিমল সরকার, , ,ভারতী বুকস্ (ভারত), ,2012, ,ভারত,বাংলা
