Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আত্মত্যাগের প্রদীপ্ত ভাতি,নূরজাহান বেগম হেনা,TK. 150,TK. 132,https://rokomari.com//book/151077/atmotyager-prodipto-vati,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/33366b045_151077.jpg,"",আত্মত্যাগের প্রদীপ্ত ভাতি,নূরজাহান বেগম হেনা, , ,ভিন্নচোখ,9789849233428,"1st Published,2017",88,বাংলাদেশ,বাংলা
অর্ধবৃত্ত,সেলিম আফজাল,TK. 200,TK. 176,https://rokomari.com//book/177144/ordhobritto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d25d9a575_177144.jpg,"",অর্ধবৃত্ত,সেলিম আফজাল, , ,ভিন্নচোখ,9789849387732,"2nd Published,2019",80,বাংলাদেশ,বাংলা
আমি পারবো,সত্যজিৎ বিশ্বাস,TK. 170,TK. 150,https://rokomari.com//book/179215/ami-parbo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e7d074f8b_179215.jpg,"",আমি পারবো,সত্যজিৎ বিশ্বাস, , ,ভিন্নচোখ,9789849387893,"1st Published,2019",8,বাংলাদেশ,বাংলা
ফেরাবো কেমনে,তৌহিদ বাণী শেলী,TK. 250,TK. 213,https://rokomari.com//book/210732/ferabo-kemone,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/051d85e46_210732.jpg,"",ফেরাবো কেমনে,তৌহিদ বাণী শেলী, , ,ভিন্নচোখ,9789849387878,"1st Published,2021",175,বাংলাদেশ,বাংলা
শহরে নেমেছে রাত,রুদ্রনীল রায়চৌধুরী,TK. 180,TK. 158,https://rokomari.com//book/129044/shohore-nemeche-rat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3b5b5a6d5884_129044.jpg,"",শহরে নেমেছে রাত,রুদ্রনীল রায়চৌধুরী, , ,ভিন্নচোখ,9789849233480,"1st Published,2017",80,বাংলাদেশ,বাংলা
ডায়োজিনিসের হারিকেন,জিললুর রহমান,TK. 160,TK. 141,https://rokomari.com//book/160908/dayojiniser-hariken,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d7472df15_160908.jpg,"",ডায়োজিনিসের হারিকেন,জিললুর রহমান, , ,ভিন্নচোখ,9789849280965,"1st published,2018",60,বাংলাদেশ,বাংলা
নক্ষত্রের ধারাপাত,সেলিম আফজাল,TK. 150,TK. 132,https://rokomari.com//book/183496/nokkhottrer-dharapat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2a87fa70b_183496.jpg,"",নক্ষত্রের ধারাপাত,সেলিম আফজাল, , ,ভিন্নচোখ,9789849387848,"1st Published,2019",55,বাংলাদেশ,বাংলা
যখন আমি কোথাও নেই,জান্নাতুন ফেরদৌস,TK. 160,TK. 141,https://rokomari.com//book/210730/jokhon-ami-kothao-nei,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9388f1b03_210730.jpg,"",যখন আমি কোথাও নেই,জান্নাতুন ফেরদৌস, , ,ভিন্নচোখ,9789849387770,"1st Published,2021",64,বাংলাদেশ,বাংলা
আনকা জিরেন,তানজীব সৌরভ,TK. 160,TK. 141,https://rokomari.com//book/209735/anka-jiren,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6140ec973_209735.jpg,"",আনকা জিরেন,তানজীব সৌরভ, , ,ভিন্নচোখ,9789849387847,"1st Published,2021",64,বাংলাদেশ,বাংলা
উবে যাওয়া আতরদানা,সরকার হাসান মাহাবুব ,TK. 160,TK. 141,https://rokomari.com//book/157308/ube-jaoya-atrodana,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/66d4ca4f2_157308.jpg,"",উবে যাওয়া আতরদানা,সরকার হাসান মাহাবুব, , ,ভিন্নচোখ,9789849280811,"1st Published,2018",70,বাংলাদেশ,বাংলা
