Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
You Can Have an Amazing Memory: Learn Life-Changing Techniques and Tips from the Memory Maestro,ডমিনিক ও'ব্রায়ান,"TK. 1,723","",https://rokomari.com//book/135842/you-can-have-an-amazing-memory--learn-life-changing-techniques-and-tips-from-the-memory-maestro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b0581813ef74_135842.jpg,"",You Can Have an Amazing Memory: Learn Life-Changing Techniques and Tips from the Memory Maestro,Dominic O'Brien, , ,Watkins Publishing,9781907486975,"1st Edition,2016",208,India,English
Mind Map Mastery: The Complete Guide to Learning and Using the Most Powerful Thinking Tool in the Universe,টনি বুজান,"TK. 1,520","",https://rokomari.com//book/161916/mind-map-mastery--the-complete-guide-to-learning-and-using-the-most-powerful-thinking-tool-in-the-universe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/94657e900_161916.jpg,"",Mind Map Mastery: The Complete Guide to Learning and Using the Most Powerful Thinking Tool in the Universe,Tony Buzan, , ,Watkins Publishing,9781786781413,"1st Edition,2018",224,USA,English
"1000 Dreams: Discover the Meanings of Dream Symbols, Secrets and Stories",ডেভিড ফন্টোনা,"TK. 1,577","",https://rokomari.com//book/165191/1000-dreams--discover-the-meanings-of-dream-symbols--secrets-and-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/31715c9f4_165191.jpg,"","1000 Dreams: Discover the Meanings of Dream Symbols,Secrets and Stories",David Fontana, , ,Watkins Publishing,9781780280400,"1st Edition,2013",464,India,English
Boost Your Brain Power Week by Week: 52 Techniques to Make You Smarter,বিল লুকাস,"TK. 1,899","",https://rokomari.com//book/162566/boost-your-brain-power-week-by-week--52-techniques-to-make-you-smarter,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/066ba2608_162566.jpg,"",Boost Your Brain Power Week by Week: 52 Techniques to Make You Smarter,Bill Lucas, , ,Watkins Publishing,9781844832644,"1st Edition,1999",224,India,English
How to Develop a Brilliant Memory Week by Week: 50 Proven Ways to Enhance Your Memory Skills,ডমিনিক ও'ব্রায়ান,"TK. 1,316","",https://rokomari.com//book/172255/how-to-develop-a-brilliant-memory-week-by-week--50-proven-ways-to-enhance-your-memory-skills,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d076e97d5_172255.jpg,"",How to Develop a Brilliant Memory Week by Week: 50 Proven Ways to Enhance Your Memory Skills,Dominic O'Brien, , ,Watkins Publishing,9781780287904,"1st Edition,2014",176,India,English
The Book of Mirdad: The strange story of a monastery which was once called The Ark,মিখাইল নেইমি,"TK. 1,905","",https://rokomari.com//book/170794/the-book-of-mirdad--the-strange-story-of-a-monastery-which-was-once-called-the-ark,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a76cd0814_170794.jpg,"",The Book of Mirdad: The strange story of a monastery which was once called The Ark,Mikhail Naimy, , ,Watkins Publishing,9781907486401,"1st Edition,2011",192,India,English
City of the Goddess ,অ্যালান বাটলার,"TK. 3,224","",https://rokomari.com//book/166734/city-of-the-goddess,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/151ce17d6_166734.jpg,"",City of the Goddess,Alan Butler, , ,Watkins Publishing,9781780280295,"1st Edition,1999",244,India,English
Play The Forest School Way: Woodland Games and Crafts for Adventurous Kids,জেন ভেরল,"TK. 1,499","",https://rokomari.com//book/166228/play-the-forest-school-way--woodland-games-and-crafts-for-adventurous-kids,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b0903e996_166228.jpg,"",Play The Forest School Way: Woodland Games and Crafts for Adventurous Kids,"Jane Worroll,Peter Houghton", , ,Watkins Publishing,9781780289298,"1st Edition,2016",160,India,English
"You Can Manage Your Time Better: Change Your Thinking, Change Your Life",লুসি ম্যাকডোনাল্ড,"TK. 1,206","",https://rokomari.com//book/133499/you-can-manage-your-time-better--change-your-thinking--change-your-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ea9317d0acc4_133499.jpg,"","You Can Manage Your Time Better: Change Your Thinking,Change Your Life",Lucy MacDonald, , ,Watkins Publishing,9781780287935,"1st Edition,2014",144,India,English
"How To Pass Exams: Accelerate Your Learning, Memorise Key Facts, Revise Effectively ",ডমিনিক ও'ব্রায়ান,"TK. 1,532","",https://rokomari.com//book/135777/how-to-pass-exams--accelerate-your-learning--memorise-key-facts--revise-effectively-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/33db003f0174_135777.jpg,"","How To Pass Exams: Accelerate Your Learning,Memorise Key Facts,Revise Effectively ",Dominic O'Brien, , ,Watkins Publishing,9781844833917,"1st Edition,2007",256,India,English
