Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"Applied Cryptography Protocols, Algorithms, and Source Code in C (Second Edition)",ব্রুস স্কনিয়ের,"TK. 1,420","",https://rokomari.com//book/54526/applied-cryptography-protocols--algorithms--and-source-code-in-c--second-edition-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7c7f798e1_54526.jpg,"""Applied Cryptography"" Summary of the Book:
This new edition of the cryptography classic provides you with a comprehensive survey of modern cryptography. The book details how programmers and electronic communications professionals can use cryptography—the technique of enciphering and deciphering messages-to maintain the privacy of computer data. It describes dozens of cryptography algorithms, gives practical advice on how to implement them into cryptographic software, and shows how they can be used to solve security problems. Covering the latest developments in practical cryptographic techniques, this new edition shows programmers who design computer applications, networks, and storage systems how they can build security into their software and systems. 
What's new in the Second Edition?
* New information on the Clipper Chip, including ways to defeat the key escrow mechanism
* New encryption algorithms, including algorithms from the former Soviet Union and South Africa, and the RC4 stream cipher
* The latest protocols for digital signatures, authentication, secure elections, digital cash, and more
* More detailed information on key management and cryptographic implementations","Applied Cryptography Protocols,Algorithms,and Source Code in C (Second Edition)",Bruce Schneier , , ,Wiley India Pvt. Ltd,9788126513680,"2nd Edition,2007",760,India,English
Design of Prestressed Concrete Structures  ,টি. ওয়াই. লিন,"TK. 1,060","",https://rokomari.com//book/70861/design-of-prestressed-concrete-structures,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/17d87baf9_70861.gif,"",Design of Prestressed Concrete Structures,"T. Y. Lin,Ned H. Burns", , ,Wiley India Pvt. Ltd,9788126528035,"Reprinted,2015",646,India,English
Sampling Techniques,উইলিয়াম জি কোচরান,"TK. 1,276","",https://rokomari.com//book/54665/sampling-techniques,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/af3845c36_54665.jpg,"Book Summary of Sampling Techniques, 3Rd Edition
Clearly demonstrates a wide range of sampling methods now in use by governments, in business, market and operations research, social science, medicine, public health, agriculture, and accounting. Gives proofs of all the theoretical results used in modern sampling practice. New topics in this edition include the approximate methods developed for the problem of attaching standard errors or confidence limits to nonlinear estimates made from the results of surveys with complex plans. • Simple Random Sampling • Sampling for Proportions and Percentages • The Estimation of Sample Size • Stratified Random Sampling • Further Aspects of Stratified Sampling • Ratio Estimators • Regression Estimates • Systematic Sampling • Single-Stage Cluster Sampling: Clusters of Equal Sizes • Single-Stage Cluster Sampling: Clusters of Unequal Sizes • Sub Sampling with Units of Equal Size • Sub Sampling with Units of Unequal Sizes • Double Sampling • Sources of Error in Surveys",Sampling Techniques,William G Cochran, , ,Wiley India Pvt. Ltd,9788126515240,"Reprinted,2018",432,India,English
OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide,জেন বয়ারস্কি,"TK. 1,798","",https://rokomari.com//book/129525/oca--oracle-certified-associate-java-se-8-programmer-i-study-guide,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/64e7259f6_129525.jpg,"",OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide,Jeanne Boyarsky, , ,Wiley India Pvt. Ltd,9788126554652,"1st Edition,2015",424,India,English
Wireless Communications ,অ্যানড্রিয়াস এফ. মলিস,"TK. 1,312","",https://rokomari.com//book/54555/wireless-communications,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/628df6880_54555.jpg,"Book Summary of Wireless Communications
Wireless Communications provides a self-contained all encompassing current treatment of the area and topics covered will include directional channel modelling, multi-user detection, MIMO systems, and 3G standards. In addition, the author has combined mathematical derivations with intuitive explanations of the physical facts in order to help students (including self-study readers) to acquire a deeper understanding of the facts. 

Table of Contents
Preface List of abbreviations List of symbols Part I Introduction
o	Applications and requirements of wireless services
o	Technical challenges of wireless communications
o	Noise- and interference-limited systems
Part II Wireless Propagation Channels
o	Propagation mechanisms
o	Statistical description of the wireless channel
o	Wideband and directional channel characterization
o	Channel models
o	Channel sounding
o	Antennas
Part III Transceivers And Signal Processing
o	Structure of a wireless communication link
o	Modulation formats
o	Demodulation
o	Diversity
o	Channel coding
o	Speech coding
o	Equalizers
Part IV Multiple Access And Advanced Transceiver Schemes
o	Multiple access and the cellular principle
o	Spread spectrum systems
o	Orthogonal frequency division multiplexing (OFDM)
o	Multi-antenna systems
Part V Standardized Wireless Systems
•	GSM - Global System for Mobile communications
•	IS-95 and CDMA 2000
•	WCDMA/UMTS
•	Wireless Local Area Networks
•	Exercises
•	References
•	Index",Wireless Communications,Andreas F. Molisch, , ,Wiley India Pvt. Ltd,9788126510566,"Reprint,2013",622,India,English
Applied Regression Analysis,নরম্যান আর. ড্রাপের,"TK. 2,331","",https://rokomari.com//book/187428/applied-regression-analysis,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6f29667a7_187428.jpg,"",Applied Regression Analysis,"Norman R. Draper,Harry Smit", , ,Wiley India Pvt. Ltd,9788126531738,"3rd edition,2011",728,India,English
Beginning IOS Programming for Dummies ,রাজীভ রামনাথ,TK. 900,"",https://rokomari.com//book/99622/beginning-ios-programming-for-dummies,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_99622.gif,"",Beginning IOS Programming for Dummies,Rajiv Ramnath, , ,Wiley India Pvt. Ltd,9788126550531,"1st edition,2014",456,India,English
An Introduction to the Theory of Numbers,নিভান,"TK. 1,170","",https://rokomari.com//book/54621/an-introduction-to-the-theory-of-numbers,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_54621.GIF,"Book Summary of An Introduction to The Theory of Numbers
Table Of Contents

•	Divisibility
•	Congruences
•	Quadratic Reciprocity and Quadratic Forms
•	Some Functions of Number Theory
•	Some Diophantine Equations
•	Farey Fractions and Irrational Numbers
•	Simple Continued Fractions
•	Primes and Multiplicative Number Theory
•	Algebraic Numbers
•	The Partition Function
•	The Density of Sequences of Integers
•	Appendices
•	General References
•	Hints
•	Answers
•	Index",An Introduction to the Theory of Numbers,Niven, , ,Wiley India Pvt. Ltd,9788126518111, ,545,India,English
"Operating System Concepts, 9th Edition",গার্গ গাগনে,"TK. 1,260","",https://rokomari.com//book/193816/operating-system-concepts--9th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d768a6424_193816.jpg,"","Operating System Concepts,9th Edition","Gerg Gagne,Abraham Silberschatz,Peter Baer Galvin", , ,Wiley India Pvt. Ltd,9788126554270,"Reprint,2018",856,India,English
International Finance: A Casebook ,মিহির এ. দেশাই,"TK. 1,080","",https://rokomari.com//book/54586/international-finance--a-casebook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_54586.GIF,"",International Finance: A Casebook,Mihir A. Desai, , ,Wiley India Pvt. Ltd,9788126510832,"1st Edition,2012",512,India,English
