Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
তৃতীয় অশ্বারোহী,রাসেল রায়হান,TK. 120,TK. 106,https://rokomari.com//book/153934/tritiyo-ashwarohee,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c79e4d813_153934.jpg,"",তৃতীয় অশ্বারোহী,রাসেল রায়হান, , ,জেব্রাক্রসিং প্রকাশন,9789849271628,"1st Published,2017",48,বাংলাদেশ,বাংলা
আমাদের ফরিদগঞ্জ : ইতিহাস ও ঐতিহ্য,অমৃত ফরহাদ,TK. 550,TK. 468,https://rokomari.com//book/192550/amader-foridgong---itihas-o-oitijjo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমাদের ফরিদগঞ্জ : ইতিহাস ও ঐতিহ্য,অমৃত ফরহাদ, , ,জেব্রাক্রসিং প্রকাশন, ,"1st Published,2018", ,বাংলাদেশ,বাংলা
ইহুদির গজল,রাসেল রায়হান,TK. 180,TK. 158,https://rokomari.com//book/178957/ihudir-gojol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d977d3a3d_178957.jpg,"",ইহুদির গজল,রাসেল রায়হান, , ,জেব্রাক্রসিং প্রকাশন, , ,64,বাংলাদেশ,বাংলা
শেফালি কি জানে,হাসনাত শোয়েব,TK. 120,TK. 106,https://rokomari.com//book/161395/shefali-ki-jane,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c9cedcace_161395.jpg,"",শেফালি কি জানে,হাসনাত শোয়েব, , ,জেব্রাক্রসিং প্রকাশন,9789848094266,"1st Published,2018",64,বাংলাদেশ,বাংলা
কালো বরফের পিস্তল,রুহুল মাহফুজ জয়,TK. 120,TK. 106,https://rokomari.com//book/161396/kalo-borofer-pistol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6472ba229_161396.jpg,"",কালো বরফের পিস্তল,রুহুল মাহফুজ জয়, , ,জেব্রাক্রসিং প্রকাশন,9789848094020,"1st Published,2018",40,বাংলাদেশ,বাংলা
কাক-কা-কা,মিঠুন কুমার সমাদ্দার,TK. 140,TK. 123,https://rokomari.com//book/161397/kak-ka-ka,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/761da0e6c_161397.jpg,"",কাক-কা-কা,মিঠুন কুমার সমাদ্দার, , ,জেব্রাক্রসিং প্রকাশন,9789848094181,"1st Published,2018",70,বাংলাদেশ,বাংলা
নন্দিত নীলে,শেলী ফেরদৌস,TK. 150,TK. 132,https://rokomari.com//book/161399/nondito-nilee,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0ef95c169_161399.jpg,"",নন্দিত নীলে,শেলী ফেরদৌস, , ,জেব্রাক্রসিং প্রকাশন,9789848094273,"1st Published,2018",64,বাংলাদেশ,বাংলা
জোছনামাখা আলোকরেখা,শুভ্র জারীর,TK. 100,TK. 90,https://rokomari.com//book/161401/jochnamakha-alokrekha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e27df731b_161401.jpg,"",জোছনামাখা আলোকরেখা,শুভ্র জারীর, , ,জেব্রাক্রসিং প্রকাশন,9789849271628,"1st Published,2018",48,বাংলাদেশ,বাংলা
একটি লাল ঘুড়ি এবং আমি,মোক্তার হোসেন,TK. 120,TK. 106,https://rokomari.com//book/161402/ekti-lal-ghuri-ebong-ami,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4a4eddbb0_161402.jpg,"",একটি লাল ঘুড়ি এবং আমি,মোক্তার হোসেন, , ,জেব্রাক্রসিং প্রকাশন,9789849271505,"1st Published,2017",48,বাংলাদেশ,বাংলা
একাই হাঁটছি পাগল,সারাজাত সৌম,TK. 120,TK. 106,https://rokomari.com//book/161404/ekai-hatsi-pagol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/05e763b04_161404.jpg,"",একাই হাঁটছি পাগল,সারাজাত সৌম, , ,জেব্রাক্রসিং প্রকাশন,9789848094303,"1st Published,2018",48,বাংলাদেশ,বাংলা
মৌনবিভা এবং লাল কমরেড,আলমগীর রেজা চৌধুরী,TK. 150,TK. 113,https://rokomari.com//book/161406/mounobibha-abong-lal-comred,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a24e42784_161406.jpg,"",মৌনবিভা এবং লাল কমরেড,আলমগীর রেজা চৌধুরী, , ,জেব্রাক্রসিং প্রকাশন,9789849271451,"1st Published,2017",64,বাংলাদেশ,বাংলা
ভাবনারা ইয়ারফোনের তারের মতো,রবিউল আলম  ,TK. 150,TK. 132,https://rokomari.com//book/185358/vabonara-earphoner-tarer-moto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভাবনারা ইয়ারফোনের তারের মতো,রবিউল আলম, , ,জেব্রাক্রসিং প্রকাশন, , , ,বাংলাদেশ,বাংলা
স্বর্গের গালিচায় আগুন,ইবনে শামস,TK. 135,TK. 119,https://rokomari.com//book/160955/swarger-galichay-aagun,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ca0e0afc3_160955.jpg,"",স্বর্গের গালিচায় আগুন,ইবনে শামস, , ,জেব্রাক্রসিং প্রকাশন,9789848094037,"1st Published,2018",80,বাংলাদেশ,বাংলা
অন্তর্গত খেরোখাতা,হাসান কামরুল,TK. 160,TK. 141,https://rokomari.com//book/160956/ontorgoto-kherokhata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fff77959c_160956.jpg,"",অন্তর্গত খেরোখাতা,হাসান কামরুল, , ,জেব্রাক্রসিং প্রকাশন,9789848094334,"1st Published,2018",80,বাংলাদেশ,বাংলা
গল্পগুলোর অর্থ নেই,সাফি উল্লাহ,TK. 250,TK. 213,https://rokomari.com//book/160957/golpogulor-ortho-nei,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a3928faf4_160957.jpg,"",গল্পগুলোর অর্থ নেই,সাফি উল্লাহ, , ,জেব্রাক্রসিং প্রকাশন,9789848094198,"1st Published,2018",144,বাংলাদেশ,বাংলা
প্যারিস সিরিজ ও অন্যান্য কবিতা,ফকির ইলিয়াস,TK. 130,TK. 114,https://rokomari.com//book/160958/paris-sirij-o-onnanyo-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0fbd859bf_160958.jpg,"",প্যারিস সিরিজ ও অন্যান্য কবিতা,ফকির ইলিয়াস, , ,জেব্রাক্রসিং প্রকাশন,9789848094082,"1st Published,2018",48,বাংলাদেশ,বাংলা
