Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কুইজ ত্রিপুরা,দীনেশ চন্দ্র সাহা,TK. 162,"",https://rokomari.com//book/169491/kuiz-tripura,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কুইজ ত্রিপুরা,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2014, ,ভারত,বাংলা
নব জাগরনের কবি ও কথাশিল্পি মধুসুদন ও বঙ্কিমচন্দ্র,দীনেশ চন্দ্র সাহা,TK. 126,"",https://rokomari.com//book/169492/nobo-jagoroner-kobi-o-kothashilpi--madhusudon-o-bankimchandra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নব জাগরনের কবি ও কথাশিল্পি মধুসুদন ও বঙ্কিমচন্দ্র,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2014, ,ভারত,বাংলা
নবজাগরনের দুই সাধক শ্রীরামকৃষ্ণ ও বিবেকানন্দ,দীনেশ চন্দ্র সাহা,TK. 144,"",https://rokomari.com//book/169493/nobojagoroner-dui-shadok-shreeramkrishna-o-bibekananda,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নবজাগরনের দুই সাধক শ্রীরামকৃষ্ণ ও বিবেকানন্দ,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2014, ,ভারত,বাংলা
ধাঁধার খেলা ভারী মজা (বাংলা ও ককবরক),দীনেশ চন্দ্র সাহা,TK. 90,"",https://rokomari.com//book/169494/dhandhar-khela-vari-moja--bangla-o-kokborok-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ধাঁধার খেলা ভারী মজা (বাংলা ও ককবরক),দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
ত্রিপুরায় পঞ্চয়েত রাজ,দীনেশ চন্দ্র সাহা,TK. 90,"",https://rokomari.com//book/169495/tripuray-panchayet-raj,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ত্রিপুরায় পঞ্চয়েত রাজ,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
ত্রিপুরায় নগরায়নের নবযুগ,দীনেশ চন্দ্র সাহা,TK. 90,"",https://rokomari.com//book/169496/tripuray-nobojagoroner-nobojug,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ত্রিপুরায় নগরায়নের নবযুগ,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
কিশোর গল্প গুচ্ছ,দীনেশ চন্দ্র সাহা,TK. 90,"",https://rokomari.com//book/169497/kishor-golpo-guccho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কিশোর গল্প গুচ্ছ,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
চেতনা,সুদর্শন দাস,TK. 90,"",https://rokomari.com//book/169498/chetona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চেতনা,সুদর্শন দাস, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
ঈশ্বরচন্দ্র বিদ্যাসাগর,দীনেশ চন্দ্র সাহা,TK. 108,"",https://rokomari.com//book/169499/ishwarchandra-bidyasagor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঈশ্বরচন্দ্র বিদ্যাসাগর,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
নবজাগরণের দুই সাধক শ্রীরামকৃষ্ণ ও বিবেকানন্দ,দীনেশ চন্দ্র সাহা,TK. 108,"",https://rokomari.com//book/169500/nobojagoroner-dui-sadhok-shreeramkrishna-o-bibekananda,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নবজাগরণের দুই সাধক শ্রীরামকৃষ্ণ ও বিবেকানন্দ,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
ব্যঙ্গ দর্শন,শ্রী হসাং,TK. 180,"",https://rokomari.com//book/169501/bangho-darshan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ব্যঙ্গ দর্শন,শ্রী হসাং, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
ত্রিপুরায় জনমুখী প্রশাসন ও সামাজিক রূপান্তর,দীনেশ চন্দ্র সাহা,TK. 252,"",https://rokomari.com//book/169502/tripuray-jonomukhi-proshason-o-samajik-rupantor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ত্রিপুরায় জনমুখী প্রশাসন ও সামাজিক রূপান্তর,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
প্রজাতান্ত্রিক যুগের ত্রিপুরা,দীনেশ চন্দ্র সাহা,TK. 270,"",https://rokomari.com//book/169503/projatantrik-juger-tripura,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রজাতান্ত্রিক যুগের ত্রিপুরা,দীনেশ চন্দ্র সাহা, , ,রাইটার্স পাবলিকাশন (ভারত), ,2009, ,ভারত,বাংলা
